closeness_centrality,[13  6  5 19]
0,"[0.07784431137724551, 0.086, 0.086, 0.114, 0.09, 0.118, 0.086, 0.118, 0.106, 0.09, 0.112, 0.092, 0.08, 0.096, 0.082, 0.116, 0.102, 0.08, 0.104, 0.10020040080160321]"
1,"[0.10778443113772455, 0.094, 0.092, 0.12, 0.13, 0.102, 0.126, 0.108, 0.106, 0.082, 0.112, 0.092, 0.1, 0.096, 0.11, 0.116, 0.102, 0.098, 0.092, 0.10220440881763528]"
2,"[0.08383233532934131, 0.094, 0.086, 0.082, 0.112, 0.102, 0.124, 0.108, 0.106, 0.082, 0.112, 0.092, 0.1, 0.084, 0.11, 0.116, 0.102, 0.098, 0.116, 0.09018036072144289]"
3,"[0.08383233532934131, 0.094, 0.086, 0.082, 0.112, 0.102, 0.124, 0.108, 0.106, 0.082, 0.112, 0.092, 0.1, 0.084, 0.11, 0.116, 0.102, 0.098, 0.104, 0.10220440881763528]"
4,"[0.08383233532934131, 0.094, 0.086, 0.092, 0.112, 0.102, 0.124, 0.108, 0.106, 0.082, 0.112, 0.092, 0.1, 0.084, 0.11, 0.116, 0.102, 0.098, 0.104, 0.1062124248496994]"
5,"[0.08383233532934131, 0.084, 0.086, 0.082, 0.09, 0.102, 0.124, 0.108, 0.106, 0.082, 0.112, 0.092, 0.1, 0.084, 0.11, 0.116, 0.102, 0.098, 0.104, 0.10220440881763528]"
6,"[0.08383233532934131, 0.094, 0.086, 0.082, 0.112, 0.102, 0.124, 0.108, 0.106, 0.082, 0.112, 0.092, 0.1, 0.084, 0.11, 0.116, 0.102, 0.098, 0.106, 0.10220440881763528]"
7,"[0.08383233532934131, 0.094, 0.086, 0.082, 0.09, 0.102, 0.124, 0.108, 0.106, 0.082, 0.112, 0.092, 0.1, 0.084, 0.11, 0.116, 0.102, 0.098, 0.104, 0.10220440881763528]"
8,"[0.08383233532934131, 0.094, 0.086, 0.096, 0.112, 0.138, 0.124, 0.108, 0.106, 0.09, 0.112, 0.118, 0.1, 0.084, 0.11, 0.116, 0.102, 0.104, 0.104, 0.10220440881763528]"
9,"[0.08383233532934131, 0.094, 0.1, 0.082, 0.09, 0.102, 0.124, 0.108, 0.106, 0.082, 0.112, 0.118, 0.1, 0.108, 0.11, 0.116, 0.102, 0.098, 0.104, 0.10220440881763528]"
10,"[0.08383233532934131, 0.094, 0.086, 0.098, 0.112, 0.102, 0.124, 0.108, 0.106, 0.09, 0.112, 0.116, 0.1, 0.084, 0.11, 0.116, 0.102, 0.104, 0.176, 0.10220440881763528]"
11,"[0.08383233532934131, 0.106, 0.1, 0.082, 0.09, 0.102, 0.124, 0.148, 0.106, 0.082, 0.112, 0.118, 0.1, 0.098, 0.11, 0.116, 0.08, 0.098, 0.104, 0.10220440881763528]"
12,"[0.08383233532934131, 0.094, 0.086, 0.098, 0.112, 0.102, 0.186, 0.108, 0.146, 0.09, 0.112, 0.092, 0.1, 0.084, 0.11, 0.116, 0.102, 0.104, 0.196, 0.10220440881763528]"
13,"[0.08383233532934131, 0.094, 0.1, 0.082, 0.09, 0.102, 0.124, 0.118, 0.106, 0.082, 0.094, 0.132, 0.1, 0.11, 0.11, 0.116, 0.08, 0.098, 0.104, 0.10220440881763528]"
14,"[0.08383233532934131, 0.094, 0.086, 0.094, 0.112, 0.102, 0.126, 0.108, 0.198, 0.09, 0.112, 0.092, 0.1, 0.084, 0.152, 0.146, 0.102, 0.104, 0.092, 0.10220440881763528]"
15,"[0.08383233532934131, 0.094, 0.1, 0.082, 0.09, 0.102, 0.124, 0.118, 0.106, 0.082, 0.12, 0.092, 0.142, 0.184, 0.11, 0.116, 0.156, 0.098, 0.104, 0.15831663326653306]"
16,"[0.14570858283433133, 0.094, 0.086, 0.088, 0.112, 0.102, 0.126, 0.108, 0.096, 0.09, 0.112, 0.092, 0.1, 0.084, 0.148, 0.156, 0.126, 0.104, 0.092, 0.10220440881763528]"
17,"[0.08383233532934131, 0.104, 0.1, 0.082, 0.09, 0.102, 0.124, 0.192, 0.106, 0.082, 0.148, 0.092, 0.114, 0.18, 0.11, 0.116, 0.162, 0.098, 0.104, 0.15430861723446893]"
18,"[0.1317365269461078, 0.094, 0.086, 0.09, 0.112, 0.102, 0.126, 0.108, 0.096, 0.09, 0.112, 0.092, 0.1, 0.084, 0.198, 0.124, 0.102, 0.104, 0.18, 0.13026052104208416]"
19,"[0.08383233532934131, 0.204, 0.1, 0.082, 0.09, 0.102, 0.124, 0.194, 0.106, 0.082, 0.112, 0.092, 0.096, 0.168, 0.11, 0.116, 0.162, 0.098, 0.104, 0.10220440881763528]"
20,"[0.16167664670658682, 0.094, 0.086, 0.096, 0.112, 0.102, 0.126, 0.108, 0.124, 0.09, 0.112, 0.17, 0.1, 0.084, 0.196, 0.122, 0.102, 0.104, 0.204, 0.14428857715430862]"
21,"[0.08383233532934131, 0.206, 0.1, 0.082, 0.09, 0.102, 0.124, 0.194, 0.118, 0.082, 0.148, 0.086, 0.118, 0.198, 0.11, 0.116, 0.162, 0.098, 0.104, 0.10020040080160321]"
22,"[0.16367265469061876, 0.094, 0.086, 0.132, 0.112, 0.102, 0.126, 0.108, 0.096, 0.09, 0.112, 0.18, 0.1, 0.084, 0.202, 0.122, 0.102, 0.104, 0.192, 0.13226452905811623]"
