eigenvector_centrality,[17  8 14 15]
12,"[tensor(0.0041, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0042, device='cuda:5'), tensor(0.0042, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0042, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0042, device='cuda:5'), tensor(0.0042, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5')]"
13,"[tensor(0.0039, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0042, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0041, device='cuda:5')]"
14,"[tensor(0.0041, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0042, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0039, device='cuda:5')]"
15,"[tensor(0.0039, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5')]"
16,"[tensor(0.0040, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0039, device='cuda:5')]"
17,"[tensor(0.0038, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0039, device='cuda:5')]"
18,"[tensor(0.0040, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0039, device='cuda:5')]"
19,"[tensor(0.0038, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0039, device='cuda:5')]"
20,"[tensor(0.0039, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0038, device='cuda:5')]"
21,"[tensor(0.0038, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0037, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0038, device='cuda:5')]"
