eigenvector_centrality,[17  8 14 15]
32,"[tensor(0.0037, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0037, device='cuda:5'), tensor(0.0037, device='cuda:5'), tensor(0.0037, device='cuda:5'), tensor(0.0037, device='cuda:5'), tensor(0.0037, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0037, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0037, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0037, device='cuda:5'), tensor(0.0037, device='cuda:5')]"
33,"[tensor(0.0034, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0037, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0034, device='cuda:5')]"
34,"[tensor(0.0036, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0037, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0037, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0037, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0036, device='cuda:5')]"
35,"[tensor(0.0034, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0037, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0037, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0034, device='cuda:5')]"
36,"[tensor(0.0036, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0037, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0037, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0036, device='cuda:5')]"
37,"[tensor(0.0033, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0037, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0037, device='cuda:5'), tensor(0.0037, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0037, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0034, device='cuda:5')]"
38,"[tensor(0.0036, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0037, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0032, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0035, device='cuda:5')]"
39,"[tensor(0.0033, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0037, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0032, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0037, device='cuda:5'), tensor(0.0037, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0037, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0034, device='cuda:5')]"
40,"[tensor(0.0036, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0037, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0032, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0032, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0035, device='cuda:5')]"
41,"[tensor(0.0033, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0032, device='cuda:5'), tensor(0.0037, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0032, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0032, device='cuda:5'), tensor(0.0037, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0037, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0033, device='cuda:5')]"
42,"[tensor(0.0035, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0032, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0032, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0032, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0035, device='cuda:5')]"
43,"[tensor(0.0033, device='cuda:5'), tensor(0.0032, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0032, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0032, device='cuda:5'), tensor(0.0032, device='cuda:5'), tensor(0.0032, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0032, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0032, device='cuda:5'), tensor(0.0033, device='cuda:5')]"
44,"[tensor(0.0035, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0032, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0032, device='cuda:5'), tensor(0.0032, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0032, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0034, device='cuda:5')]"
45,"[tensor(0.0032, device='cuda:5'), tensor(0.0032, device='cuda:5'), tensor(0.0032, device='cuda:5'), tensor(0.0032, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0032, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0032, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0032, device='cuda:5'), tensor(0.0031, device='cuda:5'), tensor(0.0032, device='cuda:5'), tensor(0.0032, device='cuda:5'), tensor(0.0032, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0032, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0032, device='cuda:5'), tensor(0.0032, device='cuda:5')]"
46,"[tensor(0.0034, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0031, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0031, device='cuda:5'), tensor(0.0032, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0032, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0034, device='cuda:5')]"
47,"[tensor(0.0032, device='cuda:5'), tensor(0.0031, device='cuda:5'), tensor(0.0031, device='cuda:5'), tensor(0.0032, device='cuda:5'), tensor(0.0032, device='cuda:5'), tensor(0.0032, device='cuda:5'), tensor(0.0032, device='cuda:5'), tensor(0.0031, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0031, device='cuda:5'), tensor(0.0031, device='cuda:5'), tensor(0.0031, device='cuda:5'), tensor(0.0032, device='cuda:5'), tensor(0.0031, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0031, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0031, device='cuda:5'), tensor(0.0032, device='cuda:5')]"
48,"[tensor(0.0034, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0031, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0031, device='cuda:5'), tensor(0.0031, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0031, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0033, device='cuda:5')]"
49,"[tensor(0.0031, device='cuda:5'), tensor(0.0031, device='cuda:5'), tensor(0.0031, device='cuda:5'), tensor(0.0031, device='cuda:5'), tensor(0.0031, device='cuda:5'), tensor(0.0031, device='cuda:5'), tensor(0.0032, device='cuda:5'), tensor(0.0031, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0031, device='cuda:5'), tensor(0.0030, device='cuda:5'), tensor(0.0030, device='cuda:5'), tensor(0.0031, device='cuda:5'), tensor(0.0030, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0031, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0031, device='cuda:5'), tensor(0.0031, device='cuda:5')]"
50,"[tensor(0.0034, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0031, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0032, device='cuda:5'), tensor(0.0031, device='cuda:5'), tensor(0.0031, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0030, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0033, device='cuda:5')]"
51,"[tensor(0.0031, device='cuda:5'), tensor(0.0031, device='cuda:5'), tensor(0.0030, device='cuda:5'), tensor(0.0031, device='cuda:5'), tensor(0.0031, device='cuda:5'), tensor(0.0031, device='cuda:5'), tensor(0.0032, device='cuda:5'), tensor(0.0030, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0030, device='cuda:5'), tensor(0.0030, device='cuda:5'), tensor(0.0030, device='cuda:5'), tensor(0.0031, device='cuda:5'), tensor(0.0030, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0030, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0030, device='cuda:5'), tensor(0.0031, device='cuda:5')]"
52,"[tensor(0.0033, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0031, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0030, device='cuda:5'), tensor(0.0031, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0030, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0033, device='cuda:5')]"
53,"[tensor(0.0031, device='cuda:5'), tensor(0.0030, device='cuda:5'), tensor(0.0030, device='cuda:5'), tensor(0.0031, device='cuda:5'), tensor(0.0031, device='cuda:5'), tensor(0.0031, device='cuda:5'), tensor(0.0031, device='cuda:5'), tensor(0.0030, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0030, device='cuda:5'), tensor(0.0030, device='cuda:5'), tensor(0.0030, device='cuda:5'), tensor(0.0031, device='cuda:5'), tensor(0.0030, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0030, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0030, device='cuda:5'), tensor(0.0030, device='cuda:5')]"
54,"[tensor(0.0033, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0030, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0030, device='cuda:5'), tensor(0.0030, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0030, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0033, device='cuda:5')]"
55,"[tensor(0.0031, device='cuda:5'), tensor(0.0030, device='cuda:5'), tensor(0.0030, device='cuda:5'), tensor(0.0031, device='cuda:5'), tensor(0.0030, device='cuda:5'), tensor(0.0031, device='cuda:5'), tensor(0.0031, device='cuda:5'), tensor(0.0030, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0030, device='cuda:5'), tensor(0.0029, device='cuda:5'), tensor(0.0030, device='cuda:5'), tensor(0.0031, device='cuda:5'), tensor(0.0030, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0030, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0030, device='cuda:5'), tensor(0.0030, device='cuda:5')]"
56,"[tensor(0.0033, device='cuda:5'), tensor(0.0032, device='cuda:5'), tensor(0.0032, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0030, device='cuda:5'), tensor(0.0032, device='cuda:5'), tensor(0.0032, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0032, device='cuda:5'), tensor(0.0030, device='cuda:5'), tensor(0.0030, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0030, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0033, device='cuda:5')]"
57,"[tensor(0.0031, device='cuda:5'), tensor(0.0030, device='cuda:5'), tensor(0.0030, device='cuda:5'), tensor(0.0030, device='cuda:5'), tensor(0.0030, device='cuda:5'), tensor(0.0030, device='cuda:5'), tensor(0.0031, device='cuda:5'), tensor(0.0030, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0030, device='cuda:5'), tensor(0.0029, device='cuda:5'), tensor(0.0030, device='cuda:5'), tensor(0.0030, device='cuda:5'), tensor(0.0030, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0030, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0030, device='cuda:5'), tensor(0.0030, device='cuda:5')]"
58,"[tensor(0.0032, device='cuda:5'), tensor(0.0032, device='cuda:5'), tensor(0.0032, device='cuda:5'), tensor(0.0032, device='cuda:5'), tensor(0.0032, device='cuda:5'), tensor(0.0032, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0032, device='cuda:5'), tensor(0.0030, device='cuda:5'), tensor(0.0032, device='cuda:5'), tensor(0.0032, device='cuda:5'), tensor(0.0032, device='cuda:5'), tensor(0.0032, device='cuda:5'), tensor(0.0031, device='cuda:5'), tensor(0.0030, device='cuda:5'), tensor(0.0030, device='cuda:5'), tensor(0.0032, device='cuda:5'), tensor(0.0030, device='cuda:5'), tensor(0.0032, device='cuda:5'), tensor(0.0032, device='cuda:5')]"
59,"[tensor(0.0030, device='cuda:5'), tensor(0.0030, device='cuda:5'), tensor(0.0029, device='cuda:5'), tensor(0.0030, device='cuda:5'), tensor(0.0030, device='cuda:5'), tensor(0.0030, device='cuda:5'), tensor(0.0030, device='cuda:5'), tensor(0.0029, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0029, device='cuda:5'), tensor(0.0029, device='cuda:5'), tensor(0.0029, device='cuda:5'), tensor(0.0030, device='cuda:5'), tensor(0.0029, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0029, device='cuda:5'), tensor(0.0033, device='cuda:5'), tensor(0.0029, device='cuda:5'), tensor(0.0030, device='cuda:5')]"
