eigenvector_centrality,[19 10  8  3]
32,"[tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6')]"
33,"[tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6')]"
34,"[tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6')]"
35,"[tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6')]"
36,"[tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6')]"
37,"[tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6')]"
38,"[tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6')]"
39,"[tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6')]"
40,"[tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6')]"
41,"[tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6')]"
42,"[tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6')]"
43,"[tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6')]"
44,"[tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6')]"
45,"[tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6')]"
46,"[tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6')]"
47,"[tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6')]"
48,"[tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6')]"
49,"[tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6')]"
50,"[tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6')]"
51,"[tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6')]"
52,"[tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6')]"
53,"[tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6')]"
54,"[tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6')]"
55,"[tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6')]"
56,"[tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6')]"
57,"[tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6')]"
58,"[tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6')]"
59,"[tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6')]"
60,"[tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6')]"
61,"[tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6')]"
62,"[tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6')]"
63,"[tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6')]"
64,"[tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6')]"
65,"[tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6')]"
66,"[tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6')]"
67,"[tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6')]"
68,"[tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6')]"
69,"[tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6')]"
