eigenvector_centrality,[19 10  8  3]
14,"[tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6')]"
15,"[tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6')]"
16,"[tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6')]"
17,"[tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6')]"
18,"[tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6')]"
19,"[tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6')]"
20,"[tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6')]"
21,"[tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6')]"
22,"[tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6')]"
23,"[tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6')]"
24,"[tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6')]"
25,"[tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6')]"
26,"[tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6')]"
27,"[tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6')]"
28,"[tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6')]"
29,"[tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6')]"
30,"[tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6')]"
31,"[tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6'), tensor(0.0046, device='cuda:6')]"
