in_deg_centrality,[]
0,"[0.643, 0.709, 0.717, 0.549, 0.421, 0.293, 0.71, 0.32, 0.713, 0.742]"
1,"[0.655, 0.657, 0.711, 0.551, 0.392, 0.459, 0.719, 0.628, 0.736, 0.724]"
2,"[0.736, 0.74, 0.742, 0.708, 0.18, 0.113, 0.769, 0.652, 0.766, 0.742]"
3,"[0.755, 0.776, 0.634, 0.693, 0.094, 0.102, 0.782, 0.543, 0.75, 0.719]"
4,"[0.772, 0.799, 0.754, 0.637, 0.124, 0.102, 0.822, 0.452, 0.782, 0.773]"
5,"[0.763, 0.817, 0.755, 0.7, 0.094, 0.102, 0.803, 0.369, 0.784, 0.777]"
6,"[0.815, 0.826, 0.762, 0.598, 0.175, 0.102, 0.81, 0.533, 0.819, 0.799]"
7,"[0.827, 0.831, 0.702, 0.652, 0.19, 0.102, 0.812, 0.491, 0.825, 0.813]"
8,"[0.83, 0.846, 0.756, 0.465, 0.182, 0.103, 0.791, 0.33, 0.834, 0.82]"
9,"[0.838, 0.843, 0.642, 0.547, 0.095, 0.102, 0.834, 0.377, 0.836, 0.833]"
10,"[0.848, 0.858, 0.616, 0.683, 0.145, 0.213, 0.831, 0.38, 0.852, 0.846]"
11,"[0.857, 0.855, 0.702, 0.515, 0.207, 0.207, 0.837, 0.286, 0.849, 0.84]"
12,"[0.857, 0.866, 0.778, 0.618, 0.083, 0.183, 0.854, 0.438, 0.863, 0.851]"
13,"[0.864, 0.86, 0.689, 0.666, 0.094, 0.102, 0.818, 0.402, 0.87, 0.831]"
14,"[0.87, 0.868, 0.739, 0.678, 0.12, 0.122, 0.82, 0.489, 0.865, 0.851]"
15,"[0.878, 0.866, 0.72, 0.566, 0.094, 0.102, 0.794, 0.337, 0.876, 0.86]"
16,"[0.871, 0.875, 0.745, 0.741, 0.145, 0.102, 0.854, 0.516, 0.874, 0.861]"
17,"[0.881, 0.871, 0.527, 0.589, 0.094, 0.102, 0.863, 0.324, 0.874, 0.86]"
18,"[0.879, 0.873, 0.738, 0.754, 0.231, 0.14, 0.853, 0.6, 0.877, 0.879]"
19,"[0.89, 0.869, 0.642, 0.659, 0.094, 0.102, 0.855, 0.266, 0.882, 0.861]"
20,"[0.889, 0.873, 0.79, 0.668, 0.122, 0.174, 0.858, 0.623, 0.882, 0.864]"
21,"[0.883, 0.879, 0.623, 0.742, 0.094, 0.102, 0.849, 0.232, 0.879, 0.871]"
22,"[0.889, 0.883, 0.756, 0.701, 0.216, 0.196, 0.869, 0.622, 0.878, 0.88]"
23,"[0.893, 0.883, 0.723, 0.597, 0.094, 0.102, 0.866, 0.363, 0.884, 0.877]"
24,"[0.891, 0.886, 0.76, 0.72, 0.167, 0.186, 0.863, 0.634, 0.88, 0.878]"
25,"[0.899, 0.883, 0.658, 0.465, 0.094, 0.102, 0.869, 0.405, 0.889, 0.881]"
26,"[0.889, 0.888, 0.768, 0.764, 0.225, 0.301, 0.858, 0.607, 0.892, 0.881]"
27,"[0.891, 0.879, 0.673, 0.586, 0.187, 0.102, 0.856, 0.269, 0.888, 0.879]"
28,"[0.892, 0.882, 0.745, 0.739, 0.129, 0.274, 0.864, 0.558, 0.881, 0.873]"
29,"[0.893, 0.879, 0.721, 0.683, 0.094, 0.102, 0.862, 0.308, 0.885, 0.882]"
30,"[0.89, 0.892, 0.798, 0.739, 0.11, 0.103, 0.872, 0.574, 0.881, 0.878]"
31,"[0.893, 0.89, 0.681, 0.779, 0.094, 0.102, 0.87, 0.461, 0.884, 0.88]"
32,"[0.893, 0.889, 0.779, 0.723, 0.205, 0.508, 0.868, 0.672, 0.898, 0.881]"
33,"[0.892, 0.888, 0.731, 0.607, 0.094, 0.102, 0.871, 0.47, 0.889, 0.881]"
34,"[0.888, 0.891, 0.784, 0.733, 0.112, 0.166, 0.875, 0.547, 0.887, 0.888]"
35,"[0.892, 0.891, 0.548, 0.574, 0.094, 0.102, 0.874, 0.305, 0.888, 0.89]"
36,"[0.897, 0.895, 0.79, 0.733, 0.103, 0.232, 0.868, 0.574, 0.896, 0.885]"
37,"[0.897, 0.894, 0.648, 0.75, 0.094, 0.102, 0.87, 0.285, 0.886, 0.886]"
38,"[0.903, 0.896, 0.784, 0.691, 0.111, 0.21, 0.878, 0.605, 0.9, 0.891]"
39,"[0.89, 0.897, 0.681, 0.595, 0.094, 0.102, 0.879, 0.488, 0.895, 0.896]"
40,"[0.902, 0.9, 0.726, 0.694, 0.103, 0.202, 0.868, 0.572, 0.892, 0.895]"
41,"[0.898, 0.9, 0.561, 0.662, 0.094, 0.102, 0.85, 0.356, 0.887, 0.897]"
42,"[0.902, 0.897, 0.74, 0.75, 0.103, 0.237, 0.855, 0.687, 0.898, 0.885]"
43,"[0.9, 0.899, 0.678, 0.701, 0.094, 0.102, 0.857, 0.304, 0.892, 0.895]"
44,"[0.905, 0.896, 0.791, 0.742, 0.105, 0.26, 0.878, 0.37, 0.898, 0.887]"
45,"[0.905, 0.904, 0.58, 0.64, 0.094, 0.102, 0.862, 0.414, 0.905, 0.896]"
46,"[0.906, 0.901, 0.76, 0.753, 0.145, 0.134, 0.871, 0.548, 0.896, 0.902]"
47,"[0.904, 0.898, 0.628, 0.666, 0.103, 0.102, 0.874, 0.324, 0.895, 0.891]"
48,"[0.902, 0.909, 0.781, 0.67, 0.103, 0.263, 0.854, 0.639, 0.895, 0.899]"
49,"[0.9, 0.902, 0.751, 0.616, 0.121, 0.102, 0.885, 0.426, 0.906, 0.894]"
50,"[0.901, 0.909, 0.765, 0.704, 0.103, 0.103, 0.865, 0.619, 0.894, 0.904]"
51,"[0.899, 0.901, 0.641, 0.658, 0.094, 0.102, 0.856, 0.401, 0.899, 0.897]"
52,"[0.906, 0.909, 0.788, 0.754, 0.103, 0.198, 0.887, 0.551, 0.898, 0.902]"
53,"[0.898, 0.902, 0.666, 0.556, 0.094, 0.102, 0.881, 0.239, 0.907, 0.893]"
54,"[0.911, 0.908, 0.785, 0.655, 0.262, 0.139, 0.888, 0.591, 0.904, 0.902]"
55,"[0.901, 0.902, 0.622, 0.599, 0.094, 0.102, 0.891, 0.437, 0.906, 0.899]"
56,"[0.912, 0.908, 0.753, 0.654, 0.198, 0.103, 0.882, 0.505, 0.903, 0.902]"
57,"[0.908, 0.903, 0.735, 0.679, 0.094, 0.102, 0.884, 0.464, 0.908, 0.897]"
58,"[0.905, 0.902, 0.767, 0.643, 0.145, 0.21, 0.866, 0.592, 0.904, 0.904]"
59,"[0.912, 0.903, 0.615, 0.623, 0.153, 0.102, 0.863, 0.224, 0.91, 0.903]"
60,"[0.911, 0.91, 0.699, 0.718, 0.286, 0.226, 0.879, 0.423, 0.903, 0.915]"
61,"[0.912, 0.905, 0.672, 0.635, 0.136, 0.102, 0.877, 0.338, 0.912, 0.905]"
62,"[0.905, 0.909, 0.781, 0.713, 0.106, 0.108, 0.884, 0.42, 0.907, 0.9]"
63,"[0.906, 0.904, 0.676, 0.637, 0.094, 0.102, 0.879, 0.484, 0.908, 0.904]"
64,"[0.915, 0.911, 0.759, 0.669, 0.142, 0.158, 0.857, 0.49, 0.901, 0.911]"
65,"[0.905, 0.905, 0.619, 0.563, 0.104, 0.102, 0.889, 0.404, 0.909, 0.904]"
66,"[0.91, 0.913, 0.758, 0.587, 0.11, 0.103, 0.876, 0.559, 0.907, 0.905]"
67,"[0.911, 0.91, 0.661, 0.669, 0.134, 0.102, 0.887, 0.402, 0.904, 0.904]"
68,"[0.909, 0.916, 0.719, 0.525, 0.147, 0.242, 0.896, 0.28, 0.904, 0.907]"
69,"[0.911, 0.908, 0.634, 0.643, 0.122, 0.16, 0.887, 0.42, 0.912, 0.911]"
70,"[0.912, 0.912, 0.753, 0.726, 0.083, 0.117, 0.865, 0.575, 0.914, 0.904]"
71,"[0.905, 0.906, 0.632, 0.604, 0.128, 0.102, 0.881, 0.365, 0.909, 0.908]"
72,"[0.913, 0.912, 0.714, 0.655, 0.083, 0.153, 0.861, 0.398, 0.901, 0.901]"
73,"[0.91, 0.913, 0.633, 0.663, 0.094, 0.102, 0.885, 0.452, 0.906, 0.92]"
74,"[0.911, 0.91, 0.776, 0.708, 0.083, 0.173, 0.89, 0.395, 0.911, 0.912]"
75,"[0.906, 0.906, 0.657, 0.603, 0.094, 0.102, 0.871, 0.32, 0.907, 0.912]"
