in_deg_centrality,[1.]
57,"[0.262, 0.363, 0.265, 0.277, 0.263, 0.417, 0.292, 0.386, 0.312, 0.275]"
58,"[0.262, 0.256, 0.231, 0.281, 0.513, 0.557, 0.297, 0.378, 0.312, 0.292]"
59,"[0.259, 0.458, 0.23, 0.304, 0.265, 0.417, 0.296, 0.39, 0.312, 0.269]"
60,"[0.262, 0.301, 0.214, 0.305, 0.504, 0.456, 0.298, 0.383, 0.312, 0.291]"
61,"[0.263, 0.351, 0.232, 0.282, 0.257, 0.466, 0.296, 0.394, 0.312, 0.274]"
62,"[0.264, 0.266, 0.227, 0.309, 0.488, 0.429, 0.299, 0.418, 0.312, 0.287]"
63,"[0.263, 0.335, 0.238, 0.295, 0.264, 0.432, 0.296, 0.39, 0.315, 0.297]"
64,"[0.262, 0.352, 0.241, 0.294, 0.524, 0.414, 0.297, 0.354, 0.312, 0.243]"
65,"[0.261, 0.424, 0.228, 0.289, 0.241, 0.488, 0.3, 0.404, 0.314, 0.298]"
66,"[0.259, 0.252, 0.22, 0.338, 0.5, 0.478, 0.298, 0.402, 0.312, 0.278]"
67,"[0.259, 0.41, 0.231, 0.314, 0.253, 0.466, 0.296, 0.372, 0.312, 0.291]"
68,"[0.261, 0.249, 0.236, 0.321, 0.472, 0.506, 0.296, 0.398, 0.312, 0.294]"
69,"[0.261, 0.423, 0.249, 0.296, 0.238, 0.499, 0.296, 0.391, 0.312, 0.299]"
70,"[0.261, 0.271, 0.222, 0.326, 0.479, 0.469, 0.3, 0.352, 0.315, 0.288]"
71,"[0.257, 0.372, 0.245, 0.287, 0.269, 0.469, 0.301, 0.379, 0.312, 0.292]"
72,"[0.261, 0.284, 0.241, 0.348, 0.488, 0.427, 0.295, 0.443, 0.315, 0.291]"
73,"[0.262, 0.331, 0.247, 0.309, 0.255, 0.49, 0.296, 0.388, 0.312, 0.293]"
74,"[0.262, 0.294, 0.231, 0.336, 0.497, 0.453, 0.3, 0.402, 0.312, 0.294]"
75,"[0.263, 0.358, 0.258, 0.282, 0.259, 0.431, 0.294, 0.367, 0.312, 0.292]"
76,"[0.26, 0.327, 0.258, 0.367, 0.502, 0.47, 0.296, 0.371, 0.314, 0.259]"
77,"[0.259, 0.427, 0.252, 0.28, 0.248, 0.461, 0.295, 0.444, 0.312, 0.29]"
78,"[0.261, 0.291, 0.273, 0.301, 0.401, 0.47, 0.296, 0.371, 0.313, 0.29]"
79,"[0.264, 0.403, 0.246, 0.284, 0.269, 0.489, 0.299, 0.417, 0.312, 0.291]"
80,"[0.261, 0.306, 0.244, 0.363, 0.495, 0.47, 0.296, 0.394, 0.312, 0.291]"
81,"[0.261, 0.416, 0.249, 0.285, 0.242, 0.433, 0.299, 0.366, 0.314, 0.28]"
82,"[0.262, 0.289, 0.266, 0.327, 0.512, 0.505, 0.296, 0.394, 0.312, 0.28]"
83,"[0.26, 0.354, 0.245, 0.284, 0.264, 0.494, 0.301, 0.391, 0.312, 0.294]"
84,"[0.263, 0.311, 0.273, 0.327, 0.463, 0.52, 0.297, 0.377, 0.314, 0.255]"
85,"[0.261, 0.448, 0.248, 0.284, 0.261, 0.443, 0.295, 0.392, 0.312, 0.299]"
86,"[0.261, 0.274, 0.24, 0.335, 0.481, 0.45, 0.296, 0.373, 0.314, 0.298]"
87,"[0.261, 0.345, 0.262, 0.311, 0.254, 0.502, 0.296, 0.368, 0.312, 0.297]"
88,"[0.261, 0.295, 0.231, 0.342, 0.495, 0.458, 0.293, 0.393, 0.312, 0.299]"
89,"[0.265, 0.365, 0.246, 0.285, 0.311, 0.42, 0.294, 0.377, 0.312, 0.293]"
90,"[0.262, 0.292, 0.244, 0.348, 0.507, 0.502, 0.295, 0.407, 0.313, 0.294]"
91,"[0.259, 0.37, 0.232, 0.295, 0.269, 0.506, 0.299, 0.384, 0.313, 0.296]"
92,"[0.262, 0.326, 0.252, 0.375, 0.463, 0.475, 0.296, 0.39, 0.313, 0.29]"
93,"[0.262, 0.339, 0.246, 0.286, 0.263, 0.495, 0.298, 0.409, 0.312, 0.298]"
94,"[0.263, 0.28, 0.248, 0.32, 0.452, 0.516, 0.296, 0.414, 0.313, 0.298]"
95,"[0.263, 0.349, 0.26, 0.324, 0.287, 0.51, 0.294, 0.402, 0.312, 0.294]"
96,"[0.264, 0.315, 0.242, 0.351, 0.492, 0.483, 0.296, 0.35, 0.313, 0.224]"
97,"[0.266, 0.306, 0.265, 0.283, 0.253, 0.463, 0.296, 0.357, 0.312, 0.3]"
98,"[0.264, 0.3, 0.219, 0.344, 0.496, 0.465, 0.295, 0.402, 0.314, 0.293]"
99,"[0.261, 0.357, 0.248, 0.337, 0.262, 0.464, 0.295, 0.367, 0.322, 0.298]"
out_deg_centrality,[8.]
