in_deg_centrality,[1.]
0,"[tensor(2.3031), tensor(2.3035), tensor(2.3018), tensor(2.3018), tensor(2.3023), tensor(2.3031), tensor(2.3030), tensor(2.3021), tensor(2.3024), tensor(2.3036)]"
1,"[tensor(2.3017), tensor(2.3016), tensor(2.3021), tensor(2.3012), tensor(2.3019), tensor(2.3029), tensor(2.3003), tensor(2.3015), tensor(2.3041), tensor(2.3027)]"
2,"[tensor(2.3024), tensor(2.3025), tensor(2.3022), tensor(2.3009), tensor(2.3023), tensor(2.3021), tensor(2.3024), tensor(2.3005), tensor(2.3030), tensor(2.3030)]"
3,"[tensor(2.3012), tensor(2.3009), tensor(2.3023), tensor(2.3003), tensor(2.3020), tensor(2.3021), tensor(2.3024), tensor(2.3010), tensor(2.3030), tensor(2.3034)]"
4,"[tensor(2.3010), tensor(2.2983), tensor(2.3024), tensor(2.2990), tensor(2.3016), tensor(2.3014), tensor(2.2999), tensor(2.2984), tensor(2.3016), tensor(2.3032)]"
5,"[tensor(2.2998), tensor(2.2985), tensor(2.3004), tensor(2.2991), tensor(2.3009), tensor(2.3000), tensor(2.2992), tensor(2.2997), tensor(2.3021), tensor(2.3025)]"
6,"[tensor(2.2993), tensor(2.2963), tensor(2.3002), tensor(2.2953), tensor(2.3009), tensor(2.3003), tensor(2.2948), tensor(2.2947), tensor(2.3006), tensor(2.3022)]"
7,"[tensor(2.2995), tensor(2.2984), tensor(2.2962), tensor(2.2982), tensor(2.2991), tensor(2.2982), tensor(2.2993), tensor(2.2975), tensor(2.2990), tensor(2.2995)]"
8,"[tensor(2.2982), tensor(2.2920), tensor(2.2991), tensor(2.2941), tensor(2.2991), tensor(2.2986), tensor(2.2938), tensor(2.2926), tensor(2.2992), tensor(2.3005)]"
9,"[tensor(2.2993), tensor(2.2963), tensor(2.2940), tensor(2.2976), tensor(2.2969), tensor(2.2959), tensor(2.2975), tensor(2.2966), tensor(2.2975), tensor(2.2976)]"
10,"[tensor(2.2965), tensor(2.2883), tensor(2.2979), tensor(2.2921), tensor(2.2983), tensor(2.2983), tensor(2.2898), tensor(2.2903), tensor(2.2986), tensor(2.2993)]"
11,"[tensor(2.2978), tensor(2.2953), tensor(2.2918), tensor(2.2958), tensor(2.2963), tensor(2.2943), tensor(2.2963), tensor(2.2944), tensor(2.2952), tensor(2.2955)]"
12,"[tensor(2.2957), tensor(2.2857), tensor(2.2971), tensor(2.2901), tensor(2.2970), tensor(2.2958), tensor(2.2886), tensor(2.2879), tensor(2.2974), tensor(2.2984)]"
13,"[tensor(2.2959), tensor(2.2951), tensor(2.2899), tensor(2.2947), tensor(2.2944), tensor(2.2921), tensor(2.2957), tensor(2.2930), tensor(2.2930), tensor(2.2946)]"
14,"[tensor(2.2942), tensor(2.2825), tensor(2.2959), tensor(2.2876), tensor(2.2950), tensor(2.2940), tensor(2.2859), tensor(2.2863), tensor(2.2963), tensor(2.2968)]"
15,"[tensor(2.2928), tensor(2.2937), tensor(2.2871), tensor(2.2938), tensor(2.2923), tensor(2.2905), tensor(2.2940), tensor(2.2913), tensor(2.2903), tensor(2.2924)]"
16,"[tensor(2.2926), tensor(2.2785), tensor(2.2944), tensor(2.2842), tensor(2.2936), tensor(2.2920), tensor(2.2832), tensor(2.2835), tensor(2.2952), tensor(2.2955)]"
17,"[tensor(2.2895), tensor(2.2937), tensor(2.2829), tensor(2.2922), tensor(2.2905), tensor(2.2866), tensor(2.2928), tensor(2.2879), tensor(2.2873), tensor(2.2902)]"
18,"[tensor(2.2927), tensor(2.2759), tensor(2.2934), tensor(2.2802), tensor(2.2914), tensor(2.2867), tensor(2.2803), tensor(2.2800), tensor(2.2936), tensor(2.2935)]"
19,"[tensor(2.2879), tensor(2.2926), tensor(2.2806), tensor(2.2911), tensor(2.2880), tensor(2.2830), tensor(2.2901), tensor(2.2860), tensor(2.2836), tensor(2.2876)]"
20,"[tensor(2.2914), tensor(2.2726), tensor(2.2922), tensor(2.2767), tensor(2.2884), tensor(2.2836), tensor(2.2755), tensor(2.2769), tensor(2.2918), tensor(2.2910)]"
21,"[tensor(2.2847), tensor(2.2908), tensor(2.2778), tensor(2.2901), tensor(2.2853), tensor(2.2808), tensor(2.2866), tensor(2.2820), tensor(2.2804), tensor(2.2842)]"
22,"[tensor(2.2894), tensor(2.2689), tensor(2.2905), tensor(2.2730), tensor(2.2858), tensor(2.2795), tensor(2.2711), tensor(2.2723), tensor(2.2900), tensor(2.2881)]"
23,"[tensor(2.2812), tensor(2.2885), tensor(2.2747), tensor(2.2882), tensor(2.2827), tensor(2.2775), tensor(2.2843), tensor(2.2776), tensor(2.2757), tensor(2.2811)]"
24,"[tensor(2.2872), tensor(2.2645), tensor(2.2882), tensor(2.2694), tensor(2.2819), tensor(2.2738), tensor(2.2675), tensor(2.2676), tensor(2.2863), tensor(2.2855)]"
25,"[tensor(2.2767), tensor(2.2859), tensor(2.2700), tensor(2.2854), tensor(2.2782), tensor(2.2730), tensor(2.2800), tensor(2.2728), tensor(2.2707), tensor(2.2774)]"
26,"[tensor(2.2843), tensor(2.2643), tensor(2.2836), tensor(2.2639), tensor(2.2775), tensor(2.2681), tensor(2.2604), tensor(2.2622), tensor(2.2835), tensor(2.2816)]"
27,"[tensor(2.2773), tensor(2.2818), tensor(2.2670), tensor(2.2819), tensor(2.2730), tensor(2.2653), tensor(2.2752), tensor(2.2678), tensor(2.2654), tensor(2.2707)]"
28,"[tensor(2.2819), tensor(2.2614), tensor(2.2819), tensor(2.2610), tensor(2.2736), tensor(2.2717), tensor(2.2524), tensor(2.2699), tensor(2.2762), tensor(2.2749)]"
29,"[tensor(2.2741), tensor(2.2760), tensor(2.2647), tensor(2.2781), tensor(2.2722), tensor(2.2685), tensor(2.2673), tensor(2.2593), tensor(2.2624), tensor(2.2662)]"
30,"[tensor(2.2779), tensor(2.2593), tensor(2.2754), tensor(2.2626), tensor(2.2673), tensor(2.2685), tensor(2.2501), tensor(2.2693), tensor(2.2713), tensor(2.2722)]"
31,"[tensor(2.2729), tensor(2.2691), tensor(2.2587), tensor(2.2743), tensor(2.2749), tensor(2.2694), tensor(2.2653), tensor(2.2568), tensor(2.2601), tensor(2.2692)]"
32,"[tensor(2.2731), tensor(2.2569), tensor(2.2679), tensor(2.2606), tensor(2.2714), tensor(2.2673), tensor(2.2474), tensor(2.2659), tensor(2.2688), tensor(2.2689)]"
33,"[tensor(2.2703), tensor(2.2651), tensor(2.2586), tensor(2.2706), tensor(2.2758), tensor(2.2659), tensor(2.2641), tensor(2.2537), tensor(2.2571), tensor(2.2719)]"
34,"[tensor(2.2691), tensor(2.2542), tensor(2.2642), tensor(2.2530), tensor(2.2720), tensor(2.2623), tensor(2.2447), tensor(2.2646), tensor(2.2656), tensor(2.2645)]"
35,"[tensor(2.2653), tensor(2.2631), tensor(2.2572), tensor(2.2680), tensor(2.2673), tensor(2.2624), tensor(2.2641), tensor(2.2503), tensor(2.2572), tensor(2.2710)]"
36,"[tensor(2.2651), tensor(2.2494), tensor(2.2626), tensor(2.2477), tensor(2.2696), tensor(2.2601), tensor(2.2427), tensor(2.2637), tensor(2.2608), tensor(2.2582)]"
37,"[tensor(2.2572), tensor(2.2602), tensor(2.2520), tensor(2.2657), tensor(2.2578), tensor(2.2593), tensor(2.2596), tensor(2.2456), tensor(2.2600), tensor(2.2699)]"
38,"[tensor(2.2613), tensor(2.2459), tensor(2.2599), tensor(2.2432), tensor(2.2684), tensor(2.2549), tensor(2.2434), tensor(2.2596), tensor(2.2546), tensor(2.2520)]"
39,"[tensor(2.2487), tensor(2.2509), tensor(2.2510), tensor(2.2619), tensor(2.2533), tensor(2.2513), tensor(2.2567), tensor(2.2409), tensor(2.2574), tensor(2.2680)]"
40,"[tensor(2.2549), tensor(2.2428), tensor(2.2524), tensor(2.2404), tensor(2.2659), tensor(2.2534), tensor(2.2443), tensor(2.2529), tensor(2.2482), tensor(2.2492)]"
41,"[tensor(2.2413), tensor(2.2496), tensor(2.2479), tensor(2.2593), tensor(2.2496), tensor(2.2338), tensor(2.2585), tensor(2.2348), tensor(2.2520), tensor(2.2653)]"
42,"[tensor(2.2530), tensor(2.2357), tensor(2.2469), tensor(2.2351), tensor(2.2621), tensor(2.2512), tensor(2.2360), tensor(2.2526), tensor(2.2410), tensor(2.2445)]"
43,"[tensor(2.2360), tensor(2.2448), tensor(2.2480), tensor(2.2545), tensor(2.2425), tensor(2.2279), tensor(2.2523), tensor(2.2298), tensor(2.2469), tensor(2.2595)]"
44,"[tensor(2.2476), tensor(2.2296), tensor(2.2401), tensor(2.2302), tensor(2.2579), tensor(2.2443), tensor(2.2235), tensor(2.2470), tensor(2.2336), tensor(2.2374)]"
45,"[tensor(2.2293), tensor(2.2392), tensor(2.2397), tensor(2.2480), tensor(2.2353), tensor(2.2262), tensor(2.2444), tensor(2.2219), tensor(2.2429), tensor(2.2525)]"
46,"[tensor(2.2406), tensor(2.2201), tensor(2.2362), tensor(2.2251), tensor(2.2528), tensor(2.2332), tensor(2.2158), tensor(2.2436), tensor(2.2256), tensor(2.2305)]"
47,"[tensor(2.2229), tensor(2.2331), tensor(2.2329), tensor(2.2413), tensor(2.2310), tensor(2.2200), tensor(2.2351), tensor(2.2133), tensor(2.2363), tensor(2.2481)]"
48,"[tensor(2.2341), tensor(2.2096), tensor(2.2327), tensor(2.2156), tensor(2.2464), tensor(2.2212), tensor(2.2091), tensor(2.2397), tensor(2.2143), tensor(2.2220)]"
49,"[tensor(2.2135), tensor(2.2288), tensor(2.2237), tensor(2.2336), tensor(2.2240), tensor(2.2153), tensor(2.2252), tensor(2.2035), tensor(2.2323), tensor(2.2439)]"
50,"[tensor(2.2282), tensor(2.1984), tensor(2.2263), tensor(2.2065), tensor(2.2396), tensor(2.2104), tensor(2.2013), tensor(2.2337), tensor(2.2064), tensor(2.2128)]"
51,"[tensor(2.2041), tensor(2.2223), tensor(2.2116), tensor(2.2263), tensor(2.2159), tensor(2.2104), tensor(2.2186), tensor(2.1939), tensor(2.2275), tensor(2.2378)]"
52,"[tensor(2.2200), tensor(2.1899), tensor(2.2204), tensor(2.1974), tensor(2.2310), tensor(2.2007), tensor(2.1955), tensor(2.2267), tensor(2.1980), tensor(2.2044)]"
53,"[tensor(2.1965), tensor(2.2148), tensor(2.2011), tensor(2.2188), tensor(2.2086), tensor(2.2048), tensor(2.2088), tensor(2.1850), tensor(2.2220), tensor(2.2306)]"
54,"[tensor(2.2118), tensor(2.1790), tensor(2.2111), tensor(2.1902), tensor(2.2221), tensor(2.1901), tensor(2.1929), tensor(2.2195), tensor(2.1905), tensor(2.1955)]"
55,"[tensor(2.1865), tensor(2.2089), tensor(2.1890), tensor(2.2122), tensor(2.2007), tensor(2.1967), tensor(2.1828), tensor(2.1765), tensor(2.2147), tensor(2.2249)]"
56,"[tensor(2.2045), tensor(2.1690), tensor(2.2082), tensor(2.1811), tensor(2.2131), tensor(2.1788), tensor(2.1884), tensor(2.2091), tensor(2.1796), tensor(2.1862)]"
57,"[tensor(2.1757), tensor(2.2029), tensor(2.1791), tensor(2.2061), tensor(2.1915), tensor(2.1864), tensor(2.1623), tensor(2.1674), tensor(2.2029), tensor(2.2197)]"
58,"[tensor(2.1963), tensor(2.1574), tensor(2.2041), tensor(2.1705), tensor(2.2029), tensor(2.1674), tensor(2.1879), tensor(2.1982), tensor(2.1685), tensor(2.1773)]"
59,"[tensor(2.1628), tensor(2.1946), tensor(2.1696), tensor(2.1999), tensor(2.1810), tensor(2.1698), tensor(2.1510), tensor(2.1586), tensor(2.1952), tensor(2.2147)]"
60,"[tensor(2.1878), tensor(2.1479), tensor(2.1917), tensor(2.1604), tensor(2.1958), tensor(2.1564), tensor(2.1787), tensor(2.1883), tensor(2.1611), tensor(2.1689)]"
61,"[tensor(2.1525), tensor(2.1856), tensor(2.1602), tensor(2.1905), tensor(2.1730), tensor(2.1574), tensor(2.1409), tensor(2.1500), tensor(2.1829), tensor(2.2065)]"
62,"[tensor(2.1786), tensor(2.1387), tensor(2.1853), tensor(2.1484), tensor(2.1863), tensor(2.1394), tensor(2.1675), tensor(2.1792), tensor(2.1484), tensor(2.1601)]"
63,"[tensor(2.1427), tensor(2.1740), tensor(2.1527), tensor(2.1797), tensor(2.1618), tensor(2.1513), tensor(2.1273), tensor(2.1412), tensor(2.1706), tensor(2.1975)]"
64,"[tensor(2.1669), tensor(2.1270), tensor(2.1750), tensor(2.1361), tensor(2.1759), tensor(2.1315), tensor(2.1563), tensor(2.1702), tensor(2.1357), tensor(2.1486)]"
65,"[tensor(2.1307), tensor(2.1630), tensor(2.1421), tensor(2.1691), tensor(2.1485), tensor(2.1398), tensor(2.1123), tensor(2.1282), tensor(2.1591), tensor(2.1868)]"
66,"[tensor(2.1527), tensor(2.1157), tensor(2.1632), tensor(2.1229), tensor(2.1644), tensor(2.1158), tensor(2.1443), tensor(2.1592), tensor(2.1223), tensor(2.1342)]"
