eigenvector_centrality,[7. 9.]
49,"[0.439, 0.408, 0.402, 0.528, 0.453, 0.416, 0.455, 0.32, 0.506, 0.313]"
50,"[0.373, 0.36, 0.4, 0.391, 0.349, 0.457, 0.472, 0.449, 0.472, 0.436]"
51,"[0.441, 0.383, 0.409, 0.431, 0.432, 0.422, 0.433, 0.356, 0.517, 0.334]"
52,"[0.361, 0.332, 0.396, 0.341, 0.346, 0.431, 0.415, 0.431, 0.47, 0.444]"
53,"[0.43, 0.381, 0.422, 0.408, 0.424, 0.443, 0.422, 0.348, 0.488, 0.319]"
54,"[0.363, 0.337, 0.403, 0.336, 0.374, 0.44, 0.399, 0.402, 0.447, 0.436]"
55,"[0.432, 0.387, 0.462, 0.414, 0.423, 0.523, 0.435, 0.316, 0.437, 0.315]"
56,"[0.468, 0.385, 0.479, 0.364, 0.49, 0.535, 0.53, 0.397, 0.468, 0.432]"
57,"[0.509, 0.472, 0.497, 0.484, 0.469, 0.497, 0.519, 0.356, 0.473, 0.345]"
58,"[0.519, 0.53, 0.458, 0.484, 0.493, 0.453, 0.496, 0.445, 0.495, 0.466]"
59,"[0.414, 0.392, 0.577, 0.407, 0.424, 0.548, 0.46, 0.385, 0.523, 0.316]"
60,"[0.489, 0.437, 0.479, 0.422, 0.525, 0.418, 0.524, 0.394, 0.539, 0.381]"
61,"[0.414, 0.404, 0.592, 0.398, 0.401, 0.523, 0.477, 0.304, 0.523, 0.307]"
62,"[0.407, 0.391, 0.52, 0.393, 0.466, 0.455, 0.45, 0.401, 0.491, 0.358]"
63,"[0.463, 0.434, 0.582, 0.419, 0.468, 0.538, 0.47, 0.254, 0.525, 0.318]"
64,"[0.387, 0.357, 0.422, 0.332, 0.43, 0.466, 0.456, 0.425, 0.441, 0.39]"
65,"[0.487, 0.439, 0.503, 0.42, 0.42, 0.487, 0.502, 0.223, 0.526, 0.291]"
66,"[0.35, 0.356, 0.4, 0.35, 0.43, 0.469, 0.412, 0.414, 0.375, 0.44]"
67,"[0.494, 0.422, 0.511, 0.406, 0.42, 0.508, 0.5, 0.233, 0.524, 0.305]"
68,"[0.366, 0.358, 0.518, 0.346, 0.443, 0.489, 0.44, 0.393, 0.408, 0.429]"
69,"[0.464, 0.442, 0.502, 0.424, 0.461, 0.578, 0.462, 0.232, 0.486, 0.302]"
70,"[0.419, 0.422, 0.546, 0.36, 0.505, 0.493, 0.516, 0.352, 0.49, 0.354]"
71,"[0.394, 0.397, 0.441, 0.367, 0.466, 0.517, 0.43, 0.254, 0.461, 0.307]"
72,"[0.434, 0.446, 0.571, 0.389, 0.514, 0.513, 0.583, 0.321, 0.495, 0.352]"
73,"[0.38, 0.38, 0.44, 0.332, 0.411, 0.488, 0.423, 0.284, 0.453, 0.336]"
74,"[0.48, 0.5, 0.513, 0.434, 0.488, 0.524, 0.548, 0.316, 0.547, 0.36]"
75,"[0.371, 0.375, 0.453, 0.323, 0.432, 0.478, 0.417, 0.312, 0.441, 0.416]"
76,"[0.495, 0.511, 0.498, 0.488, 0.51, 0.51, 0.542, 0.314, 0.538, 0.345]"
77,"[0.371, 0.366, 0.419, 0.314, 0.392, 0.455, 0.411, 0.379, 0.434, 0.501]"
78,"[0.496, 0.513, 0.507, 0.498, 0.519, 0.524, 0.513, 0.324, 0.532, 0.315]"
79,"[0.359, 0.36, 0.382, 0.315, 0.369, 0.419, 0.384, 0.45, 0.389, 0.513]"
80,"[0.492, 0.504, 0.55, 0.496, 0.548, 0.536, 0.51, 0.332, 0.52, 0.322]"
81,"[0.361, 0.355, 0.369, 0.317, 0.349, 0.404, 0.379, 0.466, 0.393, 0.499]"
82,"[0.509, 0.508, 0.533, 0.503, 0.545, 0.526, 0.546, 0.329, 0.561, 0.329]"
83,"[0.371, 0.356, 0.4, 0.318, 0.368, 0.399, 0.409, 0.486, 0.405, 0.502]"
84,"[0.531, 0.516, 0.474, 0.491, 0.517, 0.491, 0.513, 0.322, 0.504, 0.302]"
85,"[0.365, 0.373, 0.401, 0.327, 0.382, 0.378, 0.432, 0.461, 0.417, 0.516]"
86,"[0.494, 0.474, 0.475, 0.429, 0.477, 0.494, 0.476, 0.314, 0.482, 0.318]"
87,"[0.37, 0.394, 0.449, 0.338, 0.378, 0.435, 0.436, 0.4, 0.452, 0.42]"
88,"[0.464, 0.46, 0.527, 0.426, 0.457, 0.515, 0.504, 0.341, 0.499, 0.335]"
89,"[0.396, 0.377, 0.391, 0.383, 0.395, 0.399, 0.463, 0.409, 0.496, 0.448]"
90,"[0.506, 0.503, 0.492, 0.455, 0.537, 0.514, 0.489, 0.315, 0.5, 0.347]"
91,"[0.354, 0.299, 0.317, 0.319, 0.341, 0.344, 0.401, 0.423, 0.404, 0.458]"
92,"[0.549, 0.55, 0.479, 0.533, 0.574, 0.523, 0.465, 0.263, 0.522, 0.322]"
93,"[0.379, 0.335, 0.341, 0.329, 0.38, 0.367, 0.379, 0.48, 0.388, 0.48]"
94,"[0.46, 0.469, 0.47, 0.488, 0.49, 0.508, 0.432, 0.261, 0.463, 0.331]"
95,"[0.389, 0.356, 0.364, 0.328, 0.402, 0.383, 0.393, 0.477, 0.399, 0.442]"
96,"[0.435, 0.435, 0.45, 0.444, 0.43, 0.502, 0.419, 0.276, 0.453, 0.338]"
97,"[0.385, 0.327, 0.391, 0.32, 0.398, 0.414, 0.398, 0.417, 0.416, 0.396]"
98,"[0.436, 0.429, 0.469, 0.419, 0.421, 0.444, 0.45, 0.279, 0.47, 0.348]"
99,"[0.41, 0.358, 0.332, 0.306, 0.399, 0.358, 0.412, 0.406, 0.437, 0.395]"
