eigenvector_centrality,[7.]
44,"[0.172, 0.218, 0.101, 0.121, 0.104, 0.126, 0.216, 0.24, 0.172, 0.102]"
45,"[0.101, 0.099, 0.203, 0.265, 0.239, 0.222, 0.09, 0.183, 0.169, 0.289]"
46,"[0.185, 0.193, 0.118, 0.137, 0.117, 0.127, 0.25, 0.228, 0.19, 0.094]"
47,"[0.17, 0.162, 0.182, 0.225, 0.293, 0.164, 0.147, 0.119, 0.211, 0.136]"
48,"[0.156, 0.163, 0.155, 0.172, 0.141, 0.192, 0.106, 0.227, 0.145, 0.134]"
49,"[0.109, 0.13, 0.093, 0.079, 0.121, 0.108, 0.133, 0.147, 0.16, 0.098]"
50,"[0.112, 0.188, 0.131, 0.177, 0.159, 0.191, 0.091, 0.123, 0.162, 0.128]"
51,"[0.166, 0.178, 0.112, 0.17, 0.099, 0.123, 0.177, 0.11, 0.199, 0.143]"
52,"[0.179, 0.1, 0.096, 0.122, 0.1, 0.107, 0.198, 0.191, 0.1, 0.092]"
53,"[0.115, 0.121, 0.121, 0.197, 0.162, 0.154, 0.097, 0.099, 0.115, 0.129]"
54,"[0.229, 0.178, 0.099, 0.121, 0.101, 0.137, 0.219, 0.143, 0.169, 0.096]"
55,"[0.104, 0.102, 0.165, 0.282, 0.24, 0.255, 0.094, 0.119, 0.1, 0.259]"
56,"[0.164, 0.185, 0.096, 0.121, 0.1, 0.107, 0.17, 0.151, 0.21, 0.092]"
57,"[0.101, 0.1, 0.252, 0.281, 0.256, 0.312, 0.091, 0.147, 0.099, 0.241]"
58,"[0.172, 0.177, 0.096, 0.121, 0.1, 0.106, 0.175, 0.103, 0.224, 0.092]"
59,"[0.14, 0.105, 0.216, 0.226, 0.209, 0.206, 0.096, 0.149, 0.115, 0.19]"
60,"[0.161, 0.17, 0.111, 0.12, 0.1, 0.118, 0.171, 0.147, 0.187, 0.092]"
61,"[0.163, 0.169, 0.187, 0.189, 0.192, 0.206, 0.141, 0.198, 0.169, 0.193]"
62,"[0.152, 0.163, 0.187, 0.132, 0.12, 0.152, 0.17, 0.184, 0.183, 0.129]"
63,"[0.152, 0.182, 0.19, 0.194, 0.19, 0.203, 0.149, 0.113, 0.173, 0.177]"
64,"[0.16, 0.167, 0.132, 0.134, 0.129, 0.145, 0.177, 0.16, 0.196, 0.14]"
65,"[0.143, 0.16, 0.224, 0.216, 0.224, 0.2, 0.13, 0.114, 0.161, 0.169]"
66,"[0.177, 0.18, 0.108, 0.13, 0.108, 0.12, 0.179, 0.156, 0.202, 0.126]"
67,"[0.128, 0.124, 0.287, 0.308, 0.301, 0.194, 0.109, 0.149, 0.137, 0.155]"
68,"[0.183, 0.183, 0.097, 0.124, 0.101, 0.11, 0.145, 0.132, 0.191, 0.103]"
69,"[0.119, 0.108, 0.325, 0.335, 0.331, 0.167, 0.094, 0.221, 0.136, 0.115]"
70,"[0.123, 0.126, 0.097, 0.122, 0.1, 0.107, 0.096, 0.134, 0.135, 0.095]"
71,"[0.116, 0.106, 0.361, 0.4, 0.397, 0.213, 0.095, 0.198, 0.129, 0.202]"
72,"[0.137, 0.157, 0.097, 0.122, 0.1, 0.107, 0.154, 0.16, 0.2, 0.095]"
73,"[0.122, 0.117, 0.321, 0.359, 0.314, 0.316, 0.096, 0.201, 0.137, 0.249]"
74,"[0.203, 0.19, 0.107, 0.122, 0.1, 0.11, 0.18, 0.172, 0.235, 0.098]"
75,"[0.133, 0.128, 0.29, 0.33, 0.286, 0.264, 0.109, 0.281, 0.137, 0.224]"
76,"[0.176, 0.179, 0.112, 0.123, 0.101, 0.114, 0.218, 0.195, 0.226, 0.101]"
77,"[0.147, 0.156, 0.232, 0.248, 0.215, 0.224, 0.119, 0.289, 0.137, 0.22]"
78,"[0.227, 0.21, 0.12, 0.124, 0.102, 0.118, 0.21, 0.194, 0.2, 0.112]"
79,"[0.159, 0.188, 0.247, 0.247, 0.212, 0.246, 0.138, 0.288, 0.157, 0.224]"
80,"[0.222, 0.204, 0.151, 0.131, 0.11, 0.133, 0.204, 0.193, 0.211, 0.128]"
81,"[0.159, 0.197, 0.229, 0.24, 0.234, 0.221, 0.157, 0.242, 0.17, 0.177]"
82,"[0.172, 0.166, 0.176, 0.151, 0.13, 0.157, 0.129, 0.155, 0.192, 0.154]"
83,"[0.157, 0.195, 0.184, 0.218, 0.223, 0.161, 0.158, 0.193, 0.17, 0.132]"
84,"[0.119, 0.118, 0.163, 0.159, 0.137, 0.151, 0.098, 0.167, 0.173, 0.152]"
85,"[0.153, 0.183, 0.217, 0.252, 0.254, 0.218, 0.142, 0.095, 0.161, 0.241]"
86,"[0.182, 0.176, 0.157, 0.16, 0.139, 0.146, 0.177, 0.16, 0.205, 0.15]"
87,"[0.15, 0.172, 0.21, 0.238, 0.248, 0.241, 0.14, 0.096, 0.161, 0.251]"
88,"[0.187, 0.184, 0.177, 0.172, 0.154, 0.152, 0.197, 0.165, 0.21, 0.15]"
89,"[0.155, 0.178, 0.227, 0.233, 0.237, 0.226, 0.147, 0.169, 0.175, 0.218]"
90,"[0.208, 0.188, 0.246, 0.298, 0.357, 0.171, 0.196, 0.163, 0.209, 0.17]"
91,"[0.164, 0.199, 0.214, 0.213, 0.34, 0.205, 0.173, 0.197, 0.19, 0.203]"
92,"[0.184, 0.167, 0.357, 0.175, 0.223, 0.192, 0.183, 0.179, 0.195, 0.18]"
93,"[0.169, 0.2, 0.237, 0.203, 0.179, 0.226, 0.184, 0.118, 0.216, 0.247]"
94,"[0.197, 0.166, 0.206, 0.226, 0.193, 0.174, 0.209, 0.192, 0.233, 0.182]"
95,"[0.169, 0.2, 0.194, 0.199, 0.179, 0.209, 0.182, 0.134, 0.271, 0.196]"
96,"[0.173, 0.165, 0.201, 0.195, 0.199, 0.171, 0.17, 0.191, 0.201, 0.181]"
97,"[0.167, 0.199, 0.179, 0.199, 0.179, 0.196, 0.188, 0.136, 0.355, 0.176]"
98,"[0.111, 0.113, 0.203, 0.096, 0.136, 0.173, 0.129, 0.19, 0.192, 0.177]"
99,"[0.165, 0.201, 0.155, 0.2, 0.184, 0.174, 0.193, 0.094, 0.421, 0.133]"
