in_deg_centrality,[4. 0.]
0,"[tensor(2.3021), tensor(2.3008), tensor(2.3010), tensor(2.3001), tensor(2.3022), tensor(2.3007), tensor(2.3016), tensor(2.3018), tensor(2.3008), tensor(2.3014)]"
1,"[tensor(2.3017), tensor(2.3016), tensor(2.3014), tensor(2.3022), tensor(2.3018), tensor(2.3008), tensor(2.3010), tensor(2.3008), tensor(2.3020), tensor(2.3024)]"
2,"[tensor(2.2994), tensor(2.3002), tensor(2.3010), tensor(2.3015), tensor(2.3003), tensor(2.3007), tensor(2.3005), tensor(2.2997), tensor(2.3012), tensor(2.3019)]"
3,"[tensor(2.2954), tensor(2.2960), tensor(2.2970), tensor(2.3001), tensor(2.2975), tensor(2.2992), tensor(2.2962), tensor(2.2982), tensor(2.2958), tensor(2.2982)]"
4,"[tensor(2.2893), tensor(2.2872), tensor(2.2892), tensor(2.2929), tensor(2.2918), tensor(2.2928), tensor(2.2916), tensor(2.2936), tensor(2.2883), tensor(2.2891)]"
5,"[tensor(2.2771), tensor(2.2753), tensor(2.2786), tensor(2.2809), tensor(2.2793), tensor(2.2769), tensor(2.2784), tensor(2.2824), tensor(2.2741), tensor(2.2736)]"
6,"[tensor(2.2545), tensor(2.2537), tensor(2.2582), tensor(2.2592), tensor(2.2551), tensor(2.2534), tensor(2.2573), tensor(2.2566), tensor(2.2571), tensor(2.2526)]"
7,"[tensor(2.2216), tensor(2.2229), tensor(2.2244), tensor(2.2303), tensor(2.2210), tensor(2.2216), tensor(2.2216), tensor(2.2241), tensor(2.2206), tensor(2.2201)]"
8,"[tensor(2.1725), tensor(2.1745), tensor(2.1769), tensor(2.1867), tensor(2.1722), tensor(2.1789), tensor(2.1788), tensor(2.1774), tensor(2.1831), tensor(2.1752)]"
9,"[tensor(2.1168), tensor(2.1192), tensor(2.1242), tensor(2.1512), tensor(2.1188), tensor(2.1413), tensor(2.1211), tensor(2.1367), tensor(2.1130), tensor(2.1162)]"
10,"[tensor(2.0493), tensor(2.0625), tensor(2.0783), tensor(2.1032), tensor(2.0722), tensor(2.0900), tensor(2.0966), tensor(2.0823), tensor(2.0801), tensor(2.0647)]"
11,"[tensor(2.0048), tensor(2.0208), tensor(2.0987), tensor(2.0934), tensor(2.0338), tensor(2.0713), tensor(2.0318), tensor(2.0614), tensor(2.0258), tensor(2.0368)]"
12,"[tensor(1.9833), tensor(1.9821), tensor(2.0280), tensor(2.0487), tensor(2.0227), tensor(2.0267), tensor(2.0569), tensor(2.0194), tensor(2.0686), tensor(2.0417)]"
13,"[tensor(1.9701), tensor(2.0131), tensor(2.0648), tensor(2.0724), tensor(2.0212), tensor(2.0511), tensor(1.9864), tensor(2.0251), tensor(1.9840), tensor(1.9940)]"
14,"[tensor(2.0093), tensor(1.9710), tensor(1.9902), tensor(2.0081), tensor(1.9906), tensor(1.9918), tensor(2.0410), tensor(1.9950), tensor(2.0479), tensor(2.0388)]"
15,"[tensor(1.9598), tensor(2.0309), tensor(2.0470), tensor(2.0597), tensor(2.0003), tensor(2.0246), tensor(1.9612), tensor(1.9977), tensor(1.9651), tensor(1.9631)]"
