in_deg_centrality,[4.]
0,"[0.08, 0.099, 0.109, 0.093, 0.091, 0.095, 0.114, 0.092, 0.098, 0.12]"
1,"[0.097, 0.104, 0.083, 0.122, 0.1, 0.105, 0.107, 0.118, 0.106, 0.091]"
2,"[0.096, 0.101, 0.109, 0.122, 0.1, 0.105, 0.089, 0.098, 0.106, 0.103]"
3,"[0.102, 0.126, 0.096, 0.09, 0.1, 0.112, 0.089, 0.098, 0.103, 0.106]"
4,"[0.102, 0.099, 0.107, 0.173, 0.1, 0.105, 0.089, 0.153, 0.098, 0.138]"
5,"[0.102, 0.099, 0.106, 0.166, 0.117, 0.136, 0.089, 0.224, 0.098, 0.091]"
6,"[0.12, 0.099, 0.196, 0.172, 0.1, 0.105, 0.092, 0.137, 0.152, 0.103]"
7,"[0.102, 0.085, 0.106, 0.136, 0.094, 0.102, 0.117, 0.113, 0.098, 0.091]"
8,"[0.088, 0.099, 0.096, 0.201, 0.1, 0.105, 0.092, 0.129, 0.1, 0.103]"
9,"[0.137, 0.085, 0.106, 0.117, 0.151, 0.102, 0.134, 0.113, 0.222, 0.091]"
10,"[0.088, 0.099, 0.106, 0.173, 0.1, 0.105, 0.092, 0.156, 0.1, 0.103]"
11,"[0.102, 0.085, 0.106, 0.117, 0.136, 0.102, 0.089, 0.113, 0.208, 0.091]"
12,"[0.088, 0.099, 0.096, 0.229, 0.1, 0.105, 0.092, 0.147, 0.143, 0.103]"
13,"[0.102, 0.085, 0.14, 0.117, 0.149, 0.102, 0.089, 0.113, 0.242, 0.091]"
14,"[0.088, 0.099, 0.096, 0.277, 0.101, 0.105, 0.092, 0.147, 0.202, 0.137]"
15,"[0.102, 0.085, 0.164, 0.118, 0.241, 0.148, 0.089, 0.136, 0.254, 0.091]"
16,"[0.089, 0.099, 0.096, 0.254, 0.105, 0.105, 0.104, 0.12, 0.251, 0.281]"
17,"[0.11, 0.103, 0.225, 0.256, 0.229, 0.118, 0.089, 0.24, 0.27, 0.091]"
18,"[0.14, 0.099, 0.096, 0.29, 0.107, 0.105, 0.138, 0.12, 0.207, 0.236]"
19,"[0.139, 0.127, 0.247, 0.265, 0.212, 0.176, 0.089, 0.259, 0.271, 0.091]"
20,"[0.154, 0.099, 0.129, 0.3, 0.114, 0.107, 0.145, 0.131, 0.211, 0.227]"
21,"[0.167, 0.127, 0.244, 0.295, 0.204, 0.202, 0.089, 0.264, 0.27, 0.091]"
22,"[0.183, 0.103, 0.225, 0.314, 0.126, 0.132, 0.135, 0.149, 0.215, 0.237]"
23,"[0.294, 0.113, 0.262, 0.294, 0.202, 0.227, 0.128, 0.263, 0.27, 0.149]"
24,"[0.209, 0.195, 0.271, 0.323, 0.142, 0.207, 0.121, 0.191, 0.215, 0.256]"
25,"[0.337, 0.137, 0.263, 0.291, 0.201, 0.254, 0.176, 0.284, 0.272, 0.3]"
26,"[0.258, 0.276, 0.273, 0.333, 0.1, 0.29, 0.11, 0.211, 0.212, 0.289]"
27,"[0.102, 0.099, 0.263, 0.292, 0.319, 0.264, 0.089, 0.292, 0.098, 0.091]"
28,"[0.307, 0.293, 0.096, 0.122, 0.1, 0.105, 0.346, 0.098, 0.318, 0.309]"
29,"[0.102, 0.099, 0.266, 0.29, 0.339, 0.381, 0.089, 0.284, 0.098, 0.091]"
30,"[0.275, 0.237, 0.096, 0.122, 0.1, 0.105, 0.267, 0.098, 0.349, 0.327]"
31,"[0.102, 0.099, 0.285, 0.289, 0.313, 0.338, 0.089, 0.249, 0.098, 0.091]"
32,"[0.276, 0.213, 0.096, 0.122, 0.1, 0.105, 0.282, 0.098, 0.34, 0.266]"
33,"[0.102, 0.099, 0.218, 0.25, 0.252, 0.299, 0.089, 0.238, 0.098, 0.091]"
34,"[0.283, 0.273, 0.096, 0.122, 0.1, 0.105, 0.306, 0.103, 0.308, 0.253]"
35,"[0.102, 0.099, 0.242, 0.222, 0.316, 0.261, 0.089, 0.226, 0.098, 0.091]"
36,"[0.247, 0.262, 0.096, 0.122, 0.1, 0.105, 0.279, 0.171, 0.256, 0.238]"
37,"[0.102, 0.138, 0.211, 0.223, 0.261, 0.219, 0.089, 0.263, 0.098, 0.091]"
38,"[0.215, 0.254, 0.097, 0.122, 0.1, 0.105, 0.243, 0.186, 0.22, 0.24]"
39,"[0.102, 0.136, 0.218, 0.223, 0.194, 0.228, 0.089, 0.201, 0.098, 0.091]"
40,"[0.238, 0.244, 0.096, 0.122, 0.1, 0.105, 0.228, 0.152, 0.207, 0.239]"
41,"[0.102, 0.192, 0.226, 0.211, 0.189, 0.222, 0.089, 0.253, 0.098, 0.091]"
42,"[0.218, 0.236, 0.096, 0.122, 0.104, 0.105, 0.235, 0.178, 0.204, 0.226]"
43,"[0.103, 0.252, 0.227, 0.206, 0.192, 0.211, 0.09, 0.342, 0.098, 0.091]"
44,"[0.195, 0.25, 0.096, 0.122, 0.153, 0.113, 0.26, 0.229, 0.207, 0.222]"
45,"[0.167, 0.322, 0.225, 0.202, 0.198, 0.213, 0.134, 0.321, 0.144, 0.107]"
46,"[0.196, 0.255, 0.135, 0.165, 0.191, 0.183, 0.221, 0.253, 0.208, 0.22]"
47,"[0.195, 0.355, 0.193, 0.187, 0.199, 0.214, 0.17, 0.184, 0.17, 0.167]"
48,"[0.207, 0.198, 0.168, 0.198, 0.199, 0.204, 0.217, 0.259, 0.219, 0.226]"
49,"[0.196, 0.382, 0.235, 0.215, 0.203, 0.252, 0.182, 0.225, 0.174, 0.174]"
50,"[0.244, 0.226, 0.154, 0.183, 0.213, 0.199, 0.252, 0.321, 0.257, 0.279]"
51,"[0.206, 0.406, 0.24, 0.259, 0.233, 0.255, 0.183, 0.233, 0.172, 0.17]"
52,"[0.238, 0.186, 0.151, 0.176, 0.228, 0.189, 0.251, 0.35, 0.237, 0.281]"
53,"[0.239, 0.414, 0.19, 0.247, 0.189, 0.21, 0.196, 0.216, 0.184, 0.154]"
54,"[0.232, 0.191, 0.214, 0.192, 0.26, 0.25, 0.222, 0.414, 0.253, 0.269]"
55,"[0.318, 0.394, 0.23, 0.216, 0.189, 0.228, 0.228, 0.172, 0.279, 0.213]"
56,"[0.195, 0.186, 0.342, 0.285, 0.304, 0.301, 0.197, 0.308, 0.205, 0.22]"
57,"[0.336, 0.37, 0.186, 0.186, 0.195, 0.213, 0.3, 0.175, 0.332, 0.285]"
58,"[0.193, 0.341, 0.348, 0.32, 0.395, 0.362, 0.245, 0.264, 0.2, 0.214]"
59,"[0.288, 0.394, 0.186, 0.185, 0.32, 0.209, 0.314, 0.35, 0.267, 0.269]"
60,"[0.312, 0.221, 0.294, 0.261, 0.281, 0.266, 0.318, 0.304, 0.25, 0.2]"
61,"[0.277, 0.365, 0.169, 0.155, 0.308, 0.225, 0.306, 0.324, 0.25, 0.3]"
62,"[0.367, 0.219, 0.227, 0.26, 0.319, 0.266, 0.304, 0.39, 0.278, 0.29]"
63,"[0.292, 0.317, 0.238, 0.245, 0.337, 0.363, 0.312, 0.284, 0.266, 0.273]"
64,"[0.354, 0.237, 0.248, 0.26, 0.298, 0.281, 0.336, 0.208, 0.319, 0.277]"
65,"[0.268, 0.153, 0.204, 0.2, 0.25, 0.345, 0.208, 0.25, 0.254, 0.354]"
66,"[0.372, 0.311, 0.299, 0.307, 0.101, 0.181, 0.344, 0.113, 0.34, 0.288]"
67,"[0.295, 0.187, 0.216, 0.202, 0.291, 0.404, 0.14, 0.324, 0.313, 0.303]"
68,"[0.329, 0.337, 0.342, 0.391, 0.127, 0.21, 0.352, 0.204, 0.308, 0.324]"
69,"[0.247, 0.205, 0.33, 0.198, 0.305, 0.356, 0.229, 0.338, 0.319, 0.309]"
70,"[0.337, 0.307, 0.201, 0.292, 0.364, 0.21, 0.327, 0.169, 0.314, 0.345]"
71,"[0.327, 0.326, 0.366, 0.29, 0.304, 0.331, 0.27, 0.337, 0.367, 0.375]"
72,"[0.339, 0.265, 0.277, 0.325, 0.335, 0.249, 0.315, 0.312, 0.321, 0.329]"
73,"[0.36, 0.253, 0.32, 0.321, 0.308, 0.33, 0.336, 0.318, 0.347, 0.382]"
74,"[0.306, 0.325, 0.261, 0.304, 0.328, 0.266, 0.327, 0.329, 0.314, 0.296]"
75,"[0.345, 0.252, 0.26, 0.339, 0.34, 0.275, 0.342, 0.351, 0.331, 0.323]"
76,"[0.282, 0.351, 0.255, 0.296, 0.321, 0.265, 0.25, 0.294, 0.252, 0.257]"
77,"[0.304, 0.245, 0.248, 0.277, 0.345, 0.252, 0.266, 0.341, 0.237, 0.264]"
78,"[0.274, 0.349, 0.312, 0.327, 0.336, 0.277, 0.238, 0.265, 0.243, 0.255]"
79,"[0.287, 0.228, 0.243, 0.264, 0.342, 0.251, 0.254, 0.306, 0.27, 0.291]"
80,"[0.274, 0.265, 0.25, 0.231, 0.356, 0.208, 0.236, 0.264, 0.24, 0.25]"
81,"[0.388, 0.221, 0.239, 0.26, 0.282, 0.248, 0.353, 0.34, 0.355, 0.378]"
82,"[0.262, 0.277, 0.343, 0.367, 0.376, 0.363, 0.225, 0.338, 0.226, 0.232]"
83,"[0.409, 0.219, 0.225, 0.243, 0.298, 0.223, 0.369, 0.385, 0.369, 0.383]"
84,"[0.258, 0.251, 0.302, 0.282, 0.352, 0.31, 0.22, 0.326, 0.232, 0.209]"
85,"[0.351, 0.231, 0.241, 0.236, 0.397, 0.227, 0.329, 0.365, 0.299, 0.331]"
86,"[0.315, 0.337, 0.276, 0.263, 0.342, 0.287, 0.274, 0.308, 0.273, 0.261]"
87,"[0.321, 0.251, 0.282, 0.291, 0.371, 0.282, 0.253, 0.354, 0.25, 0.258]"
88,"[0.329, 0.309, 0.235, 0.234, 0.372, 0.257, 0.297, 0.32, 0.286, 0.278]"
89,"[0.306, 0.3, 0.3, 0.319, 0.371, 0.299, 0.275, 0.343, 0.263, 0.276]"
90,"[0.324, 0.266, 0.242, 0.23, 0.398, 0.253, 0.309, 0.317, 0.289, 0.282]"
91,"[0.412, 0.301, 0.307, 0.314, 0.328, 0.305, 0.356, 0.342, 0.347, 0.347]"
92,"[0.332, 0.231, 0.307, 0.309, 0.425, 0.324, 0.312, 0.347, 0.295, 0.286]"
93,"[0.361, 0.299, 0.309, 0.33, 0.333, 0.311, 0.365, 0.361, 0.334, 0.336]"
94,"[0.328, 0.32, 0.255, 0.252, 0.356, 0.302, 0.313, 0.323, 0.296, 0.295]"
95,"[0.369, 0.256, 0.31, 0.322, 0.375, 0.307, 0.36, 0.36, 0.328, 0.33]"
96,"[0.314, 0.381, 0.3, 0.303, 0.338, 0.351, 0.3, 0.368, 0.284, 0.278]"
97,"[0.339, 0.271, 0.298, 0.314, 0.336, 0.298, 0.305, 0.356, 0.326, 0.295]"
98,"[0.327, 0.344, 0.283, 0.289, 0.365, 0.315, 0.295, 0.351, 0.276, 0.268]"
99,"[0.376, 0.293, 0.295, 0.321, 0.299, 0.299, 0.356, 0.336, 0.351, 0.333]"
