betweeness_centrality,[2.]
49,"[0.498, 0.52, 0.406, 0.425, 0.601, 0.44, 0.501, 0.402, 0.441, 0.316]"
50,"[0.333, 0.277, 0.533, 0.549, 0.41, 0.442, 0.344, 0.439, 0.383, 0.529]"
51,"[0.523, 0.526, 0.382, 0.429, 0.584, 0.448, 0.528, 0.378, 0.46, 0.303]"
52,"[0.282, 0.239, 0.552, 0.467, 0.377, 0.468, 0.309, 0.455, 0.469, 0.521]"
53,"[0.544, 0.535, 0.369, 0.497, 0.583, 0.479, 0.56, 0.378, 0.38, 0.256]"
54,"[0.282, 0.216, 0.554, 0.381, 0.327, 0.458, 0.315, 0.48, 0.544, 0.544]"
55,"[0.564, 0.533, 0.314, 0.486, 0.572, 0.542, 0.578, 0.398, 0.227, 0.263]"
56,"[0.33, 0.217, 0.56, 0.333, 0.33, 0.463, 0.352, 0.494, 0.542, 0.543]"
57,"[0.572, 0.531, 0.298, 0.491, 0.565, 0.602, 0.587, 0.458, 0.225, 0.29]"
58,"[0.41, 0.249, 0.551, 0.334, 0.368, 0.434, 0.444, 0.448, 0.49, 0.523]"
59,"[0.58, 0.536, 0.299, 0.498, 0.564, 0.578, 0.589, 0.543, 0.225, 0.28]"
60,"[0.454, 0.302, 0.532, 0.379, 0.407, 0.446, 0.538, 0.43, 0.476, 0.517]"
61,"[0.576, 0.535, 0.329, 0.487, 0.573, 0.564, 0.598, 0.556, 0.243, 0.315]"
62,"[0.492, 0.352, 0.51, 0.382, 0.431, 0.485, 0.568, 0.382, 0.454, 0.513]"
63,"[0.574, 0.517, 0.343, 0.49, 0.571, 0.559, 0.594, 0.52, 0.24, 0.335]"
64,"[0.511, 0.389, 0.482, 0.408, 0.471, 0.479, 0.581, 0.354, 0.428, 0.487]"
65,"[0.564, 0.493, 0.374, 0.498, 0.554, 0.505, 0.575, 0.48, 0.307, 0.37]"
66,"[0.465, 0.386, 0.42, 0.439, 0.49, 0.448, 0.536, 0.341, 0.402, 0.45]"
67,"[0.513, 0.455, 0.396, 0.497, 0.501, 0.471, 0.52, 0.455, 0.339, 0.358]"
68,"[0.508, 0.371, 0.408, 0.455, 0.508, 0.423, 0.487, 0.333, 0.377, 0.418]"
69,"[0.471, 0.427, 0.394, 0.492, 0.466, 0.447, 0.446, 0.451, 0.331, 0.324]"
70,"[0.48, 0.331, 0.391, 0.434, 0.478, 0.391, 0.429, 0.327, 0.363, 0.399]"
71,"[0.449, 0.418, 0.369, 0.485, 0.463, 0.452, 0.482, 0.445, 0.285, 0.3]"
72,"[0.472, 0.296, 0.378, 0.451, 0.41, 0.387, 0.419, 0.304, 0.362, 0.388]"
73,"[0.431, 0.419, 0.314, 0.48, 0.444, 0.443, 0.493, 0.442, 0.268, 0.294]"
74,"[0.437, 0.3, 0.39, 0.492, 0.415, 0.383, 0.414, 0.332, 0.37, 0.395]"
75,"[0.437, 0.44, 0.308, 0.491, 0.502, 0.468, 0.486, 0.446, 0.267, 0.314]"
76,"[0.428, 0.306, 0.461, 0.484, 0.421, 0.397, 0.401, 0.327, 0.393, 0.434]"
77,"[0.453, 0.489, 0.316, 0.489, 0.506, 0.498, 0.489, 0.449, 0.279, 0.322]"
78,"[0.448, 0.321, 0.465, 0.515, 0.431, 0.398, 0.442, 0.318, 0.425, 0.472]"
79,"[0.452, 0.503, 0.33, 0.515, 0.523, 0.495, 0.497, 0.446, 0.304, 0.356]"
80,"[0.476, 0.335, 0.459, 0.54, 0.47, 0.435, 0.507, 0.355, 0.412, 0.475]"
81,"[0.446, 0.493, 0.355, 0.513, 0.493, 0.469, 0.492, 0.428, 0.336, 0.373]"
82,"[0.481, 0.359, 0.438, 0.486, 0.489, 0.451, 0.504, 0.37, 0.393, 0.448]"
83,"[0.416, 0.475, 0.378, 0.504, 0.485, 0.442, 0.476, 0.408, 0.327, 0.383]"
84,"[0.455, 0.373, 0.43, 0.452, 0.484, 0.446, 0.482, 0.357, 0.383, 0.432]"
85,"[0.4, 0.451, 0.381, 0.488, 0.454, 0.413, 0.461, 0.394, 0.29, 0.364]"
86,"[0.452, 0.379, 0.421, 0.444, 0.483, 0.441, 0.459, 0.356, 0.377, 0.403]"
87,"[0.406, 0.448, 0.393, 0.495, 0.459, 0.408, 0.476, 0.403, 0.277, 0.385]"
88,"[0.447, 0.387, 0.429, 0.461, 0.492, 0.466, 0.453, 0.382, 0.38, 0.427]"
89,"[0.445, 0.469, 0.419, 0.513, 0.488, 0.448, 0.506, 0.425, 0.337, 0.411]"
90,"[0.456, 0.408, 0.439, 0.516, 0.511, 0.5, 0.5, 0.427, 0.406, 0.461]"
91,"[0.456, 0.496, 0.433, 0.535, 0.5, 0.466, 0.523, 0.437, 0.387, 0.43]"
92,"[0.464, 0.41, 0.441, 0.521, 0.509, 0.497, 0.493, 0.437, 0.417, 0.463]"
93,"[0.469, 0.493, 0.432, 0.534, 0.501, 0.458, 0.523, 0.434, 0.382, 0.415]"
94,"[0.471, 0.399, 0.437, 0.457, 0.507, 0.482, 0.442, 0.453, 0.419, 0.45]"
95,"[0.445, 0.468, 0.43, 0.535, 0.492, 0.441, 0.5, 0.435, 0.387, 0.384]"
96,"[0.483, 0.38, 0.422, 0.393, 0.514, 0.492, 0.461, 0.478, 0.402, 0.418]"
97,"[0.441, 0.425, 0.432, 0.542, 0.464, 0.424, 0.486, 0.444, 0.392, 0.378]"
98,"[0.5, 0.373, 0.413, 0.389, 0.519, 0.502, 0.498, 0.487, 0.392, 0.393]"
99,"[0.436, 0.407, 0.451, 0.547, 0.456, 0.414, 0.471, 0.442, 0.414, 0.412]"
