none,[]
58,"[0.521, 0.463, 0.409, 0.444, 0.423, 0.453, 0.459, 0.481, 0.49, 0.495]"
59,"[0.481, 0.409, 0.511, 0.519, 0.449, 0.449, 0.435, 0.46, 0.434, 0.509]"
60,"[0.495, 0.463, 0.415, 0.45, 0.423, 0.448, 0.464, 0.462, 0.481, 0.502]"
61,"[0.48, 0.409, 0.504, 0.495, 0.443, 0.438, 0.422, 0.451, 0.434, 0.509]"
62,"[0.474, 0.451, 0.404, 0.453, 0.409, 0.438, 0.457, 0.452, 0.476, 0.516]"
63,"[0.473, 0.412, 0.488, 0.465, 0.427, 0.431, 0.421, 0.419, 0.425, 0.512]"
64,"[0.462, 0.428, 0.385, 0.444, 0.403, 0.435, 0.428, 0.436, 0.463, 0.523]"
65,"[0.464, 0.412, 0.481, 0.464, 0.424, 0.429, 0.412, 0.41, 0.429, 0.504]"
66,"[0.458, 0.43, 0.385, 0.446, 0.409, 0.435, 0.439, 0.426, 0.456, 0.534]"
67,"[0.476, 0.405, 0.474, 0.459, 0.411, 0.425, 0.413, 0.416, 0.437, 0.494]"
68,"[0.45, 0.457, 0.418, 0.457, 0.418, 0.459, 0.457, 0.427, 0.443, 0.545]"
69,"[0.501, 0.423, 0.459, 0.444, 0.39, 0.443, 0.425, 0.433, 0.445, 0.474]"
70,"[0.429, 0.467, 0.436, 0.484, 0.433, 0.487, 0.477, 0.399, 0.433, 0.557]"
71,"[0.517, 0.422, 0.437, 0.434, 0.367, 0.432, 0.418, 0.462, 0.464, 0.467]"
72,"[0.418, 0.493, 0.459, 0.497, 0.454, 0.511, 0.487, 0.377, 0.417, 0.56]"
73,"[0.542, 0.413, 0.431, 0.418, 0.371, 0.427, 0.422, 0.496, 0.492, 0.465]"
74,"[0.415, 0.493, 0.478, 0.521, 0.484, 0.52, 0.486, 0.379, 0.429, 0.559]"
75,"[0.552, 0.406, 0.432, 0.413, 0.387, 0.425, 0.427, 0.515, 0.513, 0.454]"
76,"[0.423, 0.493, 0.5, 0.54, 0.519, 0.522, 0.488, 0.388, 0.434, 0.554]"
77,"[0.557, 0.417, 0.442, 0.417, 0.397, 0.424, 0.439, 0.519, 0.515, 0.462]"
78,"[0.439, 0.482, 0.511, 0.53, 0.531, 0.521, 0.485, 0.409, 0.443, 0.548]"
79,"[0.554, 0.432, 0.445, 0.434, 0.397, 0.447, 0.439, 0.514, 0.531, 0.47]"
80,"[0.443, 0.481, 0.518, 0.52, 0.526, 0.5, 0.471, 0.424, 0.463, 0.54]"
81,"[0.551, 0.435, 0.447, 0.468, 0.403, 0.423, 0.438, 0.501, 0.506, 0.472]"
82,"[0.438, 0.455, 0.493, 0.496, 0.511, 0.482, 0.474, 0.426, 0.459, 0.515]"
83,"[0.523, 0.42, 0.444, 0.463, 0.387, 0.42, 0.435, 0.494, 0.493, 0.469]"
84,"[0.444, 0.433, 0.472, 0.457, 0.49, 0.47, 0.452, 0.432, 0.435, 0.506]"
85,"[0.485, 0.384, 0.447, 0.473, 0.388, 0.381, 0.402, 0.452, 0.469, 0.461]"
86,"[0.43, 0.395, 0.432, 0.406, 0.441, 0.421, 0.403, 0.425, 0.422, 0.517]"
87,"[0.439, 0.367, 0.407, 0.418, 0.377, 0.364, 0.36, 0.413, 0.416, 0.459]"
88,"[0.419, 0.347, 0.387, 0.373, 0.379, 0.355, 0.337, 0.391, 0.404, 0.53]"
89,"[0.397, 0.358, 0.397, 0.41, 0.363, 0.374, 0.362, 0.368, 0.381, 0.493]"
90,"[0.423, 0.327, 0.37, 0.354, 0.355, 0.32, 0.307, 0.388, 0.397, 0.536]"
91,"[0.379, 0.365, 0.4, 0.425, 0.353, 0.377, 0.369, 0.356, 0.367, 0.515]"
92,"[0.443, 0.321, 0.368, 0.352, 0.343, 0.312, 0.308, 0.395, 0.408, 0.533]"
93,"[0.391, 0.373, 0.415, 0.44, 0.368, 0.385, 0.386, 0.356, 0.372, 0.541]"
94,"[0.454, 0.327, 0.374, 0.365, 0.348, 0.318, 0.321, 0.432, 0.428, 0.549]"
95,"[0.422, 0.407, 0.432, 0.464, 0.386, 0.4, 0.401, 0.372, 0.38, 0.549]"
96,"[0.45, 0.338, 0.398, 0.389, 0.359, 0.336, 0.325, 0.448, 0.436, 0.548]"
97,"[0.439, 0.43, 0.42, 0.458, 0.39, 0.425, 0.422, 0.399, 0.413, 0.561]"
98,"[0.438, 0.35, 0.426, 0.419, 0.392, 0.358, 0.34, 0.437, 0.437, 0.558]"
99,"[0.478, 0.419, 0.414, 0.46, 0.388, 0.419, 0.428, 0.431, 0.438, 0.549]"
