eigenvector_centrality,[1]
0,"[0.105, 0.109, 0.106, 0.107, 0.083, 0.095, 0.115, 0.092, 0.106, 0.103]"
1,"[0.088, 0.085, 0.106, 0.09, 0.187, 0.112, 0.093, 0.113, 0.106, 0.103]"
2,"[0.192, 0.085, 0.106, 0.117, 0.088, 0.112, 0.102, 0.114, 0.1, 0.103]"
3,"[0.08, 0.177, 0.171, 0.184, 0.159, 0.193, 0.092, 0.113, 0.2, 0.167]"
4,"[0.166, 0.195, 0.173, 0.185, 0.083, 0.192, 0.137, 0.204, 0.166, 0.2]"
5,"[0.08, 0.188, 0.184, 0.225, 0.168, 0.207, 0.204, 0.179, 0.175, 0.198]"
6,"[0.236, 0.109, 0.116, 0.139, 0.09, 0.086, 0.109, 0.417, 0.345, 0.341]"
7,"[0.08, 0.299, 0.369, 0.335, 0.416, 0.395, 0.404, 0.105, 0.128, 0.2]"
8,"[0.413, 0.109, 0.116, 0.097, 0.083, 0.086, 0.109, 0.378, 0.379, 0.433]"
9,"[0.08, 0.339, 0.32, 0.319, 0.447, 0.346, 0.346, 0.104, 0.125, 0.198]"
10,"[0.356, 0.109, 0.116, 0.097, 0.083, 0.086, 0.109, 0.335, 0.33, 0.376]"
11,"[0.08, 0.32, 0.308, 0.299, 0.366, 0.322, 0.321, 0.104, 0.153, 0.23]"
12,"[0.357, 0.109, 0.116, 0.097, 0.085, 0.086, 0.109, 0.345, 0.348, 0.324]"
13,"[0.08, 0.329, 0.323, 0.331, 0.396, 0.357, 0.342, 0.104, 0.184, 0.189]"
14,"[0.389, 0.109, 0.116, 0.097, 0.09, 0.086, 0.109, 0.387, 0.405, 0.383]"
15,"[0.081, 0.363, 0.341, 0.352, 0.404, 0.366, 0.371, 0.112, 0.2, 0.176]"
16,"[0.406, 0.117, 0.116, 0.103, 0.108, 0.086, 0.109, 0.391, 0.39, 0.401]"
17,"[0.09, 0.361, 0.332, 0.351, 0.418, 0.363, 0.364, 0.121, 0.205, 0.184]"
18,"[0.394, 0.161, 0.137, 0.155, 0.137, 0.094, 0.122, 0.36, 0.359, 0.383]"
19,"[0.114, 0.365, 0.331, 0.346, 0.389, 0.362, 0.366, 0.148, 0.185, 0.192]"
20,"[0.391, 0.159, 0.195, 0.211, 0.165, 0.129, 0.154, 0.362, 0.363, 0.368]"
21,"[0.147, 0.367, 0.336, 0.356, 0.374, 0.366, 0.379, 0.217, 0.147, 0.203]"
22,"[0.379, 0.154, 0.145, 0.204, 0.207, 0.169, 0.183, 0.361, 0.325, 0.325]"
23,"[0.17, 0.317, 0.312, 0.295, 0.343, 0.356, 0.345, 0.189, 0.142, 0.218]"
24,"[0.32, 0.153, 0.137, 0.204, 0.173, 0.187, 0.156, 0.321, 0.289, 0.29]"
25,"[0.165, 0.193, 0.269, 0.254, 0.311, 0.291, 0.298, 0.19, 0.129, 0.296]"
26,"[0.307, 0.23, 0.137, 0.209, 0.171, 0.18, 0.151, 0.321, 0.295, 0.347]"
27,"[0.165, 0.361, 0.267, 0.253, 0.3, 0.281, 0.298, 0.189, 0.171, 0.349]"
28,"[0.296, 0.358, 0.198, 0.215, 0.16, 0.142, 0.12, 0.302, 0.295, 0.353]"
29,"[0.139, 0.353, 0.252, 0.245, 0.302, 0.277, 0.302, 0.276, 0.315, 0.299]"
30,"[0.286, 0.244, 0.261, 0.329, 0.247, 0.18, 0.162, 0.285, 0.276, 0.344]"
31,"[0.282, 0.243, 0.239, 0.232, 0.297, 0.249, 0.278, 0.186, 0.363, 0.283]"
32,"[0.259, 0.227, 0.214, 0.178, 0.285, 0.172, 0.168, 0.265, 0.252, 0.282]"
33,"[0.322, 0.185, 0.214, 0.211, 0.282, 0.23, 0.232, 0.381, 0.368, 0.268]"
34,"[0.238, 0.361, 0.338, 0.347, 0.299, 0.293, 0.313, 0.242, 0.214, 0.222]"
35,"[0.379, 0.212, 0.197, 0.203, 0.253, 0.238, 0.23, 0.31, 0.265, 0.216]"
36,"[0.229, 0.369, 0.278, 0.309, 0.367, 0.342, 0.347, 0.221, 0.198, 0.167]"
