in_deg_centrality,[1.]
0,"[0.084, 0.085, 0.191, 0.117, 0.205, 0.238, 0.109, 0.113, 0.2, 0.102]"
1,"[0.253, 0.189, 0.255, 0.205, 0.214, 0.182, 0.313, 0.263, 0.181, 0.201]"
2,"[0.27, 0.189, 0.225, 0.207, 0.273, 0.386, 0.257, 0.22, 0.208, 0.183]"
3,"[0.214, 0.189, 0.214, 0.207, 0.314, 0.337, 0.342, 0.301, 0.281, 0.177]"
4,"[0.255, 0.188, 0.226, 0.207, 0.266, 0.413, 0.388, 0.295, 0.299, 0.288]"
5,"[0.291, 0.188, 0.314, 0.207, 0.296, 0.466, 0.375, 0.303, 0.296, 0.301]"
6,"[0.304, 0.19, 0.306, 0.208, 0.328, 0.432, 0.381, 0.368, 0.3, 0.302]"
7,"[0.314, 0.192, 0.318, 0.232, 0.361, 0.449, 0.384, 0.411, 0.305, 0.331]"
8,"[0.351, 0.246, 0.324, 0.274, 0.36, 0.434, 0.426, 0.421, 0.305, 0.335]"
9,"[0.349, 0.316, 0.333, 0.3, 0.362, 0.447, 0.434, 0.448, 0.306, 0.349]"
10,"[0.428, 0.326, 0.351, 0.326, 0.373, 0.479, 0.435, 0.467, 0.304, 0.388]"
11,"[0.48, 0.365, 0.368, 0.365, 0.369, 0.466, 0.443, 0.49, 0.308, 0.427]"
12,"[0.533, 0.418, 0.362, 0.37, 0.374, 0.493, 0.437, 0.514, 0.305, 0.436]"
13,"[0.555, 0.437, 0.356, 0.405, 0.374, 0.521, 0.455, 0.49, 0.307, 0.43]"
14,"[0.575, 0.435, 0.38, 0.408, 0.376, 0.504, 0.438, 0.49, 0.33, 0.42]"
15,"[0.582, 0.483, 0.389, 0.444, 0.373, 0.534, 0.457, 0.504, 0.349, 0.453]"
16,"[0.577, 0.484, 0.39, 0.452, 0.375, 0.54, 0.472, 0.538, 0.355, 0.451]"
17,"[0.597, 0.484, 0.381, 0.447, 0.374, 0.541, 0.486, 0.515, 0.347, 0.433]"
18,"[0.579, 0.508, 0.388, 0.448, 0.377, 0.588, 0.476, 0.517, 0.382, 0.446]"
19,"[0.596, 0.513, 0.378, 0.485, 0.374, 0.586, 0.481, 0.521, 0.381, 0.441]"
20,"[0.583, 0.517, 0.391, 0.491, 0.372, 0.594, 0.475, 0.531, 0.373, 0.459]"
21,"[0.609, 0.53, 0.396, 0.5, 0.375, 0.609, 0.498, 0.541, 0.385, 0.466]"
22,"[0.624, 0.517, 0.385, 0.484, 0.378, 0.586, 0.506, 0.541, 0.386, 0.449]"
23,"[0.622, 0.563, 0.377, 0.499, 0.38, 0.617, 0.497, 0.552, 0.403, 0.474]"
24,"[0.636, 0.514, 0.4, 0.511, 0.377, 0.587, 0.52, 0.538, 0.392, 0.473]"
25,"[0.486, 0.567, 0.245, 0.518, 0.378, 0.651, 0.525, 0.408, 0.393, 0.464]"
26,"[0.496, 0.607, 0.28, 0.597, 0.381, 0.575, 0.537, 0.399, 0.446, 0.374]"
27,"[0.466, 0.619, 0.398, 0.595, 0.392, 0.604, 0.533, 0.489, 0.432, 0.367]"
28,"[0.461, 0.58, 0.465, 0.561, 0.379, 0.618, 0.534, 0.577, 0.413, 0.469]"
29,"[0.54, 0.587, 0.449, 0.551, 0.377, 0.624, 0.528, 0.501, 0.4, 0.435]"
30,"[0.555, 0.624, 0.481, 0.601, 0.382, 0.611, 0.538, 0.527, 0.433, 0.422]"
31,"[0.521, 0.583, 0.493, 0.588, 0.378, 0.629, 0.523, 0.591, 0.433, 0.452]"
32,"[0.544, 0.557, 0.439, 0.592, 0.394, 0.616, 0.534, 0.598, 0.433, 0.478]"
33,"[0.558, 0.531, 0.482, 0.548, 0.392, 0.609, 0.563, 0.616, 0.431, 0.467]"
34,"[0.498, 0.532, 0.499, 0.528, 0.377, 0.623, 0.551, 0.622, 0.41, 0.446]"
35,"[0.5, 0.546, 0.52, 0.551, 0.377, 0.606, 0.53, 0.638, 0.423, 0.431]"
36,"[0.519, 0.547, 0.501, 0.548, 0.392, 0.6, 0.527, 0.636, 0.426, 0.457]"
37,"[0.531, 0.523, 0.495, 0.538, 0.408, 0.622, 0.557, 0.627, 0.449, 0.465]"
38,"[0.529, 0.537, 0.514, 0.538, 0.394, 0.604, 0.574, 0.633, 0.42, 0.462]"
39,"[0.486, 0.536, 0.55, 0.552, 0.382, 0.604, 0.559, 0.658, 0.405, 0.456]"
40,"[0.526, 0.537, 0.511, 0.551, 0.408, 0.613, 0.553, 0.645, 0.45, 0.469]"
41,"[0.545, 0.531, 0.505, 0.531, 0.406, 0.618, 0.569, 0.639, 0.45, 0.481]"
42,"[0.564, 0.526, 0.545, 0.549, 0.387, 0.611, 0.583, 0.634, 0.401, 0.463]"
43,"[0.525, 0.506, 0.517, 0.525, 0.409, 0.593, 0.572, 0.643, 0.42, 0.451]"
44,"[0.492, 0.515, 0.543, 0.517, 0.395, 0.608, 0.553, 0.651, 0.453, 0.441]"
45,"[0.532, 0.512, 0.518, 0.518, 0.419, 0.604, 0.568, 0.644, 0.443, 0.476]"
46,"[0.548, 0.502, 0.526, 0.539, 0.417, 0.604, 0.578, 0.623, 0.426, 0.463]"
47,"[0.484, 0.522, 0.527, 0.558, 0.397, 0.605, 0.548, 0.644, 0.405, 0.451]"
48,"[0.489, 0.525, 0.519, 0.527, 0.401, 0.609, 0.541, 0.659, 0.464, 0.456]"
49,"[0.529, 0.551, 0.521, 0.553, 0.4, 0.606, 0.565, 0.646, 0.461, 0.505]"
50,"[0.491, 0.507, 0.537, 0.523, 0.406, 0.598, 0.551, 0.663, 0.436, 0.499]"
51,"[0.496, 0.51, 0.552, 0.536, 0.436, 0.617, 0.571, 0.649, 0.418, 0.458]"
52,"[0.528, 0.523, 0.557, 0.5, 0.429, 0.605, 0.541, 0.649, 0.459, 0.462]"
53,"[0.514, 0.546, 0.524, 0.542, 0.397, 0.611, 0.533, 0.654, 0.474, 0.52]"
54,"[0.535, 0.515, 0.549, 0.529, 0.424, 0.579, 0.582, 0.642, 0.478, 0.486]"
55,"[0.499, 0.538, 0.564, 0.557, 0.417, 0.615, 0.543, 0.672, 0.46, 0.486]"
56,"[0.528, 0.538, 0.549, 0.551, 0.404, 0.632, 0.554, 0.667, 0.482, 0.504]"
57,"[0.542, 0.575, 0.53, 0.576, 0.428, 0.65, 0.551, 0.649, 0.483, 0.524]"
58,"[0.541, 0.531, 0.577, 0.531, 0.462, 0.639, 0.573, 0.672, 0.494, 0.552]"
59,"[0.512, 0.516, 0.573, 0.544, 0.413, 0.605, 0.59, 0.67, 0.444, 0.495]"
60,"[0.519, 0.546, 0.56, 0.541, 0.422, 0.65, 0.55, 0.668, 0.486, 0.517]"
61,"[0.549, 0.529, 0.519, 0.534, 0.428, 0.629, 0.59, 0.653, 0.482, 0.529]"
62,"[0.503, 0.532, 0.56, 0.524, 0.402, 0.624, 0.561, 0.646, 0.49, 0.535]"
63,"[0.505, 0.563, 0.574, 0.584, 0.406, 0.638, 0.584, 0.66, 0.476, 0.541]"
64,"[0.528, 0.552, 0.56, 0.533, 0.422, 0.649, 0.574, 0.671, 0.457, 0.527]"
65,"[0.528, 0.532, 0.513, 0.529, 0.46, 0.626, 0.557, 0.664, 0.468, 0.469]"
66,"[0.554, 0.513, 0.525, 0.52, 0.449, 0.616, 0.537, 0.645, 0.508, 0.567]"
67,"[0.516, 0.542, 0.554, 0.556, 0.435, 0.624, 0.572, 0.666, 0.506, 0.547]"
68,"[0.521, 0.553, 0.563, 0.579, 0.439, 0.637, 0.587, 0.687, 0.493, 0.484]"
69,"[0.528, 0.551, 0.573, 0.533, 0.507, 0.629, 0.594, 0.675, 0.509, 0.524]"
70,"[0.537, 0.551, 0.548, 0.552, 0.451, 0.63, 0.576, 0.657, 0.485, 0.57]"
71,"[0.548, 0.56, 0.568, 0.565, 0.455, 0.651, 0.577, 0.667, 0.47, 0.559]"
72,"[0.549, 0.566, 0.572, 0.573, 0.44, 0.658, 0.575, 0.675, 0.513, 0.539]"
73,"[0.592, 0.588, 0.582, 0.57, 0.509, 0.672, 0.621, 0.678, 0.517, 0.539]"
74,"[0.532, 0.537, 0.559, 0.504, 0.424, 0.642, 0.588, 0.657, 0.489, 0.565]"
75,"[0.532, 0.582, 0.579, 0.566, 0.485, 0.682, 0.585, 0.667, 0.485, 0.557]"
76,"[0.557, 0.579, 0.599, 0.584, 0.489, 0.683, 0.593, 0.675, 0.507, 0.542]"
77,"[0.556, 0.565, 0.561, 0.559, 0.483, 0.671, 0.595, 0.689, 0.523, 0.544]"
78,"[0.571, 0.558, 0.573, 0.52, 0.461, 0.662, 0.599, 0.676, 0.486, 0.506]"
79,"[0.524, 0.585, 0.562, 0.556, 0.458, 0.657, 0.582, 0.665, 0.501, 0.579]"
80,"[0.549, 0.6, 0.594, 0.582, 0.457, 0.68, 0.594, 0.663, 0.517, 0.568]"
81,"[0.556, 0.589, 0.563, 0.557, 0.451, 0.662, 0.614, 0.644, 0.513, 0.539]"
82,"[0.541, 0.576, 0.552, 0.517, 0.439, 0.662, 0.601, 0.676, 0.496, 0.554]"
83,"[0.526, 0.578, 0.6, 0.561, 0.482, 0.661, 0.59, 0.671, 0.504, 0.599]"
84,"[0.544, 0.597, 0.63, 0.578, 0.468, 0.688, 0.617, 0.669, 0.51, 0.575]"
85,"[0.553, 0.586, 0.601, 0.534, 0.462, 0.693, 0.609, 0.654, 0.538, 0.577]"
86,"[0.566, 0.582, 0.59, 0.535, 0.472, 0.661, 0.597, 0.671, 0.522, 0.583]"
87,"[0.508, 0.6, 0.578, 0.582, 0.484, 0.685, 0.595, 0.696, 0.5, 0.564]"
88,"[0.525, 0.584, 0.588, 0.569, 0.487, 0.641, 0.578, 0.681, 0.469, 0.568]"
89,"[0.545, 0.626, 0.585, 0.61, 0.507, 0.694, 0.622, 0.687, 0.509, 0.601]"
90,"[0.541, 0.596, 0.609, 0.543, 0.445, 0.672, 0.618, 0.678, 0.537, 0.601]"
91,"[0.54, 0.583, 0.563, 0.55, 0.434, 0.644, 0.595, 0.666, 0.518, 0.607]"
92,"[0.557, 0.577, 0.585, 0.555, 0.523, 0.677, 0.594, 0.668, 0.534, 0.566]"
93,"[0.513, 0.59, 0.574, 0.544, 0.448, 0.674, 0.611, 0.679, 0.509, 0.568]"
94,"[0.54, 0.606, 0.603, 0.56, 0.464, 0.673, 0.612, 0.685, 0.524, 0.567]"
95,"[0.514, 0.602, 0.587, 0.515, 0.484, 0.64, 0.589, 0.66, 0.534, 0.587]"
96,"[0.57, 0.565, 0.601, 0.578, 0.504, 0.665, 0.598, 0.657, 0.511, 0.552]"
97,"[0.512, 0.614, 0.606, 0.576, 0.485, 0.686, 0.616, 0.679, 0.523, 0.611]"
98,"[0.533, 0.604, 0.568, 0.559, 0.49, 0.685, 0.607, 0.684, 0.553, 0.593]"
99,"[0.535, 0.576, 0.573, 0.52, 0.473, 0.665, 0.591, 0.692, 0.522, 0.584]"
out_deg_centrality,[8.]
0,"[0.264, 0.167, 0.221, 0.154, 0.165, 0.267, 0.109, 0.166, 0.109, 0.172]"
1,"[0.322, 0.211, 0.181, 0.208, 0.215, 0.292, 0.286, 0.189, 0.298, 0.177]"
2,"[0.277, 0.19, 0.232, 0.206, 0.275, 0.365, 0.268, 0.249, 0.277, 0.173]"
3,"[0.225, 0.189, 0.201, 0.207, 0.246, 0.414, 0.283, 0.306, 0.275, 0.177]"
4,"[0.323, 0.188, 0.202, 0.207, 0.221, 0.42, 0.378, 0.309, 0.303, 0.254]"
5,"[0.299, 0.188, 0.212, 0.208, 0.28, 0.47, 0.355, 0.301, 0.305, 0.264]"
6,"[0.32, 0.267, 0.282, 0.209, 0.286, 0.475, 0.388, 0.402, 0.308, 0.289]"
7,"[0.336, 0.188, 0.307, 0.209, 0.333, 0.429, 0.388, 0.42, 0.307, 0.331]"
8,"[0.334, 0.251, 0.297, 0.245, 0.345, 0.459, 0.409, 0.426, 0.306, 0.337]"
9,"[0.365, 0.268, 0.307, 0.248, 0.37, 0.459, 0.414, 0.439, 0.304, 0.321]"
10,"[0.412, 0.306, 0.33, 0.336, 0.363, 0.484, 0.418, 0.466, 0.307, 0.345]"
11,"[0.539, 0.382, 0.361, 0.387, 0.372, 0.468, 0.449, 0.477, 0.307, 0.387]"
12,"[0.496, 0.416, 0.364, 0.367, 0.367, 0.487, 0.432, 0.498, 0.31, 0.427]"
13,"[0.446, 0.421, 0.38, 0.389, 0.37, 0.497, 0.447, 0.513, 0.309, 0.43]"
14,"[0.52, 0.453, 0.376, 0.414, 0.369, 0.511, 0.436, 0.507, 0.31, 0.424]"
15,"[0.566, 0.459, 0.369, 0.422, 0.369, 0.514, 0.454, 0.498, 0.315, 0.429]"
16,"[0.55, 0.466, 0.385, 0.442, 0.376, 0.542, 0.453, 0.507, 0.319, 0.45]"
17,"[0.571, 0.483, 0.41, 0.47, 0.37, 0.531, 0.456, 0.526, 0.314, 0.473]"
18,"[0.583, 0.5, 0.389, 0.45, 0.371, 0.576, 0.45, 0.52, 0.377, 0.445]"
19,"[0.596, 0.52, 0.394, 0.472, 0.376, 0.58, 0.459, 0.531, 0.388, 0.451]"
20,"[0.599, 0.5, 0.401, 0.463, 0.377, 0.579, 0.465, 0.544, 0.386, 0.469]"
21,"[0.601, 0.521, 0.407, 0.512, 0.38, 0.607, 0.47, 0.538, 0.38, 0.47]"
22,"[0.588, 0.512, 0.404, 0.472, 0.376, 0.626, 0.471, 0.526, 0.391, 0.455]"
23,"[0.605, 0.53, 0.408, 0.482, 0.378, 0.63, 0.477, 0.529, 0.391, 0.473]"
24,"[0.595, 0.513, 0.404, 0.462, 0.38, 0.612, 0.479, 0.538, 0.407, 0.464]"
25,"[0.632, 0.49, 0.411, 0.482, 0.35, 0.627, 0.398, 0.489, 0.419, 0.465]"
26,"[0.619, 0.487, 0.402, 0.466, 0.379, 0.622, 0.443, 0.472, 0.397, 0.457]"
27,"[0.595, 0.55, 0.399, 0.491, 0.364, 0.615, 0.54, 0.478, 0.387, 0.421]"
28,"[0.547, 0.604, 0.393, 0.55, 0.369, 0.62, 0.522, 0.481, 0.384, 0.496]"
29,"[0.636, 0.611, 0.444, 0.62, 0.374, 0.626, 0.535, 0.508, 0.393, 0.532]"
30,"[0.603, 0.671, 0.423, 0.657, 0.376, 0.627, 0.541, 0.537, 0.396, 0.484]"
31,"[0.613, 0.622, 0.421, 0.634, 0.365, 0.614, 0.529, 0.474, 0.395, 0.471]"
32,"[0.575, 0.608, 0.413, 0.613, 0.383, 0.625, 0.513, 0.482, 0.396, 0.507]"
33,"[0.61, 0.596, 0.412, 0.596, 0.39, 0.626, 0.532, 0.481, 0.396, 0.472]"
34,"[0.624, 0.663, 0.44, 0.617, 0.358, 0.628, 0.542, 0.516, 0.391, 0.488]"
35,"[0.604, 0.653, 0.426, 0.623, 0.356, 0.625, 0.508, 0.504, 0.392, 0.499]"
36,"[0.609, 0.645, 0.42, 0.599, 0.382, 0.638, 0.499, 0.503, 0.402, 0.517]"
37,"[0.65, 0.657, 0.416, 0.639, 0.405, 0.653, 0.526, 0.495, 0.403, 0.508]"
38,"[0.622, 0.649, 0.404, 0.626, 0.366, 0.617, 0.533, 0.523, 0.391, 0.508]"
39,"[0.588, 0.661, 0.444, 0.622, 0.348, 0.629, 0.522, 0.511, 0.391, 0.509]"
40,"[0.617, 0.657, 0.419, 0.621, 0.36, 0.66, 0.512, 0.497, 0.4, 0.51]"
41,"[0.648, 0.683, 0.427, 0.664, 0.4, 0.663, 0.516, 0.525, 0.412, 0.547]"
42,"[0.637, 0.674, 0.433, 0.65, 0.396, 0.649, 0.545, 0.527, 0.406, 0.491]"
43,"[0.578, 0.656, 0.43, 0.579, 0.36, 0.641, 0.528, 0.499, 0.404, 0.501]"
44,"[0.591, 0.7, 0.435, 0.657, 0.381, 0.69, 0.51, 0.526, 0.42, 0.527]"
45,"[0.611, 0.667, 0.456, 0.658, 0.385, 0.664, 0.52, 0.541, 0.422, 0.559]"
46,"[0.621, 0.682, 0.461, 0.673, 0.404, 0.649, 0.536, 0.528, 0.412, 0.522]"
47,"[0.607, 0.669, 0.429, 0.656, 0.368, 0.638, 0.531, 0.528, 0.399, 0.505]"
48,"[0.623, 0.729, 0.453, 0.727, 0.368, 0.713, 0.523, 0.516, 0.424, 0.512]"
49,"[0.602, 0.734, 0.461, 0.711, 0.375, 0.702, 0.548, 0.524, 0.429, 0.539]"
50,"[0.55, 0.749, 0.482, 0.7, 0.381, 0.72, 0.533, 0.554, 0.424, 0.563]"
51,"[0.64, 0.701, 0.459, 0.665, 0.411, 0.703, 0.524, 0.547, 0.43, 0.544]"
52,"[0.651, 0.735, 0.442, 0.729, 0.404, 0.718, 0.538, 0.526, 0.434, 0.547]"
53,"[0.633, 0.761, 0.484, 0.742, 0.394, 0.705, 0.545, 0.527, 0.435, 0.513]"
54,"[0.588, 0.757, 0.451, 0.708, 0.396, 0.708, 0.55, 0.511, 0.436, 0.532]"
55,"[0.552, 0.704, 0.511, 0.678, 0.394, 0.709, 0.53, 0.562, 0.416, 0.582]"
56,"[0.654, 0.688, 0.45, 0.657, 0.391, 0.694, 0.569, 0.545, 0.451, 0.551]"
57,"[0.62, 0.753, 0.468, 0.689, 0.415, 0.697, 0.538, 0.529, 0.45, 0.522]"
58,"[0.627, 0.758, 0.492, 0.716, 0.411, 0.73, 0.556, 0.535, 0.444, 0.528]"
59,"[0.599, 0.71, 0.51, 0.725, 0.394, 0.694, 0.541, 0.564, 0.438, 0.589]"
60,"[0.614, 0.741, 0.465, 0.686, 0.396, 0.701, 0.55, 0.538, 0.421, 0.55]"
61,"[0.632, 0.754, 0.478, 0.744, 0.394, 0.729, 0.564, 0.559, 0.444, 0.593]"
62,"[0.609, 0.748, 0.497, 0.695, 0.421, 0.704, 0.54, 0.547, 0.452, 0.545]"
63,"[0.61, 0.74, 0.485, 0.673, 0.425, 0.726, 0.562, 0.568, 0.441, 0.563]"
64,"[0.577, 0.694, 0.508, 0.668, 0.372, 0.699, 0.531, 0.572, 0.432, 0.581]"
65,"[0.658, 0.745, 0.467, 0.689, 0.396, 0.717, 0.547, 0.542, 0.445, 0.555]"
66,"[0.648, 0.769, 0.497, 0.737, 0.42, 0.74, 0.56, 0.565, 0.461, 0.569]"
67,"[0.658, 0.757, 0.473, 0.703, 0.437, 0.724, 0.574, 0.537, 0.454, 0.536]"
68,"[0.523, 0.75, 0.488, 0.72, 0.367, 0.708, 0.559, 0.547, 0.426, 0.545]"
69,"[0.547, 0.74, 0.508, 0.69, 0.381, 0.723, 0.538, 0.549, 0.437, 0.588]"
70,"[0.626, 0.733, 0.496, 0.693, 0.416, 0.734, 0.526, 0.551, 0.459, 0.571]"
71,"[0.647, 0.735, 0.511, 0.659, 0.415, 0.722, 0.573, 0.563, 0.467, 0.551]"
72,"[0.605, 0.757, 0.493, 0.693, 0.406, 0.731, 0.559, 0.51, 0.454, 0.525]"
73,"[0.549, 0.736, 0.519, 0.638, 0.379, 0.697, 0.552, 0.549, 0.437, 0.584]"
74,"[0.66, 0.734, 0.508, 0.672, 0.418, 0.712, 0.535, 0.57, 0.455, 0.594]"
75,"[0.663, 0.744, 0.518, 0.714, 0.429, 0.718, 0.572, 0.564, 0.46, 0.578]"
76,"[0.632, 0.758, 0.506, 0.671, 0.454, 0.703, 0.559, 0.544, 0.468, 0.542]"
77,"[0.626, 0.73, 0.494, 0.677, 0.414, 0.729, 0.557, 0.521, 0.45, 0.509]"
78,"[0.659, 0.742, 0.501, 0.702, 0.438, 0.735, 0.539, 0.569, 0.465, 0.585]"
79,"[0.651, 0.731, 0.487, 0.658, 0.406, 0.727, 0.553, 0.561, 0.464, 0.575]"
80,"[0.631, 0.737, 0.523, 0.711, 0.41, 0.71, 0.562, 0.545, 0.457, 0.569]"
81,"[0.604, 0.74, 0.476, 0.68, 0.392, 0.691, 0.541, 0.531, 0.454, 0.555]"
82,"[0.581, 0.737, 0.479, 0.722, 0.405, 0.711, 0.538, 0.54, 0.462, 0.579]"
83,"[0.606, 0.756, 0.546, 0.714, 0.424, 0.745, 0.566, 0.591, 0.466, 0.619]"
84,"[0.594, 0.753, 0.566, 0.712, 0.402, 0.734, 0.578, 0.592, 0.462, 0.587]"
85,"[0.629, 0.744, 0.513, 0.689, 0.448, 0.681, 0.542, 0.553, 0.46, 0.561]"
86,"[0.63, 0.749, 0.518, 0.707, 0.501, 0.754, 0.574, 0.543, 0.471, 0.553]"
87,"[0.593, 0.746, 0.555, 0.683, 0.447, 0.732, 0.571, 0.575, 0.468, 0.58]"
88,"[0.655, 0.754, 0.521, 0.679, 0.403, 0.716, 0.542, 0.574, 0.458, 0.596]"
89,"[0.661, 0.736, 0.481, 0.72, 0.439, 0.719, 0.553, 0.547, 0.464, 0.576]"
90,"[0.63, 0.754, 0.516, 0.704, 0.438, 0.75, 0.576, 0.57, 0.469, 0.571]"
91,"[0.602, 0.767, 0.517, 0.713, 0.385, 0.728, 0.572, 0.56, 0.475, 0.573]"
92,"[0.656, 0.791, 0.532, 0.73, 0.405, 0.77, 0.554, 0.556, 0.473, 0.554]"
93,"[0.675, 0.752, 0.497, 0.716, 0.41, 0.75, 0.547, 0.563, 0.454, 0.56]"
94,"[0.624, 0.758, 0.493, 0.67, 0.418, 0.751, 0.551, 0.554, 0.45, 0.571]"
95,"[0.643, 0.76, 0.515, 0.689, 0.457, 0.73, 0.534, 0.554, 0.479, 0.593]"
96,"[0.597, 0.749, 0.543, 0.695, 0.46, 0.73, 0.555, 0.575, 0.475, 0.609]"
97,"[0.6, 0.765, 0.53, 0.701, 0.457, 0.74, 0.574, 0.56, 0.461, 0.626]"
98,"[0.624, 0.751, 0.584, 0.685, 0.446, 0.708, 0.549, 0.585, 0.473, 0.62]"
99,"[0.605, 0.759, 0.538, 0.714, 0.433, 0.761, 0.558, 0.563, 0.473, 0.613]"
closeness_centrality,[1.]
0,"[0.181, 0.185, 0.228, 0.147, 0.212, 0.102, 0.258, 0.179, 0.113, 0.152]"
1,"[0.202, 0.183, 0.217, 0.207, 0.214, 0.302, 0.277, 0.154, 0.279, 0.153]"
2,"[0.277, 0.189, 0.193, 0.207, 0.281, 0.37, 0.288, 0.185, 0.195, 0.198]"
3,"[0.263, 0.188, 0.239, 0.207, 0.293, 0.423, 0.362, 0.325, 0.255, 0.187]"
4,"[0.261, 0.188, 0.204, 0.207, 0.251, 0.422, 0.393, 0.293, 0.292, 0.225]"
