eigenvector_centrality,[31 30 29]
0,"[0.09904153354632587, 0.10862619808306709, 0.09904153354632587, 0.10543130990415335, 0.10862619808306709, 0.09904153354632587, 0.10223642172523961, 0.13099041533546327, 0.11501597444089456, 0.09584664536741214, 0.0926517571884984, 0.09584664536741214, 0.08945686900958466, 0.10862619808306709, 0.12460063897763578, 0.10223642172523961, 0.060897435897435896, 0.09935897435897435, 0.08653846153846154, 0.11538461538461539, 0.11858974358974358, 0.09935897435897435, 0.11538461538461539, 0.08974358974358974, 0.10256410256410256, 0.10256410256410256, 0.10256410256410256, 0.10897435897435898, 0.07692307692307693, 0.08974358974358974, 0.09615384615384616, 0.08012820512820513]"
1,"[0.08945686900958466, 0.10862619808306709, 0.14057507987220447, 0.10543130990415335, 0.08306709265175719, 0.09904153354632587, 0.06389776357827476, 0.08306709265175719, 0.08626198083067092, 0.11182108626198083, 0.09584664536741214, 0.12140575079872204, 0.12460063897763578, 0.10862619808306709, 0.1182108626198083, 0.10543130990415335, 0.13141025641025642, 0.09294871794871795, 0.11858974358974358, 0.11217948717948718, 0.09615384615384616, 0.10576923076923077, 0.10576923076923077, 0.07051282051282051, 0.10256410256410256, 0.10256410256410256, 0.10256410256410256, 0.10576923076923077, 0.09935897435897435, 0.08653846153846154, 0.07371794871794872, 0.10256410256410256]"
2,"[0.09904153354632587, 0.10862619808306709, 0.14057507987220447, 0.10543130990415335, 0.09904153354632587, 0.09584664536741214, 0.06389776357827476, 0.08306709265175719, 0.10223642172523961, 0.08945686900958466, 0.0926517571884984, 0.09584664536741214, 0.08945686900958466, 0.10862619808306709, 0.04472843450479233, 0.12140575079872204, 0.060897435897435896, 0.09935897435897435, 0.10256410256410256, 0.11538461538461539, 0.11858974358974358, 0.003205128205128205, 0.11538461538461539, 0.08974358974358974, 0.10256410256410256, 0.10256410256410256, 0.10256410256410256, 0.10576923076923077, 0.11858974358974358, 0.12179487179487179, 0.07371794871794872, 0.08012820512820513]"
3,"[0.09904153354632587, 0.10862619808306709, 0.14057507987220447, 0.10543130990415335, 0.09904153354632587, 0.09584664536741214, 0.06389776357827476, 0.08306709265175719, 0.09904153354632587, 0.06389776357827476, 0.07667731629392971, 0.12140575079872204, 0.12460063897763578, 0.10223642172523961, 0.1182108626198083, 0.10543130990415335, 0.07692307692307693, 0.09294871794871795, 0.11858974358974358, 0.11217948717948718, 0.04807692307692308, 0.10576923076923077, 0.019230769230769232, 0.07051282051282051, 0.003205128205128205, 0.07371794871794872, 0.07692307692307693, 0.10576923076923077, 0.09935897435897435, 0.08653846153846154, 0.07371794871794872, 0.003205128205128205]"
4,"[0.09904153354632587, 0.10862619808306709, 0.14057507987220447, 0.10543130990415335, 0.09904153354632587, 0.09584664536741214, 0.06389776357827476, 0.08306709265175719, 0.12460063897763578, 0.08945686900958466, 0.0926517571884984, 0.10543130990415335, 0.10223642172523961, 0.09904153354632587, 0.1182108626198083, 0.12140575079872204, 0.060897435897435896, 0.09935897435897435, 0.10256410256410256, 0.11538461538461539, 0.10576923076923077, 0.05128205128205128, 0.11538461538461539, 0.08974358974358974, 0.08333333333333333, 0.10256410256410256, 0.10897435897435898, 0.10576923076923077, 0.0673076923076923, 0.07051282051282051, 0.07371794871794872, 0.08012820512820513]"
5,"[0.07028753993610223, 0.10862619808306709, 0.14057507987220447, 0.10543130990415335, 0.09904153354632587, 0.0926517571884984, 0.06389776357827476, 0.08306709265175719, 0.09904153354632587, 0.1182108626198083, 0.06389776357827476, 0.12140575079872204, 0.09904153354632587, 0.10223642172523961, 0.1182108626198083, 0.10543130990415335, 0.07692307692307693, 0.09294871794871795, 0.11858974358974358, 0.11217948717948718, 0.08974358974358974, 0.10576923076923077, 0.05448717948717949, 0.07051282051282051, 0.12179487179487179, 0.07371794871794872, 0.07692307692307693, 0.10576923076923077, 0.11858974358974358, 0.08974358974358974, 0.07051282051282051, 0.11858974358974358]"
6,"[0.09904153354632587, 0.08626198083067092, 0.14057507987220447, 0.10543130990415335, 0.12779552715654952, 0.09584664536741214, 0.06389776357827476, 0.051118210862619806, 0.08945686900958466, 0.08945686900958466, 0.0926517571884984, 0.08945686900958466, 0.10223642172523961, 0.09904153354632587, 0.11182108626198083, 0.12140575079872204, 0.060897435897435896, 0.09935897435897435, 0.10256410256410256, 0.11538461538461539, 0.10576923076923077, 0.10576923076923077, 0.11538461538461539, 0.08974358974358974, 0.08333333333333333, 0.10256410256410256, 0.10897435897435898, 0.10576923076923077, 0.0673076923076923, 0.07051282051282051, 0.12179487179487179, 0.08012820512820513]"
7,"[0.06389776357827476, 0.10862619808306709, 0.14057507987220447, 0.07987220447284345, 0.09904153354632587, 0.09904153354632587, 0.08306709265175719, 0.08306709265175719, 0.09904153354632587, 0.1182108626198083, 0.09584664536741214, 0.12140575079872204, 0.09904153354632587, 0.10223642172523961, 0.1182108626198083, 0.10543130990415335, 0.07692307692307693, 0.09294871794871795, 0.11858974358974358, 0.11217948717948718, 0.08974358974358974, 0.10576923076923077, 0.09615384615384616, 0.07051282051282051, 0.12179487179487179, 0.07371794871794872, 0.07692307692307693, 0.10576923076923077, 0.11858974358974358, 0.08974358974358974, 0.07051282051282051, 0.11858974358974358]"
8,"[0.09904153354632587, 0.10862619808306709, 0.11501597444089456, 0.10543130990415335, 0.134185303514377, 0.09584664536741214, 0.06389776357827476, 0.09904153354632587, 0.1182108626198083, 0.08945686900958466, 0.0926517571884984, 0.11501597444089456, 0.10223642172523961, 0.09904153354632587, 0.10543130990415335, 0.12140575079872204, 0.060897435897435896, 0.09935897435897435, 0.10256410256410256, 0.11538461538461539, 0.10576923076923077, 0.10576923076923077, 0.11538461538461539, 0.08974358974358974, 0.08333333333333333, 0.10256410256410256, 0.10897435897435898, 0.10576923076923077, 0.0673076923076923, 0.038461538461538464, 0.12179487179487179, 0.08012820512820513]"
9,"[0.08945686900958466, 0.10862619808306709, 0.14057507987220447, 0.07667731629392971, 0.09904153354632587, 0.09904153354632587, 0.08945686900958466, 0.08306709265175719, 0.09904153354632587, 0.06389776357827476, 0.08306709265175719, 0.12140575079872204, 0.09584664536741214, 0.10223642172523961, 0.1182108626198083, 0.10543130990415335, 0.060897435897435896, 0.09294871794871795, 0.11538461538461539, 0.11217948717948718, 0.08974358974358974, 0.041666666666666664, 0.0641025641025641, 0.07051282051282051, 0.12179487179487179, 0.07371794871794872, 0.038461538461538464, 0.09935897435897435, 0.11858974358974358, 0.08974358974358974, 0.07692307692307693, 0.035256410256410256]"
