eigenvector_centrality,[31 30 29]
0,"[0.07348242811501597, 0.10223642172523961, 0.134185303514377, 0.07028753993610223, 0.09904153354632587, 0.10223642172523961, 0.14376996805111822, 0.08306709265175719, 0.07667731629392971, 0.12140575079872204, 0.08626198083067092, 0.09584664536741214, 0.0926517571884984, 0.1597444089456869, 0.07987220447284345, 0.11501597444089456, 0.12179487179487179, 0.11858974358974358, 0.1346153846153846, 0.08653846153846154, 0.10576923076923077, 0.11538461538461539, 0.0673076923076923, 0.08333333333333333, 0.08333333333333333, 0.10256410256410256, 0.10897435897435898, 0.09935897435897435, 0.07692307692307693, 0.08974358974358974, 0.09935897435897435, 0.08974358974358974]"
1,"[0.10223642172523961, 0.10223642172523961, 0.134185303514377, 0.08945686900958466, 0.09904153354632587, 0.09584664536741214, 0.11182108626198083, 0.09584664536741214, 0.07667731629392971, 0.1182108626198083, 0.09584664536741214, 0.07348242811501597, 0.10223642172523961, 0.10223642172523961, 0.10223642172523961, 0.11501597444089456, 0.09935897435897435, 0.09294871794871795, 0.0673076923076923, 0.09615384615384616, 0.12179487179487179, 0.11538461538461539, 0.0673076923076923, 0.08974358974358974, 0.08333333333333333, 0.10576923076923077, 0.09935897435897435, 0.10576923076923077, 0.11858974358974358, 0.08974358974358974, 0.13141025641025642, 0.08653846153846154]"
2,"[0.03194888178913738, 0.10223642172523961, 0.09904153354632587, 0.10862619808306709, 0.09904153354632587, 0.09584664536741214, 0.12140575079872204, 0.08306709265175719, 0.12460063897763578, 0.12140575079872204, 0.08626198083067092, 0.09584664536741214, 0.10223642172523961, 0.10223642172523961, 0.10223642172523961, 0.11501597444089456, 0.060897435897435896, 0.09615384615384616, 0.08333333333333333, 0.11538461538461539, 0.10576923076923077, 0.07051282051282051, 0.0673076923076923, 0.10256410256410256, 0.003205128205128205, 0.10256410256410256, 0.10897435897435898, 0.09935897435897435, 0.07692307692307693, 0.08974358974358974, 0.09615384615384616, 0.08012820512820513]"
3,"[0.09904153354632587, 0.04472843450479233, 0.134185303514377, 0.03514376996805112, 0.09904153354632587, 0.09584664536741214, 0.04792332268370607, 0.09584664536741214, 0.022364217252396165, 0.134185303514377, 0.09584664536741214, 0.07348242811501597, 0.03194888178913738, 0.0926517571884984, 0.10223642172523961, 0.11501597444089456, 0.08333333333333333, 0.09615384615384616, 0.11858974358974358, 0.09935897435897435, 0.10576923076923077, 0.11538461538461539, 0.0673076923076923, 0.08974358974358974, 0.12179487179487179, 0.10576923076923077, 0.09935897435897435, 0.10576923076923077, 0.07692307692307693, 0.08974358974358974, 0.07051282051282051, 0.09294871794871795]"
4,"[0.08945686900958466, 0.10862619808306709, 0.14057507987220447, 0.13738019169329074, 0.05750798722044728, 0.09904153354632587, 0.09584664536741214, 0.0670926517571885, 0.08945686900958466, 0.09584664536741214, 0.08306709265175719, 0.08306709265175719, 0.06070287539936102, 0.05750798722044728, 0.10223642172523961, 0.051118210862619806, 0.060897435897435896, 0.09615384615384616, 0.08333333333333333, 0.11538461538461539, 0.12179487179487179, 0.10576923076923077, 0.09615384615384616, 0.10256410256410256, 0.13141025641025642, 0.10256410256410256, 0.10897435897435898, 0.10256410256410256, 0.0673076923076923, 0.08974358974358974, 0.13141025641025642, 0.08012820512820513]"
5,"[0.09904153354632587, 0.08306709265175719, 0.054313099041533544, 0.10543130990415335, 0.09584664536741214, 0.04792332268370607, 0.019169329073482427, 0.12460063897763578, 0.10223642172523961, 0.08945686900958466, 0.09584664536741214, 0.134185303514377, 0.05750798722044728, 0.0926517571884984, 0.07028753993610223, 0.054313099041533544, 0.08333333333333333, 0.09935897435897435, 0.09935897435897435, 0.09935897435897435, 0.060897435897435896, 0.11538461538461539, 0.0673076923076923, 0.08974358974358974, 0.12179487179487179, 0.10576923076923077, 0.14743589743589744, 0.10576923076923077, 0.07692307692307693, 0.07051282051282051, 0.057692307692307696, 0.09294871794871795]"
6,"[0.08945686900958466, 0.10862619808306709, 0.14057507987220447, 0.13738019169329074, 0.07348242811501597, 0.09904153354632587, 0.13099041533546327, 0.04792332268370607, 0.03194888178913738, 0.09584664536741214, 0.08306709265175719, 0.022364217252396165, 0.06070287539936102, 0.01597444089456869, 0.10223642172523961, 0.09904153354632587, 0.09615384615384616, 0.09615384615384616, 0.08333333333333333, 0.11538461538461539, 0.12179487179487179, 0.10576923076923077, 0.0641025641025641, 0.10256410256410256, 0.13141025641025642, 0.10256410256410256, 0.08653846153846154, 0.10256410256410256, 0.022435897435897436, 0.08974358974358974, 0.13141025641025642, 0.028846153846153848]"
7,"[0.03514376996805112, 0.08306709265175719, 0.054313099041533544, 0.03194888178913738, 0.09584664536741214, 0.06070287539936102, 0.11501597444089456, 0.12460063897763578, 0.10223642172523961, 0.02875399361022364, 0.0, 0.134185303514377, 0.08945686900958466, 0.0926517571884984, 0.07028753993610223, 0.10543130990415335, 0.08333333333333333, 0.09935897435897435, 0.10576923076923077, 0.09935897435897435, 0.022435897435897436, 0.11538461538461539, 0.0673076923076923, 0.003205128205128205, 0.028846153846153848, 0.10576923076923077, 0.14743589743589744, 0.016025641025641024, 0.07692307692307693, 0.009615384615384616, 0.02564102564102564, 0.09294871794871795]"
8,"[0.08945686900958466, 0.022364217252396165, 0.03194888178913738, 0.13738019169329074, 0.08945686900958466, 0.09904153354632587, 0.13099041533546327, 0.09584664536741214, 0.022364217252396165, 0.09584664536741214, 0.08306709265175719, 0.003194888178913738, 0.06070287539936102, 0.05750798722044728, 0.10223642172523961, 0.09904153354632587, 0.003205128205128205, 0.09615384615384616, 0.08333333333333333, 0.009615384615384616, 0.12179487179487179, 0.00641025641025641, 0.03205128205128205, 0.10256410256410256, 0.13141025641025642, 0.022435897435897436, 0.05128205128205128, 0.10256410256410256, 0.08012820512820513, 0.08974358974358974, 0.13141025641025642, 0.04807692307692308]"
9,"[0.012779552715654952, 0.08306709265175719, 0.054313099041533544, 0.03194888178913738, 0.09584664536741214, 0.11182108626198083, 0.12140575079872204, 0.12460063897763578, 0.10223642172523961, 0.003194888178913738, 0.03194888178913738, 0.134185303514377, 0.08945686900958466, 0.0926517571884984, 0.07028753993610223, 0.11501597444089456, 0.08333333333333333, 0.00641025641025641, 0.10576923076923077, 0.09935897435897435, 0.04487179487179487, 0.11538461538461539, 0.0673076923076923, 0.07051282051282051, 0.03205128205128205, 0.10576923076923077, 0.14743589743589744, 0.03205128205128205, 0.07692307692307693, 0.0641025641025641, 0.019230769230769232, 0.09294871794871795]"
