eigenvector_centrality,[31 30 29]
0,"[0.10223642172523961, 0.09904153354632587, 0.08626198083067092, 0.1757188498402556, 0.10862619808306709, 0.08306709265175719, 0.06389776357827476, 0.08306709265175719, 0.12460063897763578, 0.1182108626198083, 0.0926517571884984, 0.10543130990415335, 0.12460063897763578, 0.10223642172523961, 0.11501597444089456, 0.07348242811501597, 0.125, 0.11858974358974358, 0.10256410256410256, 0.10897435897435898, 0.11858974358974358, 0.08974358974358974, 0.08974358974358974, 0.1282051282051282, 0.08333333333333333, 0.10256410256410256, 0.07692307692307693, 0.10576923076923077, 0.1282051282051282, 0.10256410256410256, 0.07051282051282051, 0.10576923076923077]"
1,"[0.12140575079872204, 0.10543130990415335, 0.14057507987220447, 0.08306709265175719, 0.09904153354632587, 0.09904153354632587, 0.06389776357827476, 0.08306709265175719, 0.09904153354632587, 0.12140575079872204, 0.09584664536741214, 0.12140575079872204, 0.09904153354632587, 0.10223642172523961, 0.1182108626198083, 0.07348242811501597, 0.1346153846153846, 0.11858974358974358, 0.125, 0.11858974358974358, 0.05448717948717949, 0.08974358974358974, 0.01282051282051282, 0.1346153846153846, 0.12179487179487179, 0.10256410256410256, 0.07692307692307693, 0.09935897435897435, 0.0673076923076923, 0.10256410256410256, 0.08974358974358974, 0.10576923076923077]"
2,"[0.09904153354632587, 0.09904153354632587, 0.14057507987220447, 0.10543130990415335, 0.09904153354632587, 0.08306709265175719, 0.06389776357827476, 0.003194888178913738, 0.12460063897763578, 0.1182108626198083, 0.0926517571884984, 0.10543130990415335, 0.10223642172523961, 0.10223642172523961, 0.1182108626198083, 0.12140575079872204, 0.07692307692307693, 0.09935897435897435, 0.10256410256410256, 0.10897435897435898, 0.11858974358974358, 0.08974358974358974, 0.09615384615384616, 0.1346153846153846, 0.08333333333333333, 0.10256410256410256, 0.07692307692307693, 0.10576923076923077, 0.1282051282051282, 0.10256410256410256, 0.12179487179487179, 0.10576923076923077]"
3,"[0.09904153354632587, 0.10543130990415335, 0.14057507987220447, 0.08306709265175719, 0.09904153354632587, 0.09904153354632587, 0.06389776357827476, 0.07987220447284345, 0.09904153354632587, 0.12140575079872204, 0.0926517571884984, 0.12140575079872204, 0.10223642172523961, 0.10223642172523961, 0.1182108626198083, 0.025559105431309903, 0.1346153846153846, 0.09935897435897435, 0.10256410256410256, 0.04487179487179487, 0.11858974358974358, 0.08974358974358974, 0.01282051282051282, 0.1346153846153846, 0.12179487179487179, 0.08974358974358974, 0.07692307692307693, 0.09615384615384616, 0.1282051282051282, 0.10256410256410256, 0.038461538461538464, 0.10576923076923077]"
4,"[0.11182108626198083, 0.09904153354632587, 0.14057507987220447, 0.10543130990415335, 0.09904153354632587, 0.08306709265175719, 0.06389776357827476, 0.03194888178913738, 0.12460063897763578, 0.06070287539936102, 0.0926517571884984, 0.10543130990415335, 0.10223642172523961, 0.10223642172523961, 0.1182108626198083, 0.01597444089456869, 0.07692307692307693, 0.09935897435897435, 0.08653846153846154, 0.11217948717948718, 0.11858974358974358, 0.08974358974358974, 0.09615384615384616, 0.1346153846153846, 0.03205128205128205, 0.10256410256410256, 0.07692307692307693, 0.10256410256410256, 0.0, 0.10256410256410256, 0.12179487179487179, 0.10576923076923077]"
5,"[0.09904153354632587, 0.10543130990415335, 0.13738019169329074, 0.07348242811501597, 0.09904153354632587, 0.08306709265175719, 0.06389776357827476, 0.11182108626198083, 0.08306709265175719, 0.12140575079872204, 0.0926517571884984, 0.09584664536741214, 0.10223642172523961, 0.10223642172523961, 0.03194888178913738, 0.12140575079872204, 0.1346153846153846, 0.09935897435897435, 0.10256410256410256, 0.02564102564102564, 0.0, 0.08974358974358974, 0.11217948717948718, 0.08974358974358974, 0.12179487179487179, 0.016025641025641024, 0.08974358974358974, 0.10576923076923077, 0.1282051282051282, 0.10256410256410256, 0.12179487179487179, 0.022435897435897436]"
6,"[0.11182108626198083, 0.09904153354632587, 0.14057507987220447, 0.08945686900958466, 0.09904153354632587, 0.08306709265175719, 0.09904153354632587, 0.08306709265175719, 0.09904153354632587, 0.0, 0.09584664536741214, 0.12140575079872204, 0.025559105431309903, 0.09584664536741214, 0.1182108626198083, 0.006389776357827476, 0.07692307692307693, 0.09935897435897435, 0.04487179487179487, 0.11217948717948718, 0.11858974358974358, 0.08974358974358974, 0.09615384615384616, 0.1346153846153846, 0.10897435897435898, 0.09615384615384616, 0.07692307692307693, 0.09935897435897435, 0.11858974358974358, 0.10256410256410256, 0.016025641025641024, 0.11858974358974358]"
7,"[0.04153354632587859, 0.07348242811501597, 0.02875399361022364, 0.10543130990415335, 0.09904153354632587, 0.09904153354632587, 0.06389776357827476, 0.019169329073482427, 0.0, 0.12140575079872204, 0.0926517571884984, 0.08945686900958466, 0.10223642172523961, 0.019169329073482427, 0.0, 0.12140575079872204, 0.09294871794871795, 0.08012820512820513, 0.10256410256410256, 0.00641025641025641, 0.10576923076923077, 0.0673076923076923, 0.11538461538461539, 0.08974358974358974, 0.08333333333333333, 0.08012820512820513, 0.003205128205128205, 0.10576923076923077, 0.1282051282051282, 0.0, 0.12179487179487179, 0.0]"
8,"[0.11182108626198083, 0.09904153354632587, 0.14057507987220447, 0.003194888178913738, 0.09904153354632587, 0.051118210862619806, 0.01597444089456869, 0.08306709265175719, 0.10862619808306709, 0.006389776357827476, 0.003194888178913738, 0.07987220447284345, 0.003194888178913738, 0.10223642172523961, 0.1182108626198083, 0.0, 0.08333333333333333, 0.04807692307692308, 0.00641025641025641, 0.11217948717948718, 0.04807692307692308, 0.09935897435897435, 0.02564102564102564, 0.003205128205128205, 0.0, 0.11538461538461539, 0.07692307692307693, 0.0, 0.09615384615384616, 0.016025641025641024, 0.0, 0.09294871794871795]"
9,"[0.03514376996805112, 0.0, 0.0, 0.10223642172523961, 0.025559105431309903, 0.09904153354632587, 0.06389776357827476, 0.07348242811501597, 0.003194888178913738, 0.12140575079872204, 0.0926517571884984, 0.003194888178913738, 0.08945686900958466, 0.0, 0.0, 0.07348242811501597, 0.003205128205128205, 0.11217948717948718, 0.019230769230769232, 0.01282051282051282, 0.09935897435897435, 0.0, 0.003205128205128205, 0.07692307692307693, 0.07051282051282051, 0.0, 0.003205128205128205, 0.08012820512820513, 0.00641025641025641, 0.10256410256410256, 0.09615384615384616, 0.0]"
