eigenvector_centrality,[31 30 29]
0,"[0.0926517571884984, 0.09904153354632587, 0.11501597444089456, 0.08945686900958466, 0.07348242811501597, 0.12460063897763578, 0.10223642172523961, 0.08945686900958466, 0.09584664536741214, 0.09904153354632587, 0.10543130990415335, 0.07667731629392971, 0.13738019169329074, 0.10862619808306709, 0.11501597444089456, 0.09904153354632587, 0.0641025641025641, 0.07692307692307693, 0.10576923076923077, 0.09935897435897435, 0.05448717948717949, 0.08653846153846154, 0.08974358974358974, 0.1282051282051282, 0.13141025641025642, 0.10256410256410256, 0.14743589743589744, 0.13782051282051283, 0.10576923076923077, 0.08653846153846154, 0.09935897435897435, 0.08974358974358974]"
1,"[0.04792332268370607, 0.10223642172523961, 0.09904153354632587, 0.10862619808306709, 0.08306709265175719, 0.0926517571884984, 0.1182108626198083, 0.12779552715654952, 0.11501597444089456, 0.07987220447284345, 0.0926517571884984, 0.04153354632587859, 0.08945686900958466, 0.10862619808306709, 0.11501597444089456, 0.07348242811501597, 0.05128205128205128, 0.09294871794871795, 0.08333333333333333, 0.03205128205128205, 0.05448717948717949, 0.10897435897435898, 0.08974358974358974, 0.1282051282051282, 0.13141025641025642, 0.08012820512820513, 0.09935897435897435, 0.10256410256410256, 0.09615384615384616, 0.08333333333333333, 0.09935897435897435, 0.08974358974358974]"
2,"[0.10223642172523961, 0.07348242811501597, 0.11501597444089456, 0.08626198083067092, 0.07987220447284345, 0.09904153354632587, 0.10223642172523961, 0.12779552715654952, 0.11501597444089456, 0.09904153354632587, 0.13099041533546327, 0.07667731629392971, 0.08945686900958466, 0.10862619808306709, 0.11501597444089456, 0.07028753993610223, 0.08333333333333333, 0.060897435897435896, 0.10576923076923077, 0.09935897435897435, 0.08333333333333333, 0.09294871794871795, 0.08974358974358974, 0.1282051282051282, 0.08333333333333333, 0.10576923076923077, 0.14743589743589744, 0.09935897435897435, 0.09615384615384616, 0.08653846153846154, 0.09935897435897435, 0.08974358974358974]"
3,"[0.0926517571884984, 0.08306709265175719, 0.08626198083067092, 0.10862619808306709, 0.08306709265175719, 0.0926517571884984, 0.1182108626198083, 0.10862619808306709, 0.07667731629392971, 0.09904153354632587, 0.08945686900958466, 0.07348242811501597, 0.13738019169329074, 0.10862619808306709, 0.11501597444089456, 0.07028753993610223, 0.11858974358974358, 0.09615384615384616, 0.08333333333333333, 0.08653846153846154, 0.10897435897435898, 0.08974358974358974, 0.08974358974358974, 0.1282051282051282, 0.13141025641025642, 0.08012820512820513, 0.07051282051282051, 0.10256410256410256, 0.09615384615384616, 0.10897435897435898, 0.09935897435897435, 0.08974358974358974]"
4,"[0.10223642172523961, 0.07348242811501597, 0.11501597444089456, 0.08626198083067092, 0.07987220447284345, 0.09904153354632587, 0.10223642172523961, 0.07667731629392971, 0.11501597444089456, 0.09904153354632587, 0.13099041533546327, 0.02875399361022364, 0.07987220447284345, 0.10862619808306709, 0.09904153354632587, 0.07028753993610223, 0.08333333333333333, 0.07692307692307693, 0.08653846153846154, 0.09935897435897435, 0.08333333333333333, 0.09294871794871795, 0.08974358974358974, 0.10897435897435898, 0.10256410256410256, 0.09615384615384616, 0.14743589743589744, 0.11858974358974358, 0.09615384615384616, 0.08653846153846154, 0.09935897435897435, 0.08974358974358974]"
5,"[0.08945686900958466, 0.10223642172523961, 0.08626198083067092, 0.06070287539936102, 0.08306709265175719, 0.0926517571884984, 0.02875399361022364, 0.12779552715654952, 0.07667731629392971, 0.09904153354632587, 0.05750798722044728, 0.06070287539936102, 0.13738019169329074, 0.10862619808306709, 0.11182108626198083, 0.06070287539936102, 0.11858974358974358, 0.08974358974358974, 0.08333333333333333, 0.08653846153846154, 0.10897435897435898, 0.09935897435897435, 0.08012820512820513, 0.10897435897435898, 0.13141025641025642, 0.12179487179487179, 0.08333333333333333, 0.10256410256410256, 0.09615384615384616, 0.10897435897435898, 0.0673076923076923, 0.08974358974358974]"
6,"[0.10223642172523961, 0.07348242811501597, 0.04153354632587859, 0.07028753993610223, 0.07987220447284345, 0.09904153354632587, 0.10223642172523961, 0.04472843450479233, 0.11501597444089456, 0.09904153354632587, 0.11501597444089456, 0.07348242811501597, 0.10862619808306709, 0.10862619808306709, 0.038338658146964855, 0.10543130990415335, 0.08333333333333333, 0.10897435897435898, 0.10576923076923077, 0.09935897435897435, 0.08333333333333333, 0.09294871794871795, 0.11538461538461539, 0.09615384615384616, 0.07051282051282051, 0.11538461538461539, 0.13782051282051283, 0.11538461538461539, 0.09615384615384616, 0.009615384615384616, 0.08974358974358974, 0.09294871794871795]"
7,"[0.0926517571884984, 0.03194888178913738, 0.08626198083067092, 0.134185303514377, 0.08306709265175719, 0.0926517571884984, 0.08626198083067092, 0.11182108626198083, 0.07667731629392971, 0.09584664536741214, 0.13099041533546327, 0.038338658146964855, 0.13738019169329074, 0.10862619808306709, 0.08945686900958466, 0.09584664536741214, 0.11858974358974358, 0.09615384615384616, 0.08333333333333333, 0.09294871794871795, 0.14423076923076922, 0.09935897435897435, 0.08012820512820513, 0.10256410256410256, 0.13141025641025642, 0.08974358974358974, 0.11217948717948718, 0.10256410256410256, 0.10256410256410256, 0.10897435897435898, 0.1346153846153846, 0.125]"
8,"[0.10223642172523961, 0.08626198083067092, 0.08626198083067092, 0.08626198083067092, 0.07987220447284345, 0.09584664536741214, 0.10223642172523961, 0.13099041533546327, 0.11182108626198083, 0.12140575079872204, 0.11501597444089456, 0.134185303514377, 0.10862619808306709, 0.10862619808306709, 0.1182108626198083, 0.0670926517571885, 0.08333333333333333, 0.10897435897435898, 0.08333333333333333, 0.09935897435897435, 0.08333333333333333, 0.1346153846153846, 0.0673076923076923, 0.09615384615384616, 0.08653846153846154, 0.10576923076923077, 0.14743589743589744, 0.10256410256410256, 0.07051282051282051, 0.038461538461538464, 0.11858974358974358, 0.09294871794871795]"
9,"[0.12460063897763578, 0.10223642172523961, 0.08626198083067092, 0.13738019169329074, 0.08306709265175719, 0.12779552715654952, 0.1182108626198083, 0.10223642172523961, 0.08306709265175719, 0.09584664536741214, 0.08945686900958466, 0.022364217252396165, 0.13099041533546327, 0.038338658146964855, 0.09904153354632587, 0.07348242811501597, 0.11858974358974358, 0.09615384615384616, 0.08333333333333333, 0.09294871794871795, 0.12179487179487179, 0.09935897435897435, 0.08012820512820513, 0.10256410256410256, 0.13141025641025642, 0.08974358974358974, 0.07692307692307693, 0.10256410256410256, 0.08653846153846154, 0.10576923076923077, 0.13141025641025642, 0.125]"
