eigenvector_centrality,[31 30 29]
0,"[0.09904153354632587, 0.10862619808306709, 0.08626198083067092, 0.12779552715654952, 0.09904153354632587, 0.09904153354632587, 0.09584664536741214, 0.07987220447284345, 0.10543130990415335, 0.09904153354632587, 0.12140575079872204, 0.07348242811501597, 0.09904153354632587, 0.10862619808306709, 0.10223642172523961, 0.1501597444089457, 0.08653846153846154, 0.09294871794871795, 0.08653846153846154, 0.11538461538461539, 0.11858974358974358, 0.22756410256410256, 0.09294871794871795, 0.07051282051282051, 0.0673076923076923, 0.11538461538461539, 0.08974358974358974, 0.16025641025641027, 0.10256410256410256, 0.08653846153846154, 0.07371794871794872, 0.09935897435897435]"
1,"[0.10223642172523961, 0.10862619808306709, 0.09904153354632587, 0.07028753993610223, 0.11501597444089456, 0.09584664536741214, 0.09584664536741214, 0.09584664536741214, 0.09584664536741214, 0.09904153354632587, 0.0926517571884984, 0.07348242811501597, 0.10223642172523961, 0.10862619808306709, 0.09584664536741214, 0.07028753993610223, 0.060897435897435896, 0.09294871794871795, 0.1346153846153846, 0.11538461538461539, 0.11858974358974358, 0.10576923076923077, 0.10576923076923077, 0.08974358974358974, 0.0673076923076923, 0.10256410256410256, 0.08974358974358974, 0.08333333333333333, 0.09935897435897435, 0.11217948717948718, 0.09615384615384616, 0.09294871794871795]"
2,"[0.08945686900958466, 0.10223642172523961, 0.11501597444089456, 0.1182108626198083, 0.09904153354632587, 0.09904153354632587, 0.09584664536741214, 0.07987220447284345, 0.09584664536741214, 0.09904153354632587, 0.0926517571884984, 0.07348242811501597, 0.09904153354632587, 0.09904153354632587, 0.10223642172523961, 0.07028753993610223, 0.08653846153846154, 0.09294871794871795, 0.11858974358974358, 0.11538461538461539, 0.11858974358974358, 0.10576923076923077, 0.10576923076923077, 0.07051282051282051, 0.0673076923076923, 0.11538461538461539, 0.08974358974358974, 0.11538461538461539, 0.11858974358974358, 0.08974358974358974, 0.07371794871794872, 0.08653846153846154]"
3,"[0.09904153354632587, 0.10862619808306709, 0.03514376996805112, 0.038338658146964855, 0.09904153354632587, 0.09584664536741214, 0.12140575079872204, 0.09584664536741214, 0.09584664536741214, 0.07348242811501597, 0.0926517571884984, 0.07348242811501597, 0.10223642172523961, 0.07028753993610223, 0.09584664536741214, 0.07028753993610223, 0.060897435897435896, 0.09294871794871795, 0.1346153846153846, 0.11538461538461539, 0.08653846153846154, 0.10576923076923077, 0.10576923076923077, 0.1282051282051282, 0.0673076923076923, 0.08012820512820513, 0.08974358974358974, 0.11538461538461539, 0.09935897435897435, 0.11217948717948718, 0.09615384615384616, 0.08012820512820513]"
4,"[0.08945686900958466, 0.10862619808306709, 0.11501597444089456, 0.1182108626198083, 0.09904153354632587, 0.09904153354632587, 0.09584664536741214, 0.09584664536741214, 0.09584664536741214, 0.038338658146964855, 0.0926517571884984, 0.07667731629392971, 0.07028753993610223, 0.10223642172523961, 0.10223642172523961, 0.06389776357827476, 0.08653846153846154, 0.09294871794871795, 0.11858974358974358, 0.10256410256410256, 0.016025641025641024, 0.10576923076923077, 0.10897435897435898, 0.07051282051282051, 0.0673076923076923, 0.11538461538461539, 0.08974358974358974, 0.10576923076923077, 0.11858974358974358, 0.08974358974358974, 0.07371794871794872, 0.08653846153846154]"
5,"[0.09904153354632587, 0.10862619808306709, 0.09904153354632587, 0.10862619808306709, 0.134185303514377, 0.09584664536741214, 0.12140575079872204, 0.09584664536741214, 0.09584664536741214, 0.08945686900958466, 0.0926517571884984, 0.0, 0.10223642172523961, 0.006389776357827476, 0.09584664536741214, 0.11501597444089456, 0.060897435897435896, 0.09935897435897435, 0.1346153846153846, 0.11538461538461539, 0.10576923076923077, 0.10576923076923077, 0.02564102564102564, 0.1282051282051282, 0.0673076923076923, 0.10256410256410256, 0.08974358974358974, 0.11538461538461539, 0.02564102564102564, 0.0673076923076923, 0.09615384615384616, 0.08012820512820513]"
6,"[0.08945686900958466, 0.10862619808306709, 0.11501597444089456, 0.1182108626198083, 0.09904153354632587, 0.09904153354632587, 0.038338658146964855, 0.08306709265175719, 0.09904153354632587, 0.1182108626198083, 0.0926517571884984, 0.07667731629392971, 0.003194888178913738, 0.10223642172523961, 0.10223642172523961, 0.06389776357827476, 0.07692307692307693, 0.09294871794871795, 0.11858974358974358, 0.11858974358974358, 0.08974358974358974, 0.10576923076923077, 0.10897435897435898, 0.01282051282051282, 0.10897435897435898, 0.07371794871794872, 0.08974358974358974, 0.04807692307692308, 0.11858974358974358, 0.08974358974358974, 0.003205128205128205, 0.05448717948717949]"
7,"[0.09904153354632587, 0.10862619808306709, 0.09904153354632587, 0.10543130990415335, 0.134185303514377, 0.09584664536741214, 0.06389776357827476, 0.09584664536741214, 0.12460063897763578, 0.08945686900958466, 0.07987220447284345, 0.09584664536741214, 0.10223642172523961, 0.09904153354632587, 0.07987220447284345, 0.12140575079872204, 0.060897435897435896, 0.09935897435897435, 0.13141025641025642, 0.11538461538461539, 0.10576923076923077, 0.10576923076923077, 0.003205128205128205, 0.08974358974358974, 0.08333333333333333, 0.10256410256410256, 0.02564102564102564, 0.11538461538461539, 0.0673076923076923, 0.07051282051282051, 0.028846153846153848, 0.028846153846153848]"
8,"[0.08945686900958466, 0.10862619808306709, 0.14057507987220447, 0.1182108626198083, 0.09904153354632587, 0.09904153354632587, 0.09584664536741214, 0.08306709265175719, 0.09904153354632587, 0.1182108626198083, 0.03194888178913738, 0.12140575079872204, 0.09904153354632587, 0.10223642172523961, 0.1182108626198083, 0.10543130990415335, 0.07692307692307693, 0.09294871794871795, 0.11858974358974358, 0.11217948717948718, 0.08974358974358974, 0.10576923076923077, 0.09615384615384616, 0.07051282051282051, 0.12179487179487179, 0.07371794871794872, 0.07692307692307693, 0.10576923076923077, 0.11858974358974358, 0.08974358974358974, 0.022435897435897436, 0.11858974358974358]"
9,"[0.09904153354632587, 0.10862619808306709, 0.09904153354632587, 0.10543130990415335, 0.134185303514377, 0.09584664536741214, 0.06389776357827476, 0.09584664536741214, 0.12460063897763578, 0.08945686900958466, 0.0926517571884984, 0.09584664536741214, 0.10223642172523961, 0.09904153354632587, 0.0, 0.12140575079872204, 0.060897435897435896, 0.09935897435897435, 0.10256410256410256, 0.11538461538461539, 0.10576923076923077, 0.10576923076923077, 0.11538461538461539, 0.08974358974358974, 0.08333333333333333, 0.10256410256410256, 0.003205128205128205, 0.10576923076923077, 0.0673076923076923, 0.07051282051282051, 0.12179487179487179, 0.08012820512820513]"
