none,[]
27,"[0.3213572854291417, 0.322, 0.29, 0.25, 0.236, 0.286, 0.366, 0.426, 0.304, 0.3, 0.316, 0.286, 0.172, 0.388, 0.21, 0.326, 0.34, 0.354, 0.24, 0.3807615230460922]"
28,"[0.2055888223552894, 0.452, 0.372, 0.338, 0.318, 0.326, 0.364, 0.456, 0.396, 0.278, 0.182, 0.39, 0.358, 0.37, 0.368, 0.244, 0.324, 0.326, 0.262, 0.26452905811623245]"
29,"[0.3413173652694611, 0.368, 0.296, 0.254, 0.258, 0.282, 0.368, 0.45, 0.314, 0.318, 0.322, 0.312, 0.206, 0.378, 0.232, 0.34, 0.348, 0.366, 0.248, 0.374749498997996]"
30,"[0.1596806387225549, 0.416, 0.432, 0.348, 0.334, 0.312, 0.38, 0.47, 0.4, 0.27, 0.226, 0.386, 0.36, 0.376, 0.34, 0.252, 0.364, 0.31, 0.276, 0.3226452905811623]"
31,"[0.3592814371257485, 0.326, 0.322, 0.258, 0.286, 0.302, 0.368, 0.476, 0.334, 0.326, 0.328, 0.336, 0.192, 0.346, 0.25, 0.35, 0.37, 0.374, 0.248, 0.3807615230460922]"
32,"[0.16367265469061876, 0.396, 0.442, 0.348, 0.342, 0.298, 0.404, 0.458, 0.434, 0.272, 0.27, 0.376, 0.356, 0.384, 0.346, 0.258, 0.376, 0.334, 0.276, 0.36072144288577157]"
33,"[0.40718562874251496, 0.324, 0.342, 0.278, 0.316, 0.328, 0.372, 0.508, 0.348, 0.344, 0.338, 0.36, 0.174, 0.336, 0.262, 0.406, 0.394, 0.384, 0.27, 0.36072144288577157]"
34,"[0.22954091816367264, 0.416, 0.448, 0.382, 0.346, 0.312, 0.434, 0.442, 0.456, 0.288, 0.316, 0.372, 0.354, 0.358, 0.35, 0.28, 0.388, 0.324, 0.288, 0.3727454909819639]"
35,"[0.4111776447105788, 0.332, 0.358, 0.316, 0.394, 0.33, 0.374, 0.482, 0.354, 0.344, 0.322, 0.376, 0.178, 0.362, 0.318, 0.438, 0.42, 0.364, 0.3, 0.35070140280561124]"
36,"[0.21756487025948104, 0.392, 0.454, 0.43, 0.316, 0.312, 0.456, 0.448, 0.462, 0.284, 0.312, 0.376, 0.326, 0.362, 0.354, 0.312, 0.376, 0.336, 0.292, 0.3867735470941884]"
