none,[]
27,"[0.12974051896207583, 0.094, 0.102, 0.098, 0.104, 0.184, 0.286, 0.108, 0.11, 0.16, 0.12, 0.118, 0.1, 0.084, 0.092, 0.108, 0.152, 0.098, 0.232, 0.10220440881763528]"
28,"[0.19161676646706588, 0.11, 0.166, 0.212, 0.112, 0.2, 0.2, 0.094, 0.178, 0.162, 0.24, 0.092, 0.168, 0.096, 0.134, 0.204, 0.102, 0.104, 0.096, 0.10020040080160321]"
29,"[0.12974051896207583, 0.094, 0.086, 0.104, 0.096, 0.184, 0.268, 0.108, 0.124, 0.192, 0.108, 0.176, 0.1, 0.084, 0.092, 0.108, 0.184, 0.098, 0.19, 0.08617234468937876]"
30,"[0.1277445109780439, 0.176, 0.272, 0.204, 0.112, 0.124, 0.182, 0.094, 0.172, 0.156, 0.23, 0.092, 0.17, 0.13, 0.144, 0.196, 0.102, 0.142, 0.164, 0.10020040080160321]"
31,"[0.1317365269461078, 0.204, 0.086, 0.144, 0.158, 0.188, 0.192, 0.108, 0.172, 0.244, 0.104, 0.21, 0.1, 0.084, 0.092, 0.108, 0.202, 0.098, 0.19, 0.08016032064128256]"
32,"[0.08582834331337326, 0.19, 0.294, 0.202, 0.112, 0.102, 0.176, 0.094, 0.158, 0.108, 0.186, 0.092, 0.168, 0.168, 0.152, 0.19, 0.102, 0.166, 0.11, 0.10020040080160321]"
33,"[0.15169660678642716, 0.224, 0.086, 0.172, 0.162, 0.22, 0.166, 0.11, 0.186, 0.226, 0.156, 0.214, 0.1, 0.084, 0.092, 0.144, 0.188, 0.1, 0.194, 0.08016032064128256]"
34,"[0.08383233532934131, 0.192, 0.352, 0.202, 0.112, 0.102, 0.176, 0.094, 0.116, 0.098, 0.18, 0.092, 0.19, 0.182, 0.152, 0.196, 0.102, 0.182, 0.104, 0.10821643286573146]"
35,"[0.15768463073852296, 0.224, 0.086, 0.112, 0.156, 0.232, 0.146, 0.184, 0.202, 0.2, 0.168, 0.216, 0.1, 0.084, 0.092, 0.16, 0.17, 0.12, 0.206, 0.08016032064128256]"
36,"[0.08383233532934131, 0.232, 0.328, 0.202, 0.112, 0.102, 0.174, 0.108, 0.11, 0.116, 0.19, 0.092, 0.152, 0.182, 0.162, 0.214, 0.102, 0.188, 0.104, 0.17635270541082165]"
37,"[0.17964071856287425, 0.222, 0.086, 0.098, 0.148, 0.2, 0.118, 0.204, 0.208, 0.2, 0.16, 0.218, 0.12, 0.084, 0.092, 0.164, 0.17, 0.122, 0.248, 0.0841683366733467]"
38,"[0.08582834331337326, 0.256, 0.288, 0.206, 0.112, 0.104, 0.18, 0.202, 0.106, 0.154, 0.228, 0.092, 0.16, 0.182, 0.18, 0.244, 0.102, 0.19, 0.104, 0.19839679358717435]"
39,"[0.20359281437125748, 0.226, 0.086, 0.092, 0.152, 0.16, 0.12, 0.214, 0.214, 0.202, 0.152, 0.218, 0.156, 0.084, 0.092, 0.132, 0.176, 0.106, 0.27, 0.09418837675350701]"
40,"[0.0998003992015968, 0.258, 0.276, 0.208, 0.112, 0.118, 0.216, 0.202, 0.106, 0.206, 0.244, 0.1, 0.168, 0.186, 0.194, 0.254, 0.102, 0.188, 0.104, 0.20240480961923848]"
