eigenvector_centrality,"[0, 3]"
21,"[0.3092269326683292, 0.1925, 0.135, 0.365, 0.1375, 0.335, 0.2025, 0.26, 0.215, 0.2825, 0.315, 0.325, 0.2325, 0.295, 0.1825, 0.23, 0.2675, 0.1725, 0.275, 0.1775, 0.3075, 0.1775, 0.3, 0.245, 0.17794486215538846]"
22,"[0.12967581047381546, 0.1575, 0.3, 0.11, 0.2725, 0.1975, 0.2925, 0.2, 0.275, 0.19, 0.2225, 0.2075, 0.37, 0.21, 0.2325, 0.1725, 0.2375, 0.355, 0.1575, 0.3375, 0.3175, 0.2625, 0.1525, 0.2525, 0.2857142857142857]"
23,"[0.32917705735660846, 0.2075, 0.155, 0.375, 0.1275, 0.3575, 0.2025, 0.2725, 0.195, 0.2975, 0.2925, 0.32, 0.2175, 0.285, 0.18, 0.2425, 0.285, 0.17, 0.2925, 0.175, 0.34, 0.185, 0.3025, 0.2475, 0.17293233082706766]"
24,"[0.12967581047381546, 0.155, 0.3, 0.09, 0.285, 0.24, 0.28, 0.205, 0.285, 0.2175, 0.2225, 0.205, 0.37, 0.2075, 0.25, 0.185, 0.24, 0.35, 0.22, 0.3325, 0.3825, 0.2825, 0.19, 0.2675, 0.2907268170426065]"
25,"[0.428927680798005, 0.235, 0.185, 0.3875, 0.125, 0.36, 0.2, 0.275, 0.195, 0.3025, 0.285, 0.305, 0.2125, 0.275, 0.2, 0.275, 0.2875, 0.1675, 0.3025, 0.1725, 0.3625, 0.215, 0.3, 0.245, 0.16541353383458646]"
26,"[0.48129675810473815, 0.2225, 0.3075, 0.505, 0.2875, 0.29, 0.2775, 0.2125, 0.3275, 0.25, 0.3075, 0.2, 0.3425, 0.205, 0.3775, 0.2225, 0.225, 0.325, 0.2175, 0.3325, 0.395, 0.2875, 0.21, 0.3375, 0.2882205513784461]"
27,"[0.48877805486284287, 0.2525, 0.26, 0.475, 0.16, 0.305, 0.205, 0.275, 0.215, 0.3075, 0.315, 0.295, 0.215, 0.2625, 0.3075, 0.3075, 0.28, 0.18, 0.32, 0.175, 0.4275, 0.2475, 0.3025, 0.255, 0.23057644110275688]"
28,"[0.5810473815461347, 0.22, 0.2975, 0.53, 0.27, 0.3375, 0.28, 0.235, 0.28, 0.2675, 0.3325, 0.195, 0.3025, 0.1975, 0.3975, 0.31, 0.265, 0.3175, 0.2225, 0.32, 0.47, 0.265, 0.225, 0.2675, 0.2581453634085213]"
29,"[0.3915211970074813, 0.2425, 0.295, 0.5225, 0.1875, 0.265, 0.205, 0.26, 0.37, 0.29, 0.2925, 0.265, 0.2425, 0.255, 0.3075, 0.315, 0.3, 0.2, 0.31, 0.1975, 0.49, 0.2875, 0.3, 0.275, 0.2506265664160401]"
30,"[0.5336658354114713, 0.2475, 0.265, 0.475, 0.27, 0.335, 0.2725, 0.23, 0.265, 0.26, 0.2925, 0.2175, 0.31, 0.17, 0.3825, 0.385, 0.275, 0.3025, 0.32, 0.3275, 0.3975, 0.2775, 0.2325, 0.2675, 0.2731829573934837]"
31,"[0.4164588528678304, 0.27, 0.2925, 0.595, 0.2225, 0.2475, 0.19, 0.23, 0.33, 0.295, 0.2775, 0.2775, 0.27, 0.26, 0.29, 0.3225, 0.295, 0.2375, 0.2775, 0.225, 0.4625, 0.2325, 0.2825, 0.3175, 0.23308270676691728]"
32,"[0.543640897755611, 0.2425, 0.255, 0.435, 0.31, 0.2675, 0.2675, 0.18, 0.2675, 0.29, 0.255, 0.245, 0.3275, 0.2, 0.3425, 0.37, 0.2475, 0.3225, 0.31, 0.3325, 0.3925, 0.245, 0.285, 0.27, 0.2832080200501253]"
33,"[0.3865336658354115, 0.305, 0.3125, 0.5925, 0.2225, 0.2375, 0.1625, 0.255, 0.305, 0.325, 0.2875, 0.2925, 0.265, 0.32, 0.27, 0.295, 0.315, 0.2475, 0.27, 0.2275, 0.37, 0.2125, 0.3325, 0.2975, 0.23558897243107768]"
34,"[0.5261845386533666, 0.2225, 0.295, 0.39, 0.34, 0.2475, 0.315, 0.1625, 0.285, 0.2525, 0.24, 0.2325, 0.3625, 0.1975, 0.3175, 0.3675, 0.26, 0.3575, 0.25, 0.36, 0.365, 0.245, 0.2675, 0.2825, 0.2656641604010025]"
35,"[0.4239401496259352, 0.32, 0.2775, 0.56, 0.2025, 0.2275, 0.165, 0.265, 0.295, 0.3625, 0.285, 0.315, 0.27, 0.3475, 0.25, 0.2625, 0.35, 0.235, 0.28, 0.215, 0.3425, 0.1875, 0.3525, 0.3, 0.20300751879699247]"
36,"[0.5311720698254364, 0.2075, 0.3125, 0.4, 0.325, 0.2425, 0.34, 0.1625, 0.2675, 0.24, 0.2375, 0.2175, 0.385, 0.205, 0.3, 0.3625, 0.25, 0.3975, 0.225, 0.37, 0.3275, 0.2325, 0.26, 0.27, 0.22807017543859648]"
37,"[0.38902743142144636, 0.31, 0.2575, 0.5525, 0.1975, 0.215, 0.16, 0.2475, 0.2375, 0.3125, 0.255, 0.3075, 0.265, 0.355, 0.245, 0.245, 0.355, 0.235, 0.2525, 0.21, 0.3175, 0.16, 0.34, 0.2525, 0.17794486215538846]"
38,"[0.5411471321695761, 0.1875, 0.2775, 0.385, 0.295, 0.2175, 0.29, 0.135, 0.2175, 0.21, 0.155, 0.205, 0.3525, 0.1875, 0.2675, 0.3325, 0.2325, 0.38, 0.1725, 0.3325, 0.3075, 0.205, 0.235, 0.2425, 0.20551378446115287]"
39,"[0.39900249376558605, 0.255, 0.225, 0.5425, 0.17, 0.175, 0.135, 0.21, 0.1725, 0.2425, 0.1875, 0.29, 0.235, 0.295, 0.23, 0.1875, 0.2825, 0.215, 0.17, 0.195, 0.2925, 0.1225, 0.2825, 0.175, 0.15037593984962405]"
40,"[0.5586034912718204, 0.17, 0.2275, 0.39, 0.2275, 0.1525, 0.225, 0.0975, 0.1475, 0.1575, 0.1225, 0.1725, 0.31, 0.1775, 0.2275, 0.22, 0.1925, 0.3175, 0.155, 0.295, 0.2525, 0.135, 0.195, 0.18, 0.15538847117794485]"
41,"[0.40399002493765584, 0.19, 0.13, 0.55, 0.1525, 0.12, 0.11, 0.095, 0.11, 0.125, 0.11, 0.22, 0.1975, 0.2525, 0.1775, 0.15, 0.2325, 0.185, 0.1325, 0.17, 0.225, 0.0975, 0.2125, 0.12, 0.12781954887218044]"
42,"[0.5610972568578554, 0.145, 0.1025, 0.3875, 0.135, 0.1275, 0.1225, 0.09, 0.1, 0.13, 0.1, 0.1475, 0.225, 0.1575, 0.1375, 0.1025, 0.1575, 0.265, 0.135, 0.2525, 0.1325, 0.0725, 0.16, 0.1075, 0.10275689223057644]"
43,"[0.39900249376558605, 0.095, 0.1075, 0.5425, 0.115, 0.1175, 0.0975, 0.075, 0.095, 0.1125, 0.0975, 0.1125, 0.16, 0.1475, 0.105, 0.1125, 0.0975, 0.16, 0.13, 0.135, 0.1, 0.08, 0.1275, 0.1025, 0.10526315789473684]"
44,"[0.5511221945137157, 0.105, 0.0975, 0.4075, 0.09, 0.1175, 0.0925, 0.075, 0.095, 0.1125, 0.095, 0.1125, 0.125, 0.1275, 0.13, 0.0925, 0.1025, 0.1175, 0.13, 0.1075, 0.085, 0.07, 0.125, 0.1, 0.10275689223057644]"
45,"[0.4014962593516209, 0.085, 0.095, 0.5425, 0.0875, 0.1175, 0.09, 0.075, 0.095, 0.1125, 0.095, 0.11, 0.125, 0.1025, 0.0975, 0.0925, 0.095, 0.115, 0.13, 0.1025, 0.08, 0.07, 0.125, 0.095, 0.10275689223057644]"
46,"[0.5860349127182045, 0.0825, 0.095, 0.4, 0.0875, 0.1175, 0.09, 0.0725, 0.095, 0.1125, 0.095, 0.11, 0.125, 0.1025, 0.0975, 0.0925, 0.095, 0.115, 0.13, 0.1025, 0.08, 0.07, 0.125, 0.095, 0.10275689223057644]"
47,"[0.4139650872817955, 0.0825, 0.095, 0.545, 0.085, 0.1175, 0.09, 0.0725, 0.095, 0.1125, 0.095, 0.11, 0.125, 0.1025, 0.095, 0.0925, 0.095, 0.1125, 0.13, 0.1025, 0.08, 0.07, 0.125, 0.095, 0.10025062656641603]"
48,"[0.571072319201995, 0.0825, 0.095, 0.3925, 0.085, 0.1175, 0.09, 0.0725, 0.095, 0.1125, 0.095, 0.11, 0.125, 0.1025, 0.095, 0.0925, 0.095, 0.1125, 0.13, 0.1025, 0.08, 0.07, 0.125, 0.095, 0.10025062656641603]"
49,"[0.4314214463840399, 0.0825, 0.095, 0.55, 0.085, 0.115, 0.09, 0.0725, 0.095, 0.1125, 0.095, 0.11, 0.125, 0.1025, 0.095, 0.0925, 0.095, 0.1125, 0.13, 0.1025, 0.08, 0.07, 0.125, 0.095, 0.10025062656641603]"
50,"[0.5885286783042394, 0.0825, 0.095, 0.4175, 0.085, 0.115, 0.09, 0.0725, 0.095, 0.1125, 0.095, 0.11, 0.125, 0.1025, 0.095, 0.0925, 0.095, 0.1125, 0.13, 0.1025, 0.08, 0.07, 0.125, 0.095, 0.10025062656641603]"
