eigenvector_centrality,"[9, 14]"
21,"[0.3117206982543641, 0.125, 0.2625, 0.2025, 0.29, 0.325, 0.34, 0.1225, 0.1425, 0.1675, 0.1125, 0.3325, 0.365, 0.2525, 0.28, 0.1675, 0.2875, 0.1675, 0.225, 0.245, 0.355, 0.32, 0.3575, 0.285, 0.3007518796992481]"
22,"[0.2144638403990025, 0.32, 0.285, 0.3825, 0.2375, 0.085, 0.1225, 0.295, 0.335, 0.3025, 0.275, 0.19, 0.2125, 0.345, 0.1925, 0.3025, 0.2275, 0.335, 0.3175, 0.34, 0.14, 0.265, 0.1475, 0.115, 0.2756892230576441]"
23,"[0.30423940149625933, 0.1375, 0.28, 0.215, 0.2925, 0.32, 0.3025, 0.135, 0.1375, 0.175, 0.1175, 0.33, 0.3375, 0.335, 0.2875, 0.175, 0.2975, 0.205, 0.255, 0.2525, 0.355, 0.315, 0.335, 0.275, 0.3132832080200501]"
24,"[0.23940149625935161, 0.3225, 0.31, 0.385, 0.26, 0.16, 0.1275, 0.295, 0.3325, 0.305, 0.2675, 0.1825, 0.2425, 0.3375, 0.1875, 0.3075, 0.2225, 0.3325, 0.3275, 0.3575, 0.2475, 0.2725, 0.21, 0.1125, 0.2756892230576441]"
25,"[0.3117206982543641, 0.1275, 0.29, 0.2225, 0.295, 0.3175, 0.3025, 0.145, 0.1525, 0.3175, 0.12, 0.3325, 0.32, 0.3375, 0.34, 0.1825, 0.3, 0.1975, 0.23, 0.2725, 0.345, 0.3175, 0.325, 0.2675, 0.3107769423558897]"
26,"[0.256857855361596, 0.3225, 0.32, 0.375, 0.2875, 0.2025, 0.175, 0.295, 0.335, 0.3675, 0.315, 0.2275, 0.375, 0.3425, 0.4275, 0.315, 0.28, 0.335, 0.3275, 0.3625, 0.2525, 0.46, 0.2325, 0.14, 0.2681704260651629]"
27,"[0.3092269326683292, 0.2575, 0.2725, 0.235, 0.3025, 0.33, 0.2925, 0.175, 0.22, 0.5125, 0.2, 0.33, 0.3525, 0.3125, 0.385, 0.195, 0.3175, 0.2275, 0.215, 0.28, 0.3475, 0.4125, 0.37, 0.2775, 0.3132832080200501]"
28,"[0.24189526184538654, 0.315, 0.34, 0.38, 0.2575, 0.195, 0.255, 0.2825, 0.3225, 0.3675, 0.2825, 0.26, 0.3925, 0.3475, 0.415, 0.3175, 0.3025, 0.3475, 0.3425, 0.3525, 0.2525, 0.3975, 0.2925, 0.23, 0.2756892230576441]"
29,"[0.3117206982543641, 0.2625, 0.2775, 0.3025, 0.3025, 0.3525, 0.3725, 0.22, 0.2825, 0.5475, 0.2125, 0.315, 0.34, 0.3375, 0.4725, 0.2275, 0.3, 0.23, 0.1875, 0.295, 0.3325, 0.3525, 0.3975, 0.28, 0.3333333333333333]"
30,"[0.27680798004987534, 0.3175, 0.3475, 0.3925, 0.255, 0.18, 0.2875, 0.275, 0.3225, 0.3625, 0.285, 0.25, 0.3575, 0.3625, 0.43, 0.325, 0.275, 0.3425, 0.36, 0.3475, 0.2525, 0.375, 0.2775, 0.2375, 0.2882205513784461]"
31,"[0.32169576059850374, 0.27, 0.275, 0.2925, 0.335, 0.3775, 0.3475, 0.245, 0.2875, 0.55, 0.255, 0.3625, 0.3275, 0.3525, 0.4175, 0.2075, 0.3475, 0.2375, 0.1725, 0.285, 0.34, 0.3425, 0.38, 0.3025, 0.3583959899749373]"
32,"[0.30673316708229426, 0.3725, 0.325, 0.3925, 0.255, 0.1825, 0.3, 0.2925, 0.36, 0.3575, 0.2925, 0.2525, 0.3325, 0.3925, 0.5475, 0.335, 0.3, 0.37, 0.39, 0.365, 0.29, 0.3625, 0.2825, 0.24, 0.2756892230576441]"
33,"[0.30673316708229426, 0.25, 0.2775, 0.2925, 0.3525, 0.395, 0.345, 0.2425, 0.3025, 0.5625, 0.26, 0.3775, 0.3175, 0.385, 0.405, 0.1825, 0.3825, 0.245, 0.2025, 0.26, 0.335, 0.31, 0.405, 0.33, 0.38345864661654133]"
34,"[0.29925187032418954, 0.4125, 0.285, 0.4275, 0.245, 0.1825, 0.3, 0.2775, 0.3575, 0.37, 0.3025, 0.2425, 0.3375, 0.4, 0.575, 0.345, 0.3025, 0.3875, 0.425, 0.39, 0.2825, 0.3475, 0.295, 0.2225, 0.3007518796992481]"
35,"[0.3092269326683292, 0.2525, 0.27, 0.29, 0.3575, 0.4, 0.32, 0.275, 0.3175, 0.56, 0.2525, 0.3675, 0.315, 0.36, 0.42, 0.18, 0.4125, 0.225, 0.2325, 0.26, 0.345, 0.2975, 0.3925, 0.3575, 0.41353383458646614]"
36,"[0.30673316708229426, 0.4275, 0.305, 0.4275, 0.2225, 0.1775, 0.3225, 0.2725, 0.3425, 0.36, 0.32, 0.2325, 0.3525, 0.415, 0.5875, 0.3625, 0.31, 0.3975, 0.4325, 0.395, 0.28, 0.35, 0.2775, 0.215, 0.2556390977443609]"
37,"[0.3192019950124688, 0.245, 0.27, 0.2875, 0.3625, 0.395, 0.3, 0.285, 0.3175, 0.58, 0.25, 0.355, 0.315, 0.3425, 0.4275, 0.1825, 0.39, 0.2375, 0.195, 0.265, 0.3575, 0.315, 0.3725, 0.3675, 0.42606516290726815]"
38,"[0.30673316708229426, 0.4375, 0.325, 0.4175, 0.23, 0.175, 0.3375, 0.27, 0.325, 0.375, 0.33, 0.2325, 0.3525, 0.4225, 0.6, 0.39, 0.315, 0.3975, 0.445, 0.3975, 0.28, 0.35, 0.27, 0.2075, 0.23558897243107768]"
39,"[0.3192019950124688, 0.2025, 0.2725, 0.2875, 0.3825, 0.3975, 0.29, 0.3, 0.3175, 0.56, 0.2525, 0.3675, 0.3125, 0.34, 0.4375, 0.1825, 0.3925, 0.23, 0.1775, 0.265, 0.3575, 0.3325, 0.365, 0.38, 0.44611528822055135]"
40,"[0.30673316708229426, 0.445, 0.33, 0.4175, 0.225, 0.1625, 0.345, 0.2625, 0.3225, 0.37, 0.335, 0.2275, 0.355, 0.42, 0.585, 0.425, 0.3075, 0.4075, 0.4525, 0.3925, 0.28, 0.35, 0.2575, 0.215, 0.20551378446115287]"
41,"[0.32418952618453867, 0.1725, 0.265, 0.285, 0.3975, 0.395, 0.2875, 0.2925, 0.3175, 0.58, 0.2525, 0.3625, 0.2975, 0.34, 0.4325, 0.18, 0.385, 0.2225, 0.165, 0.26, 0.365, 0.3325, 0.3525, 0.385, 0.46365914786967416]"
42,"[0.30673316708229426, 0.44, 0.3375, 0.41, 0.225, 0.155, 0.33, 0.26, 0.31, 0.385, 0.3375, 0.2325, 0.3475, 0.4325, 0.5825, 0.43, 0.32, 0.4, 0.4625, 0.3975, 0.285, 0.355, 0.2525, 0.2125, 0.19047619047619047]"
43,"[0.32418952618453867, 0.145, 0.2525, 0.2725, 0.405, 0.395, 0.2775, 0.29, 0.3225, 0.55, 0.2475, 0.3575, 0.2825, 0.35, 0.4425, 0.1775, 0.38, 0.2225, 0.16, 0.2525, 0.37, 0.345, 0.3575, 0.3975, 0.46616541353383456]"
44,"[0.30673316708229426, 0.4425, 0.3275, 0.4075, 0.2225, 0.1425, 0.34, 0.265, 0.3, 0.3875, 0.3275, 0.23, 0.3275, 0.4425, 0.59, 0.4475, 0.315, 0.4075, 0.4725, 0.4, 0.275, 0.3425, 0.2425, 0.205, 0.19799498746867167]"
45,"[0.3192019950124688, 0.15, 0.2425, 0.26, 0.425, 0.395, 0.265, 0.2925, 0.325, 0.5275, 0.24, 0.345, 0.2775, 0.3325, 0.44, 0.1825, 0.3725, 0.2225, 0.1625, 0.2575, 0.385, 0.355, 0.355, 0.405, 0.47869674185463656]"
46,"[0.30423940149625933, 0.445, 0.33, 0.395, 0.23, 0.09, 0.3275, 0.2675, 0.28, 0.4025, 0.34, 0.235, 0.3275, 0.4475, 0.595, 0.4475, 0.32, 0.415, 0.4775, 0.4, 0.265, 0.3425, 0.245, 0.185, 0.19298245614035087]"
47,"[0.3192019950124688, 0.1575, 0.205, 0.245, 0.4275, 0.3975, 0.2525, 0.27, 0.3225, 0.5525, 0.2175, 0.3425, 0.2475, 0.3375, 0.4425, 0.18, 0.3525, 0.215, 0.1575, 0.2225, 0.3875, 0.35, 0.3375, 0.41, 0.48120300751879697]"
48,"[0.30174563591022446, 0.44, 0.3525, 0.38, 0.2325, 0.09, 0.3275, 0.2575, 0.2775, 0.4, 0.35, 0.2325, 0.3375, 0.4575, 0.6075, 0.4475, 0.315, 0.4225, 0.485, 0.405, 0.2425, 0.3475, 0.2125, 0.1725, 0.18546365914786966]"
