eigenvector_centrality,"[0, 15]"
20,"[0.3167082294264339, 0.1725, 0.4, 0.1825, 0.38, 0.3175, 0.2875, 0.225, 0.215, 0.3, 0.2775, 0.34, 0.35, 0.2975, 0.37, 0.3275, 0.185, 0.13, 0.29, 0.2175, 0.245, 0.3325, 0.3775, 0.2825, 0.3333333333333333]"
21,"[0.18952618453865336, 0.285, 0.365, 0.35, 0.35, 0.2625, 0.25, 0.26, 0.265, 0.2275, 0.19, 0.3925, 0.3675, 0.29, 0.3925, 0.26, 0.36, 0.3325, 0.3725, 0.325, 0.29, 0.34, 0.335, 0.3375, 0.3157894736842105]"
22,"[0.30673316708229426, 0.18, 0.3975, 0.245, 0.3575, 0.3275, 0.29, 0.255, 0.26, 0.3, 0.2725, 0.34, 0.3425, 0.31, 0.345, 0.315, 0.2575, 0.2325, 0.365, 0.2575, 0.2925, 0.355, 0.36, 0.335, 0.3308270676691729]"
23,"[0.22942643391521197, 0.2875, 0.3775, 0.35, 0.3525, 0.27, 0.2775, 0.275, 0.2725, 0.305, 0.26, 0.39, 0.355, 0.3125, 0.3975, 0.2975, 0.34, 0.3225, 0.345, 0.34, 0.2925, 0.3325, 0.3725, 0.325, 0.3032581453634085]"
24,"[0.3092269326683292, 0.24, 0.3825, 0.34, 0.38, 0.33, 0.29, 0.2925, 0.28, 0.3375, 0.275, 0.3425, 0.33, 0.3275, 0.34, 0.3275, 0.31, 0.305, 0.3575, 0.285, 0.3475, 0.35, 0.37, 0.3325, 0.3358395989974937]"
25,"[0.4014962593516209, 0.3025, 0.385, 0.355, 0.35, 0.27, 0.275, 0.28, 0.2775, 0.3475, 0.2875, 0.3975, 0.3525, 0.305, 0.405, 0.4075, 0.34, 0.3325, 0.3975, 0.3425, 0.3075, 0.335, 0.3875, 0.325, 0.2932330827067669]"
26,"[0.45885286783042395, 0.435, 0.3725, 0.5275, 0.3975, 0.3275, 0.2875, 0.37, 0.29, 0.36, 0.2775, 0.3475, 0.3375, 0.3325, 0.345, 0.455, 0.3175, 0.4025, 0.3275, 0.275, 0.5, 0.475, 0.3525, 0.3375, 0.3157894736842105]"
27,"[0.4014962593516209, 0.3425, 0.38, 0.4325, 0.34, 0.2725, 0.27, 0.2925, 0.27, 0.365, 0.315, 0.3925, 0.35, 0.29, 0.43, 0.4375, 0.355, 0.43, 0.4275, 0.3475, 0.31, 0.3575, 0.4, 0.3175, 0.3182957393483709]"
28,"[0.5461346633416458, 0.44, 0.4425, 0.49, 0.425, 0.3225, 0.28, 0.3625, 0.2725, 0.4675, 0.2725, 0.3775, 0.355, 0.3175, 0.3225, 0.5175, 0.315, 0.415, 0.3325, 0.295, 0.4825, 0.4525, 0.3375, 0.335, 0.3132832080200501]"
29,"[0.3915211970074813, 0.3825, 0.4175, 0.3875, 0.345, 0.2675, 0.2775, 0.3375, 0.28, 0.3425, 0.35, 0.3875, 0.335, 0.295, 0.3925, 0.4325, 0.38, 0.4475, 0.385, 0.3575, 0.4175, 0.37, 0.4, 0.32, 0.3182957393483709]"
