eigenvector_centrality,[ 0 18  7 19]
30,"[tensor(0.0042, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0044, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0044, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0041, device='cuda:4')]"
31,"[tensor(0.0039, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0044, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0042, device='cuda:4')]"
32,"[tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0040, device='cuda:4')]"
33,"[tensor(0.0039, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0042, device='cuda:4')]"
34,"[tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0040, device='cuda:4')]"
35,"[tensor(0.0039, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0042, device='cuda:4')]"
36,"[tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0040, device='cuda:4')]"
37,"[tensor(0.0039, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0043, device='cuda:4')]"
38,"[tensor(0.0042, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0039, device='cuda:4')]"
39,"[tensor(0.0039, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0043, device='cuda:4')]"
40,"[tensor(0.0042, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0039, device='cuda:4')]"
41,"[tensor(0.0039, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0043, device='cuda:4')]"
42,"[tensor(0.0042, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0039, device='cuda:4')]"
43,"[tensor(0.0039, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0043, device='cuda:4')]"
44,"[tensor(0.0042, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0039, device='cuda:4')]"
45,"[tensor(0.0039, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0043, device='cuda:4')]"
46,"[tensor(0.0042, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0039, device='cuda:4')]"
47,"[tensor(0.0039, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0043, device='cuda:4')]"
48,"[tensor(0.0043, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0039, device='cuda:4')]"
49,"[tensor(0.0039, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0043, device='cuda:4')]"
50,"[tensor(0.0042, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0039, device='cuda:4')]"
51,"[tensor(0.0039, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0043, device='cuda:4')]"
52,"[tensor(0.0042, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0039, device='cuda:4')]"
53,"[tensor(0.0039, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0043, device='cuda:4')]"
54,"[tensor(0.0042, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0039, device='cuda:4')]"
55,"[tensor(0.0039, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0043, device='cuda:4')]"
56,"[tensor(0.0042, device='cuda:4'), tensor(0.0043, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0039, device='cuda:4')]"
57,"[tensor(0.0039, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0043, device='cuda:4')]"
58,"[tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0038, device='cuda:4')]"
59,"[tensor(0.0038, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0043, device='cuda:4')]"
60,"[tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0038, device='cuda:4')]"
61,"[tensor(0.0038, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0043, device='cuda:4')]"
62,"[tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0038, device='cuda:4')]"
63,"[tensor(0.0038, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0043, device='cuda:4')]"
64,"[tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0038, device='cuda:4')]"
65,"[tensor(0.0038, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0042, device='cuda:4')]"
66,"[tensor(0.0042, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0037, device='cuda:4')]"
67,"[tensor(0.0038, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0039, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0041, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0038, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0040, device='cuda:4'), tensor(0.0042, device='cuda:4'), tensor(0.0037, device='cuda:4'), tensor(0.0042, device='cuda:4')]"
