none,[]
20,"[0.11221945137157108, 0.2075, 0.1, 0.115, 0.095, 0.085, 0.0675, 0.1225, 0.105, 0.1075, 0.0775, 0.0875, 0.1275, 0.11, 0.0925, 0.0975, 0.1175, 0.11, 0.0925, 0.0875, 0.1075, 0.08, 0.1, 0.0925, 0.10275689223057644]"
21,"[0.07481296758104738, 0.135, 0.0975, 0.1075, 0.0975, 0.0875, 0.1075, 0.0925, 0.0775, 0.0975, 0.1075, 0.1, 0.1275, 0.115, 0.1575, 0.1075, 0.1175, 0.1175, 0.0925, 0.175, 0.1075, 0.11, 0.105, 0.0975, 0.09523809523809523]"
22,"[0.11221945137157108, 0.1675, 0.1, 0.115, 0.095, 0.085, 0.0675, 0.1225, 0.105, 0.1075, 0.0775, 0.0875, 0.1275, 0.11, 0.0925, 0.1475, 0.1175, 0.11, 0.0925, 0.0875, 0.1675, 0.08, 0.1, 0.0925, 0.10275689223057644]"
23,"[0.07481296758104738, 0.135, 0.0975, 0.1075, 0.0975, 0.0875, 0.1075, 0.0925, 0.0775, 0.175, 0.1075, 0.1, 0.1275, 0.115, 0.175, 0.1075, 0.1175, 0.2625, 0.0925, 0.1475, 0.1075, 0.11, 0.105, 0.0975, 0.09523809523809523]"
24,"[0.11221945137157108, 0.135, 0.1, 0.115, 0.095, 0.085, 0.0675, 0.1225, 0.105, 0.1075, 0.0775, 0.0875, 0.1275, 0.11, 0.0925, 0.195, 0.1175, 0.11, 0.0925, 0.0875, 0.2, 0.08, 0.1, 0.0925, 0.20050125313283207]"
25,"[0.07481296758104738, 0.135, 0.0975, 0.1075, 0.0975, 0.0875, 0.1675, 0.0925, 0.0775, 0.195, 0.1075, 0.1, 0.1275, 0.115, 0.1725, 0.1075, 0.1175, 0.2625, 0.0925, 0.0875, 0.1075, 0.11, 0.105, 0.0975, 0.09523809523809523]"
26,"[0.11221945137157108, 0.135, 0.1, 0.115, 0.095, 0.085, 0.0675, 0.1225, 0.105, 0.1075, 0.0775, 0.0875, 0.1275, 0.11, 0.0925, 0.16, 0.1175, 0.11, 0.0925, 0.0875, 0.2275, 0.08, 0.1, 0.0925, 0.24060150375939848]"
27,"[0.07481296758104738, 0.135, 0.0975, 0.1075, 0.0975, 0.0875, 0.1525, 0.0925, 0.0775, 0.2, 0.1075, 0.1, 0.1275, 0.115, 0.1725, 0.1075, 0.1175, 0.205, 0.165, 0.0875, 0.1075, 0.11, 0.105, 0.0975, 0.09523809523809523]"
28,"[0.11221945137157108, 0.135, 0.1, 0.115, 0.095, 0.085, 0.0675, 0.1225, 0.105, 0.1075, 0.0775, 0.0875, 0.1275, 0.11, 0.0925, 0.1375, 0.1175, 0.11, 0.0925, 0.0875, 0.1425, 0.08, 0.1, 0.0925, 0.2731829573934837]"
29,"[0.07481296758104738, 0.135, 0.0975, 0.1075, 0.0975, 0.0875, 0.1375, 0.0925, 0.0775, 0.1925, 0.1075, 0.1, 0.1275, 0.115, 0.17, 0.1075, 0.1175, 0.2075, 0.185, 0.0875, 0.1075, 0.11, 0.105, 0.0975, 0.09523809523809523]"
