eigenvector_centrality,[16 11]
0,"[0.08977556109725686, 0.0775, 0.29, 0.09, 0.0825, 0.0825, 0.1075, 0.0825, 0.115, 0.11, 0.1, 0.09, 0.095, 0.0925, 0.105, 0.1175, 0.1175, 0.095, 0.0925, 0.08, 0.1075, 0.0925, 0.075, 0.1125, 0.11278195488721804]"
1,"[0.10972568578553615, 0.1025, 0.1375, 0.095, 0.0825, 0.0825, 0.095, 0.0775, 0.115, 0.11, 0.1, 0.1375, 0.095, 0.0775, 0.1075, 0.1175, 0.1175, 0.095, 0.1, 0.0725, 0.075, 0.105, 0.075, 0.1125, 0.11278195488721804]"
2,"[0.10972568578553615, 0.1025, 0.1375, 0.09, 0.0825, 0.0825, 0.095, 0.0775, 0.115, 0.085, 0.1, 0.1175, 0.095, 0.0775, 0.1075, 0.1125, 0.1025, 0.095, 0.1, 0.0725, 0.075, 0.105, 0.09, 0.1125, 0.11278195488721804]"
3,"[0.10972568578553615, 0.1025, 0.1375, 0.09, 0.0825, 0.0825, 0.095, 0.0775, 0.115, 0.11, 0.1, 0.1175, 0.095, 0.0975, 0.1075, 0.1125, 0.1025, 0.095, 0.1, 0.0725, 0.075, 0.1075, 0.09, 0.2, 0.11278195488721804]"
4,"[0.10972568578553615, 0.1025, 0.1375, 0.09, 0.0825, 0.0825, 0.095, 0.0775, 0.115, 0.11, 0.1, 0.17, 0.1125, 0.13, 0.1075, 0.1125, 0.1025, 0.095, 0.1, 0.17, 0.145, 0.1075, 0.1625, 0.1125, 0.11278195488721804]"
5,"[0.2169576059850374, 0.1475, 0.17, 0.1875, 0.2575, 0.145, 0.1725, 0.0975, 0.1125, 0.1825, 0.1925, 0.1725, 0.21, 0.235, 0.155, 0.295, 0.1225, 0.1525, 0.1075, 0.15, 0.28, 0.16, 0.1175, 0.1525, 0.13283208020050125]"
6,"[0.19451371571072318, 0.1625, 0.3375, 0.11, 0.235, 0.1275, 0.19, 0.1425, 0.205, 0.095, 0.1775, 0.09, 0.215, 0.18, 0.16, 0.155, 0.1925, 0.145, 0.1775, 0.15, 0.1725, 0.08, 0.1125, 0.1625, 0.18295739348370926]"
7,"[0.18952618453865336, 0.16, 0.205, 0.1425, 0.19, 0.13, 0.1925, 0.1975, 0.2075, 0.0975, 0.1225, 0.12, 0.1425, 0.1875, 0.1425, 0.1425, 0.16, 0.1575, 0.1775, 0.1375, 0.13, 0.08, 0.155, 0.1475, 0.16791979949874686]"
8,"[0.22194513715710723, 0.1925, 0.3025, 0.1825, 0.1975, 0.1025, 0.2725, 0.2275, 0.2125, 0.135, 0.185, 0.1375, 0.285, 0.175, 0.1525, 0.1575, 0.21, 0.19, 0.15, 0.185, 0.17, 0.2225, 0.205, 0.115, 0.17543859649122806]"
9,"[0.3316708229426434, 0.3125, 0.32, 0.305, 0.2775, 0.2925, 0.305, 0.305, 0.2425, 0.3125, 0.2025, 0.285, 0.3175, 0.295, 0.33, 0.325, 0.36, 0.315, 0.3225, 0.25, 0.35, 0.2525, 0.265, 0.26, 0.2731829573934837]"
10,"[0.24189526184538654, 0.3225, 0.3425, 0.275, 0.345, 0.28, 0.3875, 0.355, 0.4375, 0.4625, 0.295, 0.2575, 0.395, 0.4125, 0.3725, 0.3875, 0.38, 0.405, 0.315, 0.365, 0.3325, 0.4175, 0.3175, 0.375, 0.44611528822055135]"
11,"[0.3740648379052369, 0.455, 0.2425, 0.4625, 0.4, 0.47, 0.345, 0.33, 0.2125, 0.395, 0.33, 0.425, 0.4975, 0.4125, 0.3275, 0.3075, 0.3975, 0.3875, 0.46, 0.26, 0.4025, 0.3575, 0.405, 0.395, 0.40100250626566414]"
12,"[0.18952618453865336, 0.215, 0.3125, 0.33, 0.34, 0.345, 0.36, 0.375, 0.3025, 0.4125, 0.25, 0.2175, 0.3625, 0.425, 0.3375, 0.43, 0.3625, 0.41, 0.485, 0.3925, 0.395, 0.3525, 0.4325, 0.37, 0.44110275689223055]"
13,"[0.2942643391521197, 0.3225, 0.1775, 0.4175, 0.385, 0.3575, 0.2775, 0.225, 0.1825, 0.2375, 0.36, 0.345, 0.4425, 0.4625, 0.2525, 0.28, 0.3925, 0.335, 0.5, 0.2125, 0.375, 0.235, 0.38, 0.31, 0.2731829573934837]"
14,"[0.1571072319201995, 0.13, 0.3125, 0.28, 0.2625, 0.3175, 0.2825, 0.3075, 0.3275, 0.315, 0.205, 0.21, 0.3375, 0.3375, 0.3075, 0.33, 0.34, 0.335, 0.4575, 0.4025, 0.3475, 0.3075, 0.395, 0.2675, 0.42606516290726815]"
15,"[0.2942643391521197, 0.35, 0.2075, 0.295, 0.25, 0.3225, 0.3475, 0.2325, 0.29, 0.175, 0.2875, 0.385, 0.3825, 0.4475, 0.285, 0.28, 0.3725, 0.22, 0.415, 0.29, 0.3125, 0.18, 0.3625, 0.2825, 0.20050125313283207]"
16,"[0.18204488778054864, 0.1475, 0.3225, 0.2075, 0.21, 0.2825, 0.2775, 0.3, 0.34, 0.3125, 0.2275, 0.3075, 0.3125, 0.3675, 0.36, 0.3225, 0.31, 0.3225, 0.42, 0.415, 0.2575, 0.2875, 0.385, 0.23, 0.3558897243107769]"
17,"[0.2967581047381546, 0.37, 0.29, 0.305, 0.255, 0.32, 0.3825, 0.36, 0.345, 0.1725, 0.265, 0.3525, 0.3675, 0.5125, 0.3125, 0.1975, 0.36, 0.17, 0.37, 0.34, 0.215, 0.1875, 0.35, 0.2825, 0.23308270676691728]"
18,"[0.3092269326683292, 0.24, 0.3225, 0.2575, 0.24, 0.31, 0.2675, 0.2575, 0.37, 0.31, 0.245, 0.2725, 0.285, 0.425, 0.4075, 0.32, 0.31, 0.335, 0.3425, 0.31, 0.2575, 0.28, 0.33, 0.2925, 0.2807017543859649]"
19,"[0.3092269326683292, 0.3875, 0.3325, 0.3375, 0.2525, 0.3525, 0.3175, 0.3975, 0.375, 0.2525, 0.2575, 0.345, 0.3775, 0.37, 0.3225, 0.2175, 0.345, 0.1925, 0.3775, 0.3325, 0.2475, 0.2175, 0.355, 0.3475, 0.23057644110275688]"
20,"[0.3541147132169576, 0.2875, 0.335, 0.2825, 0.26, 0.29, 0.2475, 0.3, 0.3775, 0.3075, 0.265, 0.235, 0.2725, 0.37, 0.405, 0.345, 0.24, 0.34, 0.355, 0.2975, 0.27, 0.275, 0.3225, 0.375, 0.2781954887218045]"
21,"[0.35910224438902744, 0.4375, 0.3575, 0.3375, 0.2525, 0.3725, 0.31, 0.425, 0.385, 0.335, 0.26, 0.36, 0.3925, 0.2975, 0.3325, 0.2425, 0.3225, 0.2575, 0.3675, 0.29, 0.305, 0.2525, 0.38, 0.29, 0.21804511278195488]"
22,"[0.4014962593516209, 0.4, 0.3425, 0.3225, 0.3, 0.27, 0.25, 0.305, 0.36, 0.3075, 0.265, 0.305, 0.2925, 0.3525, 0.4025, 0.3925, 0.2275, 0.3675, 0.3725, 0.2975, 0.3475, 0.27, 0.3275, 0.4075, 0.3333333333333333]"
23,"[0.341645885286783, 0.3875, 0.3875, 0.3325, 0.27, 0.4075, 0.3225, 0.34, 0.4075, 0.315, 0.2725, 0.3875, 0.415, 0.31, 0.3525, 0.3025, 0.3225, 0.3075, 0.39, 0.3025, 0.3675, 0.265, 0.4025, 0.31, 0.22807017543859648]"
24,"[0.2743142144638404, 0.45, 0.3525, 0.41, 0.37, 0.2875, 0.285, 0.3425, 0.3675, 0.3175, 0.29, 0.3175, 0.3125, 0.3925, 0.3975, 0.3725, 0.265, 0.39, 0.4025, 0.295, 0.4275, 0.2625, 0.3325, 0.41, 0.3659147869674185]"
25,"[0.36159600997506236, 0.3425, 0.46, 0.3125, 0.2925, 0.4075, 0.425, 0.32, 0.43, 0.325, 0.2775, 0.3475, 0.445, 0.33, 0.36, 0.3575, 0.4225, 0.335, 0.4375, 0.31, 0.3875, 0.29, 0.425, 0.3675, 0.2606516290726817]"
26,"[0.286783042394015, 0.4275, 0.3625, 0.3675, 0.3575, 0.3, 0.37, 0.3575, 0.4625, 0.37, 0.27, 0.4275, 0.345, 0.3925, 0.3775, 0.41, 0.48, 0.495, 0.46, 0.3275, 0.435, 0.36, 0.3475, 0.4175, 0.45864661654135336]"
27,"[0.44389027431421446, 0.3875, 0.45, 0.31, 0.265, 0.415, 0.44, 0.3225, 0.3575, 0.33, 0.2975, 0.46, 0.4575, 0.305, 0.3675, 0.4, 0.49, 0.315, 0.5075, 0.3075, 0.4, 0.3375, 0.4475, 0.46, 0.2706766917293233]"
28,"[0.30673316708229426, 0.3925, 0.33, 0.4425, 0.3475, 0.3175, 0.3675, 0.395, 0.4325, 0.39, 0.265, 0.4075, 0.3475, 0.405, 0.3825, 0.3975, 0.52, 0.46, 0.4325, 0.32, 0.3975, 0.34, 0.3375, 0.4175, 0.43107769423558895]"
29,"[0.4139650872817955, 0.4125, 0.4325, 0.2925, 0.3025, 0.425, 0.34, 0.3225, 0.3925, 0.35, 0.2975, 0.38, 0.445, 0.31, 0.3775, 0.435, 0.41, 0.355, 0.48, 0.2975, 0.39, 0.4025, 0.4575, 0.395, 0.2982456140350877]"
30,"[0.3740648379052369, 0.42, 0.355, 0.455, 0.41, 0.3575, 0.425, 0.3625, 0.4075, 0.38, 0.265, 0.5175, 0.365, 0.385, 0.44, 0.3975, 0.405, 0.41, 0.42, 0.36, 0.3375, 0.28, 0.36, 0.375, 0.39849624060150374]"
31,"[0.4389027431421446, 0.43, 0.4175, 0.3075, 0.3125, 0.4175, 0.3275, 0.3525, 0.4375, 0.3475, 0.31, 0.3725, 0.4025, 0.315, 0.4, 0.5075, 0.4875, 0.3725, 0.5275, 0.355, 0.4125, 0.395, 0.435, 0.405, 0.3358395989974937]"
32,"[0.4613466334164589, 0.4375, 0.4, 0.47, 0.4125, 0.4025, 0.5025, 0.34, 0.395, 0.38, 0.26, 0.5875, 0.4225, 0.3575, 0.4225, 0.4225, 0.4275, 0.4, 0.3975, 0.43, 0.335, 0.3225, 0.375, 0.4, 0.3508771929824561]"
33,"[0.42144638403990026, 0.41, 0.4225, 0.335, 0.3225, 0.4, 0.3375, 0.4025, 0.44, 0.3425, 0.3575, 0.3925, 0.4075, 0.3375, 0.43, 0.4825, 0.4375, 0.3675, 0.4125, 0.3575, 0.4475, 0.3475, 0.42, 0.3775, 0.3659147869674185]"
34,"[0.4763092269326683, 0.385, 0.395, 0.47, 0.4025, 0.435, 0.45, 0.3225, 0.3875, 0.37, 0.33, 0.605, 0.4425, 0.4, 0.395, 0.425, 0.44, 0.395, 0.345, 0.48, 0.2775, 0.335, 0.4125, 0.375, 0.3358395989974937]"
35,"[0.4089775561097257, 0.3875, 0.39, 0.3575, 0.315, 0.3575, 0.3225, 0.4075, 0.4325, 0.385, 0.3675, 0.395, 0.37, 0.395, 0.4125, 0.38, 0.4375, 0.39, 0.3425, 0.345, 0.305, 0.345, 0.4, 0.41, 0.42355889724310775]"
36,"[0.42643391521197005, 0.36, 0.4325, 0.45, 0.44, 0.39, 0.3925, 0.3175, 0.345, 0.3425, 0.3525, 0.555, 0.435, 0.37, 0.3475, 0.365, 0.4975, 0.3475, 0.305, 0.4475, 0.2575, 0.3225, 0.4125, 0.3375, 0.3308270676691729]"
37,"[0.371571072319202, 0.35, 0.3325, 0.325, 0.295, 0.3375, 0.3225, 0.4, 0.34, 0.4, 0.345, 0.4025, 0.33, 0.3725, 0.39, 0.3175, 0.415, 0.4325, 0.3, 0.36, 0.295, 0.365, 0.36, 0.3475, 0.44360902255639095]"
38,"[0.3516209476309227, 0.325, 0.435, 0.37, 0.38, 0.3225, 0.3225, 0.3, 0.3075, 0.3225, 0.3025, 0.5725, 0.375, 0.355, 0.325, 0.315, 0.4825, 0.3175, 0.29, 0.3775, 0.2575, 0.2925, 0.46, 0.31, 0.3007518796992481]"
39,"[0.33665835411471323, 0.31, 0.2975, 0.315, 0.2875, 0.3125, 0.285, 0.3125, 0.32, 0.3375, 0.32, 0.395, 0.305, 0.3075, 0.325, 0.2975, 0.4125, 0.375, 0.2825, 0.3275, 0.26, 0.31, 0.3175, 0.32, 0.3558897243107769]"
40,"[0.32418952618453867, 0.285, 0.375, 0.3125, 0.305, 0.295, 0.2925, 0.2775, 0.28, 0.3025, 0.3, 0.555, 0.3475, 0.2975, 0.3025, 0.2825, 0.5025, 0.2975, 0.2725, 0.325, 0.2275, 0.2725, 0.375, 0.2775, 0.2581453634085213]"
41,"[0.32169576059850374, 0.2575, 0.2775, 0.295, 0.25, 0.275, 0.265, 0.275, 0.305, 0.325, 0.2625, 0.4, 0.255, 0.2875, 0.295, 0.3075, 0.4, 0.3475, 0.2725, 0.2725, 0.225, 0.265, 0.2825, 0.285, 0.3233082706766917]"
42,"[0.314214463840399, 0.2825, 0.3275, 0.3, 0.2775, 0.285, 0.295, 0.245, 0.255, 0.275, 0.2875, 0.515, 0.3075, 0.2425, 0.27, 0.265, 0.515, 0.2625, 0.25, 0.295, 0.215, 0.265, 0.32, 0.26, 0.20802005012531327]"
43,"[0.2817955112219451, 0.22, 0.2625, 0.265, 0.2175, 0.245, 0.26, 0.255, 0.295, 0.3125, 0.2325, 0.4025, 0.2, 0.2775, 0.2975, 0.29, 0.385, 0.325, 0.26, 0.2475, 0.2075, 0.25, 0.215, 0.27, 0.3132832080200501]"
44,"[0.30423940149625933, 0.2675, 0.305, 0.2825, 0.265, 0.2725, 0.285, 0.2075, 0.245, 0.24, 0.28, 0.4975, 0.3075, 0.19, 0.235, 0.275, 0.53, 0.225, 0.23, 0.28, 0.1975, 0.2275, 0.28, 0.245, 0.16290726817042606]"
45,"[0.23690773067331672, 0.195, 0.245, 0.245, 0.185, 0.2, 0.2525, 0.2375, 0.28, 0.3, 0.19, 0.4025, 0.155, 0.27, 0.2775, 0.2775, 0.39, 0.3175, 0.25, 0.2375, 0.1975, 0.25, 0.16, 0.26, 0.2781954887218045]"
46,"[0.2967581047381546, 0.255, 0.31, 0.275, 0.255, 0.255, 0.2725, 0.17, 0.225, 0.21, 0.285, 0.5, 0.3025, 0.12, 0.1725, 0.255, 0.5325, 0.1725, 0.2075, 0.26, 0.185, 0.2025, 0.28, 0.2325, 0.12030075187969924]"
47,"[0.1970074812967581, 0.155, 0.21, 0.215, 0.15, 0.145, 0.2525, 0.2225, 0.2925, 0.29, 0.1525, 0.39, 0.1075, 0.2675, 0.275, 0.255, 0.415, 0.3, 0.22, 0.2075, 0.17, 0.2425, 0.1225, 0.2525, 0.2807017543859649]"
48,"[0.29925187032418954, 0.2425, 0.315, 0.28, 0.2475, 0.2425, 0.245, 0.145, 0.2025, 0.1575, 0.27, 0.4775, 0.29, 0.1025, 0.145, 0.24, 0.5075, 0.1475, 0.1825, 0.25, 0.17, 0.165, 0.2775, 0.225, 0.11528822055137844]"
49,"[0.1396508728179551, 0.1375, 0.1825, 0.185, 0.1325, 0.1275, 0.23, 0.2325, 0.275, 0.2725, 0.135, 0.4, 0.1075, 0.2525, 0.26, 0.23, 0.4125, 0.275, 0.19, 0.18, 0.15, 0.27, 0.1025, 0.2475, 0.24310776942355888]"
50,"[0.26683291770573564, 0.215, 0.335, 0.265, 0.235, 0.215, 0.1925, 0.1425, 0.165, 0.135, 0.255, 0.49, 0.2175, 0.1125, 0.135, 0.195, 0.51, 0.15, 0.14, 0.21, 0.1425, 0.15, 0.275, 0.205, 0.10776942355889724]"
51,"[0.12718204488778054, 0.145, 0.155, 0.1875, 0.135, 0.125, 0.1925, 0.22, 0.2475, 0.25, 0.135, 0.4125, 0.1075, 0.195, 0.21, 0.15, 0.415, 0.25, 0.1375, 0.16, 0.1175, 0.255, 0.1025, 0.195, 0.20551378446115287]"
52,"[0.22693266832917705, 0.1725, 0.34, 0.195, 0.21, 0.14, 0.1575, 0.145, 0.155, 0.135, 0.2375, 0.505, 0.155, 0.1125, 0.1375, 0.1525, 0.51, 0.1475, 0.1225, 0.1575, 0.1225, 0.145, 0.27, 0.1675, 0.10776942355889724]"
53,"[0.13216957605985039, 0.14, 0.145, 0.1925, 0.1375, 0.1325, 0.15, 0.13, 0.2175, 0.205, 0.135, 0.435, 0.1075, 0.1575, 0.16, 0.1225, 0.415, 0.1925, 0.1275, 0.1625, 0.1125, 0.22, 0.1, 0.1425, 0.17794486215538846]"
54,"[0.16458852867830423, 0.1275, 0.3375, 0.135, 0.1875, 0.1025, 0.1475, 0.145, 0.1425, 0.1375, 0.1875, 0.495, 0.115, 0.12, 0.1375, 0.1425, 0.5, 0.1525, 0.1275, 0.1375, 0.095, 0.1475, 0.205, 0.1525, 0.11027568922305764]"
55,"[0.14214463840399003, 0.1425, 0.165, 0.19, 0.14, 0.13, 0.125, 0.095, 0.175, 0.14, 0.135, 0.4625, 0.1075, 0.125, 0.1525, 0.1125, 0.4325, 0.1325, 0.13, 0.1575, 0.1125, 0.1825, 0.1025, 0.1275, 0.14786967418546365]"
56,"[0.12468827930174564, 0.1325, 0.3075, 0.1, 0.1325, 0.0875, 0.15, 0.1475, 0.16, 0.1475, 0.1175, 0.49, 0.095, 0.1225, 0.14, 0.125, 0.5, 0.16, 0.1275, 0.1125, 0.0825, 0.1775, 0.1425, 0.125, 0.11528822055137844]"
57,"[0.1546134663341646, 0.15, 0.2125, 0.1875, 0.14, 0.125, 0.1075, 0.08, 0.1425, 0.12, 0.16, 0.47, 0.1125, 0.1, 0.125, 0.1125, 0.47, 0.1025, 0.105, 0.125, 0.085, 0.14, 0.105, 0.1225, 0.12030075187969924]"
58,"[0.10972568578553615, 0.11, 0.2925, 0.0925, 0.095, 0.0825, 0.135, 0.1525, 0.175, 0.145, 0.1025, 0.5, 0.095, 0.135, 0.1675, 0.12, 0.51, 0.18, 0.125, 0.0925, 0.0775, 0.175, 0.09, 0.1125, 0.12781954887218044]"
59,"[0.1596009975062344, 0.145, 0.1975, 0.175, 0.1475, 0.1275, 0.0975, 0.0775, 0.1325, 0.115, 0.1675, 0.45, 0.1225, 0.0975, 0.1125, 0.1125, 0.4475, 0.095, 0.1, 0.08, 0.075, 0.1175, 0.115, 0.115, 0.11528822055137844]"
60,"[0.11221945137157108, 0.1025, 0.27, 0.0925, 0.0875, 0.0825, 0.135, 0.1525, 0.1825, 0.1475, 0.1025, 0.48, 0.095, 0.1475, 0.1725, 0.12, 0.525, 0.18, 0.1075, 0.0725, 0.075, 0.1725, 0.09, 0.1125, 0.14035087719298245]"
61,"[0.1770573566084788, 0.15, 0.18, 0.17, 0.145, 0.1275, 0.095, 0.0775, 0.125, 0.1125, 0.1625, 0.435, 0.14, 0.0975, 0.11, 0.1125, 0.4525, 0.095, 0.1, 0.0725, 0.075, 0.115, 0.125, 0.1125, 0.11528822055137844]"
62,"[0.10972568578553615, 0.1025, 0.23, 0.09, 0.085, 0.0825, 0.1475, 0.1575, 0.18, 0.155, 0.1, 0.4675, 0.095, 0.1575, 0.17, 0.1125, 0.54, 0.17, 0.1025, 0.0725, 0.075, 0.155, 0.09, 0.1125, 0.15789473684210525]"
63,"[0.1745635910224439, 0.155, 0.1825, 0.1575, 0.155, 0.1175, 0.095, 0.0775, 0.12, 0.1125, 0.1625, 0.4225, 0.1475, 0.0975, 0.1075, 0.1125, 0.445, 0.095, 0.1, 0.0725, 0.075, 0.115, 0.13, 0.1125, 0.11528822055137844]"
64,"[0.10972568578553615, 0.1025, 0.205, 0.09, 0.085, 0.0825, 0.1325, 0.145, 0.1725, 0.16, 0.1, 0.46, 0.095, 0.155, 0.1575, 0.1125, 0.5625, 0.165, 0.1, 0.0725, 0.075, 0.135, 0.09, 0.1125, 0.16541353383458646]"
65,"[0.17206982543640897, 0.1625, 0.1875, 0.1525, 0.1475, 0.115, 0.095, 0.0775, 0.1175, 0.11, 0.1575, 0.43, 0.15, 0.0975, 0.1075, 0.1125, 0.415, 0.095, 0.1, 0.0725, 0.075, 0.115, 0.135, 0.1125, 0.11278195488721804]"
66,"[0.10972568578553615, 0.1025, 0.1825, 0.09, 0.0825, 0.0825, 0.1375, 0.1475, 0.165, 0.16, 0.1, 0.52, 0.095, 0.155, 0.1525, 0.1125, 0.5525, 0.1625, 0.1, 0.0725, 0.075, 0.135, 0.09, 0.1125, 0.16541353383458646]"
67,"[0.16708229426433915, 0.1625, 0.19, 0.145, 0.1475, 0.1075, 0.095, 0.0775, 0.1175, 0.11, 0.155, 0.4275, 0.1475, 0.0975, 0.1075, 0.1125, 0.4025, 0.095, 0.1, 0.0725, 0.075, 0.1125, 0.1375, 0.1125, 0.11278195488721804]"
68,"[0.10972568578553615, 0.1025, 0.185, 0.09, 0.0825, 0.0825, 0.15, 0.145, 0.165, 0.16, 0.1, 0.495, 0.095, 0.15, 0.155, 0.1125, 0.5175, 0.1625, 0.1, 0.0725, 0.075, 0.1325, 0.09, 0.1125, 0.16541353383458646]"
69,"[0.16708229426433915, 0.16, 0.15, 0.1525, 0.14, 0.115, 0.095, 0.0775, 0.1375, 0.11, 0.155, 0.36, 0.1475, 0.0975, 0.1075, 0.1125, 0.415, 0.095, 0.1, 0.0725, 0.0825, 0.11, 0.1375, 0.1125, 0.11278195488721804]"
70,"[0.10972568578553615, 0.1025, 0.19, 0.09, 0.0825, 0.0825, 0.1675, 0.1525, 0.18, 0.1625, 0.1, 0.515, 0.095, 0.1525, 0.1725, 0.1125, 0.5025, 0.17, 0.1, 0.0725, 0.075, 0.135, 0.09, 0.1125, 0.16541353383458646]"
71,"[0.16458852867830423, 0.155, 0.1525, 0.19, 0.1375, 0.1275, 0.095, 0.0775, 0.1525, 0.1125, 0.15, 0.4075, 0.1425, 0.0975, 0.1075, 0.1125, 0.3775, 0.095, 0.1, 0.0725, 0.085, 0.11, 0.135, 0.1125, 0.11278195488721804]"
72,"[0.10972568578553615, 0.1025, 0.19, 0.09, 0.0825, 0.0825, 0.175, 0.15, 0.165, 0.1475, 0.1, 0.4775, 0.095, 0.145, 0.16, 0.1175, 0.4425, 0.1675, 0.1, 0.075, 0.075, 0.1675, 0.09, 0.1125, 0.13032581453634084]"
73,"[0.14214463840399003, 0.15, 0.1875, 0.1675, 0.14, 0.12, 0.1, 0.0775, 0.1475, 0.1125, 0.155, 0.4175, 0.1275, 0.0975, 0.1075, 0.115, 0.3275, 0.095, 0.1, 0.0725, 0.0825, 0.1225, 0.12, 0.12, 0.11278195488721804]"
74,"[0.10972568578553615, 0.1025, 0.1925, 0.09, 0.0825, 0.0825, 0.1725, 0.155, 0.1625, 0.145, 0.1, 0.435, 0.095, 0.135, 0.1475, 0.12, 0.4225, 0.1625, 0.1075, 0.0775, 0.075, 0.175, 0.09, 0.1125, 0.13032581453634084]"
75,"[0.1371571072319202, 0.14, 0.195, 0.17, 0.14, 0.115, 0.1, 0.0775, 0.14, 0.1125, 0.1525, 0.42, 0.1225, 0.0975, 0.1125, 0.1125, 0.36, 0.095, 0.1, 0.0725, 0.0825, 0.1225, 0.1175, 0.135, 0.11278195488721804]"
