eigenvector_centrality,"[21, 4]"
0,"[0.07481296758104738, 0.135, 0.0975, 0.115, 0.0975, 0.0875, 0.0675, 0.0925, 0.0775, 0.085, 0.0825, 0.0875, 0.1275, 0.11, 0.0925, 0.0925, 0.1175, 0.11, 0.1325, 0.1325, 0.145, 0.11, 0.125, 0.0925, 0.06766917293233082]"
1,"[0.07481296758104738, 0.0775, 0.1125, 0.115, 0.0975, 0.0875, 0.0675, 0.0925, 0.0775, 0.1075, 0.0775, 0.1, 0.1275, 0.11, 0.0925, 0.1075, 0.1175, 0.11, 0.0925, 0.0875, 0.12, 0.11, 0.105, 0.0925, 0.09523809523809523]"
2,"[0.07481296758104738, 0.135, 0.1, 0.115, 0.0975, 0.0875, 0.0675, 0.0925, 0.0775, 0.1075, 0.0775, 0.1, 0.1275, 0.1175, 0.0925, 0.1075, 0.1175, 0.11, 0.0925, 0.0875, 0.12, 0.11, 0.105, 0.0925, 0.09523809523809523]"
3,"[0.07481296758104738, 0.135, 0.1, 0.115, 0.0975, 0.0875, 0.0675, 0.0925, 0.0775, 0.1075, 0.0775, 0.1, 0.1275, 0.11, 0.0925, 0.1075, 0.1175, 0.11, 0.0925, 0.0875, 0.12, 0.11, 0.105, 0.0925, 0.09523809523809523]"
4,"[0.07481296758104738, 0.135, 0.1, 0.115, 0.0975, 0.0875, 0.1075, 0.0925, 0.0775, 0.0925, 0.0825, 0.1, 0.1275, 0.115, 0.105, 0.1075, 0.1175, 0.1175, 0.0925, 0.0875, 0.12, 0.11, 0.105, 0.0925, 0.10025062656641603]"
5,"[0.07481296758104738, 0.0875, 0.0975, 0.1075, 0.12, 0.1325, 0.1075, 0.155, 0.1125, 0.0925, 0.1075, 0.1, 0.1575, 0.11, 0.0925, 0.1925, 0.1025, 0.11, 0.1575, 0.0875, 0.12, 0.08, 0.105, 0.0975, 0.09523809523809523]"
6,"[0.11221945137157108, 0.135, 0.1225, 0.1075, 0.12, 0.0875, 0.1075, 0.1225, 0.145, 0.0925, 0.0825, 0.0875, 0.08, 0.115, 0.075, 0.1075, 0.1025, 0.1125, 0.105, 0.0975, 0.165, 0.145, 0.1, 0.0975, 0.10275689223057644]"
7,"[0.11221945137157108, 0.0875, 0.0975, 0.1075, 0.12, 0.1325, 0.1075, 0.1225, 0.11, 0.0925, 0.1825, 0.0875, 0.08, 0.11, 0.0925, 0.0975, 0.1025, 0.11, 0.1, 0.0975, 0.1075, 0.08, 0.1, 0.0975, 0.10275689223057644]"
8,"[0.11221945137157108, 0.0875, 0.19, 0.11, 0.12, 0.085, 0.1075, 0.1225, 0.105, 0.0925, 0.1075, 0.0875, 0.065, 0.115, 0.075, 0.085, 0.1175, 0.1125, 0.1, 0.0975, 0.1075, 0.08, 0.1, 0.1075, 0.10275689223057644]"
9,"[0.11221945137157108, 0.0875, 0.0975, 0.1075, 0.12, 0.1, 0.1075, 0.1225, 0.1225, 0.0925, 0.1125, 0.0875, 0.08, 0.0775, 0.0925, 0.0975, 0.1025, 0.2125, 0.1, 0.0975, 0.1075, 0.08, 0.12, 0.0975, 0.10275689223057644]"
10,"[0.09725685785536159, 0.08, 0.19, 0.0925, 0.12, 0.085, 0.1075, 0.1225, 0.105, 0.0925, 0.1075, 0.0875, 0.0725, 0.115, 0.075, 0.085, 0.1175, 0.1125, 0.1025, 0.0975, 0.1075, 0.08, 0.1, 0.12, 0.10275689223057644]"
11,"[0.07231920199501247, 0.0875, 0.08, 0.1075, 0.12, 0.1, 0.1075, 0.1225, 0.1225, 0.0925, 0.1125, 0.0875, 0.08, 0.0775, 0.1125, 0.0975, 0.1025, 0.2025, 0.1, 0.0975, 0.1075, 0.08, 0.1225, 0.0975, 0.10275689223057644]"
12,"[0.09226932668329177, 0.0925, 0.1825, 0.0925, 0.12, 0.085, 0.1075, 0.13, 0.105, 0.0925, 0.1075, 0.0875, 0.0725, 0.115, 0.075, 0.085, 0.1175, 0.1125, 0.1125, 0.0975, 0.1075, 0.08, 0.1, 0.12, 0.10275689223057644]"
13,"[0.0773067331670823, 0.0875, 0.1025, 0.1075, 0.12, 0.1, 0.11, 0.1225, 0.1225, 0.0925, 0.1125, 0.1875, 0.08, 0.0775, 0.1575, 0.0975, 0.1025, 0.1375, 0.1, 0.0975, 0.1075, 0.08, 0.0975, 0.0975, 0.10275689223057644]"
14,"[0.11221945137157108, 0.0825, 0.1925, 0.0925, 0.12, 0.085, 0.1075, 0.1225, 0.105, 0.0925, 0.1075, 0.0875, 0.07, 0.115, 0.075, 0.085, 0.1175, 0.1125, 0.12, 0.0975, 0.1075, 0.08, 0.1, 0.12, 0.10275689223057644]"
15,"[0.08229426433915212, 0.0875, 0.0975, 0.1075, 0.12, 0.1, 0.12, 0.1225, 0.1225, 0.0925, 0.1125, 0.1875, 0.08, 0.0775, 0.1625, 0.0975, 0.1025, 0.2025, 0.1, 0.0975, 0.1075, 0.08, 0.085, 0.0975, 0.10275689223057644]"
16,"[0.11221945137157108, 0.1425, 0.19, 0.0925, 0.12, 0.085, 0.1075, 0.1225, 0.105, 0.11, 0.1075, 0.0875, 0.065, 0.115, 0.075, 0.085, 0.1175, 0.1125, 0.1, 0.0975, 0.1075, 0.08, 0.1, 0.125, 0.10275689223057644]"
17,"[0.07231920199501247, 0.0875, 0.0975, 0.1075, 0.12, 0.1, 0.1325, 0.1225, 0.1225, 0.0925, 0.1125, 0.225, 0.08, 0.0775, 0.1575, 0.0975, 0.1025, 0.17, 0.1, 0.0975, 0.1075, 0.08, 0.1, 0.0975, 0.10275689223057644]"
