eigenvector_centrality,"[15, 20]"
20,"[0.4713216957605985, 0.4375, 0.4325, 0.42, 0.375, 0.3025, 0.375, 0.2975, 0.355, 0.31, 0.42, 0.4, 0.3725, 0.415, 0.3625, 0.4075, 0.4225, 0.3175, 0.375, 0.475, 0.3775, 0.4175, 0.4675, 0.3825, 0.3408521303258145]"
21,"[0.3341645885286783, 0.4175, 0.455, 0.3475, 0.4475, 0.3925, 0.3525, 0.5, 0.445, 0.4475, 0.4225, 0.475, 0.41, 0.365, 0.3125, 0.28, 0.3225, 0.4425, 0.36, 0.4025, 0.3875, 0.445, 0.365, 0.3325, 0.3408521303258145]"
22,"[0.456359102244389, 0.435, 0.455, 0.4125, 0.3975, 0.3075, 0.39, 0.2875, 0.385, 0.3275, 0.4175, 0.4, 0.4125, 0.43, 0.3775, 0.395, 0.405, 0.34, 0.3825, 0.465, 0.3975, 0.41, 0.4675, 0.375, 0.3458646616541353]"
23,"[0.34663341645885287, 0.4175, 0.475, 0.345, 0.4325, 0.415, 0.3575, 0.4925, 0.4425, 0.385, 0.4425, 0.47, 0.415, 0.3575, 0.3425, 0.2925, 0.355, 0.44, 0.3675, 0.415, 0.4, 0.4575, 0.36, 0.35, 0.3308270676691729]"
24,"[0.4089775561097257, 0.435, 0.4375, 0.4225, 0.415, 0.3275, 0.405, 0.2975, 0.41, 0.35, 0.435, 0.4025, 0.425, 0.455, 0.4, 0.39, 0.395, 0.355, 0.4, 0.46, 0.405, 0.385, 0.475, 0.3625, 0.3483709273182957]"
25,"[0.34413965087281795, 0.42, 0.48, 0.34, 0.4125, 0.42, 0.38, 0.4825, 0.445, 0.3775, 0.47, 0.465, 0.435, 0.3825, 0.3475, 0.3225, 0.3775, 0.43, 0.3675, 0.43, 0.3825, 0.465, 0.365, 0.385, 0.3182957393483709]"
26,"[0.38154613466334164, 0.435, 0.4675, 0.43, 0.4125, 0.335, 0.4075, 0.3175, 0.4375, 0.3725, 0.4325, 0.4025, 0.4275, 0.465, 0.405, 0.375, 0.39, 0.395, 0.415, 0.4625, 0.4375, 0.3875, 0.4875, 0.3725, 0.3508771929824561]"
27,"[0.3915211970074813, 0.405, 0.4225, 0.3525, 0.4, 0.4525, 0.4075, 0.4825, 0.43, 0.3825, 0.49, 0.4525, 0.4775, 0.4425, 0.3575, 0.3725, 0.4525, 0.41, 0.3525, 0.5025, 0.485, 0.4625, 0.3625, 0.3925, 0.3483709273182957]"
28,"[0.39900249376558605, 0.405, 0.495, 0.4025, 0.4425, 0.38, 0.385, 0.3725, 0.495, 0.3825, 0.4425, 0.415, 0.455, 0.435, 0.3775, 0.3475, 0.39, 0.445, 0.3325, 0.5075, 0.3875, 0.4275, 0.4425, 0.44, 0.38095238095238093]"
29,"[0.4339152119700748, 0.385, 0.435, 0.3075, 0.395, 0.41, 0.4425, 0.48, 0.4125, 0.42, 0.4375, 0.4225, 0.45, 0.4375, 0.3125, 0.3925, 0.4475, 0.3925, 0.3825, 0.4775, 0.5, 0.46, 0.4, 0.34, 0.3082706766917293]"
30,"[0.4463840399002494, 0.3875, 0.5175, 0.43, 0.445, 0.4425, 0.3625, 0.3925, 0.52, 0.5325, 0.435, 0.48, 0.535, 0.3675, 0.3925, 0.345, 0.375, 0.4925, 0.34, 0.455, 0.39, 0.4175, 0.42, 0.4625, 0.40601503759398494]"
31,"[0.4463840399002494, 0.4075, 0.42, 0.2875, 0.3925, 0.375, 0.4825, 0.48, 0.3975, 0.425, 0.3825, 0.3875, 0.4225, 0.43, 0.2925, 0.4775, 0.4275, 0.3675, 0.39, 0.4525, 0.5225, 0.4375, 0.4275, 0.3325, 0.3032581453634085]"
32,"[0.44139650872817954, 0.375, 0.49, 0.4625, 0.45, 0.4975, 0.3575, 0.395, 0.5225, 0.525, 0.455, 0.5025, 0.5725, 0.36, 0.415, 0.3475, 0.3475, 0.4975, 0.325, 0.455, 0.375, 0.4, 0.41, 0.435, 0.42857142857142855]"
33,"[0.4613466334164589, 0.425, 0.3975, 0.27, 0.3875, 0.3725, 0.5125, 0.4575, 0.3775, 0.4275, 0.3525, 0.4075, 0.4025, 0.44, 0.2975, 0.5, 0.4275, 0.405, 0.4125, 0.4475, 0.5575, 0.425, 0.4525, 0.345, 0.3157894736842105]"
34,"[0.39650872817955113, 0.3825, 0.4675, 0.4725, 0.4625, 0.4925, 0.3825, 0.405, 0.5225, 0.535, 0.4625, 0.4875, 0.54, 0.365, 0.4275, 0.395, 0.3525, 0.5175, 0.32, 0.45, 0.4025, 0.39, 0.4125, 0.45, 0.48370927318295737]"
35,"[0.46384039900249374, 0.4275, 0.445, 0.3625, 0.37, 0.3825, 0.5025, 0.4075, 0.385, 0.4175, 0.3625, 0.4525, 0.46, 0.44, 0.355, 0.51, 0.5075, 0.445, 0.4225, 0.47, 0.5375, 0.475, 0.4575, 0.38, 0.3533834586466165]"
36,"[0.3790523690773067, 0.37, 0.45, 0.4775, 0.4725, 0.4825, 0.4075, 0.4075, 0.52, 0.555, 0.46, 0.45, 0.525, 0.425, 0.43, 0.4025, 0.3525, 0.52, 0.395, 0.4075, 0.45, 0.41, 0.4075, 0.51, 0.46365914786967416]"
37,"[0.516209476309227, 0.425, 0.4525, 0.405, 0.3725, 0.4225, 0.4675, 0.385, 0.385, 0.415, 0.385, 0.475, 0.48, 0.4525, 0.43, 0.5025, 0.53, 0.4575, 0.44, 0.4725, 0.5425, 0.515, 0.465, 0.3975, 0.37343358395989973]"
38,"[0.3865336658354115, 0.38, 0.415, 0.4525, 0.4925, 0.4775, 0.4125, 0.4825, 0.52, 0.5475, 0.4575, 0.435, 0.5425, 0.4825, 0.4225, 0.4, 0.3525, 0.535, 0.4, 0.4225, 0.46, 0.4025, 0.425, 0.51, 0.47368421052631576]"
39,"[0.5236907730673317, 0.4075, 0.475, 0.4575, 0.3875, 0.425, 0.455, 0.4175, 0.425, 0.4, 0.3875, 0.4625, 0.4675, 0.48, 0.47, 0.495, 0.52, 0.4425, 0.4325, 0.4375, 0.495, 0.5375, 0.4725, 0.4225, 0.37343358395989973]"
40,"[0.4014962593516209, 0.4125, 0.3975, 0.4475, 0.4675, 0.4925, 0.4125, 0.4325, 0.52, 0.56, 0.4325, 0.4075, 0.56, 0.4525, 0.435, 0.405, 0.3675, 0.5525, 0.4325, 0.4275, 0.4725, 0.3525, 0.4425, 0.5275, 0.48872180451127817]"
41,"[0.4837905236907731, 0.3975, 0.51, 0.515, 0.3975, 0.455, 0.47, 0.445, 0.45, 0.3925, 0.395, 0.4525, 0.485, 0.44, 0.505, 0.49, 0.475, 0.445, 0.4425, 0.4325, 0.485, 0.4575, 0.46, 0.4675, 0.38596491228070173]"
42,"[0.4114713216957606, 0.4425, 0.3825, 0.4475, 0.44, 0.4825, 0.43, 0.3925, 0.535, 0.575, 0.4325, 0.3875, 0.4975, 0.525, 0.455, 0.415, 0.37, 0.5625, 0.4475, 0.3975, 0.4875, 0.3325, 0.475, 0.535, 0.5162907268170426]"
43,"[0.48129675810473815, 0.4025, 0.54, 0.52, 0.38, 0.475, 0.4725, 0.375, 0.4625, 0.4, 0.405, 0.4525, 0.5225, 0.4625, 0.51, 0.465, 0.5, 0.44, 0.4375, 0.4475, 0.4825, 0.44, 0.46, 0.4925, 0.41604010025062654]"
44,"[0.4014962593516209, 0.4325, 0.37, 0.4525, 0.46, 0.4325, 0.4275, 0.43, 0.53, 0.58, 0.425, 0.3725, 0.455, 0.5, 0.4475, 0.4275, 0.3625, 0.575, 0.47, 0.3975, 0.4975, 0.35, 0.4925, 0.4875, 0.5012531328320802]"
45,"[0.4912718204488778, 0.4125, 0.5525, 0.48, 0.36, 0.49, 0.465, 0.395, 0.4625, 0.425, 0.4625, 0.4525, 0.53, 0.4775, 0.5025, 0.4675, 0.51, 0.4475, 0.43, 0.4625, 0.435, 0.48, 0.4475, 0.5, 0.44110275689223055]"
46,"[0.3915211970074813, 0.445, 0.3925, 0.465, 0.46, 0.385, 0.425, 0.47, 0.51, 0.58, 0.415, 0.4175, 0.405, 0.4725, 0.4675, 0.425, 0.38, 0.5475, 0.4475, 0.4125, 0.4925, 0.35, 0.49, 0.4925, 0.46867167919799496]"
47,"[0.516209476309227, 0.4425, 0.5075, 0.505, 0.335, 0.4825, 0.45, 0.3875, 0.4675, 0.4125, 0.4775, 0.46, 0.5175, 0.475, 0.5175, 0.4725, 0.5275, 0.4475, 0.445, 0.4675, 0.3975, 0.5, 0.425, 0.525, 0.43609022556390975]"
48,"[0.371571072319202, 0.49, 0.44, 0.4675, 0.47, 0.38, 0.375, 0.45, 0.48, 0.565, 0.4, 0.4425, 0.4025, 0.4325, 0.4775, 0.4475, 0.41, 0.5175, 0.46, 0.415, 0.42, 0.355, 0.4775, 0.4175, 0.45112781954887216]"
49,"[0.513715710723192, 0.535, 0.5025, 0.4975, 0.3275, 0.4925, 0.4525, 0.385, 0.49, 0.37, 0.4825, 0.48, 0.54, 0.4975, 0.4975, 0.4625, 0.5575, 0.4425, 0.4875, 0.52, 0.425, 0.4625, 0.41, 0.525, 0.43358395989974935]"
50,"[0.39650872817955113, 0.415, 0.455, 0.5225, 0.4725, 0.4025, 0.3725, 0.435, 0.4325, 0.555, 0.44, 0.425, 0.425, 0.4325, 0.49, 0.4525, 0.4525, 0.465, 0.48, 0.4225, 0.4425, 0.37, 0.4775, 0.38, 0.39598997493734334]"
51,"[0.5286783042394015, 0.4875, 0.5775, 0.4875, 0.33, 0.4875, 0.45, 0.4, 0.5175, 0.385, 0.4875, 0.4675, 0.5125, 0.56, 0.475, 0.5, 0.5625, 0.4475, 0.45, 0.43, 0.425, 0.4325, 0.4025, 0.5325, 0.49122807017543857]"
52,"[0.40648379052369077, 0.4275, 0.4875, 0.425, 0.5, 0.3825, 0.4025, 0.4625, 0.41, 0.5275, 0.47, 0.44, 0.4225, 0.4075, 0.48, 0.4575, 0.4425, 0.445, 0.475, 0.4275, 0.445, 0.415, 0.4975, 0.37, 0.3483709273182957]"
53,"[0.5461346633416458, 0.435, 0.5575, 0.475, 0.35, 0.485, 0.4275, 0.3925, 0.56, 0.3975, 0.5075, 0.4675, 0.5075, 0.505, 0.4925, 0.4125, 0.565, 0.475, 0.485, 0.4375, 0.42, 0.43, 0.395, 0.52, 0.5488721804511278]"
