eigenvector_centrality,"[10, 13]"
20,"[0.3915211970074813, 0.2925, 0.28, 0.3075, 0.46, 0.365, 0.2875, 0.41, 0.3175, 0.3775, 0.3325, 0.3725, 0.405, 0.355, 0.33, 0.285, 0.2525, 0.285, 0.3825, 0.395, 0.34, 0.375, 0.325, 0.415, 0.3308270676691729]"
21,"[0.4314214463840399, 0.385, 0.375, 0.425, 0.355, 0.4475, 0.3525, 0.3525, 0.4, 0.3875, 0.23, 0.3575, 0.3875, 0.2625, 0.3675, 0.3925, 0.31, 0.39, 0.3325, 0.335, 0.3525, 0.315, 0.3675, 0.4375, 0.23558897243107768]"
22,"[0.39900249376558605, 0.325, 0.3275, 0.35, 0.41, 0.3775, 0.335, 0.415, 0.3725, 0.425, 0.3425, 0.38, 0.425, 0.3575, 0.33, 0.3, 0.3075, 0.32, 0.39, 0.4, 0.3675, 0.3925, 0.35, 0.425, 0.3383458646616541]"
23,"[0.45885286783042395, 0.3875, 0.3725, 0.435, 0.3375, 0.485, 0.32, 0.3725, 0.3825, 0.4025, 0.2675, 0.3825, 0.4275, 0.295, 0.3725, 0.405, 0.315, 0.3875, 0.3675, 0.36, 0.37, 0.3675, 0.3675, 0.3875, 0.2606516290726817]"
24,"[0.4239401496259352, 0.375, 0.3475, 0.4075, 0.4, 0.375, 0.3575, 0.435, 0.4075, 0.4325, 0.355, 0.3925, 0.4575, 0.3825, 0.3275, 0.315, 0.355, 0.355, 0.3975, 0.41, 0.3975, 0.4125, 0.3925, 0.4125, 0.3408521303258145]"
25,"[0.4463840399002494, 0.42, 0.34, 0.4325, 0.3475, 0.4175, 0.335, 0.405, 0.47, 0.4175, 0.4, 0.3825, 0.4475, 0.4175, 0.39, 0.415, 0.355, 0.3825, 0.39, 0.37, 0.3875, 0.4025, 0.38, 0.41, 0.2731829573934837]"
26,"[0.3790523690773067, 0.4125, 0.415, 0.4325, 0.44, 0.3625, 0.4525, 0.4225, 0.4975, 0.45, 0.435, 0.3775, 0.4575, 0.4875, 0.3325, 0.33, 0.41, 0.41, 0.38, 0.3975, 0.39, 0.37, 0.39, 0.36, 0.3082706766917293]"
27,"[0.42144638403990026, 0.4125, 0.35, 0.425, 0.425, 0.4025, 0.36, 0.3875, 0.475, 0.43, 0.4625, 0.38, 0.49, 0.55, 0.4075, 0.4075, 0.345, 0.3825, 0.44, 0.3975, 0.435, 0.41, 0.3775, 0.435, 0.3358395989974937]"
28,"[0.4513715710723192, 0.41, 0.365, 0.4225, 0.415, 0.38, 0.465, 0.425, 0.48, 0.455, 0.4975, 0.42, 0.47, 0.5125, 0.35, 0.3325, 0.39, 0.42, 0.3925, 0.3725, 0.3575, 0.365, 0.4175, 0.3375, 0.3007518796992481]"
29,"[0.38902743142144636, 0.43, 0.3675, 0.4275, 0.405, 0.3875, 0.41, 0.3625, 0.4625, 0.4625, 0.4325, 0.3225, 0.445, 0.3625, 0.39, 0.41, 0.3675, 0.42, 0.435, 0.405, 0.405, 0.3875, 0.375, 0.395, 0.3233082706766917]"
30,"[0.57356608478803, 0.3725, 0.28, 0.355, 0.3725, 0.4375, 0.3875, 0.4175, 0.4, 0.4175, 0.52, 0.4275, 0.5, 0.4425, 0.395, 0.27, 0.3075, 0.3425, 0.4125, 0.3375, 0.3425, 0.3475, 0.375, 0.34, 0.3583959899749373]"
31,"[0.32169576059850374, 0.44, 0.4275, 0.34, 0.32, 0.305, 0.3825, 0.3025, 0.4325, 0.5225, 0.255, 0.2525, 0.365, 0.2775, 0.3025, 0.44, 0.495, 0.5, 0.3, 0.3425, 0.315, 0.3075, 0.425, 0.3575, 0.2731829573934837]"
32,"[0.40648379052369077, 0.295, 0.2025, 0.295, 0.3525, 0.46, 0.2975, 0.43, 0.3075, 0.3125, 0.545, 0.42, 0.5, 0.515, 0.42, 0.235, 0.2275, 0.265, 0.445, 0.305, 0.3825, 0.3125, 0.2975, 0.28, 0.47619047619047616]"
33,"[0.26932668329177056, 0.39, 0.5225, 0.3825, 0.2625, 0.245, 0.3925, 0.2275, 0.3775, 0.5075, 0.24, 0.2125, 0.26, 0.2725, 0.2575, 0.4375, 0.4875, 0.49, 0.25, 0.28, 0.2575, 0.2475, 0.55, 0.305, 0.21303258145363407]"
34,"[0.3266832917705736, 0.2075, 0.1925, 0.2375, 0.33, 0.435, 0.235, 0.315, 0.25, 0.255, 0.5425, 0.385, 0.5575, 0.4875, 0.345, 0.2, 0.2, 0.225, 0.5375, 0.245, 0.445, 0.22, 0.2525, 0.235, 0.43358395989974935]"
35,"[0.24438902743142144, 0.2975, 0.4575, 0.305, 0.205, 0.1975, 0.355, 0.2075, 0.34, 0.4275, 0.24, 0.1725, 0.2375, 0.27, 0.225, 0.4225, 0.4125, 0.35, 0.2375, 0.22, 0.19, 0.225, 0.405, 0.2775, 0.21303258145363407]"
36,"[0.26932668329177056, 0.195, 0.185, 0.1975, 0.33, 0.38, 0.2175, 0.3175, 0.225, 0.2425, 0.5075, 0.29, 0.3775, 0.4625, 0.3275, 0.185, 0.19, 0.22, 0.4075, 0.21, 0.3625, 0.2, 0.2375, 0.1975, 0.3684210526315789]"
