betweeness_centrality,[3.]
0,"[0.13, 0.099, 0.106, 0.104, 0.139, 0.133, 0.089, 0.119, 0.1, 0.101]"
1,"[0.116, 0.114, 0.096, 0.117, 0.112, 0.095, 0.116, 0.098, 0.117, 0.116]"
2,"[0.088, 0.093, 0.087, 0.11, 0.109, 0.105, 0.103, 0.138, 0.1, 0.101]"
3,"[0.116, 0.085, 0.087, 0.093, 0.1, 0.086, 0.092, 0.104, 0.091, 0.101]"
4,"[0.088, 0.199, 0.145, 0.171, 0.109, 0.105, 0.24, 0.12, 0.1, 0.103]"
5,"[0.113, 0.188, 0.109, 0.221, 0.094, 0.103, 0.109, 0.104, 0.113, 0.103]"
6,"[0.096, 0.111, 0.096, 0.107, 0.164, 0.09, 0.109, 0.173, 0.1, 0.114]"
7,"[0.08, 0.179, 0.116, 0.147, 0.094, 0.145, 0.109, 0.194, 0.113, 0.137]"
8,"[0.19, 0.147, 0.153, 0.176, 0.083, 0.123, 0.109, 0.102, 0.1, 0.079]"
9,"[0.103, 0.29, 0.116, 0.117, 0.094, 0.186, 0.109, 0.234, 0.094, 0.104]"
10,"[0.125, 0.119, 0.25, 0.111, 0.083, 0.17, 0.116, 0.102, 0.1, 0.082]"
11,"[0.103, 0.288, 0.116, 0.204, 0.094, 0.142, 0.109, 0.196, 0.093, 0.102]"
12,"[0.193, 0.119, 0.339, 0.118, 0.102, 0.168, 0.104, 0.102, 0.163, 0.1]"
13,"[0.103, 0.286, 0.116, 0.205, 0.117, 0.113, 0.118, 0.223, 0.093, 0.102]"
14,"[0.264, 0.16, 0.25, 0.101, 0.094, 0.133, 0.171, 0.102, 0.199, 0.206]"
15,"[0.103, 0.434, 0.116, 0.207, 0.183, 0.15, 0.145, 0.23, 0.093, 0.102]"
16,"[0.274, 0.107, 0.301, 0.101, 0.094, 0.12, 0.198, 0.102, 0.2, 0.223]"
17,"[0.103, 0.381, 0.116, 0.211, 0.183, 0.165, 0.145, 0.285, 0.093, 0.102]"
