out_deg_centrality,[9.]
0,"[0.08, 0.099, 0.109, 0.093, 0.091, 0.095, 0.114, 0.092, 0.098, 0.12]"
1,"[0.097, 0.104, 0.083, 0.122, 0.1, 0.105, 0.107, 0.118, 0.106, 0.091]"
2,"[0.096, 0.101, 0.109, 0.122, 0.1, 0.105, 0.089, 0.098, 0.106, 0.103]"
3,"[0.102, 0.126, 0.096, 0.09, 0.1, 0.112, 0.089, 0.098, 0.103, 0.106]"
4,"[0.102, 0.099, 0.107, 0.173, 0.1, 0.105, 0.089, 0.153, 0.098, 0.138]"
5,"[0.102, 0.099, 0.106, 0.166, 0.117, 0.136, 0.089, 0.224, 0.098, 0.091]"
6,"[0.12, 0.099, 0.196, 0.172, 0.1, 0.105, 0.092, 0.137, 0.152, 0.103]"
7,"[0.102, 0.085, 0.106, 0.136, 0.094, 0.102, 0.117, 0.113, 0.098, 0.091]"
8,"[0.088, 0.099, 0.096, 0.201, 0.1, 0.105, 0.092, 0.129, 0.1, 0.103]"
9,"[0.137, 0.085, 0.106, 0.117, 0.151, 0.102, 0.134, 0.113, 0.222, 0.091]"
10,"[0.088, 0.099, 0.106, 0.173, 0.1, 0.105, 0.092, 0.156, 0.1, 0.103]"
11,"[0.102, 0.085, 0.106, 0.117, 0.136, 0.102, 0.089, 0.113, 0.208, 0.091]"
12,"[0.088, 0.099, 0.096, 0.229, 0.1, 0.105, 0.092, 0.147, 0.143, 0.103]"
13,"[0.102, 0.085, 0.14, 0.117, 0.149, 0.102, 0.089, 0.113, 0.242, 0.091]"
14,"[0.088, 0.099, 0.096, 0.277, 0.101, 0.105, 0.092, 0.147, 0.202, 0.137]"
15,"[0.102, 0.085, 0.164, 0.118, 0.241, 0.148, 0.089, 0.136, 0.254, 0.091]"
16,"[0.089, 0.099, 0.096, 0.254, 0.105, 0.105, 0.104, 0.12, 0.251, 0.281]"
17,"[0.11, 0.103, 0.225, 0.256, 0.229, 0.118, 0.089, 0.24, 0.27, 0.091]"
18,"[0.14, 0.099, 0.096, 0.29, 0.107, 0.105, 0.138, 0.12, 0.207, 0.236]"
19,"[0.139, 0.127, 0.247, 0.265, 0.212, 0.176, 0.089, 0.259, 0.271, 0.091]"
20,"[0.154, 0.099, 0.129, 0.3, 0.114, 0.107, 0.145, 0.131, 0.211, 0.227]"
21,"[0.167, 0.127, 0.244, 0.295, 0.204, 0.202, 0.089, 0.264, 0.27, 0.091]"
22,"[0.183, 0.103, 0.225, 0.314, 0.126, 0.132, 0.135, 0.149, 0.215, 0.237]"
23,"[0.294, 0.113, 0.262, 0.294, 0.202, 0.227, 0.128, 0.263, 0.27, 0.149]"
24,"[0.209, 0.195, 0.271, 0.323, 0.142, 0.207, 0.121, 0.191, 0.215, 0.256]"
25,"[0.337, 0.137, 0.263, 0.291, 0.201, 0.254, 0.176, 0.284, 0.272, 0.3]"
26,"[0.258, 0.276, 0.273, 0.333, 0.176, 0.289, 0.116, 0.227, 0.213, 0.213]"
27,"[0.364, 0.157, 0.201, 0.203, 0.201, 0.198, 0.303, 0.227, 0.271, 0.181]"
28,"[0.326, 0.27, 0.218, 0.264, 0.155, 0.214, 0.295, 0.225, 0.202, 0.164]"
29,"[0.481, 0.183, 0.185, 0.183, 0.2, 0.195, 0.334, 0.262, 0.209, 0.139]"
30,"[0.249, 0.361, 0.341, 0.26, 0.203, 0.343, 0.322, 0.253, 0.205, 0.192]"
31,"[0.461, 0.189, 0.186, 0.184, 0.2, 0.209, 0.332, 0.301, 0.367, 0.239]"
32,"[0.242, 0.384, 0.402, 0.343, 0.354, 0.401, 0.279, 0.264, 0.206, 0.205]"
33,"[0.5, 0.19, 0.199, 0.184, 0.201, 0.209, 0.431, 0.351, 0.362, 0.28]"
34,"[0.203, 0.405, 0.383, 0.333, 0.377, 0.377, 0.328, 0.23, 0.203, 0.248]"
35,"[0.48, 0.198, 0.244, 0.228, 0.318, 0.251, 0.424, 0.283, 0.343, 0.293]"
36,"[0.293, 0.408, 0.348, 0.306, 0.283, 0.396, 0.284, 0.261, 0.259, 0.309]"
37,"[0.429, 0.227, 0.246, 0.279, 0.345, 0.241, 0.397, 0.275, 0.329, 0.327]"
38,"[0.294, 0.421, 0.399, 0.294, 0.246, 0.424, 0.202, 0.299, 0.271, 0.32]"
39,"[0.449, 0.2, 0.276, 0.275, 0.344, 0.267, 0.413, 0.293, 0.326, 0.385]"
40,"[0.314, 0.43, 0.432, 0.289, 0.285, 0.456, 0.305, 0.302, 0.269, 0.32]"
41,"[0.446, 0.242, 0.276, 0.265, 0.31, 0.3, 0.446, 0.35, 0.395, 0.405]"
42,"[0.317, 0.417, 0.425, 0.316, 0.365, 0.455, 0.329, 0.369, 0.276, 0.299]"
43,"[0.433, 0.254, 0.28, 0.262, 0.311, 0.293, 0.424, 0.35, 0.406, 0.399]"
44,"[0.335, 0.393, 0.418, 0.334, 0.447, 0.43, 0.354, 0.424, 0.289, 0.295]"
45,"[0.421, 0.27, 0.313, 0.269, 0.413, 0.317, 0.439, 0.349, 0.339, 0.385]"
46,"[0.348, 0.367, 0.415, 0.352, 0.445, 0.414, 0.365, 0.458, 0.372, 0.306]"
47,"[0.402, 0.29, 0.357, 0.357, 0.463, 0.342, 0.443, 0.371, 0.349, 0.358]"
48,"[0.38, 0.361, 0.407, 0.356, 0.441, 0.423, 0.374, 0.469, 0.392, 0.335]"
49,"[0.405, 0.3, 0.437, 0.38, 0.448, 0.424, 0.42, 0.385, 0.368, 0.356]"
50,"[0.426, 0.362, 0.426, 0.363, 0.446, 0.443, 0.395, 0.459, 0.303, 0.407]"
51,"[0.406, 0.365, 0.37, 0.362, 0.373, 0.375, 0.412, 0.38, 0.394, 0.386]"
52,"[0.45, 0.363, 0.448, 0.37, 0.458, 0.461, 0.379, 0.441, 0.288, 0.3]"
53,"[0.419, 0.377, 0.316, 0.323, 0.376, 0.29, 0.395, 0.4, 0.427, 0.443]"
54,"[0.452, 0.403, 0.454, 0.399, 0.46, 0.475, 0.381, 0.402, 0.252, 0.296]"
55,"[0.438, 0.299, 0.25, 0.307, 0.352, 0.276, 0.37, 0.406, 0.421, 0.454]"
56,"[0.257, 0.424, 0.445, 0.376, 0.457, 0.474, 0.409, 0.379, 0.208, 0.301]"
57,"[0.449, 0.25, 0.204, 0.227, 0.306, 0.241, 0.358, 0.376, 0.423, 0.439]"
58,"[0.222, 0.438, 0.404, 0.372, 0.45, 0.473, 0.422, 0.309, 0.188, 0.287]"
59,"[0.416, 0.204, 0.199, 0.204, 0.293, 0.212, 0.366, 0.41, 0.407, 0.392]"
60,"[0.226, 0.432, 0.395, 0.374, 0.448, 0.468, 0.436, 0.307, 0.198, 0.209]"
61,"[0.396, 0.263, 0.259, 0.204, 0.31, 0.263, 0.411, 0.41, 0.411, 0.406]"
62,"[0.32, 0.429, 0.398, 0.375, 0.45, 0.471, 0.449, 0.346, 0.262, 0.221]"
63,"[0.397, 0.313, 0.287, 0.211, 0.321, 0.302, 0.415, 0.423, 0.418, 0.414]"
64,"[0.316, 0.421, 0.404, 0.377, 0.45, 0.47, 0.451, 0.341, 0.276, 0.259]"
65,"[0.398, 0.312, 0.3, 0.261, 0.312, 0.301, 0.423, 0.443, 0.425, 0.415]"
66,"[0.308, 0.416, 0.42, 0.383, 0.458, 0.471, 0.45, 0.335, 0.29, 0.286]"
67,"[0.409, 0.304, 0.301, 0.299, 0.302, 0.296, 0.418, 0.455, 0.429, 0.428]"
68,"[0.305, 0.432, 0.441, 0.395, 0.464, 0.475, 0.455, 0.331, 0.289, 0.305]"
69,"[0.433, 0.307, 0.298, 0.307, 0.301, 0.301, 0.416, 0.45, 0.44, 0.45]"
70,"[0.303, 0.44, 0.446, 0.417, 0.464, 0.476, 0.453, 0.327, 0.286, 0.308]"
71,"[0.441, 0.309, 0.305, 0.29, 0.305, 0.31, 0.408, 0.45, 0.436, 0.448]"
72,"[0.305, 0.443, 0.449, 0.424, 0.462, 0.474, 0.452, 0.326, 0.28, 0.3]"
73,"[0.453, 0.303, 0.303, 0.251, 0.309, 0.311, 0.403, 0.454, 0.431, 0.449]"
74,"[0.304, 0.447, 0.447, 0.429, 0.462, 0.473, 0.45, 0.325, 0.276, 0.275]"
75,"[0.456, 0.297, 0.295, 0.222, 0.305, 0.307, 0.39, 0.455, 0.438, 0.449]"
76,"[0.303, 0.45, 0.449, 0.443, 0.463, 0.471, 0.442, 0.321, 0.262, 0.234]"
77,"[0.459, 0.295, 0.287, 0.215, 0.303, 0.308, 0.393, 0.455, 0.44, 0.45]"
78,"[0.304, 0.45, 0.451, 0.445, 0.464, 0.468, 0.442, 0.326, 0.255, 0.224]"
79,"[0.457, 0.296, 0.29, 0.213, 0.303, 0.309, 0.385, 0.453, 0.439, 0.45]"
80,"[0.311, 0.447, 0.45, 0.448, 0.464, 0.47, 0.45, 0.323, 0.25, 0.222]"
81,"[0.458, 0.298, 0.296, 0.218, 0.305, 0.315, 0.391, 0.452, 0.438, 0.45]"
82,"[0.319, 0.451, 0.449, 0.444, 0.46, 0.469, 0.447, 0.322, 0.256, 0.233]"
83,"[0.459, 0.3, 0.297, 0.219, 0.304, 0.308, 0.393, 0.453, 0.432, 0.45]"
84,"[0.317, 0.452, 0.449, 0.444, 0.459, 0.469, 0.441, 0.324, 0.255, 0.25]"
85,"[0.453, 0.293, 0.299, 0.218, 0.304, 0.304, 0.385, 0.448, 0.43, 0.448]"
86,"[0.308, 0.45, 0.448, 0.436, 0.456, 0.464, 0.439, 0.325, 0.237, 0.254]"
87,"[0.458, 0.297, 0.29, 0.216, 0.298, 0.296, 0.357, 0.442, 0.435, 0.446]"
88,"[0.297, 0.442, 0.447, 0.439, 0.451, 0.466, 0.432, 0.317, 0.229, 0.245]"
89,"[0.449, 0.285, 0.281, 0.211, 0.286, 0.299, 0.328, 0.432, 0.437, 0.447]"
90,"[0.293, 0.432, 0.445, 0.441, 0.444, 0.464, 0.428, 0.314, 0.218, 0.238]"
91,"[0.448, 0.285, 0.283, 0.207, 0.279, 0.288, 0.319, 0.434, 0.435, 0.443]"
92,"[0.287, 0.425, 0.44, 0.438, 0.439, 0.461, 0.433, 0.314, 0.229, 0.234]"
93,"[0.442, 0.286, 0.283, 0.209, 0.282, 0.287, 0.333, 0.43, 0.438, 0.437]"
94,"[0.291, 0.425, 0.438, 0.438, 0.44, 0.46, 0.44, 0.319, 0.234, 0.238]"
95,"[0.438, 0.293, 0.283, 0.214, 0.285, 0.287, 0.347, 0.428, 0.435, 0.434]"
96,"[0.296, 0.425, 0.435, 0.435, 0.441, 0.46, 0.431, 0.32, 0.224, 0.236]"
97,"[0.442, 0.293, 0.281, 0.214, 0.297, 0.29, 0.368, 0.435, 0.437, 0.435]"
98,"[0.293, 0.426, 0.435, 0.433, 0.442, 0.459, 0.432, 0.328, 0.208, 0.232]"
99,"[0.443, 0.287, 0.28, 0.214, 0.297, 0.291, 0.39, 0.426, 0.435, 0.434]"
