closeness_centrality,[4.]
0,"[0.08, 0.099, 0.109, 0.093, 0.091, 0.095, 0.114, 0.092, 0.098, 0.12]"
1,"[0.097, 0.104, 0.083, 0.122, 0.1, 0.105, 0.107, 0.118, 0.106, 0.091]"
2,"[0.096, 0.101, 0.109, 0.122, 0.1, 0.105, 0.089, 0.098, 0.106, 0.103]"
3,"[0.102, 0.126, 0.096, 0.09, 0.1, 0.112, 0.089, 0.098, 0.103, 0.106]"
4,"[0.102, 0.099, 0.107, 0.173, 0.1, 0.105, 0.089, 0.153, 0.098, 0.138]"
5,"[0.102, 0.099, 0.106, 0.166, 0.117, 0.136, 0.089, 0.224, 0.098, 0.091]"
6,"[0.12, 0.099, 0.196, 0.172, 0.1, 0.105, 0.092, 0.137, 0.152, 0.103]"
7,"[0.102, 0.085, 0.106, 0.136, 0.094, 0.102, 0.117, 0.113, 0.098, 0.091]"
8,"[0.088, 0.099, 0.096, 0.201, 0.1, 0.105, 0.092, 0.129, 0.1, 0.103]"
9,"[0.137, 0.085, 0.106, 0.117, 0.151, 0.102, 0.134, 0.113, 0.222, 0.091]"
10,"[0.088, 0.099, 0.106, 0.173, 0.1, 0.105, 0.092, 0.156, 0.1, 0.103]"
11,"[0.102, 0.085, 0.106, 0.117, 0.136, 0.102, 0.089, 0.113, 0.208, 0.091]"
12,"[0.088, 0.099, 0.096, 0.229, 0.1, 0.105, 0.092, 0.147, 0.143, 0.103]"
13,"[0.102, 0.085, 0.14, 0.117, 0.149, 0.102, 0.089, 0.113, 0.242, 0.091]"
14,"[0.088, 0.099, 0.096, 0.277, 0.101, 0.105, 0.092, 0.147, 0.202, 0.137]"
15,"[0.102, 0.085, 0.164, 0.118, 0.241, 0.148, 0.089, 0.136, 0.254, 0.091]"
16,"[0.089, 0.099, 0.096, 0.254, 0.105, 0.105, 0.104, 0.12, 0.251, 0.281]"
17,"[0.11, 0.103, 0.225, 0.256, 0.229, 0.118, 0.089, 0.24, 0.27, 0.091]"
18,"[0.14, 0.099, 0.096, 0.29, 0.107, 0.105, 0.138, 0.12, 0.207, 0.236]"
19,"[0.139, 0.127, 0.247, 0.265, 0.212, 0.176, 0.089, 0.259, 0.271, 0.091]"
20,"[0.154, 0.099, 0.129, 0.3, 0.114, 0.107, 0.145, 0.131, 0.211, 0.227]"
21,"[0.167, 0.127, 0.244, 0.295, 0.204, 0.202, 0.089, 0.264, 0.27, 0.091]"
22,"[0.183, 0.103, 0.225, 0.314, 0.126, 0.132, 0.135, 0.149, 0.215, 0.237]"
23,"[0.294, 0.113, 0.262, 0.294, 0.202, 0.227, 0.128, 0.263, 0.27, 0.149]"
24,"[0.209, 0.195, 0.271, 0.323, 0.142, 0.207, 0.121, 0.191, 0.215, 0.256]"
25,"[0.337, 0.137, 0.263, 0.291, 0.201, 0.254, 0.176, 0.284, 0.272, 0.3]"
26,"[0.258, 0.276, 0.273, 0.333, 0.1, 0.29, 0.11, 0.211, 0.212, 0.289]"
27,"[0.107, 0.123, 0.263, 0.292, 0.286, 0.264, 0.089, 0.292, 0.116, 0.091]"
28,"[0.346, 0.329, 0.152, 0.182, 0.1, 0.105, 0.318, 0.098, 0.288, 0.289]"
29,"[0.103, 0.099, 0.265, 0.297, 0.363, 0.356, 0.089, 0.352, 0.111, 0.091]"
30,"[0.358, 0.347, 0.154, 0.2, 0.1, 0.105, 0.339, 0.098, 0.354, 0.355]"
31,"[0.102, 0.139, 0.288, 0.292, 0.353, 0.383, 0.089, 0.266, 0.098, 0.091]"
32,"[0.37, 0.326, 0.122, 0.122, 0.1, 0.105, 0.349, 0.099, 0.346, 0.364]"
33,"[0.102, 0.163, 0.277, 0.247, 0.36, 0.386, 0.089, 0.271, 0.098, 0.091]"
34,"[0.356, 0.428, 0.096, 0.122, 0.1, 0.105, 0.364, 0.244, 0.257, 0.334]"
35,"[0.127, 0.215, 0.221, 0.194, 0.415, 0.329, 0.101, 0.316, 0.098, 0.091]"
36,"[0.295, 0.442, 0.096, 0.125, 0.1, 0.119, 0.384, 0.258, 0.213, 0.257]"
37,"[0.145, 0.252, 0.189, 0.183, 0.396, 0.229, 0.112, 0.345, 0.103, 0.091]"
38,"[0.22, 0.42, 0.101, 0.145, 0.1, 0.152, 0.349, 0.254, 0.212, 0.23]"
39,"[0.165, 0.249, 0.185, 0.182, 0.272, 0.218, 0.103, 0.35, 0.099, 0.091]"
40,"[0.206, 0.426, 0.114, 0.148, 0.106, 0.155, 0.269, 0.245, 0.216, 0.224]"
41,"[0.258, 0.297, 0.185, 0.184, 0.241, 0.217, 0.141, 0.374, 0.147, 0.11]"
42,"[0.229, 0.427, 0.155, 0.172, 0.198, 0.248, 0.28, 0.351, 0.212, 0.225]"
43,"[0.285, 0.341, 0.188, 0.194, 0.229, 0.217, 0.227, 0.356, 0.213, 0.191]"
44,"[0.227, 0.417, 0.216, 0.249, 0.223, 0.25, 0.271, 0.386, 0.219, 0.229]"
45,"[0.284, 0.371, 0.189, 0.206, 0.248, 0.222, 0.249, 0.333, 0.23, 0.212]"
46,"[0.214, 0.42, 0.217, 0.258, 0.241, 0.259, 0.264, 0.379, 0.242, 0.232]"
47,"[0.283, 0.363, 0.2, 0.239, 0.284, 0.243, 0.255, 0.385, 0.231, 0.234]"
48,"[0.284, 0.432, 0.221, 0.255, 0.258, 0.284, 0.312, 0.377, 0.279, 0.281]"
49,"[0.288, 0.345, 0.237, 0.261, 0.295, 0.283, 0.252, 0.355, 0.233, 0.249]"
50,"[0.317, 0.412, 0.197, 0.207, 0.267, 0.3, 0.332, 0.374, 0.317, 0.324]"
51,"[0.297, 0.392, 0.286, 0.275, 0.324, 0.308, 0.252, 0.307, 0.244, 0.253]"
52,"[0.337, 0.416, 0.21, 0.212, 0.268, 0.318, 0.339, 0.385, 0.33, 0.344]"
53,"[0.333, 0.39, 0.326, 0.305, 0.345, 0.342, 0.275, 0.329, 0.274, 0.281]"
54,"[0.366, 0.355, 0.333, 0.304, 0.304, 0.326, 0.353, 0.428, 0.357, 0.367]"
55,"[0.359, 0.378, 0.367, 0.346, 0.352, 0.341, 0.332, 0.397, 0.311, 0.333]"
56,"[0.38, 0.341, 0.447, 0.367, 0.362, 0.359, 0.355, 0.424, 0.376, 0.383]"
57,"[0.412, 0.364, 0.372, 0.344, 0.339, 0.324, 0.37, 0.38, 0.4, 0.434]"
58,"[0.356, 0.313, 0.451, 0.421, 0.404, 0.408, 0.352, 0.368, 0.337, 0.369]"
59,"[0.413, 0.36, 0.366, 0.338, 0.322, 0.278, 0.385, 0.36, 0.452, 0.465]"
60,"[0.348, 0.293, 0.416, 0.433, 0.42, 0.417, 0.342, 0.338, 0.344, 0.366]"
61,"[0.414, 0.382, 0.385, 0.343, 0.305, 0.272, 0.402, 0.338, 0.498, 0.463]"
62,"[0.34, 0.309, 0.395, 0.388, 0.391, 0.393, 0.329, 0.373, 0.37, 0.375]"
63,"[0.356, 0.381, 0.38, 0.352, 0.353, 0.28, 0.331, 0.338, 0.416, 0.423]"
64,"[0.371, 0.304, 0.384, 0.341, 0.379, 0.376, 0.351, 0.369, 0.359, 0.393]"
65,"[0.382, 0.393, 0.341, 0.34, 0.385, 0.275, 0.344, 0.323, 0.413, 0.396]"
66,"[0.374, 0.33, 0.379, 0.377, 0.401, 0.337, 0.358, 0.417, 0.388, 0.399]"
67,"[0.354, 0.386, 0.371, 0.342, 0.379, 0.369, 0.319, 0.339, 0.374, 0.336]"
68,"[0.367, 0.311, 0.347, 0.35, 0.358, 0.292, 0.35, 0.287, 0.373, 0.374]"
69,"[0.336, 0.398, 0.374, 0.334, 0.364, 0.348, 0.265, 0.327, 0.38, 0.311]"
70,"[0.385, 0.346, 0.341, 0.347, 0.343, 0.299, 0.366, 0.3, 0.349, 0.358]"
71,"[0.367, 0.371, 0.373, 0.347, 0.4, 0.376, 0.277, 0.374, 0.395, 0.287]"
72,"[0.404, 0.352, 0.445, 0.393, 0.354, 0.334, 0.39, 0.452, 0.394, 0.398]"
73,"[0.44, 0.355, 0.39, 0.394, 0.396, 0.366, 0.348, 0.381, 0.437, 0.406]"
74,"[0.406, 0.351, 0.494, 0.409, 0.466, 0.421, 0.391, 0.426, 0.392, 0.397]"
75,"[0.437, 0.351, 0.393, 0.384, 0.393, 0.359, 0.397, 0.376, 0.458, 0.468]"
76,"[0.406, 0.32, 0.409, 0.37, 0.477, 0.447, 0.39, 0.4, 0.384, 0.397]"
77,"[0.4, 0.343, 0.371, 0.33, 0.41, 0.34, 0.397, 0.346, 0.411, 0.449]"
78,"[0.407, 0.355, 0.379, 0.315, 0.391, 0.422, 0.388, 0.392, 0.385, 0.396]"
79,"[0.405, 0.342, 0.38, 0.352, 0.405, 0.385, 0.383, 0.39, 0.404, 0.412]"
80,"[0.392, 0.338, 0.371, 0.307, 0.424, 0.429, 0.372, 0.442, 0.333, 0.328]"
81,"[0.382, 0.37, 0.333, 0.328, 0.377, 0.367, 0.384, 0.407, 0.37, 0.407]"
82,"[0.372, 0.357, 0.371, 0.374, 0.45, 0.39, 0.367, 0.39, 0.336, 0.343]"
83,"[0.393, 0.371, 0.321, 0.314, 0.417, 0.386, 0.393, 0.41, 0.396, 0.424]"
84,"[0.391, 0.343, 0.376, 0.361, 0.441, 0.374, 0.376, 0.356, 0.316, 0.364]"
85,"[0.367, 0.33, 0.307, 0.34, 0.432, 0.406, 0.33, 0.415, 0.311, 0.373]"
86,"[0.435, 0.328, 0.269, 0.276, 0.313, 0.327, 0.391, 0.322, 0.33, 0.344]"
87,"[0.366, 0.368, 0.319, 0.363, 0.406, 0.431, 0.32, 0.413, 0.29, 0.302]"
88,"[0.431, 0.358, 0.292, 0.296, 0.315, 0.328, 0.436, 0.314, 0.352, 0.345]"
89,"[0.402, 0.414, 0.325, 0.363, 0.401, 0.406, 0.345, 0.446, 0.359, 0.35]"
90,"[0.436, 0.362, 0.377, 0.395, 0.36, 0.405, 0.409, 0.313, 0.388, 0.382]"
91,"[0.46, 0.448, 0.341, 0.359, 0.479, 0.427, 0.385, 0.38, 0.401, 0.393]"
92,"[0.441, 0.345, 0.394, 0.389, 0.397, 0.422, 0.39, 0.316, 0.413, 0.411]"
93,"[0.434, 0.424, 0.359, 0.376, 0.483, 0.44, 0.418, 0.349, 0.399, 0.429]"
94,"[0.422, 0.386, 0.411, 0.375, 0.422, 0.4, 0.384, 0.335, 0.405, 0.407]"
95,"[0.423, 0.383, 0.36, 0.379, 0.459, 0.437, 0.433, 0.338, 0.378, 0.407]"
96,"[0.39, 0.385, 0.406, 0.365, 0.469, 0.416, 0.392, 0.343, 0.373, 0.395]"
97,"[0.44, 0.371, 0.349, 0.344, 0.466, 0.433, 0.444, 0.337, 0.402, 0.435]"
98,"[0.339, 0.412, 0.414, 0.388, 0.472, 0.456, 0.412, 0.335, 0.333, 0.361]"
99,"[0.435, 0.359, 0.337, 0.328, 0.46, 0.409, 0.46, 0.393, 0.42, 0.45]"
