in_deg_centrality,[5. 2.]
44,"[0.176, 0.21, 0.183, 0.112, 0.158, 0.166, 0.235, 0.257, 0.219, 0.101]"
45,"[0.122, 0.102, 0.321, 0.213, 0.219, 0.124, 0.172, 0.174, 0.304, 0.243]"
46,"[0.213, 0.223, 0.207, 0.16, 0.221, 0.185, 0.275, 0.218, 0.227, 0.178]"
47,"[0.179, 0.109, 0.374, 0.198, 0.211, 0.16, 0.202, 0.244, 0.337, 0.279]"
48,"[0.274, 0.272, 0.212, 0.251, 0.3, 0.183, 0.285, 0.213, 0.242, 0.184]"
49,"[0.176, 0.153, 0.347, 0.212, 0.212, 0.208, 0.209, 0.268, 0.349, 0.276]"
50,"[0.263, 0.26, 0.186, 0.294, 0.309, 0.262, 0.269, 0.248, 0.23, 0.181]"
51,"[0.223, 0.175, 0.29, 0.252, 0.231, 0.251, 0.309, 0.238, 0.315, 0.205]"
52,"[0.13, 0.112, 0.182, 0.231, 0.187, 0.319, 0.118, 0.385, 0.203, 0.268]"
53,"[0.241, 0.284, 0.224, 0.292, 0.178, 0.208, 0.182, 0.103, 0.17, 0.104]"
54,"[0.107, 0.107, 0.176, 0.152, 0.127, 0.223, 0.096, 0.229, 0.178, 0.145]"
55,"[0.169, 0.258, 0.175, 0.212, 0.18, 0.185, 0.173, 0.097, 0.131, 0.099]"
56,"[0.104, 0.109, 0.172, 0.183, 0.102, 0.171, 0.091, 0.18, 0.191, 0.227]"
57,"[0.245, 0.272, 0.09, 0.102, 0.205, 0.146, 0.179, 0.175, 0.123, 0.098]"
58,"[0.223, 0.233, 0.233, 0.198, 0.129, 0.16, 0.205, 0.195, 0.172, 0.256]"
59,"[0.31, 0.281, 0.254, 0.176, 0.207, 0.17, 0.352, 0.171, 0.223, 0.237]"
60,"[0.188, 0.253, 0.214, 0.2, 0.242, 0.188, 0.204, 0.186, 0.192, 0.216]"
61,"[0.36, 0.28, 0.29, 0.208, 0.171, 0.15, 0.292, 0.174, 0.294, 0.227]"
62,"[0.173, 0.226, 0.244, 0.189, 0.267, 0.2, 0.178, 0.206, 0.188, 0.189]"
63,"[0.334, 0.306, 0.275, 0.259, 0.169, 0.128, 0.289, 0.152, 0.278, 0.201]"
64,"[0.178, 0.218, 0.227, 0.183, 0.265, 0.253, 0.186, 0.267, 0.191, 0.205]"
65,"[0.285, 0.277, 0.251, 0.228, 0.176, 0.127, 0.265, 0.142, 0.243, 0.191]"
66,"[0.172, 0.201, 0.236, 0.187, 0.238, 0.224, 0.187, 0.285, 0.2, 0.216]"
67,"[0.23, 0.233, 0.194, 0.169, 0.193, 0.15, 0.179, 0.159, 0.207, 0.182]"
68,"[0.184, 0.21, 0.233, 0.189, 0.163, 0.187, 0.187, 0.209, 0.2, 0.189]"
69,"[0.199, 0.252, 0.156, 0.141, 0.193, 0.172, 0.154, 0.171, 0.151, 0.182]"
70,"[0.211, 0.2, 0.215, 0.192, 0.141, 0.149, 0.234, 0.138, 0.195, 0.17]"
71,"[0.199, 0.226, 0.141, 0.114, 0.212, 0.216, 0.133, 0.17, 0.123, 0.127]"
72,"[0.191, 0.122, 0.227, 0.237, 0.131, 0.135, 0.244, 0.121, 0.219, 0.175]"
73,"[0.148, 0.225, 0.136, 0.102, 0.224, 0.206, 0.119, 0.206, 0.132, 0.135]"
74,"[0.205, 0.13, 0.228, 0.256, 0.144, 0.161, 0.215, 0.13, 0.221, 0.237]"
75,"[0.172, 0.26, 0.161, 0.119, 0.241, 0.219, 0.166, 0.22, 0.159, 0.155]"
76,"[0.209, 0.13, 0.239, 0.253, 0.15, 0.166, 0.232, 0.156, 0.234, 0.202]"
77,"[0.173, 0.257, 0.162, 0.127, 0.254, 0.245, 0.154, 0.229, 0.163, 0.154]"
78,"[0.23, 0.121, 0.23, 0.241, 0.132, 0.163, 0.244, 0.146, 0.252, 0.211]"
79,"[0.144, 0.262, 0.25, 0.122, 0.257, 0.239, 0.139, 0.232, 0.142, 0.124]"
80,"[0.202, 0.144, 0.213, 0.259, 0.133, 0.194, 0.218, 0.138, 0.237, 0.243]"
81,"[0.125, 0.231, 0.208, 0.14, 0.235, 0.2, 0.111, 0.199, 0.124, 0.128]"
82,"[0.164, 0.181, 0.171, 0.238, 0.189, 0.165, 0.188, 0.134, 0.211, 0.202]"
83,"[0.15, 0.215, 0.233, 0.173, 0.213, 0.219, 0.137, 0.18, 0.166, 0.168]"
84,"[0.188, 0.158, 0.216, 0.24, 0.156, 0.169, 0.202, 0.127, 0.213, 0.185]"
85,"[0.158, 0.224, 0.159, 0.168, 0.219, 0.236, 0.133, 0.187, 0.143, 0.128]"
86,"[0.215, 0.141, 0.226, 0.23, 0.141, 0.173, 0.232, 0.114, 0.245, 0.196]"
87,"[0.163, 0.23, 0.135, 0.155, 0.229, 0.238, 0.13, 0.22, 0.121, 0.115]"
88,"[0.198, 0.124, 0.234, 0.173, 0.127, 0.217, 0.205, 0.112, 0.249, 0.215]"
89,"[0.211, 0.239, 0.13, 0.242, 0.241, 0.161, 0.136, 0.222, 0.118, 0.108]"
90,"[0.203, 0.123, 0.234, 0.098, 0.126, 0.245, 0.195, 0.116, 0.249, 0.221]"
91,"[0.224, 0.252, 0.149, 0.253, 0.245, 0.175, 0.13, 0.234, 0.116, 0.121]"
92,"[0.225, 0.127, 0.239, 0.103, 0.126, 0.24, 0.236, 0.119, 0.258, 0.231]"
93,"[0.191, 0.254, 0.227, 0.244, 0.244, 0.256, 0.119, 0.228, 0.122, 0.126]"
94,"[0.231, 0.148, 0.252, 0.117, 0.141, 0.242, 0.244, 0.121, 0.249, 0.234]"
95,"[0.151, 0.255, 0.252, 0.233, 0.244, 0.265, 0.119, 0.224, 0.13, 0.137]"
96,"[0.194, 0.163, 0.211, 0.128, 0.187, 0.25, 0.212, 0.132, 0.237, 0.236]"
97,"[0.137, 0.258, 0.252, 0.23, 0.234, 0.249, 0.122, 0.205, 0.156, 0.15]"
98,"[0.175, 0.238, 0.145, 0.136, 0.23, 0.219, 0.2, 0.142, 0.235, 0.232]"
99,"[0.131, 0.272, 0.249, 0.227, 0.246, 0.273, 0.119, 0.214, 0.18, 0.201]"
