none,[]
21,"[0.08977556109725686, 0.1825, 0.11, 0.23, 0.11, 0.08, 0.1275, 0.12, 0.085, 0.09, 0.11, 0.0975, 0.1075, 0.0925, 0.11, 0.0775, 0.0925, 0.12, 0.08, 0.1325, 0.11, 0.1025, 0.0725, 0.0875, 0.07769423558897243]"
22,"[0.08977556109725686, 0.1075, 0.11, 0.1325, 0.1, 0.085, 0.1275, 0.1175, 0.115, 0.195, 0.1925, 0.0975, 0.085, 0.0925, 0.11, 0.1075, 0.0925, 0.12, 0.08, 0.1325, 0.115, 0.1025, 0.0725, 0.0875, 0.07769423558897243]"
23,"[0.08977556109725686, 0.1175, 0.11, 0.1275, 0.12, 0.08, 0.1275, 0.12, 0.085, 0.09, 0.2, 0.0975, 0.1675, 0.0925, 0.11, 0.0775, 0.0925, 0.12, 0.08, 0.1325, 0.175, 0.1125, 0.0725, 0.0875, 0.07769423558897243]"
24,"[0.10723192019950124, 0.1075, 0.11, 0.1325, 0.1, 0.085, 0.1275, 0.1175, 0.1825, 0.1175, 0.2025, 0.12, 0.085, 0.1525, 0.11, 0.1075, 0.1325, 0.12, 0.08, 0.1325, 0.085, 0.1025, 0.0725, 0.0875, 0.07769423558897243]"
25,"[0.08977556109725686, 0.1, 0.15, 0.0975, 0.1175, 0.08, 0.1575, 0.12, 0.085, 0.09, 0.1325, 0.0975, 0.1275, 0.0925, 0.1975, 0.0775, 0.0925, 0.125, 0.08, 0.1325, 0.135, 0.1775, 0.075, 0.1075, 0.10275689223057644]"
26,"[0.13466334164588528, 0.1075, 0.15, 0.1325, 0.1, 0.085, 0.1275, 0.135, 0.12, 0.1175, 0.1075, 0.1325, 0.085, 0.125, 0.11, 0.1075, 0.14, 0.12, 0.08, 0.1325, 0.085, 0.1625, 0.0725, 0.09, 0.07769423558897243]"
27,"[0.08977556109725686, 0.1, 0.11, 0.0925, 0.065, 0.08, 0.1725, 0.12, 0.085, 0.09, 0.11, 0.0975, 0.1075, 0.0925, 0.15, 0.0775, 0.0925, 0.135, 0.08, 0.1325, 0.1275, 0.1075, 0.105, 0.11, 0.14786967418546365]"
28,"[0.14463840399002495, 0.1075, 0.11, 0.1325, 0.1, 0.085, 0.1275, 0.1225, 0.12, 0.1175, 0.11, 0.1475, 0.085, 0.0875, 0.11, 0.1075, 0.1825, 0.12, 0.08, 0.1325, 0.15, 0.1525, 0.0725, 0.0875, 0.07769423558897243]"
29,"[0.08977556109725686, 0.105, 0.11, 0.0925, 0.1225, 0.08, 0.1625, 0.12, 0.085, 0.09, 0.11, 0.0975, 0.1075, 0.0925, 0.1925, 0.0775, 0.0925, 0.1325, 0.08, 0.1475, 0.1275, 0.1025, 0.0725, 0.0875, 0.10776942355889724]"
30,"[0.14962593516209477, 0.1075, 0.11, 0.1325, 0.1, 0.085, 0.1275, 0.1175, 0.1325, 0.1325, 0.11, 0.1925, 0.085, 0.0875, 0.11, 0.1075, 0.19, 0.12, 0.08, 0.1325, 0.1775, 0.1775, 0.0725, 0.0875, 0.07769423558897243]"
31,"[0.08977556109725686, 0.1175, 0.155, 0.0925, 0.1525, 0.08, 0.1875, 0.12, 0.085, 0.09, 0.11, 0.0975, 0.1075, 0.0925, 0.19, 0.0775, 0.0925, 0.12, 0.08, 0.1325, 0.1675, 0.1025, 0.12, 0.0875, 0.07769423558897243]"
32,"[0.12718204488778054, 0.1075, 0.11, 0.1325, 0.1, 0.085, 0.1275, 0.1175, 0.1625, 0.1375, 0.11, 0.2025, 0.085, 0.0875, 0.11, 0.1075, 0.21, 0.12, 0.08, 0.1325, 0.1025, 0.1675, 0.0725, 0.0875, 0.07769423558897243]"
33,"[0.08977556109725686, 0.115, 0.1125, 0.0925, 0.175, 0.08, 0.15, 0.12, 0.085, 0.09, 0.11, 0.0975, 0.1075, 0.0925, 0.19, 0.0775, 0.0925, 0.135, 0.08, 0.1325, 0.085, 0.1025, 0.16, 0.095, 0.11027568922305764]"
34,"[0.11471321695760599, 0.1075, 0.11, 0.1325, 0.1, 0.085, 0.1275, 0.1175, 0.1775, 0.12, 0.11, 0.205, 0.085, 0.0875, 0.11, 0.1075, 0.195, 0.12, 0.08, 0.1325, 0.1025, 0.1325, 0.0725, 0.0875, 0.07769423558897243]"
