eigenvector_centrality,[0]
0,"[0.102, 0.107, 0.108, 0.097, 0.094, 0.105, 0.089, 0.171, 0.141, 0.102]"
1,"[0.103, 0.099, 0.096, 0.101, 0.11, 0.092, 0.089, 0.124, 0.103, 0.117]"
2,"[0.176, 0.107, 0.108, 0.097, 0.094, 0.165, 0.089, 0.102, 0.093, 0.102]"
3,"[0.103, 0.099, 0.104, 0.101, 0.11, 0.092, 0.132, 0.194, 0.15, 0.143]"
4,"[0.103, 0.107, 0.104, 0.116, 0.094, 0.171, 0.177, 0.102, 0.093, 0.102]"
5,"[0.103, 0.189, 0.104, 0.101, 0.252, 0.092, 0.102, 0.225, 0.096, 0.18]"
6,"[0.202, 0.107, 0.447, 0.363, 0.094, 0.384, 0.345, 0.102, 0.093, 0.102]"
7,"[0.104, 0.293, 0.104, 0.101, 0.263, 0.092, 0.142, 0.3, 0.373, 0.217]"
8,"[0.367, 0.115, 0.366, 0.299, 0.094, 0.31, 0.286, 0.102, 0.093, 0.102]"
9,"[0.175, 0.335, 0.107, 0.101, 0.284, 0.097, 0.205, 0.314, 0.312, 0.231]"
10,"[0.387, 0.159, 0.361, 0.291, 0.099, 0.339, 0.347, 0.102, 0.094, 0.105]"
11,"[0.167, 0.359, 0.12, 0.105, 0.343, 0.136, 0.212, 0.331, 0.335, 0.31]"
12,"[0.39, 0.196, 0.335, 0.317, 0.134, 0.35, 0.39, 0.118, 0.129, 0.142]"
13,"[0.171, 0.348, 0.125, 0.131, 0.358, 0.165, 0.187, 0.345, 0.34, 0.342]"
14,"[0.358, 0.204, 0.318, 0.322, 0.157, 0.355, 0.393, 0.137, 0.148, 0.175]"
15,"[0.164, 0.352, 0.125, 0.153, 0.365, 0.185, 0.163, 0.344, 0.338, 0.35]"
16,"[0.358, 0.209, 0.318, 0.321, 0.17, 0.354, 0.385, 0.145, 0.156, 0.184]"
17,"[0.158, 0.351, 0.12, 0.158, 0.359, 0.193, 0.135, 0.343, 0.339, 0.347]"
18,"[0.36, 0.214, 0.312, 0.322, 0.175, 0.353, 0.38, 0.15, 0.156, 0.189]"
19,"[0.142, 0.351, 0.147, 0.166, 0.36, 0.198, 0.124, 0.342, 0.339, 0.346]"
20,"[0.361, 0.165, 0.309, 0.322, 0.186, 0.355, 0.39, 0.144, 0.153, 0.206]"
21,"[0.136, 0.351, 0.188, 0.166, 0.354, 0.2, 0.184, 0.343, 0.337, 0.347]"
22,"[0.367, 0.122, 0.303, 0.317, 0.202, 0.353, 0.407, 0.15, 0.153, 0.203]"
23,"[0.18, 0.351, 0.21, 0.162, 0.353, 0.194, 0.214, 0.339, 0.336, 0.346]"
24,"[0.383, 0.108, 0.298, 0.313, 0.199, 0.35, 0.404, 0.151, 0.152, 0.194]"
25,"[0.415, 0.355, 0.255, 0.157, 0.344, 0.19, 0.209, 0.34, 0.332, 0.344]"
26,"[0.459, 0.219, 0.324, 0.316, 0.209, 0.348, 0.389, 0.295, 0.296, 0.235]"
27,"[0.501, 0.327, 0.317, 0.192, 0.315, 0.204, 0.227, 0.334, 0.316, 0.298]"
28,"[0.461, 0.219, 0.335, 0.282, 0.208, 0.32, 0.386, 0.268, 0.298, 0.226]"
29,"[0.515, 0.335, 0.259, 0.253, 0.305, 0.241, 0.266, 0.351, 0.337, 0.318]"
30,"[0.471, 0.215, 0.297, 0.294, 0.156, 0.379, 0.411, 0.258, 0.29, 0.16]"
31,"[0.51, 0.403, 0.255, 0.232, 0.402, 0.215, 0.209, 0.338, 0.319, 0.385]"
32,"[0.488, 0.205, 0.32, 0.301, 0.117, 0.426, 0.462, 0.25, 0.275, 0.115]"
33,"[0.518, 0.372, 0.277, 0.168, 0.439, 0.209, 0.203, 0.344, 0.317, 0.439]"
34,"[0.483, 0.202, 0.319, 0.35, 0.107, 0.419, 0.468, 0.236, 0.253, 0.162]"
35,"[0.525, 0.362, 0.299, 0.136, 0.44, 0.214, 0.203, 0.335, 0.314, 0.446]"
36,"[0.49, 0.198, 0.308, 0.397, 0.115, 0.426, 0.455, 0.181, 0.178, 0.175]"
37,"[0.538, 0.385, 0.267, 0.12, 0.442, 0.215, 0.203, 0.341, 0.314, 0.452]"
38,"[0.495, 0.197, 0.297, 0.416, 0.132, 0.44, 0.481, 0.131, 0.127, 0.185]"
39,"[0.536, 0.408, 0.223, 0.121, 0.446, 0.216, 0.203, 0.36, 0.316, 0.456]"
40,"[0.494, 0.197, 0.269, 0.42, 0.158, 0.44, 0.505, 0.105, 0.1, 0.189]"
41,"[0.539, 0.43, 0.132, 0.145, 0.449, 0.216, 0.203, 0.4, 0.365, 0.453]"
42,"[0.461, 0.201, 0.26, 0.424, 0.176, 0.433, 0.507, 0.135, 0.144, 0.191]"
43,"[0.545, 0.441, 0.098, 0.193, 0.442, 0.216, 0.203, 0.461, 0.444, 0.453]"
44,"[0.48, 0.2, 0.337, 0.416, 0.185, 0.436, 0.509, 0.187, 0.199, 0.193]"
45,"[0.553, 0.45, 0.148, 0.201, 0.438, 0.216, 0.204, 0.461, 0.46, 0.447]"
46,"[0.471, 0.199, 0.447, 0.404, 0.186, 0.436, 0.467, 0.189, 0.202, 0.193]"
47,"[0.504, 0.447, 0.174, 0.201, 0.42, 0.215, 0.204, 0.472, 0.447, 0.439]"
48,"[0.44, 0.196, 0.475, 0.409, 0.186, 0.425, 0.465, 0.189, 0.201, 0.191]"
49,"[0.513, 0.463, 0.174, 0.203, 0.414, 0.215, 0.202, 0.472, 0.461, 0.431]"
50,"[0.419, 0.193, 0.468, 0.414, 0.185, 0.436, 0.476, 0.186, 0.199, 0.19]"
51,"[0.549, 0.454, 0.175, 0.203, 0.404, 0.213, 0.201, 0.472, 0.44, 0.455]"
52,"[0.435, 0.195, 0.45, 0.403, 0.183, 0.428, 0.471, 0.186, 0.199, 0.19]"
53,"[0.555, 0.435, 0.175, 0.203, 0.397, 0.214, 0.203, 0.449, 0.461, 0.43]"
54,"[0.444, 0.195, 0.452, 0.403, 0.185, 0.415, 0.475, 0.188, 0.199, 0.191]"
55,"[0.547, 0.45, 0.175, 0.203, 0.386, 0.215, 0.204, 0.463, 0.432, 0.444]"
56,"[0.433, 0.197, 0.449, 0.413, 0.186, 0.452, 0.48, 0.189, 0.199, 0.191]"
57,"[0.559, 0.457, 0.175, 0.203, 0.413, 0.211, 0.205, 0.457, 0.45, 0.442]"
58,"[0.43, 0.194, 0.494, 0.408, 0.184, 0.43, 0.496, 0.188, 0.198, 0.19]"
59,"[0.56, 0.444, 0.174, 0.197, 0.419, 0.208, 0.204, 0.481, 0.442, 0.444]"
60,"[0.433, 0.191, 0.474, 0.406, 0.176, 0.429, 0.499, 0.185, 0.194, 0.185]"
61,"[0.57, 0.447, 0.174, 0.188, 0.421, 0.205, 0.209, 0.452, 0.431, 0.448]"
62,"[0.435, 0.191, 0.482, 0.408, 0.171, 0.436, 0.497, 0.181, 0.191, 0.179]"
63,"[0.575, 0.456, 0.174, 0.185, 0.428, 0.206, 0.211, 0.467, 0.45, 0.455]"
64,"[0.462, 0.191, 0.5, 0.427, 0.17, 0.437, 0.512, 0.18, 0.187, 0.176]"
65,"[0.568, 0.462, 0.176, 0.189, 0.443, 0.207, 0.206, 0.48, 0.464, 0.469]"
66,"[0.495, 0.19, 0.488, 0.425, 0.165, 0.445, 0.507, 0.174, 0.182, 0.163]"
67,"[0.554, 0.467, 0.177, 0.185, 0.448, 0.206, 0.209, 0.475, 0.456, 0.465]"
68,"[0.505, 0.19, 0.494, 0.419, 0.157, 0.443, 0.513, 0.173, 0.181, 0.158]"
69,"[0.548, 0.467, 0.177, 0.176, 0.448, 0.202, 0.21, 0.475, 0.465, 0.463]"
70,"[0.509, 0.19, 0.494, 0.419, 0.154, 0.456, 0.509, 0.172, 0.179, 0.156]"
71,"[0.546, 0.478, 0.175, 0.165, 0.453, 0.197, 0.21, 0.472, 0.46, 0.468]"
72,"[0.504, 0.188, 0.498, 0.412, 0.137, 0.451, 0.531, 0.166, 0.178, 0.153]"
73,"[0.559, 0.469, 0.175, 0.147, 0.451, 0.178, 0.208, 0.459, 0.448, 0.458]"
74,"[0.475, 0.189, 0.501, 0.409, 0.13, 0.449, 0.52, 0.163, 0.177, 0.146]"
75,"[0.559, 0.459, 0.168, 0.129, 0.441, 0.137, 0.206, 0.468, 0.45, 0.461]"
76,"[0.433, 0.174, 0.5, 0.407, 0.111, 0.442, 0.523, 0.137, 0.149, 0.121]"
77,"[0.554, 0.466, 0.154, 0.125, 0.44, 0.112, 0.207, 0.466, 0.448, 0.455]"
