eigenvector_centrality,[0]
57,"[0.423, 0.136, 0.137, 0.148, 0.367, 0.131, 0.382, 0.115, 0.305, 0.331]"
58,"[0.577, 0.336, 0.346, 0.347, 0.115, 0.292, 0.111, 0.314, 0.124, 0.123]"
59,"[0.435, 0.135, 0.135, 0.143, 0.342, 0.131, 0.372, 0.115, 0.278, 0.296]"
60,"[0.514, 0.334, 0.335, 0.342, 0.112, 0.27, 0.11, 0.296, 0.117, 0.122]"
61,"[0.439, 0.135, 0.134, 0.14, 0.336, 0.129, 0.333, 0.112, 0.273, 0.282]"
62,"[0.493, 0.329, 0.348, 0.351, 0.112, 0.269, 0.109, 0.283, 0.115, 0.122]"
63,"[0.442, 0.131, 0.134, 0.14, 0.344, 0.127, 0.342, 0.112, 0.263, 0.29]"
64,"[0.512, 0.328, 0.351, 0.352, 0.111, 0.267, 0.108, 0.284, 0.113, 0.12]"
65,"[0.417, 0.136, 0.14, 0.143, 0.343, 0.131, 0.348, 0.11, 0.263, 0.296]"
66,"[0.565, 0.335, 0.351, 0.347, 0.111, 0.266, 0.106, 0.283, 0.114, 0.115]"
67,"[0.397, 0.14, 0.151, 0.156, 0.343, 0.132, 0.352, 0.109, 0.264, 0.301]"
68,"[0.562, 0.318, 0.336, 0.329, 0.108, 0.263, 0.103, 0.286, 0.117, 0.099]"
69,"[0.368, 0.154, 0.169, 0.166, 0.346, 0.139, 0.349, 0.106, 0.266, 0.31]"
70,"[0.496, 0.318, 0.335, 0.319, 0.108, 0.262, 0.102, 0.287, 0.116, 0.096]"
71,"[0.363, 0.159, 0.172, 0.164, 0.352, 0.139, 0.338, 0.106, 0.263, 0.313]"
72,"[0.472, 0.312, 0.326, 0.318, 0.107, 0.265, 0.102, 0.276, 0.115, 0.096]"
73,"[0.312, 0.154, 0.171, 0.16, 0.346, 0.137, 0.34, 0.106, 0.269, 0.308]"
74,"[0.465, 0.311, 0.328, 0.326, 0.107, 0.267, 0.103, 0.277, 0.117, 0.096]"
75,"[0.409, 0.164, 0.177, 0.168, 0.344, 0.139, 0.344, 0.106, 0.275, 0.289]"
76,"[0.453, 0.313, 0.34, 0.328, 0.108, 0.271, 0.103, 0.283, 0.114, 0.099]"
