network_name,degree_mean,degree_variance,clustering_coef,density,centrality_variance,centrality_mean
ER_graph_c_100_p_01,19.7492,18.229608,0.1000547464413399,0.09974343434343433,0.0008954191675045808,0.09541581451778912
ER_graph_c_100_p_03,59.278800000000004,39.564871999999994,0.29943252370121004,0.29938787878787876,0.00022313952591498473,0.09887791267180157
ER_graph_c_100_p_05,99.17720000000001,47.09888800000001,0.5006645895465837,0.5008949494949495,9.683477038930774e-05,0.09951462466607879
ER_graph_c_100_p_07,138.6444,40.77274400000001,0.7001997194807492,0.7002242424242424,4.129429204352636e-05,0.09979331179578521
ER_graph_c_100_p_09,178.24200000000002,17.03636,0.9001812975749196,0.9002121212121212,1.1333703732291336e-05,0.0999433152878105
ER_graph_c_10_p_01,3.392,1.2808,0.13522963177173705,0.18844444444444441,0.016557431835657933,0.28851983755369964
ER_graph_c_10_p_03,5.916,2.8823999999999996,0.3118991934897052,0.3286666666666666,0.013207273668270689,0.2944414971023894
ER_graph_c_10_p_05,9.124,3.4215999999999998,0.5070261888077419,0.5068888888888889,0.008022209011722611,0.30323387219987913
ER_graph_c_10_p_07,12.82,2.812,0.7130083336056345,0.7122222222222223,0.0033035886715945357,0.3109485052702978
ER_graph_c_20_p_01,4.741999999999999,2.6353999999999997,0.1073208250928731,0.1247894736842105,0.011819109608763319,0.19526444013557304
ER_graph_c_20_p_03,11.472000000000001,6.9568,0.30216117825860966,0.3018947368421052,0.005557863784684071,0.210767173315177
ER_graph_c_20_p_05,19.154,9.3406,0.5076848250200297,0.5040526315789474,0.002220300673669975,0.21857992478274993
ER_graph_c_20_p_07,26.65,7.583399999999999,0.7020516214956796,0.7013157894736841,0.0009775491529600915,0.22140911068599123
ER_graph_c_20_p_09,34.02,3.1860000000000004,0.8952642365335066,0.8952631578947368,0.00025533605532528135,0.22303503609833336
ER_graph_c_25_p_01,5.395200000000001,3.487744,0.10279692451068387,0.1124,0.009879490763155084,0.17341076560042695
ER_graph_c_25_p_03,14.545600000000002,9.234752,0.30094130734965663,0.3030333333333333,0.003497359262869045,0.19104199317762935
ER_graph_c_25_p_05,23.996800000000004,11.475072,0.5012755054634993,0.49993333333333334,0.0014619588565538489,0.19630713289025295
ER_graph_c_25_p_07,33.552,9.340352000000001,0.6990939230099132,0.699,0.0006636273165299601,0.1983332478194132
ER_graph_c_50_p_01,10.0528,8.843776,0.10323481139973703,0.10257959183673471,0.003309073324771747,0.1291614331568893
ER_graph_c_50_p_03,29.316799999999997,19.679488000000003,0.29871269350077123,0.29915102040816327,0.0009035386484998542,0.13818791133303926
ER_graph_c_50_p_05,49.080799999999996,23.463168,0.5007735399544776,0.5008244897959184,0.00038883528440522694,0.14003949570349808
ER_graph_c_50_p_07,68.6376,19.431008,0.7003599943883231,0.7003836734693878,0.00016868305552171167,0.14082365717397635
ER_graph_c_75_p_01,14.765866666666666,13.285568000000001,0.09991047238059084,0.09976936936936937,0.0015681318996125767,0.10846241394767342
ER_graph_c_75_p_03,44.38186666666667,29.916579555555558,0.2996581968617506,0.29987747747747745,0.0004160563363190048,0.11365384400081754
ER_graph_c_75_p_05,74.00213333333333,35.62471822222222,0.49976963258521223,0.5000144144144144,0.00016603958190591773,0.11474876396267791
ER_graph_c_75_p_07,103.56693333333334,31.050609777777773,0.6998611119489649,0.6997765765765765,7.143486710220068e-05,0.11516030490535073
WS_graph_c_100_p_03_k_2,4.0,2.0784000000000002,0.0013999999999999998,0.020202020202020204,0.007447501366380536,0.04775145448241865
WS_graph_c_100_p_03_k_4,8.0,4.113600000000001,0.18924253968253965,0.04040404040404041,0.0016952975262988072,0.09110583289452924
WS_graph_c_100_p_03_k_7,12.0,6.044800000000001,0.23344779220779205,0.06060606060606061,0.0007722119192392252,0.09605605624708553
WS_graph_c_100_p_05_k_2,4.0,3.0816000000000003,0.0012333333333333332,0.020202020202020204,0.007099545206151807,0.04608010009076366
WS_graph_c_100_p_05_k_4,8.0,5.990399999999999,0.08799873015873015,0.04040404040404041,0.00184395839171438,0.09027706182690148
