eigenvector_centrality,"[11, 24]"
21,"[0.11221945137157108, 0.185, 0.095, 0.1075, 0.12, 0.08, 0.11, 0.19, 0.12, 0.1425, 0.1075, 0.11, 0.1775, 0.0875, 0.12, 0.0775, 0.1225, 0.1125, 0.1, 0.08, 0.105, 0.07, 0.1, 0.1275, 0.10275689223057644]"
22,"[0.11970074812967581, 0.0875, 0.0975, 0.1075, 0.095, 0.085, 0.1075, 0.1475, 0.165, 0.1175, 0.11, 0.15, 0.1075, 0.18, 0.095, 0.1875, 0.14, 0.1, 0.1175, 0.1075, 0.1075, 0.145, 0.13, 0.1075, 0.09774436090225563]"
23,"[0.11221945137157108, 0.19, 0.095, 0.1425, 0.12, 0.08, 0.11, 0.1925, 0.12, 0.095, 0.1075, 0.11, 0.08, 0.0875, 0.125, 0.0775, 0.2425, 0.1125, 0.1, 0.08, 0.1025, 0.07, 0.1, 0.17, 0.10275689223057644]"
24,"[0.11970074812967581, 0.0875, 0.0975, 0.1075, 0.095, 0.085, 0.1075, 0.1575, 0.1875, 0.1175, 0.11, 0.16, 0.1075, 0.2025, 0.095, 0.1875, 0.1675, 0.1, 0.1175, 0.1775, 0.1075, 0.1625, 0.15, 0.13, 0.10275689223057644]"
25,"[0.11221945137157108, 0.19, 0.095, 0.1725, 0.12, 0.08, 0.11, 0.23, 0.12, 0.2, 0.1075, 0.195, 0.08, 0.0875, 0.15, 0.0775, 0.195, 0.1125, 0.1, 0.08, 0.1025, 0.07, 0.1, 0.18, 0.07769423558897243]"
26,"[0.11970074812967581, 0.0875, 0.0975, 0.1075, 0.095, 0.085, 0.1075, 0.15, 0.195, 0.1175, 0.11, 0.11, 0.1075, 0.21, 0.095, 0.1875, 0.19, 0.1, 0.1175, 0.185, 0.1075, 0.16, 0.1725, 0.14, 0.07769423558897243]"
27,"[0.11221945137157108, 0.16, 0.095, 0.1425, 0.12, 0.08, 0.11, 0.1225, 0.12, 0.205, 0.1075, 0.11, 0.195, 0.0875, 0.13, 0.1175, 0.185, 0.1125, 0.1, 0.08, 0.1025, 0.07, 0.1, 0.195, 0.10275689223057644]"
28,"[0.11970074812967581, 0.09, 0.19, 0.1075, 0.095, 0.085, 0.1075, 0.18, 0.15, 0.1175, 0.11, 0.12, 0.1075, 0.1075, 0.095, 0.1875, 0.205, 0.1, 0.1175, 0.1025, 0.1075, 0.16, 0.125, 0.1725, 0.07769423558897243]"
29,"[0.2593516209476309, 0.0825, 0.095, 0.1075, 0.12, 0.08, 0.1125, 0.185, 0.12, 0.1975, 0.1075, 0.11, 0.185, 0.0875, 0.1225, 0.195, 0.1125, 0.1125, 0.1, 0.095, 0.1025, 0.07, 0.12, 0.165, 0.10275689223057644]"
30,"[0.22693266832917705, 0.17, 0.155, 0.21, 0.17, 0.195, 0.205, 0.18, 0.095, 0.12, 0.2075, 0.11, 0.1975, 0.1025, 0.095, 0.1775, 0.1475, 0.1, 0.2275, 0.1025, 0.1375, 0.155, 0.125, 0.1775, 0.07769423558897243]"
31,"[0.1546134663341646, 0.0825, 0.1275, 0.095, 0.1975, 0.1575, 0.0925, 0.2125, 0.1625, 0.1225, 0.2025, 0.11, 0.125, 0.155, 0.1075, 0.21, 0.095, 0.2175, 0.2175, 0.145, 0.15, 0.07, 0.1375, 0.095, 0.10275689223057644]"
32,"[0.12718204488778054, 0.0825, 0.095, 0.115, 0.085, 0.115, 0.1, 0.2025, 0.095, 0.11, 0.1275, 0.11, 0.125, 0.1025, 0.095, 0.0925, 0.1175, 0.1375, 0.13, 0.1025, 0.1775, 0.1775, 0.125, 0.0925, 0.07769423558897243]"
