eigenvector_centrality,"[5, 2]"
20,"[0.314214463840399, 0.375, 0.3575, 0.51, 0.4275, 0.3075, 0.315, 0.385, 0.3725, 0.28, 0.45, 0.335, 0.4375, 0.3225, 0.435, 0.3575, 0.34, 0.345, 0.41, 0.4275, 0.3075, 0.375, 0.2775, 0.255, 0.2606516290726817]"
21,"[0.36658354114713215, 0.3475, 0.2975, 0.47, 0.445, 0.31, 0.3275, 0.29, 0.4425, 0.335, 0.4, 0.3375, 0.455, 0.365, 0.375, 0.3925, 0.32, 0.28, 0.3725, 0.425, 0.3025, 0.365, 0.315, 0.285, 0.2982456140350877]"
22,"[0.33915211970074816, 0.3775, 0.355, 0.52, 0.4125, 0.3075, 0.325, 0.3975, 0.375, 0.3, 0.46, 0.3475, 0.435, 0.3325, 0.4325, 0.3625, 0.3625, 0.34, 0.415, 0.44, 0.3175, 0.405, 0.3125, 0.255, 0.2681704260651629]"
23,"[0.3790523690773067, 0.3625, 0.2925, 0.475, 0.4675, 0.3625, 0.3625, 0.3225, 0.4475, 0.3475, 0.435, 0.3225, 0.4625, 0.3875, 0.39, 0.3925, 0.33, 0.3025, 0.3875, 0.42, 0.3075, 0.3825, 0.325, 0.305, 0.2982456140350877]"
24,"[0.341645885286783, 0.3925, 0.3775, 0.53, 0.415, 0.3325, 0.33, 0.39, 0.405, 0.3275, 0.4275, 0.375, 0.445, 0.3425, 0.4425, 0.3875, 0.375, 0.36, 0.4125, 0.47, 0.3275, 0.4075, 0.3225, 0.255, 0.2932330827067669]"
25,"[0.38403990024937656, 0.3775, 0.2975, 0.4825, 0.4725, 0.39, 0.38, 0.355, 0.44, 0.3575, 0.405, 0.325, 0.465, 0.4, 0.405, 0.4075, 0.3425, 0.335, 0.3975, 0.425, 0.3225, 0.3875, 0.3325, 0.31, 0.3132832080200501]"
26,"[0.3541147132169576, 0.3975, 0.3675, 0.5325, 0.4125, 0.385, 0.3475, 0.3975, 0.4625, 0.34, 0.4225, 0.3925, 0.4425, 0.3725, 0.445, 0.3775, 0.3875, 0.3575, 0.4325, 0.4825, 0.325, 0.4225, 0.33, 0.25, 0.2957393483709273]"
27,"[0.3640897755610973, 0.4175, 0.28, 0.4575, 0.3725, 0.41, 0.425, 0.4775, 0.3325, 0.3525, 0.4525, 0.345, 0.445, 0.365, 0.4025, 0.3925, 0.3425, 0.43, 0.4025, 0.4, 0.3575, 0.4, 0.35, 0.32, 0.3258145363408521]"
28,"[0.4538653366583541, 0.3775, 0.3675, 0.45, 0.445, 0.335, 0.3425, 0.375, 0.4675, 0.4175, 0.3475, 0.3725, 0.4125, 0.455, 0.3825, 0.4625, 0.3825, 0.355, 0.3875, 0.5, 0.395, 0.37, 0.4325, 0.2675, 0.37343358395989973]"
29,"[0.3341645885286783, 0.375, 0.3425, 0.435, 0.385, 0.48, 0.3825, 0.41, 0.325, 0.3425, 0.39, 0.3375, 0.38, 0.3375, 0.43, 0.375, 0.36, 0.41, 0.455, 0.3725, 0.345, 0.4325, 0.3375, 0.3325, 0.3007518796992481]"
