out_deg_centrality,[ 0 14  8 21  5 20 31 29 51  7]
24,"[tensor(0.0295, device='cuda:2'), tensor(0.0127, device='cuda:2'), tensor(0.0153, device='cuda:2'), tensor(0.0176, device='cuda:2'), tensor(0.0184, device='cuda:2'), tensor(0.0622, device='cuda:2'), tensor(0.0182, device='cuda:2'), tensor(0.0180, device='cuda:2'), tensor(0.0165, device='cuda:2'), tensor(0.0163, device='cuda:2'), tensor(0.0201, device='cuda:2'), tensor(0.0154, device='cuda:2'), tensor(0.0187, device='cuda:2'), tensor(0.0197, device='cuda:2'), tensor(0.0288, device='cuda:2'), tensor(0.0176, device='cuda:2'), tensor(0.0171, device='cuda:2'), tensor(0.0151, device='cuda:2'), tensor(0.0134, device='cuda:2'), tensor(0.0192, device='cuda:2'), tensor(0.0145, device='cuda:2'), tensor(0.0146, device='cuda:2'), tensor(0.0197, device='cuda:2'), tensor(0.0177, device='cuda:2'), tensor(0.0148, device='cuda:2'), tensor(0.0148, device='cuda:2'), tensor(0.0177, device='cuda:2'), tensor(0.0145, device='cuda:2'), tensor(0.0159, device='cuda:2'), tensor(0.0168, device='cuda:2'), tensor(0.0196, device='cuda:2'), tensor(0.0146, device='cuda:2'), tensor(0.0180, device='cuda:2'), tensor(0.0161, device='cuda:2'), tensor(0.0161, device='cuda:2'), tensor(0.0185, device='cuda:2'), tensor(0.0172, device='cuda:2'), tensor(0.0202, device='cuda:2'), tensor(0.0176, device='cuda:2'), tensor(0.0211, device='cuda:2'), tensor(0.0184, device='cuda:2'), tensor(0.0224, device='cuda:2'), tensor(0.0185, device='cuda:2'), tensor(0.0151, device='cuda:2'), tensor(0.0132, device='cuda:2'), tensor(0.0193, device='cuda:2'), tensor(0.0139, device='cuda:2'), tensor(0.0159, device='cuda:2'), tensor(0.0150, device='cuda:2'), tensor(0.0137, device='cuda:2'), tensor(0.0138, device='cuda:2'), tensor(0.0204, device='cuda:2'), tensor(0.0203, device='cuda:2')]"
25,"[tensor(0.0130, device='cuda:2'), tensor(0.0427, device='cuda:2'), tensor(0.0150, device='cuda:2'), tensor(0.0189, device='cuda:2'), tensor(0.0193, device='cuda:2'), tensor(0.0129, device='cuda:2'), tensor(0.0210, device='cuda:2'), tensor(0.0193, device='cuda:2'), tensor(0.0125, device='cuda:2'), tensor(0.0152, device='cuda:2'), tensor(0.0147, device='cuda:2'), tensor(0.0133, device='cuda:2'), tensor(0.0146, device='cuda:2'), tensor(0.0194, device='cuda:2'), tensor(0.0129, device='cuda:2'), tensor(0.0171, device='cuda:2'), tensor(0.0143, device='cuda:2'), tensor(0.0216, device='cuda:2'), tensor(0.0150, device='cuda:2'), tensor(0.0185, device='cuda:2'), tensor(0.0164, device='cuda:2'), tensor(0.0183, device='cuda:2'), tensor(0.0255, device='cuda:2'), tensor(0.0193, device='cuda:2'), tensor(0.0182, device='cuda:2'), tensor(0.0201, device='cuda:2'), tensor(0.0195, device='cuda:2'), tensor(0.0258, device='cuda:2'), tensor(0.0171, device='cuda:2'), tensor(0.0148, device='cuda:2'), tensor(0.0193, device='cuda:2'), tensor(0.0142, device='cuda:2'), tensor(0.0168, device='cuda:2'), tensor(0.0187, device='cuda:2'), tensor(0.0143, device='cuda:2'), tensor(0.0169, device='cuda:2'), tensor(0.0179, device='cuda:2'), tensor(0.0181, device='cuda:2'), tensor(0.0206, device='cuda:2'), tensor(0.0167, device='cuda:2'), tensor(0.0202, device='cuda:2'), tensor(0.0181, device='cuda:2'), tensor(0.0163, device='cuda:2'), tensor(0.0134, device='cuda:2'), tensor(0.0158, device='cuda:2'), tensor(0.0197, device='cuda:2'), tensor(0.0206, device='cuda:2'), tensor(0.0171, device='cuda:2'), tensor(0.0203, device='cuda:2'), tensor(0.0143, device='cuda:2'), tensor(0.0140, device='cuda:2'), tensor(0.0173, device='cuda:2'), tensor(0.0193, device='cuda:2')]"
26,"[tensor(0.0352, device='cuda:2'), tensor(0.0123, device='cuda:2'), tensor(0.0156, device='cuda:2'), tensor(0.0164, device='cuda:2'), tensor(0.0168, device='cuda:2'), tensor(0.0163, device='cuda:2'), tensor(0.0168, device='cuda:2'), tensor(0.0450, device='cuda:2'), tensor(0.0122, device='cuda:2'), tensor(0.0148, device='cuda:2'), tensor(0.0190, device='cuda:2'), tensor(0.0141, device='cuda:2'), tensor(0.0160, device='cuda:2'), tensor(0.0180, device='cuda:2'), tensor(0.0221, device='cuda:2'), tensor(0.0153, device='cuda:2'), tensor(0.0142, device='cuda:2'), tensor(0.0163, device='cuda:2'), tensor(0.0160, device='cuda:2'), tensor(0.0179, device='cuda:2'), tensor(0.0196, device='cuda:2'), tensor(0.0166, device='cuda:2'), tensor(0.0183, device='cuda:2'), tensor(0.0149, device='cuda:2'), tensor(0.0150, device='cuda:2'), tensor(0.0140, device='cuda:2'), tensor(0.0168, device='cuda:2'), tensor(0.0163, device='cuda:2'), tensor(0.0163, device='cuda:2'), tensor(0.0308, device='cuda:2'), tensor(0.0133, device='cuda:2'), tensor(0.0147, device='cuda:2'), tensor(0.0153, device='cuda:2'), tensor(0.0151, device='cuda:2'), tensor(0.0184, device='cuda:2'), tensor(0.0152, device='cuda:2'), tensor(0.0144, device='cuda:2'), tensor(0.0137, device='cuda:2'), tensor(0.0145, device='cuda:2'), tensor(0.0169, device='cuda:2'), tensor(0.0147, device='cuda:2'), tensor(0.0142, device='cuda:2'), tensor(0.0174, device='cuda:2'), tensor(0.0126, device='cuda:2'), tensor(0.0155, device='cuda:2'), tensor(0.0160, device='cuda:2'), tensor(0.0159, device='cuda:2'), tensor(0.0198, device='cuda:2'), tensor(0.0172, device='cuda:2'), tensor(0.0154, device='cuda:2'), tensor(0.0167, device='cuda:2'), tensor(0.0456, device='cuda:2'), tensor(0.0185, device='cuda:2')]"
27,"[tensor(0.0198, device='cuda:2'), tensor(0.0310, device='cuda:2'), tensor(0.0131, device='cuda:2'), tensor(0.0177, device='cuda:2'), tensor(0.0171, device='cuda:2'), tensor(0.0209, device='cuda:2'), tensor(0.0185, device='cuda:2'), tensor(0.0455, device='cuda:2'), tensor(0.0122, device='cuda:2'), tensor(0.0139, device='cuda:2'), tensor(0.0170, device='cuda:2'), tensor(0.0144, device='cuda:2'), tensor(0.0160, device='cuda:2'), tensor(0.0173, device='cuda:2'), tensor(0.0232, device='cuda:2'), tensor(0.0152, device='cuda:2'), tensor(0.0134, device='cuda:2'), tensor(0.0144, device='cuda:2'), tensor(0.0183, device='cuda:2'), tensor(0.0183, device='cuda:2'), tensor(0.0255, device='cuda:2'), tensor(0.0212, device='cuda:2'), tensor(0.0198, device='cuda:2'), tensor(0.0161, device='cuda:2'), tensor(0.0160, device='cuda:2'), tensor(0.0156, device='cuda:2'), tensor(0.0164, device='cuda:2'), tensor(0.0199, device='cuda:2'), tensor(0.0134, device='cuda:2'), tensor(0.0340, device='cuda:2'), tensor(0.0193, device='cuda:2'), tensor(0.0144, device='cuda:2'), tensor(0.0159, device='cuda:2'), tensor(0.0133, device='cuda:2'), tensor(0.0174, device='cuda:2'), tensor(0.0153, device='cuda:2'), tensor(0.0175, device='cuda:2'), tensor(0.0149, device='cuda:2'), tensor(0.0164, device='cuda:2'), tensor(0.0189, device='cuda:2'), tensor(0.0173, device='cuda:2'), tensor(0.0178, device='cuda:2'), tensor(0.0157, device='cuda:2'), tensor(0.0139, device='cuda:2'), tensor(0.0210, device='cuda:2'), tensor(0.0189, device='cuda:2'), tensor(0.0163, device='cuda:2'), tensor(0.0131, device='cuda:2'), tensor(0.0137, device='cuda:2'), tensor(0.0199, device='cuda:2'), tensor(0.0186, device='cuda:2'), tensor(0.0185, device='cuda:2'), tensor(0.0205, device='cuda:2')]"
28,"[tensor(0.0611, device='cuda:2'), tensor(0.0157, device='cuda:2'), tensor(0.0146, device='cuda:2'), tensor(0.0201, device='cuda:2'), tensor(0.0206, device='cuda:2'), tensor(0.0269, device='cuda:2'), tensor(0.0207, device='cuda:2'), tensor(0.0527, device='cuda:2'), tensor(0.0213, device='cuda:2'), tensor(0.0200, device='cuda:2'), tensor(0.0154, device='cuda:2'), tensor(0.0150, device='cuda:2'), tensor(0.0176, device='cuda:2'), tensor(0.0223, device='cuda:2'), tensor(0.0497, device='cuda:2'), tensor(0.0179, device='cuda:2'), tensor(0.0164, device='cuda:2'), tensor(0.0138, device='cuda:2'), tensor(0.0150, device='cuda:2'), tensor(0.0180, device='cuda:2'), tensor(0.0163, device='cuda:2'), tensor(0.0175, device='cuda:2'), tensor(0.0206, device='cuda:2'), tensor(0.0163, device='cuda:2'), tensor(0.0146, device='cuda:2'), tensor(0.0176, device='cuda:2'), tensor(0.0209, device='cuda:2'), tensor(0.0154, device='cuda:2'), tensor(0.0176, device='cuda:2'), tensor(0.0480, device='cuda:2'), tensor(0.0218, device='cuda:2'), tensor(0.0146, device='cuda:2'), tensor(0.0180, device='cuda:2'), tensor(0.0187, device='cuda:2'), tensor(0.0157, device='cuda:2'), tensor(0.0185, device='cuda:2'), tensor(0.0197, device='cuda:2'), tensor(0.0235, device='cuda:2'), tensor(0.0163, device='cuda:2'), tensor(0.0199, device='cuda:2'), tensor(0.0176, device='cuda:2'), tensor(0.0210, device='cuda:2'), tensor(0.0171, device='cuda:2'), tensor(0.0163, device='cuda:2'), tensor(0.0171, device='cuda:2'), tensor(0.0186, device='cuda:2'), tensor(0.0170, device='cuda:2'), tensor(0.0136, device='cuda:2'), tensor(0.0142, device='cuda:2'), tensor(0.0149, device='cuda:2'), tensor(0.0174, device='cuda:2'), tensor(0.0585, device='cuda:2'), tensor(0.0162, device='cuda:2')]"
29,"[tensor(0.0164, device='cuda:2'), tensor(0.0942, device='cuda:2'), tensor(0.0234, device='cuda:2'), tensor(0.0317, device='cuda:2'), tensor(0.0316, device='cuda:2'), tensor(0.0196, device='cuda:2'), tensor(0.0353, device='cuda:2'), tensor(0.0378, device='cuda:2'), tensor(0.0556, device='cuda:2'), tensor(0.0299, device='cuda:2'), tensor(0.0152, device='cuda:2'), tensor(0.0155, device='cuda:2'), tensor(0.0170, device='cuda:2'), tensor(0.0301, device='cuda:2'), tensor(0.0193, device='cuda:2'), tensor(0.0361, device='cuda:2'), tensor(0.0231, device='cuda:2'), tensor(0.0379, device='cuda:2'), tensor(0.0191, device='cuda:2'), tensor(0.0296, device='cuda:2'), tensor(0.0238, device='cuda:2'), tensor(0.0179, device='cuda:2'), tensor(0.0400, device='cuda:2'), tensor(0.0265, device='cuda:2'), tensor(0.0197, device='cuda:2'), tensor(0.0230, device='cuda:2'), tensor(0.0441, device='cuda:2'), tensor(0.0284, device='cuda:2'), tensor(0.0232, device='cuda:2'), tensor(0.0369, device='cuda:2'), tensor(0.0227, device='cuda:2'), tensor(0.0153, device='cuda:2'), tensor(0.0247, device='cuda:2'), tensor(0.0259, device='cuda:2'), tensor(0.0148, device='cuda:2'), tensor(0.0191, device='cuda:2'), tensor(0.0235, device='cuda:2'), tensor(0.0199, device='cuda:2'), tensor(0.0300, device='cuda:2'), tensor(0.0203, device='cuda:2'), tensor(0.0244, device='cuda:2'), tensor(0.0272, device='cuda:2'), tensor(0.0277, device='cuda:2'), tensor(0.0238, device='cuda:2'), tensor(0.0215, device='cuda:2'), tensor(0.0315, device='cuda:2'), tensor(0.0252, device='cuda:2'), tensor(0.0196, device='cuda:2'), tensor(0.0265, device='cuda:2'), tensor(0.0198, device='cuda:2'), tensor(0.0201, device='cuda:2'), tensor(0.0293, device='cuda:2'), tensor(0.0187, device='cuda:2')]"
30,"[tensor(0.0158, device='cuda:2'), tensor(0.0229, device='cuda:2'), tensor(0.0306, device='cuda:2'), tensor(0.0277, device='cuda:2'), tensor(0.0287, device='cuda:2'), tensor(0.0464, device='cuda:2'), tensor(0.0269, device='cuda:2'), tensor(0.0474, device='cuda:2'), tensor(0.0615, device='cuda:2'), tensor(0.0283, device='cuda:2'), tensor(0.0185, device='cuda:2'), tensor(0.0156, device='cuda:2'), tensor(0.0168, device='cuda:2'), tensor(0.0278, device='cuda:2'), tensor(0.0153, device='cuda:2'), tensor(0.0380, device='cuda:2'), tensor(0.0298, device='cuda:2'), tensor(0.0317, device='cuda:2'), tensor(0.0125, device='cuda:2'), tensor(0.0261, device='cuda:2'), tensor(0.0165, device='cuda:2'), tensor(0.0155, device='cuda:2'), tensor(0.0332, device='cuda:2'), tensor(0.0234, device='cuda:2'), tensor(0.0346, device='cuda:2'), tensor(0.0286, device='cuda:2'), tensor(0.0327, device='cuda:2'), tensor(0.0241, device='cuda:2'), tensor(0.0234, device='cuda:2'), tensor(0.0507, device='cuda:2'), tensor(0.0279, device='cuda:2'), tensor(0.0131, device='cuda:2'), tensor(0.0278, device='cuda:2'), tensor(0.0303, device='cuda:2'), tensor(0.0158, device='cuda:2'), tensor(0.0295, device='cuda:2'), tensor(0.0276, device='cuda:2'), tensor(0.0220, device='cuda:2'), tensor(0.0294, device='cuda:2'), tensor(0.0150, device='cuda:2'), tensor(0.0237, device='cuda:2'), tensor(0.0281, device='cuda:2'), tensor(0.0314, device='cuda:2'), tensor(0.0191, device='cuda:2'), tensor(0.0135, device='cuda:2'), tensor(0.0329, device='cuda:2'), tensor(0.0227, device='cuda:2'), tensor(0.0270, device='cuda:2'), tensor(0.0337, device='cuda:2'), tensor(0.0126, device='cuda:2'), tensor(0.0135, device='cuda:2'), tensor(0.0547, device='cuda:2'), tensor(0.0145, device='cuda:2')]"
31,"[tensor(0.0149, device='cuda:2'), tensor(0.0857, device='cuda:2'), tensor(0.0197, device='cuda:2'), tensor(0.0219, device='cuda:2'), tensor(0.0203, device='cuda:2'), tensor(0.0125, device='cuda:2'), tensor(0.0228, device='cuda:2'), tensor(0.0422, device='cuda:2'), tensor(0.0166, device='cuda:2'), tensor(0.0194, device='cuda:2'), tensor(0.0156, device='cuda:2'), tensor(0.0150, device='cuda:2'), tensor(0.0164, device='cuda:2'), tensor(0.0204, device='cuda:2'), tensor(0.0170, device='cuda:2'), tensor(0.0188, device='cuda:2'), tensor(0.0184, device='cuda:2'), tensor(0.0140, device='cuda:2'), tensor(0.0139, device='cuda:2'), tensor(0.0237, device='cuda:2'), tensor(0.0240, device='cuda:2'), tensor(0.0168, device='cuda:2'), tensor(0.0274, device='cuda:2'), tensor(0.0187, device='cuda:2'), tensor(0.0199, device='cuda:2'), tensor(0.0197, device='cuda:2'), tensor(0.0218, device='cuda:2'), tensor(0.0297, device='cuda:2'), tensor(0.0206, device='cuda:2'), tensor(0.0801, device='cuda:2'), tensor(0.0200, device='cuda:2'), tensor(0.0166, device='cuda:2'), tensor(0.0196, device='cuda:2'), tensor(0.0214, device='cuda:2'), tensor(0.0186, device='cuda:2'), tensor(0.0179, device='cuda:2'), tensor(0.0193, device='cuda:2'), tensor(0.0225, device='cuda:2'), tensor(0.0184, device='cuda:2'), tensor(0.0199, device='cuda:2'), tensor(0.0222, device='cuda:2'), tensor(0.0189, device='cuda:2'), tensor(0.0178, device='cuda:2'), tensor(0.0159, device='cuda:2'), tensor(0.0147, device='cuda:2'), tensor(0.0218, device='cuda:2'), tensor(0.0177, device='cuda:2'), tensor(0.0235, device='cuda:2'), tensor(0.0207, device='cuda:2'), tensor(0.0150, device='cuda:2'), tensor(0.0135, device='cuda:2'), tensor(0.0706, device='cuda:2'), tensor(0.0213, device='cuda:2')]"
32,"[tensor(0.0203, device='cuda:2'), tensor(0.0142, device='cuda:2'), tensor(0.0207, device='cuda:2'), tensor(0.0215, device='cuda:2'), tensor(0.0230, device='cuda:2'), tensor(0.0561, device='cuda:2'), tensor(0.0229, device='cuda:2'), tensor(0.0454, device='cuda:2'), tensor(0.0128, device='cuda:2'), tensor(0.0227, device='cuda:2'), tensor(0.0136, device='cuda:2'), tensor(0.0140, device='cuda:2'), tensor(0.0139, device='cuda:2'), tensor(0.0234, device='cuda:2'), tensor(0.0166, device='cuda:2'), tensor(0.0239, device='cuda:2'), tensor(0.0203, device='cuda:2'), tensor(0.0228, device='cuda:2'), tensor(0.0126, device='cuda:2'), tensor(0.0191, device='cuda:2'), tensor(0.0161, device='cuda:2'), tensor(0.0148, device='cuda:2'), tensor(0.0234, device='cuda:2'), tensor(0.0185, device='cuda:2'), tensor(0.0196, device='cuda:2'), tensor(0.0225, device='cuda:2'), tensor(0.0253, device='cuda:2'), tensor(0.0170, device='cuda:2'), tensor(0.0224, device='cuda:2'), tensor(0.0352, device='cuda:2'), tensor(0.0300, device='cuda:2'), tensor(0.0131, device='cuda:2'), tensor(0.0268, device='cuda:2'), tensor(0.0240, device='cuda:2'), tensor(0.0149, device='cuda:2'), tensor(0.0192, device='cuda:2'), tensor(0.0220, device='cuda:2'), tensor(0.0257, device='cuda:2'), tensor(0.0219, device='cuda:2'), tensor(0.0173, device='cuda:2'), tensor(0.0260, device='cuda:2'), tensor(0.0193, device='cuda:2'), tensor(0.0237, device='cuda:2'), tensor(0.0204, device='cuda:2'), tensor(0.0136, device='cuda:2'), tensor(0.0273, device='cuda:2'), tensor(0.0236, device='cuda:2'), tensor(0.0199, device='cuda:2'), tensor(0.0211, device='cuda:2'), tensor(0.0130, device='cuda:2'), tensor(0.0135, device='cuda:2'), tensor(0.0673, device='cuda:2'), tensor(0.0179, device='cuda:2')]"
33,"[tensor(0.0181, device='cuda:2'), tensor(0.0691, device='cuda:2'), tensor(0.0150, device='cuda:2'), tensor(0.0208, device='cuda:2'), tensor(0.0200, device='cuda:2'), tensor(0.0127, device='cuda:2'), tensor(0.0210, device='cuda:2'), tensor(0.0613, device='cuda:2'), tensor(0.0131, device='cuda:2'), tensor(0.0150, device='cuda:2'), tensor(0.0134, device='cuda:2'), tensor(0.0141, device='cuda:2'), tensor(0.0146, device='cuda:2'), tensor(0.0192, device='cuda:2'), tensor(0.0184, device='cuda:2'), tensor(0.0156, device='cuda:2'), tensor(0.0166, device='cuda:2'), tensor(0.0167, device='cuda:2'), tensor(0.0141, device='cuda:2'), tensor(0.0229, device='cuda:2'), tensor(0.0227, device='cuda:2'), tensor(0.0194, device='cuda:2'), tensor(0.0235, device='cuda:2'), tensor(0.0171, device='cuda:2'), tensor(0.0154, device='cuda:2'), tensor(0.0176, device='cuda:2'), tensor(0.0174, device='cuda:2'), tensor(0.0300, device='cuda:2'), tensor(0.0150, device='cuda:2'), tensor(0.0751, device='cuda:2'), tensor(0.0202, device='cuda:2'), tensor(0.0162, device='cuda:2'), tensor(0.0184, device='cuda:2'), tensor(0.0174, device='cuda:2'), tensor(0.0131, device='cuda:2'), tensor(0.0150, device='cuda:2'), tensor(0.0164, device='cuda:2'), tensor(0.0154, device='cuda:2'), tensor(0.0168, device='cuda:2'), tensor(0.0215, device='cuda:2'), tensor(0.0168, device='cuda:2'), tensor(0.0176, device='cuda:2'), tensor(0.0184, device='cuda:2'), tensor(0.0158, device='cuda:2'), tensor(0.0152, device='cuda:2'), tensor(0.0174, device='cuda:2'), tensor(0.0165, device='cuda:2'), tensor(0.0142, device='cuda:2'), tensor(0.0160, device='cuda:2'), tensor(0.0144, device='cuda:2'), tensor(0.0141, device='cuda:2'), tensor(0.0808, device='cuda:2'), tensor(0.0198, device='cuda:2')]"
34,"[tensor(0.0261, device='cuda:2'), tensor(0.0131, device='cuda:2'), tensor(0.0186, device='cuda:2'), tensor(0.0215, device='cuda:2'), tensor(0.0257, device='cuda:2'), tensor(0.0545, device='cuda:2'), tensor(0.0228, device='cuda:2'), tensor(0.0435, device='cuda:2'), tensor(0.0351, device='cuda:2'), tensor(0.0218, device='cuda:2'), tensor(0.0140, device='cuda:2'), tensor(0.0143, device='cuda:2'), tensor(0.0157, device='cuda:2'), tensor(0.0235, device='cuda:2'), tensor(0.0203, device='cuda:2'), tensor(0.0197, device='cuda:2'), tensor(0.0217, device='cuda:2'), tensor(0.0152, device='cuda:2'), tensor(0.0135, device='cuda:2'), tensor(0.0244, device='cuda:2'), tensor(0.0160, device='cuda:2'), tensor(0.0191, device='cuda:2'), tensor(0.0233, device='cuda:2'), tensor(0.0193, device='cuda:2'), tensor(0.0180, device='cuda:2'), tensor(0.0162, device='cuda:2'), tensor(0.0245, device='cuda:2'), tensor(0.0220, device='cuda:2'), tensor(0.0181, device='cuda:2'), tensor(0.0567, device='cuda:2'), tensor(0.0182, device='cuda:2'), tensor(0.0138, device='cuda:2'), tensor(0.0173, device='cuda:2'), tensor(0.0205, device='cuda:2'), tensor(0.0216, device='cuda:2'), tensor(0.0198, device='cuda:2'), tensor(0.0203, device='cuda:2'), tensor(0.0199, device='cuda:2'), tensor(0.0207, device='cuda:2'), tensor(0.0166, device='cuda:2'), tensor(0.0175, device='cuda:2'), tensor(0.0223, device='cuda:2'), tensor(0.0153, device='cuda:2'), tensor(0.0166, device='cuda:2'), tensor(0.0141, device='cuda:2'), tensor(0.0199, device='cuda:2'), tensor(0.0222, device='cuda:2'), tensor(0.0170, device='cuda:2'), tensor(0.0165, device='cuda:2'), tensor(0.0140, device='cuda:2'), tensor(0.0127, device='cuda:2'), tensor(0.0428, device='cuda:2'), tensor(0.0190, device='cuda:2')]"
35,"[tensor(0.0203, device='cuda:2'), tensor(0.0574, device='cuda:2'), tensor(0.0152, device='cuda:2'), tensor(0.0206, device='cuda:2'), tensor(0.0185, device='cuda:2'), tensor(0.0128, device='cuda:2'), tensor(0.0204, device='cuda:2'), tensor(0.0558, device='cuda:2'), tensor(0.0403, device='cuda:2'), tensor(0.0157, device='cuda:2'), tensor(0.0213, device='cuda:2'), tensor(0.0155, device='cuda:2'), tensor(0.0140, device='cuda:2'), tensor(0.0188, device='cuda:2'), tensor(0.0224, device='cuda:2'), tensor(0.0164, device='cuda:2'), tensor(0.0138, device='cuda:2'), tensor(0.0152, device='cuda:2'), tensor(0.0211, device='cuda:2'), tensor(0.0213, device='cuda:2'), tensor(0.0230, device='cuda:2'), tensor(0.0238, device='cuda:2'), tensor(0.0216, device='cuda:2'), tensor(0.0165, device='cuda:2'), tensor(0.0177, device='cuda:2'), tensor(0.0159, device='cuda:2'), tensor(0.0152, device='cuda:2'), tensor(0.0252, device='cuda:2'), tensor(0.0173, device='cuda:2'), tensor(0.0692, device='cuda:2'), tensor(0.0161, device='cuda:2'), tensor(0.0182, device='cuda:2'), tensor(0.0159, device='cuda:2'), tensor(0.0163, device='cuda:2'), tensor(0.0210, device='cuda:2'), tensor(0.0152, device='cuda:2'), tensor(0.0144, device='cuda:2'), tensor(0.0153, device='cuda:2'), tensor(0.0159, device='cuda:2'), tensor(0.0226, device='cuda:2'), tensor(0.0160, device='cuda:2'), tensor(0.0146, device='cuda:2'), tensor(0.0142, device='cuda:2'), tensor(0.0134, device='cuda:2'), tensor(0.0263, device='cuda:2'), tensor(0.0212, device='cuda:2'), tensor(0.0163, device='cuda:2'), tensor(0.0136, device='cuda:2'), tensor(0.0144, device='cuda:2'), tensor(0.0211, device='cuda:2'), tensor(0.0217, device='cuda:2'), tensor(0.0823, device='cuda:2'), tensor(0.0217, device='cuda:2')]"
36,"[tensor(0.0260, device='cuda:2'), tensor(0.0128, device='cuda:2'), tensor(0.0174, device='cuda:2'), tensor(0.0202, device='cuda:2'), tensor(0.0222, device='cuda:2'), tensor(0.0507, device='cuda:2'), tensor(0.0228, device='cuda:2'), tensor(0.0586, device='cuda:2'), tensor(0.0651, device='cuda:2'), tensor(0.0210, device='cuda:2'), tensor(0.0159, device='cuda:2'), tensor(0.0149, device='cuda:2'), tensor(0.0179, device='cuda:2'), tensor(0.0234, device='cuda:2'), tensor(0.0216, device='cuda:2'), tensor(0.0223, device='cuda:2'), tensor(0.0186, device='cuda:2'), tensor(0.0226, device='cuda:2'), tensor(0.0145, device='cuda:2'), tensor(0.0223, device='cuda:2'), tensor(0.0164, device='cuda:2'), tensor(0.0173, device='cuda:2'), tensor(0.0239, device='cuda:2'), tensor(0.0174, device='cuda:2'), tensor(0.0170, device='cuda:2'), tensor(0.0210, device='cuda:2'), tensor(0.0258, device='cuda:2'), tensor(0.0182, device='cuda:2'), tensor(0.0213, device='cuda:2'), tensor(0.0561, device='cuda:2'), tensor(0.0229, device='cuda:2'), tensor(0.0141, device='cuda:2'), tensor(0.0203, device='cuda:2'), tensor(0.0216, device='cuda:2'), tensor(0.0146, device='cuda:2'), tensor(0.0170, device='cuda:2'), tensor(0.0196, device='cuda:2'), tensor(0.0260, device='cuda:2'), tensor(0.0196, device='cuda:2'), tensor(0.0208, device='cuda:2'), tensor(0.0217, device='cuda:2'), tensor(0.0190, device='cuda:2'), tensor(0.0189, device='cuda:2'), tensor(0.0186, device='cuda:2'), tensor(0.0166, device='cuda:2'), tensor(0.0237, device='cuda:2'), tensor(0.0169, device='cuda:2'), tensor(0.0249, device='cuda:2'), tensor(0.0203, device='cuda:2'), tensor(0.0144, device='cuda:2'), tensor(0.0195, device='cuda:2'), tensor(0.0611, device='cuda:2'), tensor(0.0177, device='cuda:2')]"
37,"[tensor(0.0227, device='cuda:2'), tensor(0.0576, device='cuda:2'), tensor(0.0148, device='cuda:2'), tensor(0.0182, device='cuda:2'), tensor(0.0181, device='cuda:2'), tensor(0.0137, device='cuda:2'), tensor(0.0180, device='cuda:2'), tensor(0.0267, device='cuda:2'), tensor(0.0400, device='cuda:2'), tensor(0.0155, device='cuda:2'), tensor(0.0169, device='cuda:2'), tensor(0.0135, device='cuda:2'), tensor(0.0193, device='cuda:2'), tensor(0.0169, device='cuda:2'), tensor(0.0284, device='cuda:2'), tensor(0.0158, device='cuda:2'), tensor(0.0154, device='cuda:2'), tensor(0.0172, device='cuda:2'), tensor(0.0160, device='cuda:2'), tensor(0.0182, device='cuda:2'), tensor(0.0232, device='cuda:2'), tensor(0.0227, device='cuda:2'), tensor(0.0182, device='cuda:2'), tensor(0.0149, device='cuda:2'), tensor(0.0158, device='cuda:2'), tensor(0.0165, device='cuda:2'), tensor(0.0155, device='cuda:2'), tensor(0.0210, device='cuda:2'), tensor(0.0154, device='cuda:2'), tensor(0.0663, device='cuda:2'), tensor(0.0175, device='cuda:2'), tensor(0.0183, device='cuda:2'), tensor(0.0181, device='cuda:2'), tensor(0.0160, device='cuda:2'), tensor(0.0156, device='cuda:2'), tensor(0.0151, device='cuda:2'), tensor(0.0162, device='cuda:2'), tensor(0.0171, device='cuda:2'), tensor(0.0189, device='cuda:2'), tensor(0.0237, device='cuda:2'), tensor(0.0158, device='cuda:2'), tensor(0.0150, device='cuda:2'), tensor(0.0169, device='cuda:2'), tensor(0.0149, device='cuda:2'), tensor(0.0161, device='cuda:2'), tensor(0.0175, device='cuda:2'), tensor(0.0150, device='cuda:2'), tensor(0.0157, device='cuda:2'), tensor(0.0186, device='cuda:2'), tensor(0.0168, device='cuda:2'), tensor(0.0154, device='cuda:2'), tensor(0.0540, device='cuda:2'), tensor(0.0292, device='cuda:2')]"
