eigenvector_centrality,[]
20,"[0.06930693069306931, 0.18, 0.1, 0.1, 0.11, 0.12, 0.08, 0.11, 0.06, 0.11, 0.13, 0.15, 0.07, 0.12, 0.07, 0.11, 0.1, 0.09, 0.13, 0.11, 0.13, 0.08, 0.09, 0.12, 0.12, 0.12, 0.14, 0.24, 0.12, 0.07, 0.07, 0.12, 0.1, 0.08, 0.14, 0.1, 0.26, 0.06, 0.1, 0.14, 0.06, 0.09, 0.08, 0.1, 0.02, 0.08, 0.08, 0.12, 0.12, 0.09, 0.08, 0.07, 0.12, 0.11, 0.12, 0.18, 0.15, 0.06, 0.08, 0.11, 0.13, 0.11, 0.14, 0.11, 0.18, 0.09, 0.15, 0.1, 0.12, 0.03, 0.09, 0.13, 0.15, 0.2, 0.09, 0.13, 0.13, 0.24, 0.08, 0.07, 0.08, 0.1, 0.15, 0.12, 0.1, 0.07, 0.13, 0.12, 0.06, 0.1, 0.1, 0.21, 0.16, 0.03, 0.12, 0.06, 0.06, 0.05, 0.09, 0.13131313131313133]"
21,"[0.07920792079207921, 0.09, 0.11, 0.04, 0.09, 0.12, 0.05, 0.07, 0.08, 0.26, 0.08, 0.13, 0.12, 0.12, 0.15, 0.07, 0.1, 0.09, 0.08, 0.03, 0.06, 0.16, 0.12, 0.1, 0.13, 0.1, 0.07, 0.06, 0.08, 0.09, 0.1, 0.09, 0.07, 0.2, 0.14, 0.17, 0.11, 0.09, 0.06, 0.08, 0.24, 0.14, 0.1, 0.07, 0.11, 0.1, 0.09, 0.04, 0.1, 0.11, 0.2, 0.11, 0.2, 0.08, 0.06, 0.22, 0.07, 0.12, 0.08, 0.06, 0.11, 0.08, 0.06, 0.12, 0.1, 0.25, 0.1, 0.11, 0.12, 0.09, 0.12, 0.11, 0.12, 0.12, 0.08, 0.09, 0.21, 0.07, 0.08, 0.09, 0.14, 0.17, 0.12, 0.14, 0.09, 0.13, 0.2, 0.1, 0.11, 0.07, 0.12, 0.07, 0.06, 0.15, 0.13, 0.14, 0.11, 0.09, 0.08, 0.1717171717171717]"
22,"[0.06930693069306931, 0.12, 0.1, 0.1, 0.11, 0.12, 0.08, 0.11, 0.06, 0.1, 0.13, 0.15, 0.07, 0.12, 0.07, 0.11, 0.1, 0.09, 0.13, 0.11, 0.13, 0.08, 0.09, 0.12, 0.12, 0.12, 0.14, 0.15, 0.12, 0.07, 0.07, 0.12, 0.1, 0.08, 0.14, 0.1, 0.24, 0.06, 0.1, 0.15, 0.06, 0.09, 0.08, 0.1, 0.02, 0.14, 0.08, 0.12, 0.12, 0.09, 0.08, 0.07, 0.1, 0.11, 0.11, 0.12, 0.15, 0.06, 0.08, 0.15, 0.13, 0.23, 0.14, 0.11, 0.18, 0.09, 0.15, 0.1, 0.12, 0.03, 0.09, 0.14, 0.15, 0.12, 0.09, 0.13, 0.13, 0.16, 0.08, 0.07, 0.13, 0.1, 0.11, 0.12, 0.1, 0.09, 0.13, 0.12, 0.03, 0.1, 0.1, 0.22, 0.16, 0.03, 0.12, 0.06, 0.06, 0.05, 0.11, 0.13131313131313133]"
23,"[0.07920792079207921, 0.09, 0.11, 0.04, 0.09, 0.12, 0.05, 0.07, 0.08, 0.26, 0.08, 0.16, 0.08, 0.12, 0.15, 0.07, 0.11, 0.09, 0.08, 0.04, 0.06, 0.16, 0.12, 0.1, 0.13, 0.1, 0.09, 0.06, 0.08, 0.09, 0.1, 0.09, 0.07, 0.2, 0.16, 0.14, 0.11, 0.09, 0.06, 0.08, 0.28, 0.14, 0.1, 0.07, 0.11, 0.1, 0.09, 0.04, 0.1, 0.16, 0.21, 0.11, 0.2, 0.08, 0.06, 0.18, 0.07, 0.14, 0.08, 0.06, 0.11, 0.08, 0.06, 0.12, 0.1, 0.25, 0.1, 0.11, 0.12, 0.09, 0.12, 0.11, 0.12, 0.12, 0.08, 0.09, 0.21, 0.07, 0.08, 0.09, 0.13, 0.17, 0.12, 0.14, 0.09, 0.14, 0.2, 0.1, 0.11, 0.07, 0.12, 0.07, 0.1, 0.15, 0.13, 0.14, 0.11, 0.09, 0.08, 0.1717171717171717]"
24,"[0.06930693069306931, 0.12, 0.1, 0.1, 0.11, 0.12, 0.08, 0.11, 0.06, 0.13, 0.13, 0.15, 0.07, 0.12, 0.07, 0.11, 0.1, 0.09, 0.13, 0.11, 0.13, 0.08, 0.09, 0.12, 0.12, 0.12, 0.14, 0.15, 0.12, 0.07, 0.07, 0.12, 0.1, 0.09, 0.14, 0.1, 0.27, 0.06, 0.1, 0.16, 0.06, 0.09, 0.08, 0.16, 0.02, 0.14, 0.08, 0.12, 0.12, 0.09, 0.08, 0.07, 0.06, 0.11, 0.14, 0.12, 0.15, 0.06, 0.21, 0.19, 0.13, 0.19, 0.14, 0.11, 0.18, 0.09, 0.15, 0.1, 0.12, 0.08, 0.09, 0.14, 0.15, 0.12, 0.09, 0.13, 0.13, 0.17, 0.08, 0.08, 0.13, 0.1, 0.11, 0.18, 0.1, 0.08, 0.13, 0.08, 0.03, 0.1, 0.1, 0.2, 0.16, 0.03, 0.12, 0.06, 0.12, 0.06, 0.11, 0.13131313131313133]"
25,"[0.07920792079207921, 0.09, 0.11, 0.04, 0.09, 0.12, 0.05, 0.07, 0.08, 0.26, 0.08, 0.16, 0.08, 0.12, 0.15, 0.07, 0.11, 0.09, 0.08, 0.04, 0.06, 0.16, 0.12, 0.1, 0.13, 0.1, 0.08, 0.06, 0.08, 0.09, 0.1, 0.09, 0.07, 0.21, 0.17, 0.13, 0.11, 0.09, 0.06, 0.08, 0.25, 0.14, 0.1, 0.07, 0.11, 0.1, 0.09, 0.04, 0.1, 0.11, 0.15, 0.12, 0.23, 0.08, 0.06, 0.13, 0.07, 0.14, 0.08, 0.06, 0.11, 0.08, 0.06, 0.12, 0.1, 0.25, 0.1, 0.11, 0.12, 0.1, 0.12, 0.11, 0.12, 0.12, 0.08, 0.09, 0.21, 0.07, 0.08, 0.09, 0.16, 0.17, 0.12, 0.15, 0.09, 0.15, 0.2, 0.1, 0.11, 0.07, 0.12, 0.07, 0.1, 0.15, 0.13, 0.14, 0.11, 0.09, 0.08, 0.1717171717171717]"
26,"[0.06930693069306931, 0.12, 0.1, 0.1, 0.11, 0.12, 0.08, 0.11, 0.06, 0.12, 0.13, 0.15, 0.07, 0.12, 0.07, 0.11, 0.1, 0.09, 0.13, 0.11, 0.13, 0.08, 0.09, 0.12, 0.12, 0.12, 0.14, 0.15, 0.12, 0.07, 0.07, 0.12, 0.1, 0.08, 0.14, 0.1, 0.24, 0.06, 0.1, 0.14, 0.06, 0.09, 0.08, 0.17, 0.02, 0.14, 0.08, 0.12, 0.12, 0.09, 0.08, 0.07, 0.06, 0.11, 0.12, 0.12, 0.15, 0.06, 0.25, 0.21, 0.13, 0.19, 0.14, 0.11, 0.18, 0.09, 0.15, 0.1, 0.12, 0.18, 0.09, 0.14, 0.15, 0.12, 0.09, 0.13, 0.13, 0.13, 0.08, 0.08, 0.13, 0.1, 0.1, 0.18, 0.1, 0.09, 0.13, 0.14, 0.03, 0.1, 0.1, 0.22, 0.16, 0.03, 0.13, 0.06, 0.17, 0.02, 0.11, 0.13131313131313133]"
27,"[0.07920792079207921, 0.09, 0.11, 0.04, 0.09, 0.12, 0.05, 0.07, 0.08, 0.26, 0.08, 0.17, 0.08, 0.12, 0.15, 0.07, 0.11, 0.09, 0.08, 0.04, 0.06, 0.16, 0.12, 0.1, 0.13, 0.1, 0.07, 0.06, 0.08, 0.09, 0.1, 0.09, 0.07, 0.21, 0.17, 0.13, 0.11, 0.09, 0.06, 0.08, 0.27, 0.14, 0.1, 0.07, 0.11, 0.1, 0.09, 0.04, 0.1, 0.11, 0.18, 0.14, 0.2, 0.08, 0.06, 0.11, 0.07, 0.14, 0.08, 0.06, 0.11, 0.08, 0.06, 0.12, 0.1, 0.25, 0.1, 0.11, 0.12, 0.15, 0.12, 0.11, 0.12, 0.12, 0.08, 0.09, 0.21, 0.07, 0.08, 0.09, 0.15, 0.17, 0.12, 0.16, 0.09, 0.2, 0.2, 0.1, 0.11, 0.07, 0.12, 0.07, 0.1, 0.15, 0.13, 0.14, 0.11, 0.09, 0.08, 0.1717171717171717]"
28,"[0.06930693069306931, 0.12, 0.1, 0.1, 0.11, 0.12, 0.08, 0.11, 0.06, 0.1, 0.13, 0.15, 0.07, 0.12, 0.07, 0.11, 0.1, 0.09, 0.13, 0.11, 0.13, 0.08, 0.09, 0.12, 0.12, 0.12, 0.14, 0.15, 0.12, 0.07, 0.07, 0.12, 0.1, 0.08, 0.14, 0.1, 0.21, 0.06, 0.13, 0.15, 0.06, 0.09, 0.08, 0.17, 0.02, 0.14, 0.08, 0.12, 0.12, 0.09, 0.08, 0.07, 0.06, 0.11, 0.13, 0.12, 0.15, 0.06, 0.26, 0.22, 0.13, 0.14, 0.14, 0.11, 0.18, 0.09, 0.15, 0.1, 0.12, 0.17, 0.09, 0.14, 0.15, 0.15, 0.09, 0.13, 0.13, 0.13, 0.08, 0.12, 0.13, 0.1, 0.09, 0.17, 0.1, 0.1, 0.13, 0.19, 0.03, 0.1, 0.1, 0.22, 0.16, 0.03, 0.16, 0.06, 0.17, 0.04, 0.11, 0.13131313131313133]"
29,"[0.07920792079207921, 0.09, 0.11, 0.04, 0.09, 0.12, 0.05, 0.07, 0.08, 0.26, 0.08, 0.17, 0.08, 0.12, 0.15, 0.07, 0.11, 0.09, 0.08, 0.04, 0.06, 0.16, 0.14, 0.1, 0.15, 0.1, 0.07, 0.06, 0.08, 0.09, 0.1, 0.09, 0.07, 0.2, 0.18, 0.13, 0.11, 0.1, 0.06, 0.08, 0.23, 0.14, 0.1, 0.07, 0.11, 0.1, 0.09, 0.04, 0.1, 0.11, 0.19, 0.16, 0.2, 0.08, 0.06, 0.12, 0.07, 0.14, 0.08, 0.06, 0.11, 0.08, 0.06, 0.12, 0.1, 0.25, 0.1, 0.11, 0.12, 0.15, 0.12, 0.11, 0.11, 0.12, 0.08, 0.09, 0.21, 0.07, 0.08, 0.09, 0.15, 0.17, 0.12, 0.19, 0.09, 0.2, 0.2, 0.1, 0.11, 0.07, 0.12, 0.07, 0.1, 0.15, 0.13, 0.14, 0.11, 0.09, 0.08, 0.1717171717171717]"
30,"[0.06930693069306931, 0.12, 0.1, 0.1, 0.11, 0.17, 0.08, 0.11, 0.06, 0.11, 0.13, 0.15, 0.07, 0.12, 0.07, 0.11, 0.1, 0.1, 0.13, 0.11, 0.13, 0.08, 0.09, 0.12, 0.12, 0.12, 0.14, 0.15, 0.12, 0.07, 0.07, 0.12, 0.1, 0.08, 0.14, 0.1, 0.22, 0.06, 0.11, 0.14, 0.06, 0.09, 0.08, 0.17, 0.02, 0.14, 0.08, 0.12, 0.12, 0.09, 0.08, 0.07, 0.06, 0.11, 0.12, 0.12, 0.15, 0.06, 0.22, 0.22, 0.14, 0.19, 0.14, 0.11, 0.18, 0.09, 0.15, 0.1, 0.12, 0.17, 0.09, 0.14, 0.15, 0.12, 0.09, 0.13, 0.13, 0.13, 0.08, 0.13, 0.13, 0.1, 0.09, 0.17, 0.1, 0.09, 0.13, 0.19, 0.04, 0.1, 0.1, 0.2, 0.16, 0.03, 0.21, 0.06, 0.17, 0.07, 0.11, 0.13131313131313133]"
31,"[0.07920792079207921, 0.09, 0.11, 0.04, 0.09, 0.12, 0.05, 0.07, 0.08, 0.26, 0.08, 0.18, 0.08, 0.12, 0.16, 0.07, 0.11, 0.09, 0.09, 0.06, 0.06, 0.16, 0.14, 0.1, 0.17, 0.1, 0.07, 0.06, 0.08, 0.09, 0.1, 0.09, 0.08, 0.18, 0.16, 0.13, 0.11, 0.12, 0.06, 0.08, 0.27, 0.14, 0.1, 0.07, 0.11, 0.1, 0.09, 0.04, 0.1, 0.1, 0.19, 0.2, 0.2, 0.08, 0.06, 0.13, 0.07, 0.13, 0.08, 0.06, 0.11, 0.08, 0.12, 0.12, 0.1, 0.25, 0.1, 0.11, 0.12, 0.17, 0.12, 0.11, 0.11, 0.12, 0.08, 0.09, 0.22, 0.07, 0.08, 0.09, 0.15, 0.17, 0.12, 0.2, 0.09, 0.2, 0.2, 0.1, 0.11, 0.07, 0.12, 0.07, 0.1, 0.15, 0.13, 0.14, 0.11, 0.09, 0.08, 0.1717171717171717]"
32,"[0.07920792079207921, 0.12, 0.1, 0.1, 0.11, 0.17, 0.08, 0.11, 0.06, 0.11, 0.13, 0.15, 0.07, 0.12, 0.07, 0.11, 0.1, 0.1, 0.13, 0.11, 0.13, 0.08, 0.09, 0.12, 0.12, 0.12, 0.14, 0.15, 0.12, 0.08, 0.07, 0.12, 0.1, 0.1, 0.14, 0.1, 0.21, 0.06, 0.11, 0.14, 0.06, 0.09, 0.08, 0.17, 0.02, 0.14, 0.08, 0.12, 0.12, 0.09, 0.08, 0.07, 0.06, 0.11, 0.12, 0.12, 0.15, 0.06, 0.24, 0.22, 0.15, 0.16, 0.14, 0.11, 0.17, 0.09, 0.15, 0.1, 0.12, 0.17, 0.09, 0.13, 0.15, 0.12, 0.09, 0.13, 0.13, 0.13, 0.08, 0.15, 0.13, 0.1, 0.09, 0.17, 0.1, 0.1, 0.13, 0.08, 0.04, 0.1, 0.1, 0.16, 0.16, 0.03, 0.24, 0.06, 0.17, 0.12, 0.11, 0.13131313131313133]"
33,"[0.07920792079207921, 0.09, 0.11, 0.04, 0.09, 0.12, 0.05, 0.07, 0.1, 0.26, 0.08, 0.18, 0.08, 0.12, 0.2, 0.07, 0.1, 0.09, 0.08, 0.05, 0.06, 0.16, 0.16, 0.1, 0.18, 0.1, 0.07, 0.07, 0.08, 0.09, 0.1, 0.25, 0.09, 0.18, 0.17, 0.13, 0.11, 0.11, 0.06, 0.08, 0.25, 0.17, 0.1, 0.07, 0.11, 0.1, 0.09, 0.04, 0.1, 0.11, 0.19, 0.21, 0.2, 0.08, 0.06, 0.14, 0.07, 0.14, 0.08, 0.06, 0.11, 0.08, 0.12, 0.12, 0.1, 0.25, 0.1, 0.11, 0.12, 0.17, 0.12, 0.11, 0.1, 0.12, 0.08, 0.09, 0.22, 0.07, 0.08, 0.11, 0.15, 0.17, 0.12, 0.23, 0.09, 0.2, 0.21, 0.1, 0.11, 0.07, 0.12, 0.07, 0.1, 0.15, 0.13, 0.14, 0.11, 0.09, 0.08, 0.1717171717171717]"
34,"[0.0891089108910891, 0.12, 0.1, 0.1, 0.11, 0.17, 0.08, 0.11, 0.06, 0.11, 0.13, 0.15, 0.07, 0.12, 0.07, 0.11, 0.1, 0.16, 0.13, 0.11, 0.13, 0.08, 0.09, 0.12, 0.12, 0.12, 0.14, 0.15, 0.12, 0.11, 0.07, 0.05, 0.1, 0.09, 0.14, 0.1, 0.18, 0.06, 0.12, 0.14, 0.06, 0.09, 0.08, 0.17, 0.02, 0.14, 0.08, 0.12, 0.12, 0.09, 0.08, 0.07, 0.06, 0.11, 0.12, 0.12, 0.15, 0.06, 0.21, 0.22, 0.18, 0.22, 0.14, 0.11, 0.17, 0.08, 0.15, 0.1, 0.12, 0.17, 0.09, 0.13, 0.15, 0.14, 0.09, 0.13, 0.13, 0.13, 0.08, 0.15, 0.13, 0.1, 0.09, 0.15, 0.1, 0.09, 0.13, 0.1, 0.04, 0.1, 0.1, 0.15, 0.16, 0.03, 0.24, 0.06, 0.17, 0.12, 0.11, 0.13131313131313133]"
35,"[0.07920792079207921, 0.09, 0.11, 0.04, 0.09, 0.12, 0.05, 0.07, 0.1, 0.26, 0.08, 0.18, 0.08, 0.12, 0.24, 0.07, 0.1, 0.09, 0.09, 0.04, 0.06, 0.16, 0.15, 0.1, 0.18, 0.1, 0.07, 0.1, 0.08, 0.09, 0.1, 0.25, 0.13, 0.17, 0.14, 0.15, 0.11, 0.15, 0.06, 0.08, 0.22, 0.18, 0.1, 0.07, 0.11, 0.1, 0.09, 0.04, 0.1, 0.09, 0.19, 0.2, 0.19, 0.08, 0.06, 0.18, 0.07, 0.14, 0.08, 0.06, 0.11, 0.08, 0.16, 0.12, 0.1, 0.24, 0.1, 0.11, 0.15, 0.17, 0.12, 0.11, 0.1, 0.12, 0.08, 0.09, 0.22, 0.07, 0.09, 0.09, 0.15, 0.17, 0.12, 0.23, 0.09, 0.2, 0.22, 0.1, 0.11, 0.07, 0.12, 0.07, 0.1, 0.15, 0.13, 0.14, 0.11, 0.09, 0.08, 0.1717171717171717]"
36,"[0.10891089108910891, 0.12, 0.1, 0.1, 0.11, 0.17, 0.08, 0.17, 0.06, 0.11, 0.13, 0.15, 0.07, 0.12, 0.07, 0.11, 0.1, 0.24, 0.13, 0.11, 0.13, 0.08, 0.09, 0.12, 0.12, 0.12, 0.14, 0.15, 0.12, 0.09, 0.07, 0.05, 0.1, 0.12, 0.14, 0.1, 0.17, 0.06, 0.13, 0.14, 0.06, 0.09, 0.08, 0.17, 0.02, 0.14, 0.08, 0.12, 0.12, 0.09, 0.08, 0.07, 0.06, 0.11, 0.12, 0.12, 0.15, 0.06, 0.22, 0.22, 0.19, 0.16, 0.14, 0.11, 0.17, 0.08, 0.15, 0.1, 0.12, 0.17, 0.09, 0.13, 0.15, 0.12, 0.09, 0.13, 0.13, 0.13, 0.08, 0.15, 0.13, 0.1, 0.09, 0.16, 0.1, 0.09, 0.13, 0.12, 0.08, 0.1, 0.1, 0.14, 0.16, 0.03, 0.24, 0.06, 0.17, 0.13, 0.11, 0.13131313131313133]"
37,"[0.07920792079207921, 0.09, 0.11, 0.04, 0.09, 0.13, 0.05, 0.07, 0.12, 0.26, 0.08, 0.18, 0.08, 0.12, 0.24, 0.07, 0.08, 0.09, 0.13, 0.06, 0.06, 0.16, 0.15, 0.1, 0.19, 0.1, 0.07, 0.16, 0.08, 0.09, 0.1, 0.26, 0.21, 0.15, 0.16, 0.15, 0.11, 0.2, 0.06, 0.08, 0.22, 0.18, 0.14, 0.07, 0.11, 0.1, 0.09, 0.04, 0.1, 0.11, 0.21, 0.2, 0.19, 0.09, 0.06, 0.18, 0.07, 0.11, 0.08, 0.06, 0.11, 0.08, 0.16, 0.12, 0.1, 0.28, 0.1, 0.11, 0.18, 0.17, 0.12, 0.11, 0.1, 0.12, 0.08, 0.09, 0.23, 0.07, 0.09, 0.1, 0.15, 0.17, 0.12, 0.23, 0.09, 0.2, 0.28, 0.1, 0.11, 0.07, 0.12, 0.07, 0.1, 0.15, 0.13, 0.14, 0.11, 0.09, 0.08, 0.1717171717171717]"
38,"[0.1188118811881188, 0.12, 0.1, 0.1, 0.11, 0.16, 0.08, 0.2, 0.06, 0.11, 0.13, 0.15, 0.07, 0.12, 0.07, 0.11, 0.1, 0.26, 0.12, 0.11, 0.13, 0.08, 0.09, 0.12, 0.13, 0.12, 0.14, 0.15, 0.12, 0.11, 0.07, 0.05, 0.1, 0.11, 0.14, 0.1, 0.16, 0.06, 0.1, 0.14, 0.06, 0.09, 0.08, 0.17, 0.02, 0.14, 0.08, 0.12, 0.12, 0.09, 0.08, 0.07, 0.06, 0.11, 0.12, 0.12, 0.15, 0.06, 0.21, 0.22, 0.19, 0.19, 0.14, 0.14, 0.17, 0.09, 0.15, 0.1, 0.12, 0.17, 0.09, 0.13, 0.15, 0.16, 0.09, 0.13, 0.13, 0.13, 0.11, 0.15, 0.13, 0.1, 0.09, 0.15, 0.1, 0.09, 0.13, 0.08, 0.1, 0.1, 0.11, 0.14, 0.16, 0.03, 0.24, 0.06, 0.17, 0.13, 0.11, 0.13131313131313133]"
39,"[0.07920792079207921, 0.09, 0.11, 0.04, 0.09, 0.13, 0.05, 0.07, 0.14, 0.26, 0.08, 0.18, 0.08, 0.12, 0.24, 0.07, 0.1, 0.09, 0.08, 0.06, 0.06, 0.16, 0.15, 0.1, 0.21, 0.1, 0.07, 0.12, 0.08, 0.09, 0.1, 0.32, 0.21, 0.11, 0.17, 0.15, 0.11, 0.15, 0.06, 0.08, 0.22, 0.19, 0.14, 0.07, 0.11, 0.1, 0.09, 0.04, 0.1, 0.12, 0.2, 0.2, 0.18, 0.09, 0.06, 0.21, 0.07, 0.14, 0.08, 0.06, 0.16, 0.08, 0.14, 0.12, 0.1, 0.29, 0.1, 0.11, 0.18, 0.17, 0.12, 0.11, 0.1, 0.12, 0.08, 0.09, 0.22, 0.07, 0.1, 0.12, 0.15, 0.17, 0.12, 0.23, 0.09, 0.2, 0.29, 0.1, 0.11, 0.07, 0.13, 0.07, 0.1, 0.15, 0.13, 0.14, 0.11, 0.09, 0.08, 0.1717171717171717]"
40,"[0.1188118811881188, 0.12, 0.1, 0.1, 0.11, 0.17, 0.08, 0.24, 0.06, 0.11, 0.13, 0.15, 0.07, 0.12, 0.07, 0.21, 0.1, 0.29, 0.1, 0.11, 0.13, 0.08, 0.09, 0.13, 0.14, 0.13, 0.14, 0.15, 0.12, 0.17, 0.12, 0.05, 0.13, 0.11, 0.14, 0.1, 0.17, 0.06, 0.13, 0.14, 0.06, 0.09, 0.1, 0.17, 0.02, 0.14, 0.1, 0.12, 0.12, 0.09, 0.08, 0.07, 0.06, 0.11, 0.12, 0.12, 0.15, 0.06, 0.21, 0.22, 0.21, 0.18, 0.14, 0.17, 0.17, 0.13, 0.15, 0.1, 0.12, 0.17, 0.09, 0.13, 0.15, 0.13, 0.09, 0.14, 0.13, 0.13, 0.12, 0.16, 0.13, 0.1, 0.09, 0.13, 0.1, 0.09, 0.13, 0.14, 0.15, 0.12, 0.11, 0.13, 0.16, 0.03, 0.24, 0.06, 0.19, 0.13, 0.11, 0.13131313131313133]"
41,"[0.07920792079207921, 0.09, 0.11, 0.04, 0.09, 0.12, 0.05, 0.09, 0.15, 0.26, 0.08, 0.18, 0.08, 0.12, 0.24, 0.07, 0.1, 0.09, 0.13, 0.1, 0.06, 0.16, 0.14, 0.1, 0.21, 0.1, 0.07, 0.19, 0.08, 0.09, 0.1, 0.27, 0.19, 0.11, 0.16, 0.16, 0.11, 0.2, 0.06, 0.08, 0.22, 0.19, 0.16, 0.07, 0.11, 0.1, 0.09, 0.04, 0.1, 0.13, 0.19, 0.19, 0.18, 0.14, 0.06, 0.21, 0.07, 0.14, 0.08, 0.06, 0.19, 0.08, 0.14, 0.12, 0.1, 0.29, 0.11, 0.11, 0.18, 0.17, 0.13, 0.11, 0.1, 0.12, 0.08, 0.09, 0.23, 0.07, 0.1, 0.11, 0.15, 0.17, 0.12, 0.23, 0.09, 0.2, 0.31, 0.1, 0.11, 0.07, 0.19, 0.07, 0.1, 0.15, 0.13, 0.14, 0.11, 0.09, 0.08, 0.1919191919191919]"
42,"[0.1188118811881188, 0.12, 0.1, 0.1, 0.12, 0.16, 0.08, 0.26, 0.06, 0.11, 0.13, 0.15, 0.07, 0.12, 0.07, 0.21, 0.1, 0.3, 0.11, 0.11, 0.13, 0.08, 0.09, 0.14, 0.16, 0.15, 0.14, 0.15, 0.12, 0.2, 0.13, 0.06, 0.15, 0.12, 0.14, 0.11, 0.16, 0.06, 0.13, 0.14, 0.06, 0.09, 0.1, 0.17, 0.02, 0.14, 0.1, 0.12, 0.12, 0.09, 0.09, 0.12, 0.06, 0.11, 0.12, 0.12, 0.15, 0.06, 0.2, 0.22, 0.2, 0.19, 0.14, 0.17, 0.17, 0.14, 0.15, 0.1, 0.12, 0.17, 0.09, 0.13, 0.15, 0.14, 0.09, 0.14, 0.13, 0.13, 0.14, 0.15, 0.13, 0.1, 0.09, 0.14, 0.1, 0.09, 0.13, 0.08, 0.18, 0.14, 0.12, 0.12, 0.16, 0.03, 0.24, 0.08, 0.19, 0.16, 0.11, 0.13131313131313133]"
43,"[0.07920792079207921, 0.09, 0.11, 0.04, 0.09, 0.14, 0.05, 0.11, 0.15, 0.26, 0.08, 0.18, 0.08, 0.12, 0.24, 0.07, 0.08, 0.09, 0.14, 0.04, 0.06, 0.16, 0.14, 0.1, 0.21, 0.1, 0.07, 0.18, 0.08, 0.09, 0.1, 0.34, 0.19, 0.11, 0.16, 0.17, 0.12, 0.22, 0.06, 0.08, 0.22, 0.19, 0.17, 0.07, 0.11, 0.1, 0.09, 0.05, 0.1, 0.15, 0.19, 0.18, 0.18, 0.1, 0.06, 0.19, 0.07, 0.12, 0.08, 0.06, 0.19, 0.08, 0.14, 0.12, 0.1, 0.3, 0.12, 0.11, 0.2, 0.17, 0.13, 0.11, 0.1, 0.12, 0.08, 0.09, 0.23, 0.07, 0.11, 0.11, 0.15, 0.17, 0.12, 0.23, 0.09, 0.2, 0.3, 0.1, 0.11, 0.07, 0.23, 0.07, 0.1, 0.15, 0.13, 0.14, 0.15, 0.09, 0.1, 0.1919191919191919]"
44,"[0.12871287128712872, 0.14, 0.1, 0.1, 0.12, 0.15, 0.08, 0.26, 0.06, 0.11, 0.13, 0.15, 0.07, 0.12, 0.07, 0.21, 0.1, 0.25, 0.15, 0.11, 0.14, 0.08, 0.11, 0.17, 0.15, 0.16, 0.14, 0.15, 0.12, 0.19, 0.16, 0.07, 0.15, 0.08, 0.14, 0.12, 0.17, 0.06, 0.13, 0.14, 0.06, 0.09, 0.09, 0.16, 0.02, 0.14, 0.12, 0.12, 0.12, 0.09, 0.1, 0.14, 0.06, 0.11, 0.12, 0.12, 0.15, 0.06, 0.19, 0.22, 0.21, 0.2, 0.14, 0.22, 0.17, 0.15, 0.15, 0.1, 0.12, 0.17, 0.09, 0.13, 0.15, 0.13, 0.09, 0.16, 0.13, 0.13, 0.15, 0.16, 0.13, 0.1, 0.09, 0.11, 0.1, 0.09, 0.13, 0.14, 0.18, 0.17, 0.12, 0.11, 0.16, 0.03, 0.24, 0.1, 0.16, 0.16, 0.11, 0.13131313131313133]"
45,"[0.07920792079207921, 0.09, 0.11, 0.05, 0.09, 0.1, 0.05, 0.09, 0.13, 0.26, 0.08, 0.18, 0.08, 0.13, 0.24, 0.08, 0.08, 0.09, 0.14, 0.05, 0.06, 0.16, 0.14, 0.1, 0.22, 0.1, 0.07, 0.19, 0.08, 0.09, 0.1, 0.28, 0.18, 0.11, 0.17, 0.21, 0.16, 0.22, 0.06, 0.08, 0.22, 0.19, 0.16, 0.07, 0.11, 0.1, 0.09, 0.04, 0.1, 0.11, 0.19, 0.18, 0.18, 0.14, 0.06, 0.21, 0.07, 0.14, 0.08, 0.06, 0.2, 0.08, 0.14, 0.12, 0.1, 0.29, 0.12, 0.14, 0.21, 0.17, 0.14, 0.11, 0.1, 0.12, 0.08, 0.09, 0.23, 0.07, 0.12, 0.12, 0.15, 0.17, 0.12, 0.23, 0.09, 0.2, 0.3, 0.1, 0.11, 0.07, 0.24, 0.07, 0.1, 0.15, 0.15, 0.14, 0.1, 0.09, 0.12, 0.21212121212121213]"
46,"[0.13861386138613863, 0.12, 0.1, 0.1, 0.12, 0.15, 0.08, 0.26, 0.06, 0.11, 0.13, 0.15, 0.07, 0.12, 0.07, 0.22, 0.1, 0.25, 0.16, 0.11, 0.14, 0.08, 0.15, 0.2, 0.16, 0.17, 0.14, 0.15, 0.12, 0.19, 0.17, 0.08, 0.14, 0.08, 0.14, 0.13, 0.17, 0.06, 0.13, 0.14, 0.06, 0.09, 0.11, 0.17, 0.02, 0.14, 0.13, 0.12, 0.12, 0.09, 0.14, 0.15, 0.06, 0.11, 0.12, 0.12, 0.16, 0.06, 0.19, 0.22, 0.22, 0.2, 0.14, 0.26, 0.15, 0.12, 0.15, 0.14, 0.12, 0.17, 0.09, 0.13, 0.15, 0.14, 0.09, 0.16, 0.13, 0.13, 0.17, 0.16, 0.13, 0.1, 0.09, 0.09, 0.1, 0.09, 0.13, 0.12, 0.17, 0.17, 0.13, 0.11, 0.16, 0.03, 0.24, 0.12, 0.26, 0.15, 0.11, 0.15151515151515152]"
