eigenvector_centrality,[]
10,"[0.06930693069306931, 0.12, 0.1, 0.04, 0.15, 0.12, 0.09, 0.11, 0.06, 0.11, 0.12, 0.15, 0.12, 0.12, 0.07, 0.11, 0.1, 0.09, 0.07, 0.11, 0.08, 0.11, 0.09, 0.12, 0.12, 0.05, 0.14, 0.06, 0.12, 0.09, 0.07, 0.16, 0.07, 0.11, 0.12, 0.1, 0.11, 0.09, 0.1, 0.08, 0.13, 0.09, 0.08, 0.1, 0.09, 0.08, 0.1, 0.08, 0.1, 0.08, 0.03, 0.07, 0.06, 0.08, 0.07, 0.11, 0.07, 0.06, 0.08, 0.06, 0.11, 0.14, 0.14, 0.11, 0.13, 0.09, 0.15, 0.1, 0.12, 0.08, 0.09, 0.08, 0.15, 0.17, 0.09, 0.09, 0.13, 0.15, 0.08, 0.09, 0.07, 0.07, 0.15, 0.14, 0.06, 0.07, 0.09, 0.13, 0.11, 0.09, 0.1, 0.1, 0.06, 0.12, 0.06, 0.06, 0.06, 0.05, 0.09, 0.13131313131313133]"
11,"[0.07920792079207921, 0.09, 0.11, 0.04, 0.07, 0.12, 0.09, 0.11, 0.08, 0.12, 0.12, 0.07, 0.12, 0.1, 0.15, 0.07, 0.1, 0.09, 0.12, 0.03, 0.06, 0.16, 0.12, 0.1, 0.12, 0.05, 0.14, 0.06, 0.1, 0.09, 0.1, 0.11, 0.07, 0.11, 0.12, 0.1, 0.11, 0.09, 0.06, 0.08, 0.13, 0.14, 0.1, 0.1, 0.11, 0.06, 0.1, 0.08, 0.1, 0.09, 0.03, 0.11, 0.06, 0.08, 0.06, 0.11, 0.07, 0.11, 0.08, 0.06, 0.11, 0.07, 0.14, 0.12, 0.13, 0.09, 0.1, 0.1, 0.12, 0.09, 0.09, 0.05, 0.12, 0.12, 0.08, 0.09, 0.13, 0.15, 0.08, 0.09, 0.14, 0.17, 0.15, 0.14, 0.09, 0.14, 0.2, 0.13, 0.11, 0.07, 0.12, 0.07, 0.06, 0.12, 0.13, 0.06, 0.11, 0.1, 0.09, 0.06060606060606061]"
12,"[0.06930693069306931, 0.12, 0.1, 0.04, 0.19, 0.12, 0.09, 0.11, 0.06, 0.11, 0.12, 0.15, 0.13, 0.12, 0.07, 0.11, 0.1, 0.09, 0.07, 0.11, 0.13, 0.13, 0.09, 0.12, 0.12, 0.05, 0.14, 0.06, 0.12, 0.09, 0.07, 0.11, 0.09, 0.11, 0.12, 0.1, 0.11, 0.09, 0.1, 0.08, 0.06, 0.09, 0.08, 0.1, 0.02, 0.08, 0.1, 0.19, 0.1, 0.08, 0.03, 0.07, 0.06, 0.08, 0.05, 0.11, 0.11, 0.06, 0.08, 0.06, 0.11, 0.14, 0.14, 0.11, 0.13, 0.09, 0.15, 0.1, 0.12, 0.08, 0.09, 0.07, 0.15, 0.18, 0.09, 0.09, 0.13, 0.15, 0.08, 0.09, 0.07, 0.07, 0.15, 0.14, 0.07, 0.07, 0.08, 0.13, 0.14, 0.09, 0.1, 0.1, 0.06, 0.12, 0.06, 0.06, 0.06, 0.05, 0.09, 0.13131313131313133]"
13,"[0.07920792079207921, 0.09, 0.11, 0.04, 0.07, 0.12, 0.05, 0.11, 0.12, 0.12, 0.12, 0.15, 0.17, 0.1, 0.15, 0.07, 0.1, 0.09, 0.14, 0.03, 0.06, 0.16, 0.12, 0.1, 0.12, 0.05, 0.14, 0.06, 0.11, 0.09, 0.1, 0.11, 0.07, 0.19, 0.12, 0.1, 0.11, 0.09, 0.06, 0.08, 0.13, 0.14, 0.1, 0.1, 0.11, 0.06, 0.09, 0.08, 0.1, 0.09, 0.11, 0.11, 0.06, 0.08, 0.06, 0.11, 0.07, 0.1, 0.07, 0.06, 0.11, 0.16, 0.14, 0.12, 0.13, 0.09, 0.1, 0.1, 0.12, 0.09, 0.09, 0.05, 0.12, 0.12, 0.08, 0.09, 0.14, 0.15, 0.08, 0.09, 0.14, 0.17, 0.15, 0.14, 0.09, 0.13, 0.14, 0.13, 0.11, 0.1, 0.12, 0.07, 0.06, 0.15, 0.13, 0.06, 0.11, 0.16, 0.09, 0.06060606060606061]"
14,"[0.06930693069306931, 0.12, 0.1, 0.1, 0.12, 0.12, 0.09, 0.11, 0.06, 0.11, 0.13, 0.15, 0.12, 0.12, 0.07, 0.11, 0.1, 0.09, 0.13, 0.11, 0.13, 0.13, 0.09, 0.12, 0.12, 0.05, 0.14, 0.11, 0.12, 0.09, 0.07, 0.11, 0.1, 0.08, 0.2, 0.1, 0.12, 0.09, 0.1, 0.14, 0.06, 0.09, 0.08, 0.1, 0.02, 0.08, 0.09, 0.12, 0.1, 0.09, 0.03, 0.07, 0.06, 0.08, 0.05, 0.11, 0.15, 0.06, 0.08, 0.11, 0.13, 0.07, 0.14, 0.11, 0.13, 0.09, 0.15, 0.1, 0.12, 0.08, 0.09, 0.07, 0.15, 0.13, 0.09, 0.13, 0.13, 0.15, 0.08, 0.13, 0.09, 0.07, 0.15, 0.12, 0.13, 0.07, 0.08, 0.13, 0.04, 0.16, 0.1, 0.18, 0.06, 0.12, 0.06, 0.06, 0.06, 0.05, 0.09, 0.13131313131313133]"
15,"[0.07920792079207921, 0.09, 0.11, 0.04, 0.07, 0.12, 0.05, 0.08, 0.06, 0.12, 0.12, 0.17, 0.08, 0.28, 0.15, 0.07, 0.12, 0.09, 0.12, 0.03, 0.06, 0.16, 0.12, 0.1, 0.12, 0.05, 0.14, 0.06, 0.11, 0.09, 0.1, 0.11, 0.07, 0.12, 0.12, 0.09, 0.11, 0.09, 0.06, 0.08, 0.13, 0.14, 0.1, 0.07, 0.11, 0.06, 0.09, 0.18, 0.1, 0.09, 0.11, 0.11, 0.06, 0.08, 0.06, 0.11, 0.07, 0.1, 0.08, 0.06, 0.11, 0.08, 0.14, 0.12, 0.1, 0.09, 0.1, 0.11, 0.12, 0.09, 0.12, 0.05, 0.12, 0.18, 0.08, 0.15, 0.22, 0.07, 0.08, 0.09, 0.14, 0.17, 0.12, 0.14, 0.09, 0.17, 0.08, 0.1, 0.11, 0.07, 0.12, 0.07, 0.06, 0.15, 0.13, 0.06, 0.11, 0.12, 0.11, 0.1919191919191919]"
16,"[0.06930693069306931, 0.12, 0.1, 0.1, 0.11, 0.12, 0.09, 0.11, 0.06, 0.11, 0.13, 0.15, 0.04, 0.12, 0.07, 0.11, 0.1, 0.09, 0.13, 0.11, 0.13, 0.13, 0.09, 0.12, 0.16, 0.12, 0.14, 0.11, 0.12, 0.13, 0.07, 0.12, 0.1, 0.08, 0.09, 0.13, 0.12, 0.06, 0.1, 0.08, 0.06, 0.09, 0.08, 0.1, 0.02, 0.08, 0.08, 0.12, 0.2, 0.09, 0.08, 0.07, 0.12, 0.09, 0.05, 0.12, 0.15, 0.06, 0.08, 0.11, 0.13, 0.14, 0.19, 0.11, 0.11, 0.09, 0.15, 0.1, 0.12, 0.03, 0.09, 0.07, 0.15, 0.12, 0.09, 0.13, 0.13, 0.15, 0.08, 0.07, 0.13, 0.16, 0.15, 0.06, 0.1, 0.07, 0.13, 0.13, 0.17, 0.1, 0.1, 0.16, 0.11, 0.03, 0.12, 0.13, 0.06, 0.05, 0.09, 0.13131313131313133]"
17,"[0.07920792079207921, 0.09, 0.11, 0.04, 0.07, 0.11, 0.05, 0.07, 0.15, 0.26, 0.13, 0.13, 0.12, 0.12, 0.15, 0.07, 0.09, 0.09, 0.08, 0.03, 0.06, 0.16, 0.12, 0.1, 0.13, 0.1, 0.15, 0.06, 0.08, 0.09, 0.1, 0.11, 0.07, 0.12, 0.18, 0.08, 0.11, 0.09, 0.06, 0.08, 0.13, 0.14, 0.1, 0.07, 0.11, 0.1, 0.09, 0.08, 0.06, 0.13, 0.03, 0.11, 0.08, 0.08, 0.06, 0.11, 0.07, 0.11, 0.11, 0.14, 0.05, 0.08, 0.06, 0.12, 0.13, 0.09, 0.1, 0.11, 0.12, 0.09, 0.13, 0.05, 0.12, 0.12, 0.08, 0.15, 0.14, 0.07, 0.08, 0.09, 0.14, 0.17, 0.12, 0.14, 0.09, 0.13, 0.05, 0.1, 0.11, 0.07, 0.12, 0.07, 0.06, 0.15, 0.13, 0.14, 0.11, 0.09, 0.08, 0.16161616161616163]"
18,"[0.06930693069306931, 0.11, 0.1, 0.1, 0.11, 0.12, 0.09, 0.11, 0.06, 0.11, 0.13, 0.15, 0.07, 0.12, 0.07, 0.11, 0.1, 0.09, 0.13, 0.11, 0.13, 0.13, 0.09, 0.12, 0.12, 0.12, 0.11, 0.11, 0.12, 0.07, 0.07, 0.12, 0.1, 0.08, 0.09, 0.15, 0.24, 0.06, 0.1, 0.23, 0.06, 0.09, 0.08, 0.1, 0.02, 0.08, 0.08, 0.12, 0.12, 0.09, 0.08, 0.07, 0.12, 0.12, 0.05, 0.11, 0.15, 0.06, 0.08, 0.11, 0.13, 0.13, 0.11, 0.11, 0.18, 0.09, 0.15, 0.1, 0.12, 0.03, 0.09, 0.13, 0.15, 0.06, 0.09, 0.13, 0.13, 0.15, 0.08, 0.07, 0.13, 0.1, 0.15, 0.12, 0.1, 0.07, 0.13, 0.13, 0.19, 0.1, 0.1, 0.12, 0.11, 0.03, 0.12, 0.06, 0.06, 0.05, 0.09, 0.13131313131313133]"
19,"[0.07920792079207921, 0.09, 0.11, 0.04, 0.07, 0.11, 0.05, 0.07, 0.08, 0.26, 0.08, 0.13, 0.12, 0.12, 0.15, 0.07, 0.09, 0.09, 0.08, 0.03, 0.06, 0.16, 0.12, 0.1, 0.13, 0.1, 0.07, 0.06, 0.08, 0.09, 0.1, 0.14, 0.07, 0.11, 0.14, 0.15, 0.11, 0.09, 0.06, 0.08, 0.19, 0.14, 0.1, 0.07, 0.11, 0.1, 0.09, 0.15, 0.1, 0.16, 0.03, 0.11, 0.2, 0.08, 0.06, 0.16, 0.07, 0.12, 0.11, 0.19, 0.05, 0.08, 0.06, 0.12, 0.1, 0.09, 0.1, 0.11, 0.12, 0.09, 0.12, 0.11, 0.12, 0.12, 0.08, 0.15, 0.23, 0.07, 0.08, 0.09, 0.14, 0.17, 0.12, 0.14, 0.09, 0.13, 0.05, 0.1, 0.11, 0.07, 0.12, 0.07, 0.06, 0.15, 0.13, 0.14, 0.11, 0.09, 0.08, 0.23232323232323232]"
