betweeness_centrality,[9. 8.]
0,"[0.08, 0.099, 0.109, 0.093, 0.091, 0.095, 0.114, 0.092, 0.098, 0.12]"
1,"[0.097, 0.104, 0.083, 0.122, 0.1, 0.105, 0.107, 0.118, 0.106, 0.091]"
2,"[0.096, 0.101, 0.109, 0.122, 0.1, 0.105, 0.089, 0.098, 0.106, 0.103]"
3,"[0.102, 0.126, 0.096, 0.09, 0.1, 0.112, 0.089, 0.098, 0.103, 0.106]"
4,"[0.102, 0.099, 0.107, 0.173, 0.1, 0.105, 0.089, 0.153, 0.098, 0.138]"
5,"[0.102, 0.099, 0.106, 0.166, 0.117, 0.136, 0.089, 0.224, 0.098, 0.091]"
6,"[0.12, 0.099, 0.196, 0.172, 0.1, 0.105, 0.092, 0.137, 0.152, 0.103]"
7,"[0.102, 0.085, 0.106, 0.136, 0.094, 0.102, 0.117, 0.113, 0.098, 0.091]"
8,"[0.088, 0.099, 0.096, 0.201, 0.1, 0.105, 0.092, 0.129, 0.1, 0.103]"
9,"[0.137, 0.085, 0.106, 0.117, 0.151, 0.102, 0.134, 0.113, 0.222, 0.091]"
10,"[0.088, 0.099, 0.106, 0.173, 0.1, 0.105, 0.092, 0.156, 0.1, 0.103]"
11,"[0.102, 0.085, 0.106, 0.117, 0.136, 0.102, 0.089, 0.113, 0.208, 0.091]"
12,"[0.088, 0.099, 0.096, 0.229, 0.1, 0.105, 0.092, 0.147, 0.143, 0.103]"
13,"[0.102, 0.085, 0.14, 0.117, 0.149, 0.102, 0.089, 0.113, 0.242, 0.091]"
14,"[0.088, 0.099, 0.096, 0.277, 0.101, 0.105, 0.092, 0.147, 0.202, 0.137]"
15,"[0.102, 0.085, 0.164, 0.118, 0.241, 0.148, 0.089, 0.136, 0.254, 0.091]"
16,"[0.089, 0.099, 0.096, 0.254, 0.105, 0.105, 0.104, 0.12, 0.251, 0.281]"
17,"[0.11, 0.103, 0.225, 0.256, 0.229, 0.118, 0.089, 0.24, 0.27, 0.091]"
18,"[0.14, 0.099, 0.096, 0.29, 0.107, 0.105, 0.138, 0.12, 0.207, 0.236]"
19,"[0.139, 0.127, 0.247, 0.265, 0.212, 0.176, 0.089, 0.259, 0.271, 0.091]"
20,"[0.154, 0.099, 0.129, 0.3, 0.114, 0.107, 0.145, 0.131, 0.211, 0.227]"
21,"[0.167, 0.127, 0.244, 0.295, 0.204, 0.202, 0.089, 0.264, 0.27, 0.091]"
22,"[0.183, 0.103, 0.225, 0.314, 0.126, 0.132, 0.135, 0.149, 0.215, 0.237]"
23,"[0.294, 0.113, 0.262, 0.294, 0.202, 0.227, 0.128, 0.263, 0.27, 0.149]"
24,"[0.209, 0.195, 0.271, 0.323, 0.142, 0.207, 0.121, 0.191, 0.215, 0.256]"
25,"[0.337, 0.137, 0.263, 0.291, 0.201, 0.254, 0.176, 0.284, 0.272, 0.3]"
26,"[0.258, 0.276, 0.273, 0.333, 0.176, 0.289, 0.116, 0.227, 0.202, 0.213]"
27,"[0.369, 0.157, 0.199, 0.181, 0.199, 0.17, 0.303, 0.224, 0.244, 0.164]"
28,"[0.234, 0.317, 0.249, 0.259, 0.16, 0.269, 0.262, 0.258, 0.161, 0.176]"
29,"[0.359, 0.186, 0.186, 0.162, 0.199, 0.187, 0.288, 0.31, 0.199, 0.154]"
30,"[0.246, 0.319, 0.338, 0.271, 0.32, 0.369, 0.204, 0.177, 0.169, 0.184]"
31,"[0.3, 0.239, 0.187, 0.159, 0.199, 0.192, 0.251, 0.278, 0.308, 0.273]"
32,"[0.219, 0.305, 0.31, 0.262, 0.356, 0.316, 0.206, 0.168, 0.189, 0.198]"
33,"[0.418, 0.185, 0.186, 0.174, 0.22, 0.197, 0.328, 0.351, 0.213, 0.245]"
34,"[0.221, 0.379, 0.396, 0.23, 0.38, 0.277, 0.315, 0.189, 0.208, 0.226]"
35,"[0.427, 0.202, 0.248, 0.255, 0.342, 0.265, 0.422, 0.356, 0.29, 0.196]"
36,"[0.339, 0.386, 0.361, 0.238, 0.367, 0.352, 0.297, 0.288, 0.34, 0.319]"
37,"[0.387, 0.244, 0.184, 0.335, 0.355, 0.195, 0.399, 0.279, 0.278, 0.223]"
38,"[0.274, 0.384, 0.38, 0.15, 0.412, 0.341, 0.202, 0.337, 0.256, 0.265]"
39,"[0.439, 0.194, 0.205, 0.288, 0.323, 0.228, 0.433, 0.285, 0.277, 0.332]"
40,"[0.252, 0.427, 0.408, 0.185, 0.384, 0.336, 0.214, 0.353, 0.26, 0.281]"
41,"[0.43, 0.184, 0.255, 0.34, 0.323, 0.285, 0.447, 0.328, 0.269, 0.325]"
42,"[0.27, 0.403, 0.354, 0.222, 0.365, 0.315, 0.246, 0.424, 0.294, 0.285]"
43,"[0.397, 0.201, 0.281, 0.356, 0.36, 0.289, 0.43, 0.268, 0.277, 0.352]"
44,"[0.302, 0.375, 0.356, 0.243, 0.413, 0.347, 0.308, 0.404, 0.287, 0.286]"
45,"[0.392, 0.256, 0.338, 0.344, 0.398, 0.316, 0.407, 0.247, 0.282, 0.365]"
46,"[0.345, 0.356, 0.373, 0.252, 0.417, 0.374, 0.351, 0.378, 0.276, 0.297]"
47,"[0.386, 0.291, 0.399, 0.342, 0.44, 0.381, 0.39, 0.254, 0.338, 0.369]"
48,"[0.423, 0.341, 0.376, 0.256, 0.391, 0.38, 0.371, 0.369, 0.308, 0.368]"
49,"[0.395, 0.384, 0.383, 0.34, 0.432, 0.359, 0.383, 0.306, 0.345, 0.369]"
50,"[0.437, 0.355, 0.376, 0.26, 0.38, 0.378, 0.422, 0.364, 0.398, 0.421]"
51,"[0.389, 0.264, 0.302, 0.394, 0.385, 0.331, 0.357, 0.364, 0.341, 0.365]"
52,"[0.386, 0.339, 0.399, 0.264, 0.407, 0.4, 0.452, 0.367, 0.275, 0.298]"
53,"[0.371, 0.247, 0.256, 0.324, 0.315, 0.275, 0.312, 0.394, 0.348, 0.407]"
54,"[0.32, 0.392, 0.43, 0.315, 0.43, 0.451, 0.383, 0.374, 0.257, 0.276]"
55,"[0.41, 0.222, 0.223, 0.274, 0.287, 0.266, 0.312, 0.38, 0.372, 0.428]"
56,"[0.25, 0.394, 0.428, 0.349, 0.442, 0.439, 0.383, 0.38, 0.237, 0.267]"
57,"[0.376, 0.216, 0.228, 0.242, 0.312, 0.239, 0.366, 0.414, 0.36, 0.383]"
58,"[0.273, 0.367, 0.381, 0.355, 0.437, 0.417, 0.378, 0.34, 0.191, 0.287]"
59,"[0.368, 0.3, 0.279, 0.207, 0.346, 0.24, 0.386, 0.367, 0.363, 0.378]"
60,"[0.277, 0.332, 0.351, 0.353, 0.414, 0.403, 0.382, 0.315, 0.201, 0.272]"
61,"[0.357, 0.356, 0.296, 0.219, 0.335, 0.31, 0.384, 0.369, 0.339, 0.379]"
62,"[0.26, 0.299, 0.337, 0.327, 0.384, 0.384, 0.384, 0.308, 0.267, 0.272]"
63,"[0.342, 0.335, 0.279, 0.264, 0.319, 0.31, 0.349, 0.359, 0.281, 0.342]"
64,"[0.258, 0.28, 0.298, 0.263, 0.35, 0.34, 0.312, 0.303, 0.27, 0.308]"
65,"[0.333, 0.31, 0.262, 0.276, 0.292, 0.302, 0.355, 0.378, 0.279, 0.312]"
66,"[0.255, 0.27, 0.276, 0.258, 0.354, 0.314, 0.3, 0.316, 0.264, 0.27]"
67,"[0.337, 0.275, 0.255, 0.277, 0.29, 0.302, 0.388, 0.406, 0.281, 0.339]"
68,"[0.24, 0.275, 0.275, 0.266, 0.365, 0.318, 0.248, 0.285, 0.244, 0.271]"
69,"[0.323, 0.252, 0.244, 0.273, 0.271, 0.283, 0.393, 0.377, 0.291, 0.351]"
70,"[0.239, 0.319, 0.285, 0.267, 0.359, 0.337, 0.248, 0.276, 0.231, 0.293]"
71,"[0.342, 0.257, 0.244, 0.271, 0.275, 0.258, 0.37, 0.368, 0.312, 0.343]"
72,"[0.245, 0.318, 0.292, 0.27, 0.368, 0.34, 0.245, 0.289, 0.243, 0.313]"
73,"[0.339, 0.271, 0.252, 0.29, 0.278, 0.253, 0.366, 0.364, 0.324, 0.347]"
74,"[0.245, 0.324, 0.292, 0.298, 0.367, 0.358, 0.235, 0.287, 0.254, 0.323]"
75,"[0.342, 0.294, 0.25, 0.299, 0.273, 0.254, 0.359, 0.358, 0.337, 0.342]"
76,"[0.248, 0.329, 0.303, 0.305, 0.372, 0.362, 0.236, 0.289, 0.252, 0.346]"
77,"[0.354, 0.268, 0.249, 0.287, 0.269, 0.248, 0.369, 0.354, 0.341, 0.348]"
78,"[0.242, 0.329, 0.316, 0.306, 0.37, 0.368, 0.231, 0.285, 0.229, 0.326]"
79,"[0.361, 0.251, 0.239, 0.257, 0.255, 0.234, 0.381, 0.365, 0.34, 0.355]"
80,"[0.226, 0.341, 0.337, 0.307, 0.371, 0.369, 0.248, 0.292, 0.223, 0.255]"
81,"[0.367, 0.241, 0.231, 0.239, 0.248, 0.233, 0.369, 0.355, 0.343, 0.357]"
82,"[0.231, 0.344, 0.328, 0.314, 0.377, 0.371, 0.318, 0.332, 0.213, 0.242]"
83,"[0.368, 0.262, 0.227, 0.223, 0.256, 0.241, 0.365, 0.362, 0.336, 0.35]"
84,"[0.229, 0.332, 0.33, 0.305, 0.378, 0.373, 0.345, 0.345, 0.216, 0.236]"
85,"[0.365, 0.269, 0.236, 0.223, 0.266, 0.249, 0.367, 0.364, 0.342, 0.349]"
86,"[0.256, 0.332, 0.32, 0.303, 0.375, 0.378, 0.364, 0.352, 0.229, 0.225]"
87,"[0.359, 0.279, 0.232, 0.223, 0.276, 0.266, 0.365, 0.383, 0.345, 0.345]"
88,"[0.267, 0.329, 0.307, 0.284, 0.373, 0.373, 0.355, 0.352, 0.232, 0.22]"
89,"[0.352, 0.286, 0.234, 0.228, 0.281, 0.268, 0.365, 0.379, 0.34, 0.332]"
90,"[0.273, 0.328, 0.296, 0.283, 0.379, 0.371, 0.35, 0.352, 0.24, 0.223]"
91,"[0.361, 0.289, 0.237, 0.232, 0.293, 0.273, 0.368, 0.382, 0.336, 0.336]"
92,"[0.291, 0.329, 0.298, 0.287, 0.381, 0.374, 0.336, 0.347, 0.241, 0.226]"
93,"[0.362, 0.29, 0.239, 0.233, 0.295, 0.272, 0.366, 0.364, 0.336, 0.338]"
94,"[0.285, 0.33, 0.309, 0.289, 0.377, 0.373, 0.313, 0.34, 0.239, 0.224]"
95,"[0.36, 0.28, 0.239, 0.231, 0.277, 0.267, 0.366, 0.359, 0.336, 0.339]"
96,"[0.268, 0.332, 0.312, 0.286, 0.376, 0.371, 0.305, 0.328, 0.236, 0.214]"
97,"[0.36, 0.271, 0.23, 0.226, 0.27, 0.271, 0.367, 0.361, 0.339, 0.337]"
98,"[0.263, 0.333, 0.32, 0.296, 0.381, 0.375, 0.298, 0.33, 0.236, 0.212]"
99,"[0.365, 0.257, 0.231, 0.229, 0.273, 0.267, 0.372, 0.365, 0.343, 0.341]"
