in_deg_centrality,[10  3  0  8 14 17 25 24 16]
10,"[tensor(0.0307, device='cuda:0'), tensor(0.0108, device='cuda:0'), tensor(0.0147, device='cuda:0'), tensor(0.0448, device='cuda:0'), tensor(0.0145, device='cuda:0'), tensor(0.0105, device='cuda:0'), tensor(0.0156, device='cuda:0'), tensor(0.0105, device='cuda:0'), tensor(0.0144, device='cuda:0'), tensor(0.0140, device='cuda:0'), tensor(0.0320, device='cuda:0'), tensor(0.0116, device='cuda:0'), tensor(0.0111, device='cuda:0'), tensor(0.0131, device='cuda:0'), tensor(0.0130, device='cuda:0'), tensor(0.0101, device='cuda:0'), tensor(0.0120, device='cuda:0'), tensor(0.0112, device='cuda:0'), tensor(0.0105, device='cuda:0'), tensor(0.0125, device='cuda:0'), tensor(0.0122, device='cuda:0'), tensor(0.0103, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0102, device='cuda:0'), tensor(0.0110, device='cuda:0'), tensor(0.0106, device='cuda:0'), tensor(0.0112, device='cuda:0'), tensor(0.0155, device='cuda:0'), tensor(0.0105, device='cuda:0'), tensor(0.0112, device='cuda:0'), tensor(0.0139, device='cuda:0'), tensor(0.0103, device='cuda:0'), tensor(0.0156, device='cuda:0'), tensor(0.0108, device='cuda:0'), tensor(0.0200, device='cuda:0'), tensor(0.0105, device='cuda:0'), tensor(0.0102, device='cuda:0'), tensor(0.0102, device='cuda:0'), tensor(0.0138, device='cuda:0'), tensor(0.0105, device='cuda:0'), tensor(0.0161, device='cuda:0'), tensor(0.0147, device='cuda:0'), tensor(0.0187, device='cuda:0'), tensor(0.0101, device='cuda:0'), tensor(0.0110, device='cuda:0')]"
11,"[tensor(0.0155, device='cuda:0'), tensor(0.0147, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0150, device='cuda:0'), tensor(0.0935, device='cuda:0'), tensor(0.0126, device='cuda:0'), tensor(0.0144, device='cuda:0'), tensor(0.0134, device='cuda:0'), tensor(0.0944, device='cuda:0'), tensor(0.0122, device='cuda:0'), tensor(0.0133, device='cuda:0'), tensor(0.0123, device='cuda:0'), tensor(0.0135, device='cuda:0'), tensor(0.0522, device='cuda:0'), tensor(0.0426, device='cuda:0'), tensor(0.0118, device='cuda:0'), tensor(0.0139, device='cuda:0'), tensor(0.0133, device='cuda:0'), tensor(0.0123, device='cuda:0'), tensor(0.0129, device='cuda:0'), tensor(0.0147, device='cuda:0'), tensor(0.0101, device='cuda:0'), tensor(0.0117, device='cuda:0'), tensor(0.0115, device='cuda:0'), tensor(0.0124, device='cuda:0'), tensor(0.0122, device='cuda:0'), tensor(0.0119, device='cuda:0'), tensor(0.0118, device='cuda:0'), tensor(0.0129, device='cuda:0'), tensor(0.0124, device='cuda:0'), tensor(0.0160, device='cuda:0'), tensor(0.0108, device='cuda:0'), tensor(0.0116, device='cuda:0'), tensor(0.0119, device='cuda:0'), tensor(0.0144, device='cuda:0'), tensor(0.0108, device='cuda:0'), tensor(0.0112, device='cuda:0'), tensor(0.0109, device='cuda:0'), tensor(0.0164, device='cuda:0'), tensor(0.0115, device='cuda:0'), tensor(0.0133, device='cuda:0'), tensor(0.0133, device='cuda:0'), tensor(0.0135, device='cuda:0'), tensor(0.0106, device='cuda:0'), tensor(0.0108, device='cuda:0')]"
12,"[tensor(0.0169, device='cuda:0'), tensor(0.0106, device='cuda:0'), tensor(0.0152, device='cuda:0'), tensor(0.0436, device='cuda:0'), tensor(0.0157, device='cuda:0'), tensor(0.0103, device='cuda:0'), tensor(0.0128, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0182, device='cuda:0'), tensor(0.0138, device='cuda:0'), tensor(0.0409, device='cuda:0'), tensor(0.0113, device='cuda:0'), tensor(0.0108, device='cuda:0'), tensor(0.0145, device='cuda:0'), tensor(0.0179, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0114, device='cuda:0'), tensor(0.0114, device='cuda:0'), tensor(0.0115, device='cuda:0'), tensor(0.0140, device='cuda:0'), tensor(0.0131, device='cuda:0'), tensor(0.0106, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0109, device='cuda:0'), tensor(0.0108, device='cuda:0'), tensor(0.0107, device='cuda:0'), tensor(0.0107, device='cuda:0'), tensor(0.0168, device='cuda:0'), tensor(0.0109, device='cuda:0'), tensor(0.0113, device='cuda:0'), tensor(0.0122, device='cuda:0'), tensor(0.0106, device='cuda:0'), tensor(0.0151, device='cuda:0'), tensor(0.0110, device='cuda:0'), tensor(0.0140, device='cuda:0'), tensor(0.0113, device='cuda:0'), tensor(0.0102, device='cuda:0'), tensor(0.0106, device='cuda:0'), tensor(0.0134, device='cuda:0'), tensor(0.0108, device='cuda:0'), tensor(0.0124, device='cuda:0'), tensor(0.0138, device='cuda:0'), tensor(0.0180, device='cuda:0'), tensor(0.0106, device='cuda:0'), tensor(0.0117, device='cuda:0')]"
13,"[tensor(0.0178, device='cuda:0'), tensor(0.0117, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0156, device='cuda:0'), tensor(0.0502, device='cuda:0'), tensor(0.0110, device='cuda:0'), tensor(0.0133, device='cuda:0'), tensor(0.0133, device='cuda:0'), tensor(0.0627, device='cuda:0'), tensor(0.0129, device='cuda:0'), tensor(0.0149, device='cuda:0'), tensor(0.0125, device='cuda:0'), tensor(0.0115, device='cuda:0'), tensor(0.0706, device='cuda:0'), tensor(0.0851, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0127, device='cuda:0'), tensor(0.0121, device='cuda:0'), tensor(0.0107, device='cuda:0'), tensor(0.0135, device='cuda:0'), tensor(0.0135, device='cuda:0'), tensor(0.0103, device='cuda:0'), tensor(0.0103, device='cuda:0'), tensor(0.0106, device='cuda:0'), tensor(0.0115, device='cuda:0'), tensor(0.0120, device='cuda:0'), tensor(0.0115, device='cuda:0'), tensor(0.0119, device='cuda:0'), tensor(0.0106, device='cuda:0'), tensor(0.0115, device='cuda:0'), tensor(0.0126, device='cuda:0'), tensor(0.0099, device='cuda:0'), tensor(0.0132, device='cuda:0'), tensor(0.0109, device='cuda:0'), tensor(0.0157, device='cuda:0'), tensor(0.0106, device='cuda:0'), tensor(0.0103, device='cuda:0'), tensor(0.0108, device='cuda:0'), tensor(0.0174, device='cuda:0'), tensor(0.0105, device='cuda:0'), tensor(0.0120, device='cuda:0'), tensor(0.0151, device='cuda:0'), tensor(0.0170, device='cuda:0'), tensor(0.0101, device='cuda:0'), tensor(0.0103, device='cuda:0')]"
14,"[tensor(0.0132, device='cuda:0'), tensor(0.0113, device='cuda:0'), tensor(0.0144, device='cuda:0'), tensor(0.0216, device='cuda:0'), tensor(0.0194, device='cuda:0'), tensor(0.0107, device='cuda:0'), tensor(0.0121, device='cuda:0'), tensor(0.0116, device='cuda:0'), tensor(0.0229, device='cuda:0'), tensor(0.0155, device='cuda:0'), tensor(0.0160, device='cuda:0'), tensor(0.0130, device='cuda:0'), tensor(0.0120, device='cuda:0'), tensor(0.0207, device='cuda:0'), tensor(0.0152, device='cuda:0'), tensor(0.0111, device='cuda:0'), tensor(0.0117, device='cuda:0'), tensor(0.0116, device='cuda:0'), tensor(0.0119, device='cuda:0'), tensor(0.0120, device='cuda:0'), tensor(0.0148, device='cuda:0'), tensor(0.0105, device='cuda:0'), tensor(0.0109, device='cuda:0'), tensor(0.0109, device='cuda:0'), tensor(0.0124, device='cuda:0'), tensor(0.0116, device='cuda:0'), tensor(0.0111, device='cuda:0'), tensor(0.0165, device='cuda:0'), tensor(0.0117, device='cuda:0'), tensor(0.0122, device='cuda:0'), tensor(0.0148, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0142, device='cuda:0'), tensor(0.0125, device='cuda:0'), tensor(0.0163, device='cuda:0'), tensor(0.0110, device='cuda:0'), tensor(0.0109, device='cuda:0'), tensor(0.0115, device='cuda:0'), tensor(0.0129, device='cuda:0'), tensor(0.0110, device='cuda:0'), tensor(0.0122, device='cuda:0'), tensor(0.0145, device='cuda:0'), tensor(0.0201, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0126, device='cuda:0')]"
15,"[tensor(0.0243, device='cuda:0'), tensor(0.0111, device='cuda:0'), tensor(0.0106, device='cuda:0'), tensor(0.0167, device='cuda:0'), tensor(0.0227, device='cuda:0'), tensor(0.0117, device='cuda:0'), tensor(0.0138, device='cuda:0'), tensor(0.0112, device='cuda:0'), tensor(0.0169, device='cuda:0'), tensor(0.0115, device='cuda:0'), tensor(0.0230, device='cuda:0'), tensor(0.0110, device='cuda:0'), tensor(0.0105, device='cuda:0'), tensor(0.0280, device='cuda:0'), tensor(0.0163, device='cuda:0'), tensor(0.0106, device='cuda:0'), tensor(0.0109, device='cuda:0'), tensor(0.0113, device='cuda:0'), tensor(0.0102, device='cuda:0'), tensor(0.0148, device='cuda:0'), tensor(0.0144, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0103, device='cuda:0'), tensor(0.0110, device='cuda:0'), tensor(0.0106, device='cuda:0'), tensor(0.0109, device='cuda:0'), tensor(0.0112, device='cuda:0'), tensor(0.0149, device='cuda:0'), tensor(0.0103, device='cuda:0'), tensor(0.0105, device='cuda:0'), tensor(0.0147, device='cuda:0'), tensor(0.0101, device='cuda:0'), tensor(0.0135, device='cuda:0'), tensor(0.0106, device='cuda:0'), tensor(0.0133, device='cuda:0'), tensor(0.0103, device='cuda:0'), tensor(0.0103, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0198, device='cuda:0'), tensor(0.0102, device='cuda:0'), tensor(0.0136, device='cuda:0'), tensor(0.0120, device='cuda:0'), tensor(0.0137, device='cuda:0'), tensor(0.0103, device='cuda:0'), tensor(0.0103, device='cuda:0')]"
16,"[tensor(0.0110, device='cuda:0'), tensor(0.0120, device='cuda:0'), tensor(0.0146, device='cuda:0'), tensor(0.0220, device='cuda:0'), tensor(0.0419, device='cuda:0'), tensor(0.0105, device='cuda:0'), tensor(0.0158, device='cuda:0'), tensor(0.0120, device='cuda:0'), tensor(0.0460, device='cuda:0'), tensor(0.0156, device='cuda:0'), tensor(0.0124, device='cuda:0'), tensor(0.0128, device='cuda:0'), tensor(0.0131, device='cuda:0'), tensor(0.0244, device='cuda:0'), tensor(0.0652, device='cuda:0'), tensor(0.0115, device='cuda:0'), tensor(0.0118, device='cuda:0'), tensor(0.0122, device='cuda:0'), tensor(0.0119, device='cuda:0'), tensor(0.0148, device='cuda:0'), tensor(0.0121, device='cuda:0'), tensor(0.0113, device='cuda:0'), tensor(0.0114, device='cuda:0'), tensor(0.0116, device='cuda:0'), tensor(0.0136, device='cuda:0'), tensor(0.0107, device='cuda:0'), tensor(0.0112, device='cuda:0'), tensor(0.0133, device='cuda:0'), tensor(0.0126, device='cuda:0'), tensor(0.0114, device='cuda:0'), tensor(0.0145, device='cuda:0'), tensor(0.0111, device='cuda:0'), tensor(0.0164, device='cuda:0'), tensor(0.0134, device='cuda:0'), tensor(0.0155, device='cuda:0'), tensor(0.0125, device='cuda:0'), tensor(0.0113, device='cuda:0'), tensor(0.0111, device='cuda:0'), tensor(0.0121, device='cuda:0'), tensor(0.0109, device='cuda:0'), tensor(0.0147, device='cuda:0'), tensor(0.0152, device='cuda:0'), tensor(0.0178, device='cuda:0'), tensor(0.0115, device='cuda:0'), tensor(0.0113, device='cuda:0')]"
17,"[tensor(0.0354, device='cuda:0'), tensor(0.0116, device='cuda:0'), tensor(0.0105, device='cuda:0'), tensor(0.0439, device='cuda:0'), tensor(0.0109, device='cuda:0'), tensor(0.0127, device='cuda:0'), tensor(0.0134, device='cuda:0'), tensor(0.0119, device='cuda:0'), tensor(0.0115, device='cuda:0'), tensor(0.0125, device='cuda:0'), tensor(0.0291, device='cuda:0'), tensor(0.0109, device='cuda:0'), tensor(0.0114, device='cuda:0'), tensor(0.0123, device='cuda:0'), tensor(0.0191, device='cuda:0'), tensor(0.0106, device='cuda:0'), tensor(0.0120, device='cuda:0'), tensor(0.0113, device='cuda:0'), tensor(0.0106, device='cuda:0'), tensor(0.0119, device='cuda:0'), tensor(0.0136, device='cuda:0'), tensor(0.0105, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0105, device='cuda:0'), tensor(0.0107, device='cuda:0'), tensor(0.0116, device='cuda:0'), tensor(0.0118, device='cuda:0'), tensor(0.0153, device='cuda:0'), tensor(0.0118, device='cuda:0'), tensor(0.0110, device='cuda:0'), tensor(0.0155, device='cuda:0'), tensor(0.0098, device='cuda:0'), tensor(0.0111, device='cuda:0'), tensor(0.0103, device='cuda:0'), tensor(0.0186, device='cuda:0'), tensor(0.0108, device='cuda:0'), tensor(0.0103, device='cuda:0'), tensor(0.0110, device='cuda:0'), tensor(0.0168, device='cuda:0'), tensor(0.0102, device='cuda:0'), tensor(0.0153, device='cuda:0'), tensor(0.0119, device='cuda:0'), tensor(0.0151, device='cuda:0'), tensor(0.0109, device='cuda:0'), tensor(0.0100, device='cuda:0')]"
18,"[tensor(0.0133, device='cuda:0'), tensor(0.0177, device='cuda:0'), tensor(0.0148, device='cuda:0'), tensor(0.0125, device='cuda:0'), tensor(0.0864, device='cuda:0'), tensor(0.0112, device='cuda:0'), tensor(0.0142, device='cuda:0'), tensor(0.0159, device='cuda:0'), tensor(0.1004, device='cuda:0'), tensor(0.0153, device='cuda:0'), tensor(0.0161, device='cuda:0'), tensor(0.0195, device='cuda:0'), tensor(0.0169, device='cuda:0'), tensor(0.0715, device='cuda:0'), tensor(0.0512, device='cuda:0'), tensor(0.0127, device='cuda:0'), tensor(0.0165, device='cuda:0'), tensor(0.0188, device='cuda:0'), tensor(0.0133, device='cuda:0'), tensor(0.0165, device='cuda:0'), tensor(0.0144, device='cuda:0'), tensor(0.0120, device='cuda:0'), tensor(0.0120, device='cuda:0'), tensor(0.0165, device='cuda:0'), tensor(0.0194, device='cuda:0'), tensor(0.0140, device='cuda:0'), tensor(0.0143, device='cuda:0'), tensor(0.0129, device='cuda:0'), tensor(0.0144, device='cuda:0'), tensor(0.0156, device='cuda:0'), tensor(0.0144, device='cuda:0'), tensor(0.0116, device='cuda:0'), tensor(0.0174, device='cuda:0'), tensor(0.0130, device='cuda:0'), tensor(0.0150, device='cuda:0'), tensor(0.0121, device='cuda:0'), tensor(0.0138, device='cuda:0'), tensor(0.0156, device='cuda:0'), tensor(0.0193, device='cuda:0'), tensor(0.0118, device='cuda:0'), tensor(0.0151, device='cuda:0'), tensor(0.0150, device='cuda:0'), tensor(0.0187, device='cuda:0'), tensor(0.0141, device='cuda:0'), tensor(0.0141, device='cuda:0')]"
19,"[tensor(0.0424, device='cuda:0'), tensor(0.0107, device='cuda:0'), tensor(0.0106, device='cuda:0'), tensor(0.0651, device='cuda:0'), tensor(0.0211, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0142, device='cuda:0'), tensor(0.0110, device='cuda:0'), tensor(0.0213, device='cuda:0'), tensor(0.0131, device='cuda:0'), tensor(0.0589, device='cuda:0'), tensor(0.0109, device='cuda:0'), tensor(0.0114, device='cuda:0'), tensor(0.0245, device='cuda:0'), tensor(0.0323, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0108, device='cuda:0'), tensor(0.0115, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0120, device='cuda:0'), tensor(0.0164, device='cuda:0'), tensor(0.0101, device='cuda:0'), tensor(0.0102, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0110, device='cuda:0'), tensor(0.0114, device='cuda:0'), tensor(0.0106, device='cuda:0'), tensor(0.0151, device='cuda:0'), tensor(0.0108, device='cuda:0'), tensor(0.0113, device='cuda:0'), tensor(0.0133, device='cuda:0'), tensor(0.0101, device='cuda:0'), tensor(0.0129, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0129, device='cuda:0'), tensor(0.0105, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0106, device='cuda:0'), tensor(0.0133, device='cuda:0'), tensor(0.0101, device='cuda:0'), tensor(0.0137, device='cuda:0'), tensor(0.0120, device='cuda:0'), tensor(0.0119, device='cuda:0'), tensor(0.0106, device='cuda:0'), tensor(0.0102, device='cuda:0')]"
20,"[tensor(0.0115, device='cuda:0'), tensor(0.0142, device='cuda:0'), tensor(0.0146, device='cuda:0'), tensor(0.0156, device='cuda:0'), tensor(0.0773, device='cuda:0'), tensor(0.0110, device='cuda:0'), tensor(0.0141, device='cuda:0'), tensor(0.0153, device='cuda:0'), tensor(0.0794, device='cuda:0'), tensor(0.0147, device='cuda:0'), tensor(0.0189, device='cuda:0'), tensor(0.0152, device='cuda:0'), tensor(0.0156, device='cuda:0'), tensor(0.0733, device='cuda:0'), tensor(0.1157, device='cuda:0'), tensor(0.0118, device='cuda:0'), tensor(0.0140, device='cuda:0'), tensor(0.0187, device='cuda:0'), tensor(0.0137, device='cuda:0'), tensor(0.0137, device='cuda:0'), tensor(0.0137, device='cuda:0'), tensor(0.0107, device='cuda:0'), tensor(0.0114, device='cuda:0'), tensor(0.0136, device='cuda:0'), tensor(0.0146, device='cuda:0'), tensor(0.0123, device='cuda:0'), tensor(0.0124, device='cuda:0'), tensor(0.0126, device='cuda:0'), tensor(0.0131, device='cuda:0'), tensor(0.0141, device='cuda:0'), tensor(0.0133, device='cuda:0'), tensor(0.0107, device='cuda:0'), tensor(0.0152, device='cuda:0'), tensor(0.0118, device='cuda:0'), tensor(0.0151, device='cuda:0'), tensor(0.0125, device='cuda:0'), tensor(0.0112, device='cuda:0'), tensor(0.0126, device='cuda:0'), tensor(0.0138, device='cuda:0'), tensor(0.0115, device='cuda:0'), tensor(0.0154, device='cuda:0'), tensor(0.0161, device='cuda:0'), tensor(0.0181, device='cuda:0'), tensor(0.0133, device='cuda:0'), tensor(0.0125, device='cuda:0')]"
21,"[tensor(0.0580, device='cuda:0'), tensor(0.0111, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0568, device='cuda:0'), tensor(0.0162, device='cuda:0'), tensor(0.0106, device='cuda:0'), tensor(0.0151, device='cuda:0'), tensor(0.0109, device='cuda:0'), tensor(0.0375, device='cuda:0'), tensor(0.0130, device='cuda:0'), tensor(0.0519, device='cuda:0'), tensor(0.0106, device='cuda:0'), tensor(0.0109, device='cuda:0'), tensor(0.0193, device='cuda:0'), tensor(0.0193, device='cuda:0'), tensor(0.0102, device='cuda:0'), tensor(0.0110, device='cuda:0'), tensor(0.0116, device='cuda:0'), tensor(0.0113, device='cuda:0'), tensor(0.0143, device='cuda:0'), tensor(0.0139, device='cuda:0'), tensor(0.0102, device='cuda:0'), tensor(0.0101, device='cuda:0'), tensor(0.0105, device='cuda:0'), tensor(0.0111, device='cuda:0'), tensor(0.0114, device='cuda:0'), tensor(0.0106, device='cuda:0'), tensor(0.0161, device='cuda:0'), tensor(0.0105, device='cuda:0'), tensor(0.0120, device='cuda:0'), tensor(0.0153, device='cuda:0'), tensor(0.0102, device='cuda:0'), tensor(0.0131, device='cuda:0'), tensor(0.0106, device='cuda:0'), tensor(0.0157, device='cuda:0'), tensor(0.0103, device='cuda:0'), tensor(0.0100, device='cuda:0'), tensor(0.0107, device='cuda:0'), tensor(0.0151, device='cuda:0'), tensor(0.0101, device='cuda:0'), tensor(0.0141, device='cuda:0'), tensor(0.0112, device='cuda:0'), tensor(0.0145, device='cuda:0'), tensor(0.0105, device='cuda:0'), tensor(0.0102, device='cuda:0')]"
22,"[tensor(0.0120, device='cuda:0'), tensor(0.0180, device='cuda:0'), tensor(0.0146, device='cuda:0'), tensor(0.0132, device='cuda:0'), tensor(0.1086, device='cuda:0'), tensor(0.0105, device='cuda:0'), tensor(0.0130, device='cuda:0'), tensor(0.0145, device='cuda:0'), tensor(0.1113, device='cuda:0'), tensor(0.0157, device='cuda:0'), tensor(0.0168, device='cuda:0'), tensor(0.0166, device='cuda:0'), tensor(0.0183, device='cuda:0'), tensor(0.0868, device='cuda:0'), tensor(0.1284, device='cuda:0'), tensor(0.0120, device='cuda:0'), tensor(0.0149, device='cuda:0'), tensor(0.0210, device='cuda:0'), tensor(0.0126, device='cuda:0'), tensor(0.0125, device='cuda:0'), tensor(0.0139, device='cuda:0'), tensor(0.0113, device='cuda:0'), tensor(0.0123, device='cuda:0'), tensor(0.0160, device='cuda:0'), tensor(0.0156, device='cuda:0'), tensor(0.0143, device='cuda:0'), tensor(0.0122, device='cuda:0'), tensor(0.0119, device='cuda:0'), tensor(0.0139, device='cuda:0'), tensor(0.0159, device='cuda:0'), tensor(0.0211, device='cuda:0'), tensor(0.0113, device='cuda:0'), tensor(0.0177, device='cuda:0'), tensor(0.0114, device='cuda:0'), tensor(0.0172, device='cuda:0'), tensor(0.0118, device='cuda:0'), tensor(0.0162, device='cuda:0'), tensor(0.0142, device='cuda:0'), tensor(0.0175, device='cuda:0'), tensor(0.0137, device='cuda:0'), tensor(0.0179, device='cuda:0'), tensor(0.0168, device='cuda:0'), tensor(0.0200, device='cuda:0'), tensor(0.0136, device='cuda:0'), tensor(0.0119, device='cuda:0')]"
23,"[tensor(0.0644, device='cuda:0'), tensor(0.0109, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0885, device='cuda:0'), tensor(0.0105, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0126, device='cuda:0'), tensor(0.0102, device='cuda:0'), tensor(0.0145, device='cuda:0'), tensor(0.0140, device='cuda:0'), tensor(0.0812, device='cuda:0'), tensor(0.0105, device='cuda:0'), tensor(0.0108, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0103, device='cuda:0'), tensor(0.0108, device='cuda:0'), tensor(0.0108, device='cuda:0'), tensor(0.0102, device='cuda:0'), tensor(0.0166, device='cuda:0'), tensor(0.0139, device='cuda:0'), tensor(0.0102, device='cuda:0'), tensor(0.0102, device='cuda:0'), tensor(0.0102, device='cuda:0'), tensor(0.0106, device='cuda:0'), tensor(0.0108, device='cuda:0'), tensor(0.0106, device='cuda:0'), tensor(0.0146, device='cuda:0'), tensor(0.0102, device='cuda:0'), tensor(0.0109, device='cuda:0'), tensor(0.0138, device='cuda:0'), tensor(0.0103, device='cuda:0'), tensor(0.0131, device='cuda:0'), tensor(0.0105, device='cuda:0'), tensor(0.0216, device='cuda:0'), tensor(0.0106, device='cuda:0'), tensor(0.0102, device='cuda:0'), tensor(0.0103, device='cuda:0'), tensor(0.0143, device='cuda:0'), tensor(0.0100, device='cuda:0'), tensor(0.0119, device='cuda:0'), tensor(0.0116, device='cuda:0'), tensor(0.0148, device='cuda:0'), tensor(0.0103, device='cuda:0'), tensor(0.0102, device='cuda:0')]"
24,"[tensor(0.0108, device='cuda:0'), tensor(0.0193, device='cuda:0'), tensor(0.0151, device='cuda:0'), tensor(0.0106, device='cuda:0'), tensor(0.1306, device='cuda:0'), tensor(0.0127, device='cuda:0'), tensor(0.0179, device='cuda:0'), tensor(0.0164, device='cuda:0'), tensor(0.1788, device='cuda:0'), tensor(0.0149, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0198, device='cuda:0'), tensor(0.0198, device='cuda:0'), tensor(0.1826, device='cuda:0'), tensor(0.1353, device='cuda:0'), tensor(0.0143, device='cuda:0'), tensor(0.0204, device='cuda:0'), tensor(0.0255, device='cuda:0'), tensor(0.0195, device='cuda:0'), tensor(0.0126, device='cuda:0'), tensor(0.0149, device='cuda:0'), tensor(0.0118, device='cuda:0'), tensor(0.0118, device='cuda:0'), tensor(0.0146, device='cuda:0'), tensor(0.0160, device='cuda:0'), tensor(0.0153, device='cuda:0'), tensor(0.0140, device='cuda:0'), tensor(0.0121, device='cuda:0'), tensor(0.0130, device='cuda:0'), tensor(0.0165, device='cuda:0'), tensor(0.0134, device='cuda:0'), tensor(0.0116, device='cuda:0'), tensor(0.0153, device='cuda:0'), tensor(0.0135, device='cuda:0'), tensor(0.0181, device='cuda:0'), tensor(0.0119, device='cuda:0'), tensor(0.0127, device='cuda:0'), tensor(0.0129, device='cuda:0'), tensor(0.0189, device='cuda:0'), tensor(0.0124, device='cuda:0'), tensor(0.0158, device='cuda:0'), tensor(0.0162, device='cuda:0'), tensor(0.0194, device='cuda:0'), tensor(0.0150, device='cuda:0'), tensor(0.0122, device='cuda:0')]"
25,"[tensor(0.0170, device='cuda:0'), tensor(0.0108, device='cuda:0'), tensor(0.0103, device='cuda:0'), tensor(0.0105, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0142, device='cuda:0'), tensor(0.0101, device='cuda:0'), tensor(0.0114, device='cuda:0'), tensor(0.0142, device='cuda:0'), tensor(0.0105, device='cuda:0'), tensor(0.0103, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0216, device='cuda:0'), tensor(0.0223, device='cuda:0'), tensor(0.0105, device='cuda:0'), tensor(0.0127, device='cuda:0'), tensor(0.0127, device='cuda:0'), tensor(0.0106, device='cuda:0'), tensor(0.0147, device='cuda:0'), tensor(0.0137, device='cuda:0'), tensor(0.0107, device='cuda:0'), tensor(0.0103, device='cuda:0'), tensor(0.0102, device='cuda:0'), tensor(0.0136, device='cuda:0'), tensor(0.0131, device='cuda:0'), tensor(0.0102, device='cuda:0'), tensor(0.0152, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0158, device='cuda:0'), tensor(0.0101, device='cuda:0'), tensor(0.0147, device='cuda:0'), tensor(0.0106, device='cuda:0'), tensor(0.0212, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0101, device='cuda:0'), tensor(0.0103, device='cuda:0'), tensor(0.0161, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0195, device='cuda:0'), tensor(0.0132, device='cuda:0'), tensor(0.0151, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0102, device='cuda:0')]"
26,"[tensor(0.0122, device='cuda:0'), tensor(0.0171, device='cuda:0'), tensor(0.0150, device='cuda:0'), tensor(0.0130, device='cuda:0'), tensor(0.1219, device='cuda:0'), tensor(0.0122, device='cuda:0'), tensor(0.0130, device='cuda:0'), tensor(0.0180, device='cuda:0'), tensor(0.0132, device='cuda:0'), tensor(0.0146, device='cuda:0'), tensor(0.0204, device='cuda:0'), tensor(0.0214, device='cuda:0'), tensor(0.0237, device='cuda:0'), tensor(0.0884, device='cuda:0'), tensor(0.0324, device='cuda:0'), tensor(0.0133, device='cuda:0'), tensor(0.0112, device='cuda:0'), tensor(0.0112, device='cuda:0'), tensor(0.0142, device='cuda:0'), tensor(0.0137, device='cuda:0'), tensor(0.0145, device='cuda:0'), tensor(0.0125, device='cuda:0'), tensor(0.0144, device='cuda:0'), tensor(0.0145, device='cuda:0'), tensor(0.0133, device='cuda:0'), tensor(0.0121, device='cuda:0'), tensor(0.0121, device='cuda:0'), tensor(0.0122, device='cuda:0'), tensor(0.0146, device='cuda:0'), tensor(0.0191, device='cuda:0'), tensor(0.0151, device='cuda:0'), tensor(0.0122, device='cuda:0'), tensor(0.0137, device='cuda:0'), tensor(0.0138, device='cuda:0'), tensor(0.0139, device='cuda:0'), tensor(0.0118, device='cuda:0'), tensor(0.0136, device='cuda:0'), tensor(0.0127, device='cuda:0'), tensor(0.0197, device='cuda:0'), tensor(0.0131, device='cuda:0'), tensor(0.0161, device='cuda:0'), tensor(0.0148, device='cuda:0'), tensor(0.0199, device='cuda:0'), tensor(0.0133, device='cuda:0'), tensor(0.0127, device='cuda:0')]"
