closeness_centrality,[5. 2.]
18,"[tensor(2.0601), tensor(2.0991), tensor(1.9626), tensor(1.9871), tensor(2.0668), tensor(1.9718), tensor(2.0373), tensor(1.9804), tensor(2.0215), tensor(1.9401)]"
19,"[tensor(1.9632), tensor(1.9355), tensor(2.0087), tensor(2.0115), tensor(1.9462), tensor(1.9798), tensor(1.9724), tensor(2.0702), tensor(1.9942), tensor(2.0623)]"
20,"[tensor(1.9843), tensor(2.0592), tensor(1.9475), tensor(1.9730), tensor(2.0262), tensor(1.9722), tensor(1.9635), tensor(1.9553), tensor(1.9638), tensor(1.9119)]"
21,"[tensor(1.9731), tensor(1.9074), tensor(1.9553), tensor(1.9743), tensor(1.9104), tensor(1.9331), tensor(1.9878), tensor(2.0044), tensor(2.0022), tensor(2.0053)]"
22,"[tensor(1.9091), tensor(2.0072), tensor(1.9526), tensor(1.9656), tensor(1.9781), tensor(1.9636), tensor(1.9071), tensor(1.9658), tensor(1.9250), tensor(1.8896)]"
23,"[tensor(1.9790), tensor(1.8985), tensor(1.9164), tensor(1.9337), tensor(1.8919), tensor(1.9043), tensor(1.9946), tensor(1.9570), tensor(1.9987), tensor(1.9392)]"
24,"[tensor(1.8606), tensor(1.9353), tensor(1.9296), tensor(1.9420), tensor(1.9333), tensor(1.9509), tensor(1.8637), tensor(1.9655), tensor(1.8954), tensor(1.8984)]"
25,"[tensor(1.9742), tensor(1.9016), tensor(1.8797), tensor(1.8948), tensor(1.8757), tensor(1.8722), tensor(1.9822), tensor(1.9181), tensor(1.9754), tensor(1.8714)]"
26,"[tensor(1.8261), tensor(1.8662), tensor(1.8657), tensor(1.9127), tensor(1.8970), tensor(1.8962), tensor(1.8292), tensor(1.9676), tensor(1.8694), tensor(1.9024)]"
27,"[tensor(1.9145), tensor(1.8855), tensor(1.9206), tensor(1.8725), tensor(1.8568), tensor(1.8732), tensor(1.9186), tensor(1.8780), tensor(1.9324), tensor(1.8193)]"
28,"[tensor(1.7938), tensor(1.8320), tensor(1.8537), tensor(1.8729), tensor(1.8633), tensor(1.8881), tensor(1.8066), tensor(1.9362), tensor(1.8503), tensor(1.8741)]"
29,"[tensor(1.8980), tensor(1.8785), tensor(1.8597), tensor(1.8450), tensor(1.8347), tensor(1.8391), tensor(1.8977), tensor(1.8676), tensor(1.8918), tensor(1.7897)]"
30,"[tensor(1.7602), tensor(1.7829), tensor(1.8232), tensor(1.8549), tensor(1.8329), tensor(1.8791), tensor(1.7781), tensor(1.8972), tensor(1.8340), tensor(1.8534)]"
31,"[tensor(1.8817), tensor(1.8710), tensor(1.8513), tensor(1.8426), tensor(1.7967), tensor(1.8025), tensor(1.8722), tensor(1.8374), tensor(1.8698), tensor(1.7968)]"
32,"[tensor(1.7564), tensor(1.7865), tensor(1.7744), tensor(1.8213), tensor(1.8330), tensor(1.8775), tensor(1.7624), tensor(1.8802), tensor(1.8107), tensor(1.8380)]"
33,"[tensor(1.8605), tensor(1.8512), tensor(1.8663), tensor(1.8522), tensor(1.7549), tensor(1.7633), tensor(1.8560), tensor(1.7943), tensor(1.8705), tensor(1.8251)]"
34,"[tensor(1.7867), tensor(1.8177), tensor(1.7503), tensor(1.7657), tensor(1.8474), tensor(1.8820), tensor(1.7562), tensor(1.8882), tensor(1.7791), tensor(1.8271)]"
