closeness_centrality,[5.]
19,"[tensor(2.2966), tensor(2.2949), tensor(2.2889), tensor(2.2897), tensor(2.2978), tensor(2.2902), tensor(2.2942), tensor(2.2852), tensor(2.2928), tensor(2.2860)]"
20,"[tensor(2.2941), tensor(2.2884), tensor(2.2877), tensor(2.2798), tensor(2.2930), tensor(2.2909), tensor(2.2897), tensor(2.2953), tensor(2.2855), tensor(2.2951)]"
21,"[tensor(2.2944), tensor(2.2937), tensor(2.2865), tensor(2.2885), tensor(2.2969), tensor(2.2870), tensor(2.2921), tensor(2.2823), tensor(2.2904), tensor(2.2835)]"
22,"[tensor(2.2921), tensor(2.2847), tensor(2.2840), tensor(2.2750), tensor(2.2901), tensor(2.2884), tensor(2.2872), tensor(2.2935), tensor(2.2826), tensor(2.2940)]"
23,"[tensor(2.2922), tensor(2.2910), tensor(2.2839), tensor(2.2901), tensor(2.2957), tensor(2.2835), tensor(2.2894), tensor(2.2784), tensor(2.2873), tensor(2.2798)]"
24,"[tensor(2.2901), tensor(2.2817), tensor(2.2803), tensor(2.2727), tensor(2.2863), tensor(2.2873), tensor(2.2837), tensor(2.2920), tensor(2.2787), tensor(2.2924)]"
25,"[tensor(2.2895), tensor(2.2891), tensor(2.2836), tensor(2.2903), tensor(2.2939), tensor(2.2802), tensor(2.2854), tensor(2.2740), tensor(2.2862), tensor(2.2756)]"
26,"[tensor(2.2883), tensor(2.2790), tensor(2.2774), tensor(2.2687), tensor(2.2822), tensor(2.2887), tensor(2.2816), tensor(2.2906), tensor(2.2762), tensor(2.2904)]"
27,"[tensor(2.2853), tensor(2.2885), tensor(2.2871), tensor(2.2900), tensor(2.2923), tensor(2.2787), tensor(2.2840), tensor(2.2709), tensor(2.2866), tensor(2.2715)]"
28,"[tensor(2.2876), tensor(2.2766), tensor(2.2723), tensor(2.2668), tensor(2.2778), tensor(2.2871), tensor(2.2822), tensor(2.2901), tensor(2.2762), tensor(2.2890)]"
29,"[tensor(2.2845), tensor(2.2857), tensor(2.2866), tensor(2.2887), tensor(2.2907), tensor(2.2768), tensor(2.2818), tensor(2.2714), tensor(2.2822), tensor(2.2704)]"
30,"[tensor(2.2816), tensor(2.2740), tensor(2.2697), tensor(2.2673), tensor(2.2788), tensor(2.2844), tensor(2.2768), tensor(2.2875), tensor(2.2723), tensor(2.2869)]"
