closeness_centrality,[5.]
49,"[0.406, 0.376, 0.446, 0.41, 0.436, 0.405, 0.378, 0.384, 0.416, 0.422]"
50,"[0.448, 0.441, 0.401, 0.417, 0.425, 0.363, 0.499, 0.324, 0.429, 0.425]"
51,"[0.412, 0.372, 0.435, 0.395, 0.392, 0.459, 0.386, 0.423, 0.427, 0.414]"
52,"[0.45, 0.457, 0.406, 0.45, 0.414, 0.368, 0.447, 0.306, 0.414, 0.419]"
53,"[0.391, 0.368, 0.434, 0.376, 0.421, 0.402, 0.383, 0.446, 0.428, 0.431]"
54,"[0.394, 0.446, 0.427, 0.45, 0.388, 0.369, 0.45, 0.298, 0.403, 0.422]"
55,"[0.392, 0.367, 0.439, 0.369, 0.443, 0.4, 0.38, 0.383, 0.408, 0.45]"
56,"[0.407, 0.409, 0.445, 0.4, 0.349, 0.372, 0.466, 0.3, 0.423, 0.409]"
57,"[0.394, 0.367, 0.453, 0.358, 0.486, 0.415, 0.38, 0.395, 0.393, 0.444]"
58,"[0.445, 0.417, 0.454, 0.413, 0.356, 0.384, 0.474, 0.293, 0.434, 0.415]"
59,"[0.389, 0.383, 0.45, 0.36, 0.53, 0.43, 0.372, 0.41, 0.367, 0.463]"
60,"[0.486, 0.476, 0.478, 0.442, 0.359, 0.384, 0.48, 0.288, 0.458, 0.421]"
61,"[0.389, 0.373, 0.445, 0.366, 0.567, 0.435, 0.364, 0.423, 0.354, 0.483]"
62,"[0.51, 0.525, 0.483, 0.498, 0.373, 0.389, 0.506, 0.289, 0.48, 0.423]"
63,"[0.386, 0.372, 0.432, 0.372, 0.571, 0.437, 0.366, 0.459, 0.343, 0.494]"
64,"[0.534, 0.485, 0.464, 0.497, 0.378, 0.388, 0.528, 0.29, 0.49, 0.421]"
65,"[0.392, 0.376, 0.435, 0.37, 0.586, 0.462, 0.354, 0.443, 0.339, 0.467]"
66,"[0.579, 0.524, 0.5, 0.479, 0.375, 0.346, 0.546, 0.289, 0.535, 0.423]"
67,"[0.379, 0.387, 0.439, 0.373, 0.588, 0.509, 0.345, 0.48, 0.339, 0.557]"
68,"[0.571, 0.542, 0.515, 0.54, 0.375, 0.331, 0.554, 0.28, 0.559, 0.423]"
69,"[0.381, 0.385, 0.435, 0.369, 0.579, 0.534, 0.348, 0.463, 0.345, 0.55]"
70,"[0.535, 0.547, 0.456, 0.512, 0.41, 0.324, 0.523, 0.275, 0.518, 0.423]"
71,"[0.373, 0.371, 0.416, 0.367, 0.529, 0.49, 0.339, 0.411, 0.336, 0.544]"
72,"[0.487, 0.493, 0.445, 0.45, 0.414, 0.32, 0.491, 0.269, 0.487, 0.43]"
73,"[0.366, 0.358, 0.391, 0.333, 0.503, 0.466, 0.339, 0.419, 0.34, 0.491]"
74,"[0.481, 0.479, 0.453, 0.443, 0.429, 0.323, 0.488, 0.273, 0.483, 0.392]"
75,"[0.357, 0.336, 0.387, 0.332, 0.49, 0.456, 0.349, 0.406, 0.349, 0.489]"
76,"[0.473, 0.475, 0.437, 0.422, 0.405, 0.328, 0.483, 0.292, 0.478, 0.379]"
77,"[0.365, 0.335, 0.383, 0.343, 0.458, 0.456, 0.347, 0.396, 0.354, 0.489]"
78,"[0.48, 0.477, 0.415, 0.432, 0.365, 0.351, 0.482, 0.303, 0.473, 0.396]"
79,"[0.364, 0.346, 0.378, 0.361, 0.45, 0.461, 0.35, 0.411, 0.362, 0.494]"
80,"[0.452, 0.459, 0.399, 0.429, 0.349, 0.357, 0.467, 0.312, 0.429, 0.391]"
81,"[0.37, 0.344, 0.371, 0.369, 0.405, 0.436, 0.347, 0.403, 0.354, 0.504]"
82,"[0.435, 0.424, 0.367, 0.409, 0.331, 0.356, 0.436, 0.32, 0.413, 0.401]"
83,"[0.371, 0.345, 0.369, 0.364, 0.387, 0.391, 0.359, 0.357, 0.346, 0.503]"
84,"[0.422, 0.391, 0.349, 0.383, 0.329, 0.346, 0.388, 0.31, 0.371, 0.405]"
85,"[0.369, 0.361, 0.384, 0.37, 0.381, 0.376, 0.362, 0.31, 0.344, 0.448]"
86,"[0.431, 0.376, 0.342, 0.362, 0.341, 0.341, 0.334, 0.298, 0.342, 0.361]"
87,"[0.363, 0.352, 0.397, 0.369, 0.358, 0.343, 0.366, 0.274, 0.349, 0.42]"
88,"[0.383, 0.38, 0.348, 0.341, 0.367, 0.345, 0.346, 0.3, 0.354, 0.33]"
89,"[0.378, 0.351, 0.418, 0.338, 0.351, 0.337, 0.36, 0.318, 0.35, 0.423]"
90,"[0.405, 0.42, 0.371, 0.351, 0.398, 0.337, 0.368, 0.299, 0.381, 0.308]"
91,"[0.381, 0.351, 0.438, 0.334, 0.361, 0.35, 0.374, 0.326, 0.355, 0.447]"
92,"[0.419, 0.434, 0.402, 0.386, 0.436, 0.329, 0.382, 0.288, 0.389, 0.294]"
93,"[0.386, 0.367, 0.403, 0.33, 0.412, 0.375, 0.377, 0.316, 0.356, 0.45]"
94,"[0.426, 0.435, 0.445, 0.401, 0.421, 0.302, 0.391, 0.278, 0.395, 0.31]"
95,"[0.383, 0.363, 0.373, 0.319, 0.431, 0.379, 0.371, 0.302, 0.36, 0.439]"
96,"[0.401, 0.427, 0.424, 0.394, 0.389, 0.292, 0.394, 0.264, 0.394, 0.306]"
97,"[0.367, 0.344, 0.352, 0.322, 0.445, 0.391, 0.36, 0.302, 0.344, 0.426]"
98,"[0.391, 0.427, 0.437, 0.359, 0.379, 0.285, 0.372, 0.245, 0.393, 0.345]"
99,"[0.35, 0.327, 0.374, 0.313, 0.467, 0.373, 0.336, 0.321, 0.351, 0.419]"
