eigenvector_centrality,[9. 3.]
0,"[0.08, 0.099, 0.109, 0.093, 0.091, 0.095, 0.114, 0.092, 0.098, 0.12]"
1,"[0.097, 0.104, 0.083, 0.122, 0.1, 0.105, 0.107, 0.118, 0.106, 0.091]"
2,"[0.096, 0.101, 0.109, 0.122, 0.1, 0.105, 0.089, 0.098, 0.106, 0.103]"
3,"[0.102, 0.126, 0.096, 0.09, 0.1, 0.112, 0.089, 0.098, 0.103, 0.106]"
4,"[0.102, 0.099, 0.107, 0.173, 0.1, 0.105, 0.089, 0.153, 0.098, 0.138]"
5,"[0.102, 0.099, 0.106, 0.166, 0.117, 0.136, 0.089, 0.224, 0.098, 0.091]"
6,"[0.12, 0.099, 0.196, 0.172, 0.1, 0.105, 0.092, 0.137, 0.152, 0.103]"
7,"[0.102, 0.085, 0.106, 0.136, 0.094, 0.102, 0.117, 0.113, 0.098, 0.091]"
8,"[0.088, 0.099, 0.096, 0.201, 0.1, 0.105, 0.092, 0.129, 0.1, 0.103]"
9,"[0.137, 0.085, 0.106, 0.117, 0.151, 0.102, 0.134, 0.113, 0.222, 0.091]"
10,"[0.088, 0.099, 0.106, 0.173, 0.1, 0.105, 0.092, 0.156, 0.1, 0.103]"
11,"[0.102, 0.085, 0.106, 0.117, 0.136, 0.102, 0.089, 0.113, 0.208, 0.091]"
12,"[0.088, 0.099, 0.096, 0.229, 0.1, 0.105, 0.092, 0.147, 0.143, 0.103]"
13,"[0.102, 0.085, 0.14, 0.117, 0.149, 0.102, 0.089, 0.113, 0.242, 0.091]"
14,"[0.088, 0.099, 0.096, 0.277, 0.101, 0.105, 0.092, 0.147, 0.202, 0.137]"
15,"[0.102, 0.085, 0.164, 0.118, 0.241, 0.148, 0.089, 0.136, 0.254, 0.091]"
16,"[0.089, 0.099, 0.096, 0.254, 0.105, 0.105, 0.104, 0.12, 0.251, 0.281]"
17,"[0.11, 0.103, 0.225, 0.256, 0.229, 0.118, 0.089, 0.24, 0.27, 0.091]"
18,"[0.14, 0.099, 0.096, 0.29, 0.107, 0.105, 0.138, 0.12, 0.207, 0.236]"
19,"[0.139, 0.127, 0.247, 0.265, 0.212, 0.176, 0.089, 0.259, 0.271, 0.091]"
20,"[0.154, 0.099, 0.129, 0.3, 0.114, 0.107, 0.145, 0.131, 0.211, 0.227]"
21,"[0.167, 0.127, 0.244, 0.295, 0.204, 0.202, 0.089, 0.264, 0.27, 0.091]"
22,"[0.183, 0.103, 0.225, 0.314, 0.126, 0.132, 0.135, 0.149, 0.215, 0.237]"
23,"[0.294, 0.113, 0.262, 0.294, 0.202, 0.227, 0.128, 0.263, 0.27, 0.149]"
24,"[0.209, 0.195, 0.271, 0.323, 0.142, 0.207, 0.121, 0.191, 0.215, 0.256]"
25,"[0.337, 0.137, 0.263, 0.291, 0.201, 0.254, 0.176, 0.284, 0.272, 0.3]"
26,"[0.258, 0.276, 0.273, 0.252, 0.171, 0.29, 0.11, 0.211, 0.212, 0.213]"
27,"[0.315, 0.157, 0.2, 0.269, 0.253, 0.258, 0.325, 0.203, 0.193, 0.246]"
28,"[0.324, 0.412, 0.286, 0.212, 0.256, 0.175, 0.219, 0.241, 0.202, 0.167]"
29,"[0.385, 0.177, 0.195, 0.262, 0.201, 0.207, 0.39, 0.283, 0.218, 0.297]"
30,"[0.297, 0.42, 0.354, 0.207, 0.237, 0.298, 0.332, 0.289, 0.205, 0.197]"
31,"[0.372, 0.189, 0.231, 0.253, 0.245, 0.211, 0.371, 0.356, 0.349, 0.4]"
32,"[0.282, 0.422, 0.42, 0.292, 0.282, 0.305, 0.303, 0.303, 0.24, 0.219]"
33,"[0.325, 0.275, 0.265, 0.27, 0.304, 0.281, 0.439, 0.359, 0.358, 0.339]"
34,"[0.286, 0.357, 0.371, 0.378, 0.176, 0.297, 0.22, 0.259, 0.285, 0.272]"
35,"[0.24, 0.211, 0.192, 0.261, 0.288, 0.195, 0.327, 0.363, 0.271, 0.275]"
36,"[0.187, 0.262, 0.232, 0.37, 0.104, 0.239, 0.174, 0.239, 0.194, 0.223]"
37,"[0.343, 0.162, 0.183, 0.205, 0.358, 0.201, 0.362, 0.302, 0.2, 0.203]"
38,"[0.219, 0.324, 0.288, 0.351, 0.253, 0.265, 0.168, 0.219, 0.231, 0.225]"
39,"[0.369, 0.182, 0.246, 0.203, 0.312, 0.284, 0.355, 0.274, 0.357, 0.108]"
40,"[0.232, 0.323, 0.342, 0.345, 0.302, 0.281, 0.219, 0.253, 0.221, 0.22]"
41,"[0.361, 0.175, 0.225, 0.265, 0.318, 0.225, 0.363, 0.27, 0.357, 0.245]"
42,"[0.258, 0.338, 0.31, 0.326, 0.296, 0.307, 0.238, 0.241, 0.253, 0.239]"
43,"[0.354, 0.198, 0.323, 0.3, 0.367, 0.232, 0.334, 0.281, 0.357, 0.241]"
44,"[0.267, 0.272, 0.184, 0.22, 0.197, 0.236, 0.21, 0.267, 0.335, 0.376]"
45,"[0.284, 0.248, 0.372, 0.394, 0.376, 0.229, 0.288, 0.222, 0.166, 0.103]"
46,"[0.256, 0.267, 0.096, 0.125, 0.143, 0.277, 0.175, 0.28, 0.412, 0.376]"
47,"[0.304, 0.267, 0.4, 0.358, 0.382, 0.291, 0.323, 0.208, 0.099, 0.093]"
48,"[0.371, 0.304, 0.097, 0.122, 0.162, 0.297, 0.244, 0.341, 0.402, 0.322]"
49,"[0.366, 0.325, 0.366, 0.278, 0.36, 0.368, 0.378, 0.239, 0.099, 0.109]"
50,"[0.359, 0.366, 0.112, 0.124, 0.188, 0.312, 0.343, 0.326, 0.322, 0.312]"
51,"[0.331, 0.284, 0.349, 0.272, 0.347, 0.382, 0.405, 0.211, 0.146, 0.173]"
52,"[0.331, 0.334, 0.174, 0.177, 0.198, 0.314, 0.341, 0.326, 0.333, 0.307]"
53,"[0.32, 0.276, 0.334, 0.262, 0.38, 0.407, 0.413, 0.211, 0.216, 0.187]"
54,"[0.315, 0.304, 0.209, 0.206, 0.199, 0.323, 0.345, 0.33, 0.347, 0.33]"
55,"[0.281, 0.281, 0.335, 0.272, 0.376, 0.398, 0.397, 0.234, 0.215, 0.179]"
56,"[0.371, 0.278, 0.206, 0.21, 0.213, 0.336, 0.35, 0.378, 0.354, 0.347]"
57,"[0.252, 0.32, 0.338, 0.281, 0.365, 0.37, 0.391, 0.24, 0.196, 0.209]"
58,"[0.34, 0.27, 0.201, 0.202, 0.274, 0.35, 0.39, 0.322, 0.337, 0.354]"
59,"[0.256, 0.323, 0.325, 0.298, 0.341, 0.364, 0.354, 0.292, 0.228, 0.238]"
60,"[0.249, 0.258, 0.242, 0.223, 0.297, 0.385, 0.428, 0.271, 0.334, 0.371]"
61,"[0.288, 0.343, 0.341, 0.335, 0.336, 0.391, 0.354, 0.302, 0.23, 0.232]"
62,"[0.23, 0.284, 0.255, 0.28, 0.314, 0.337, 0.389, 0.321, 0.39, 0.404]"
63,"[0.256, 0.45, 0.406, 0.353, 0.375, 0.435, 0.377, 0.267, 0.214, 0.237]"
64,"[0.386, 0.278, 0.282, 0.247, 0.269, 0.302, 0.255, 0.382, 0.292, 0.374]"
65,"[0.24, 0.414, 0.37, 0.293, 0.456, 0.463, 0.333, 0.235, 0.235, 0.272]"
66,"[0.396, 0.268, 0.27, 0.258, 0.269, 0.311, 0.238, 0.425, 0.205, 0.356]"
67,"[0.277, 0.446, 0.29, 0.224, 0.415, 0.447, 0.263, 0.27, 0.246, 0.286]"
68,"[0.38, 0.225, 0.264, 0.286, 0.385, 0.269, 0.307, 0.386, 0.22, 0.3]"
69,"[0.351, 0.401, 0.297, 0.247, 0.399, 0.351, 0.256, 0.366, 0.26, 0.296]"
70,"[0.414, 0.228, 0.255, 0.28, 0.415, 0.274, 0.334, 0.406, 0.251, 0.362]"
71,"[0.369, 0.335, 0.318, 0.287, 0.358, 0.338, 0.262, 0.43, 0.257, 0.285]"
72,"[0.422, 0.236, 0.248, 0.282, 0.4, 0.276, 0.343, 0.44, 0.294, 0.37]"
73,"[0.284, 0.321, 0.314, 0.333, 0.434, 0.355, 0.262, 0.306, 0.252, 0.288]"
74,"[0.354, 0.233, 0.245, 0.285, 0.404, 0.27, 0.345, 0.355, 0.317, 0.368]"
75,"[0.283, 0.268, 0.282, 0.3, 0.486, 0.352, 0.301, 0.3, 0.25, 0.291]"
76,"[0.313, 0.23, 0.243, 0.279, 0.404, 0.276, 0.315, 0.318, 0.27, 0.343]"
77,"[0.283, 0.219, 0.193, 0.245, 0.432, 0.32, 0.28, 0.297, 0.249, 0.279]"
78,"[0.299, 0.229, 0.237, 0.272, 0.333, 0.27, 0.328, 0.318, 0.235, 0.3]"
79,"[0.283, 0.247, 0.209, 0.228, 0.38, 0.336, 0.261, 0.298, 0.249, 0.262]"
80,"[0.312, 0.23, 0.237, 0.27, 0.279, 0.266, 0.339, 0.36, 0.242, 0.309]"
81,"[0.283, 0.305, 0.26, 0.266, 0.358, 0.354, 0.259, 0.304, 0.25, 0.262]"
82,"[0.341, 0.234, 0.236, 0.27, 0.28, 0.267, 0.365, 0.394, 0.269, 0.347]"
83,"[0.284, 0.32, 0.293, 0.299, 0.366, 0.367, 0.265, 0.298, 0.249, 0.262]"
84,"[0.346, 0.233, 0.236, 0.274, 0.283, 0.269, 0.375, 0.403, 0.292, 0.355]"
85,"[0.284, 0.324, 0.3, 0.32, 0.357, 0.366, 0.278, 0.313, 0.249, 0.268]"
86,"[0.34, 0.238, 0.236, 0.275, 0.285, 0.274, 0.352, 0.386, 0.295, 0.351]"
87,"[0.286, 0.317, 0.266, 0.303, 0.322, 0.354, 0.282, 0.311, 0.249, 0.27]"
88,"[0.325, 0.238, 0.236, 0.272, 0.287, 0.275, 0.322, 0.386, 0.269, 0.321]"
89,"[0.285, 0.315, 0.238, 0.273, 0.327, 0.347, 0.282, 0.314, 0.249, 0.264]"
90,"[0.336, 0.236, 0.235, 0.27, 0.284, 0.271, 0.352, 0.398, 0.275, 0.312]"
91,"[0.281, 0.32, 0.272, 0.299, 0.38, 0.364, 0.265, 0.302, 0.249, 0.261]"
92,"[0.354, 0.232, 0.235, 0.265, 0.282, 0.27, 0.387, 0.399, 0.314, 0.344]"
93,"[0.283, 0.331, 0.313, 0.324, 0.406, 0.373, 0.269, 0.304, 0.249, 0.259]"
94,"[0.363, 0.236, 0.234, 0.265, 0.285, 0.271, 0.394, 0.393, 0.336, 0.357]"
95,"[0.283, 0.339, 0.326, 0.345, 0.402, 0.377, 0.284, 0.303, 0.248, 0.262]"
96,"[0.364, 0.24, 0.237, 0.27, 0.287, 0.275, 0.384, 0.385, 0.346, 0.36]"
97,"[0.282, 0.338, 0.323, 0.347, 0.388, 0.376, 0.282, 0.305, 0.249, 0.266]"
98,"[0.36, 0.241, 0.238, 0.271, 0.287, 0.277, 0.375, 0.377, 0.34, 0.354]"
99,"[0.282, 0.334, 0.318, 0.338, 0.389, 0.375, 0.275, 0.306, 0.246, 0.268]"
