eigenvector_centrality,[9. 3.]
0,"[0.08, 0.099, 0.109, 0.093, 0.091, 0.095, 0.114, 0.092, 0.098, 0.12]"
1,"[0.097, 0.104, 0.083, 0.122, 0.1, 0.105, 0.107, 0.118, 0.106, 0.091]"
2,"[0.096, 0.101, 0.109, 0.122, 0.1, 0.105, 0.089, 0.098, 0.106, 0.103]"
3,"[0.102, 0.126, 0.096, 0.09, 0.1, 0.112, 0.089, 0.098, 0.103, 0.106]"
4,"[0.102, 0.099, 0.107, 0.173, 0.1, 0.105, 0.089, 0.153, 0.098, 0.138]"
5,"[0.102, 0.099, 0.106, 0.166, 0.117, 0.136, 0.089, 0.224, 0.098, 0.091]"
6,"[0.12, 0.099, 0.196, 0.172, 0.1, 0.105, 0.092, 0.137, 0.152, 0.103]"
7,"[0.102, 0.085, 0.106, 0.136, 0.094, 0.102, 0.117, 0.113, 0.098, 0.091]"
8,"[0.088, 0.099, 0.096, 0.201, 0.1, 0.105, 0.092, 0.129, 0.1, 0.103]"
9,"[0.137, 0.085, 0.106, 0.117, 0.151, 0.102, 0.134, 0.113, 0.222, 0.091]"
10,"[0.088, 0.099, 0.106, 0.173, 0.1, 0.105, 0.092, 0.156, 0.1, 0.103]"
11,"[0.102, 0.085, 0.106, 0.117, 0.136, 0.102, 0.089, 0.113, 0.208, 0.091]"
12,"[0.088, 0.099, 0.096, 0.229, 0.1, 0.105, 0.092, 0.147, 0.143, 0.103]"
13,"[0.102, 0.085, 0.14, 0.117, 0.149, 0.102, 0.089, 0.113, 0.242, 0.091]"
14,"[0.088, 0.099, 0.096, 0.277, 0.101, 0.105, 0.092, 0.147, 0.202, 0.137]"
15,"[0.102, 0.085, 0.164, 0.118, 0.241, 0.148, 0.089, 0.136, 0.254, 0.091]"
16,"[0.089, 0.099, 0.096, 0.254, 0.105, 0.105, 0.104, 0.12, 0.251, 0.281]"
17,"[0.11, 0.103, 0.225, 0.256, 0.229, 0.118, 0.089, 0.24, 0.27, 0.091]"
18,"[0.14, 0.099, 0.096, 0.29, 0.107, 0.105, 0.138, 0.12, 0.207, 0.236]"
19,"[0.139, 0.127, 0.247, 0.265, 0.212, 0.176, 0.089, 0.259, 0.271, 0.091]"
20,"[0.154, 0.099, 0.129, 0.3, 0.114, 0.107, 0.145, 0.131, 0.211, 0.227]"
21,"[0.167, 0.127, 0.244, 0.295, 0.204, 0.202, 0.089, 0.264, 0.27, 0.091]"
22,"[0.183, 0.103, 0.225, 0.314, 0.126, 0.132, 0.135, 0.149, 0.215, 0.237]"
23,"[0.294, 0.113, 0.262, 0.294, 0.202, 0.227, 0.128, 0.263, 0.27, 0.149]"
24,"[0.209, 0.195, 0.271, 0.323, 0.142, 0.207, 0.121, 0.191, 0.215, 0.256]"
25,"[0.337, 0.137, 0.263, 0.291, 0.201, 0.254, 0.176, 0.284, 0.272, 0.3]"
26,"[0.258, 0.276, 0.273, 0.264, 0.171, 0.29, 0.11, 0.211, 0.212, 0.2]"
27,"[0.254, 0.143, 0.181, 0.238, 0.272, 0.275, 0.284, 0.204, 0.219, 0.239]"
28,"[0.327, 0.308, 0.302, 0.222, 0.279, 0.175, 0.224, 0.241, 0.188, 0.147]"
29,"[0.393, 0.178, 0.18, 0.242, 0.221, 0.247, 0.386, 0.28, 0.247, 0.366]"
30,"[0.281, 0.349, 0.319, 0.211, 0.32, 0.302, 0.347, 0.306, 0.203, 0.197]"
31,"[0.319, 0.187, 0.236, 0.217, 0.315, 0.214, 0.304, 0.393, 0.283, 0.398]"
32,"[0.364, 0.338, 0.392, 0.288, 0.297, 0.359, 0.356, 0.314, 0.275, 0.251]"
33,"[0.223, 0.259, 0.241, 0.278, 0.269, 0.207, 0.226, 0.195, 0.348, 0.333]"
34,"[0.167, 0.227, 0.221, 0.379, 0.185, 0.342, 0.167, 0.223, 0.181, 0.263]"
35,"[0.169, 0.143, 0.198, 0.267, 0.196, 0.215, 0.2, 0.195, 0.136, 0.261]"
36,"[0.162, 0.116, 0.101, 0.354, 0.153, 0.207, 0.163, 0.19, 0.151, 0.226]"
37,"[0.214, 0.156, 0.195, 0.176, 0.211, 0.212, 0.267, 0.256, 0.222, 0.123]"
38,"[0.273, 0.26, 0.323, 0.303, 0.302, 0.214, 0.175, 0.233, 0.218, 0.203]"
39,"[0.251, 0.234, 0.276, 0.165, 0.265, 0.266, 0.293, 0.282, 0.307, 0.234]"
40,"[0.246, 0.195, 0.32, 0.351, 0.281, 0.297, 0.259, 0.272, 0.258, 0.273]"
41,"[0.253, 0.24, 0.275, 0.184, 0.293, 0.266, 0.264, 0.283, 0.227, 0.291]"
42,"[0.265, 0.24, 0.284, 0.286, 0.28, 0.229, 0.176, 0.205, 0.217, 0.28]"
43,"[0.273, 0.184, 0.187, 0.201, 0.237, 0.294, 0.256, 0.26, 0.286, 0.287]"
44,"[0.197, 0.204, 0.121, 0.311, 0.198, 0.2, 0.158, 0.207, 0.183, 0.186]"
45,"[0.189, 0.187, 0.185, 0.204, 0.202, 0.231, 0.163, 0.188, 0.187, 0.172]"
46,"[0.199, 0.155, 0.096, 0.197, 0.184, 0.149, 0.173, 0.208, 0.182, 0.186]"
47,"[0.143, 0.178, 0.172, 0.173, 0.218, 0.213, 0.148, 0.196, 0.16, 0.103]"
48,"[0.192, 0.127, 0.096, 0.145, 0.188, 0.136, 0.166, 0.217, 0.17, 0.164]"
49,"[0.155, 0.161, 0.131, 0.112, 0.33, 0.205, 0.154, 0.204, 0.152, 0.096]"
50,"[0.185, 0.134, 0.097, 0.138, 0.195, 0.163, 0.161, 0.268, 0.133, 0.121]"
51,"[0.183, 0.131, 0.125, 0.108, 0.319, 0.198, 0.17, 0.209, 0.157, 0.096]"
52,"[0.205, 0.169, 0.122, 0.126, 0.193, 0.175, 0.171, 0.255, 0.162, 0.118]"
53,"[0.19, 0.14, 0.154, 0.116, 0.287, 0.21, 0.17, 0.207, 0.16, 0.12]"
54,"[0.216, 0.169, 0.14, 0.14, 0.192, 0.193, 0.193, 0.254, 0.194, 0.221]"
55,"[0.196, 0.181, 0.225, 0.172, 0.283, 0.228, 0.172, 0.202, 0.163, 0.135]"
56,"[0.231, 0.173, 0.148, 0.153, 0.186, 0.198, 0.2, 0.234, 0.215, 0.23]"
57,"[0.194, 0.195, 0.234, 0.217, 0.29, 0.235, 0.171, 0.204, 0.167, 0.164]"
58,"[0.23, 0.173, 0.154, 0.164, 0.174, 0.202, 0.198, 0.206, 0.239, 0.246]"
59,"[0.194, 0.191, 0.19, 0.236, 0.274, 0.199, 0.167, 0.183, 0.17, 0.168]"
60,"[0.215, 0.185, 0.176, 0.174, 0.137, 0.197, 0.191, 0.201, 0.19, 0.271]"
61,"[0.184, 0.181, 0.172, 0.242, 0.218, 0.203, 0.144, 0.153, 0.178, 0.176]"
62,"[0.201, 0.167, 0.182, 0.188, 0.111, 0.172, 0.194, 0.208, 0.179, 0.26]"
63,"[0.159, 0.142, 0.106, 0.205, 0.198, 0.14, 0.129, 0.171, 0.171, 0.177]"
64,"[0.118, 0.151, 0.179, 0.21, 0.117, 0.18, 0.123, 0.192, 0.102, 0.206]"
65,"[0.179, 0.098, 0.087, 0.201, 0.147, 0.117, 0.144, 0.184, 0.166, 0.175]"
66,"[0.117, 0.184, 0.184, 0.209, 0.166, 0.211, 0.124, 0.215, 0.1, 0.202]"
67,"[0.244, 0.15, 0.116, 0.109, 0.235, 0.204, 0.18, 0.242, 0.194, 0.173]"
68,"[0.199, 0.2, 0.155, 0.192, 0.193, 0.25, 0.179, 0.213, 0.13, 0.208]"
69,"[0.218, 0.187, 0.137, 0.129, 0.247, 0.224, 0.171, 0.242, 0.159, 0.165]"
70,"[0.205, 0.25, 0.212, 0.187, 0.11, 0.149, 0.175, 0.239, 0.185, 0.318]"
71,"[0.27, 0.176, 0.116, 0.173, 0.247, 0.243, 0.24, 0.223, 0.245, 0.11]"
72,"[0.242, 0.201, 0.137, 0.25, 0.107, 0.112, 0.204, 0.247, 0.166, 0.267]"
73,"[0.223, 0.184, 0.172, 0.194, 0.251, 0.234, 0.265, 0.205, 0.125, 0.104]"
74,"[0.232, 0.129, 0.113, 0.274, 0.109, 0.107, 0.201, 0.258, 0.179, 0.279]"
75,"[0.167, 0.197, 0.187, 0.185, 0.259, 0.246, 0.188, 0.186, 0.105, 0.102]"
76,"[0.243, 0.142, 0.201, 0.318, 0.107, 0.107, 0.209, 0.256, 0.192, 0.278]"
77,"[0.157, 0.215, 0.218, 0.19, 0.238, 0.244, 0.161, 0.125, 0.165, 0.101]"
78,"[0.228, 0.162, 0.193, 0.278, 0.104, 0.107, 0.216, 0.252, 0.215, 0.258]"
79,"[0.171, 0.197, 0.211, 0.194, 0.223, 0.219, 0.175, 0.119, 0.191, 0.102]"
80,"[0.234, 0.188, 0.213, 0.21, 0.104, 0.114, 0.209, 0.243, 0.22, 0.177]"
81,"[0.238, 0.203, 0.22, 0.238, 0.219, 0.194, 0.227, 0.129, 0.218, 0.161]"
82,"[0.257, 0.238, 0.238, 0.227, 0.179, 0.283, 0.233, 0.265, 0.238, 0.3]"
83,"[0.273, 0.236, 0.234, 0.257, 0.309, 0.247, 0.251, 0.187, 0.255, 0.183]"
84,"[0.272, 0.273, 0.228, 0.24, 0.173, 0.325, 0.243, 0.272, 0.252, 0.351]"
85,"[0.295, 0.235, 0.231, 0.262, 0.307, 0.279, 0.248, 0.217, 0.244, 0.182]"
86,"[0.265, 0.267, 0.218, 0.244, 0.138, 0.306, 0.243, 0.268, 0.247, 0.347]"
87,"[0.301, 0.22, 0.215, 0.26, 0.303, 0.287, 0.26, 0.225, 0.222, 0.202]"
88,"[0.247, 0.242, 0.233, 0.241, 0.174, 0.273, 0.234, 0.271, 0.228, 0.344]"
89,"[0.273, 0.213, 0.218, 0.245, 0.293, 0.272, 0.257, 0.235, 0.237, 0.218]"
90,"[0.225, 0.253, 0.236, 0.25, 0.214, 0.279, 0.221, 0.275, 0.216, 0.345]"
91,"[0.272, 0.245, 0.219, 0.241, 0.297, 0.279, 0.262, 0.241, 0.254, 0.228]"
92,"[0.229, 0.255, 0.24, 0.254, 0.235, 0.281, 0.229, 0.277, 0.25, 0.34]"
93,"[0.275, 0.26, 0.233, 0.243, 0.302, 0.297, 0.264, 0.245, 0.257, 0.244]"
94,"[0.258, 0.254, 0.234, 0.253, 0.252, 0.285, 0.263, 0.301, 0.281, 0.349]"
95,"[0.276, 0.274, 0.243, 0.246, 0.308, 0.303, 0.278, 0.261, 0.261, 0.245]"
96,"[0.265, 0.262, 0.236, 0.261, 0.286, 0.288, 0.275, 0.285, 0.283, 0.362]"
97,"[0.297, 0.257, 0.242, 0.239, 0.31, 0.31, 0.289, 0.28, 0.26, 0.249]"
98,"[0.257, 0.271, 0.236, 0.263, 0.338, 0.292, 0.257, 0.273, 0.248, 0.36]"
99,"[0.31, 0.236, 0.239, 0.228, 0.308, 0.308, 0.301, 0.296, 0.257, 0.267]"
