eigenvector_centrality,[9.]
0,"[0.08, 0.099, 0.109, 0.093, 0.091, 0.095, 0.114, 0.092, 0.098, 0.12]"
1,"[0.097, 0.104, 0.083, 0.122, 0.1, 0.105, 0.107, 0.118, 0.106, 0.091]"
2,"[0.096, 0.101, 0.109, 0.122, 0.1, 0.105, 0.089, 0.098, 0.106, 0.103]"
3,"[0.102, 0.126, 0.096, 0.09, 0.1, 0.112, 0.089, 0.098, 0.103, 0.106]"
4,"[0.102, 0.099, 0.107, 0.173, 0.1, 0.105, 0.089, 0.153, 0.098, 0.138]"
5,"[0.102, 0.099, 0.106, 0.166, 0.117, 0.136, 0.089, 0.224, 0.098, 0.091]"
6,"[0.12, 0.099, 0.196, 0.172, 0.1, 0.105, 0.092, 0.137, 0.152, 0.103]"
7,"[0.102, 0.085, 0.106, 0.136, 0.094, 0.102, 0.117, 0.113, 0.098, 0.091]"
8,"[0.088, 0.099, 0.096, 0.201, 0.1, 0.105, 0.092, 0.129, 0.1, 0.103]"
9,"[0.137, 0.085, 0.106, 0.117, 0.151, 0.102, 0.134, 0.113, 0.222, 0.091]"
10,"[0.088, 0.099, 0.106, 0.173, 0.1, 0.105, 0.092, 0.156, 0.1, 0.103]"
11,"[0.102, 0.085, 0.106, 0.117, 0.136, 0.102, 0.089, 0.113, 0.208, 0.091]"
12,"[0.088, 0.099, 0.096, 0.229, 0.1, 0.105, 0.092, 0.147, 0.143, 0.103]"
13,"[0.102, 0.085, 0.14, 0.117, 0.149, 0.102, 0.089, 0.113, 0.242, 0.091]"
14,"[0.088, 0.099, 0.096, 0.277, 0.101, 0.105, 0.092, 0.147, 0.202, 0.137]"
15,"[0.102, 0.085, 0.164, 0.118, 0.241, 0.148, 0.089, 0.136, 0.254, 0.091]"
16,"[0.089, 0.099, 0.096, 0.254, 0.105, 0.105, 0.104, 0.12, 0.251, 0.281]"
17,"[0.11, 0.103, 0.225, 0.256, 0.229, 0.118, 0.089, 0.24, 0.27, 0.091]"
18,"[0.14, 0.099, 0.096, 0.29, 0.107, 0.105, 0.138, 0.12, 0.207, 0.236]"
19,"[0.139, 0.127, 0.247, 0.265, 0.212, 0.176, 0.089, 0.259, 0.271, 0.091]"
20,"[0.154, 0.099, 0.129, 0.3, 0.114, 0.107, 0.145, 0.131, 0.211, 0.227]"
21,"[0.167, 0.127, 0.244, 0.295, 0.204, 0.202, 0.089, 0.264, 0.27, 0.091]"
22,"[0.183, 0.103, 0.225, 0.314, 0.126, 0.132, 0.135, 0.149, 0.215, 0.237]"
23,"[0.294, 0.113, 0.262, 0.294, 0.202, 0.227, 0.128, 0.263, 0.27, 0.149]"
24,"[0.209, 0.195, 0.271, 0.323, 0.142, 0.207, 0.121, 0.191, 0.215, 0.256]"
25,"[0.337, 0.137, 0.263, 0.291, 0.201, 0.254, 0.176, 0.284, 0.272, 0.3]"
26,"[0.258, 0.276, 0.273, 0.333, 0.176, 0.289, 0.116, 0.227, 0.213, 0.199]"
27,"[0.3, 0.143, 0.179, 0.183, 0.207, 0.18, 0.271, 0.18, 0.271, 0.16]"
28,"[0.33, 0.304, 0.178, 0.218, 0.143, 0.164, 0.316, 0.244, 0.178, 0.141]"
29,"[0.226, 0.183, 0.183, 0.162, 0.2, 0.19, 0.225, 0.185, 0.193, 0.12]"
30,"[0.228, 0.371, 0.319, 0.252, 0.312, 0.315, 0.315, 0.256, 0.199, 0.185]"
31,"[0.241, 0.188, 0.186, 0.177, 0.2, 0.205, 0.221, 0.191, 0.298, 0.248]"
32,"[0.218, 0.346, 0.339, 0.285, 0.31, 0.32, 0.219, 0.246, 0.203, 0.198]"
33,"[0.426, 0.186, 0.182, 0.166, 0.216, 0.201, 0.328, 0.29, 0.295, 0.24]"
34,"[0.209, 0.393, 0.33, 0.282, 0.359, 0.316, 0.275, 0.215, 0.197, 0.244]"
35,"[0.25, 0.206, 0.223, 0.225, 0.305, 0.219, 0.228, 0.189, 0.296, 0.22]"
36,"[0.199, 0.35, 0.271, 0.285, 0.315, 0.332, 0.279, 0.284, 0.181, 0.226]"
37,"[0.233, 0.164, 0.223, 0.23, 0.234, 0.215, 0.213, 0.19, 0.25, 0.268]"
38,"[0.197, 0.3, 0.211, 0.261, 0.218, 0.285, 0.172, 0.322, 0.235, 0.246]"
39,"[0.28, 0.207, 0.272, 0.263, 0.273, 0.274, 0.287, 0.234, 0.142, 0.263]"
40,"[0.257, 0.363, 0.277, 0.197, 0.272, 0.268, 0.246, 0.361, 0.26, 0.281]"
41,"[0.376, 0.285, 0.33, 0.291, 0.357, 0.348, 0.361, 0.335, 0.314, 0.237]"
42,"[0.298, 0.341, 0.3, 0.285, 0.372, 0.355, 0.328, 0.347, 0.292, 0.352]"
43,"[0.355, 0.257, 0.317, 0.288, 0.342, 0.356, 0.368, 0.329, 0.293, 0.361]"
44,"[0.29, 0.281, 0.293, 0.298, 0.361, 0.327, 0.323, 0.345, 0.305, 0.353]"
45,"[0.371, 0.286, 0.352, 0.347, 0.365, 0.36, 0.4, 0.338, 0.265, 0.341]"
46,"[0.403, 0.399, 0.339, 0.268, 0.431, 0.342, 0.383, 0.421, 0.367, 0.328]"
47,"[0.429, 0.365, 0.392, 0.367, 0.438, 0.398, 0.426, 0.329, 0.331, 0.367]"
48,"[0.384, 0.437, 0.408, 0.358, 0.454, 0.441, 0.441, 0.404, 0.364, 0.341]"
49,"[0.427, 0.324, 0.356, 0.358, 0.409, 0.375, 0.417, 0.394, 0.433, 0.414]"
50,"[0.293, 0.442, 0.446, 0.386, 0.424, 0.469, 0.415, 0.376, 0.268, 0.274]"
51,"[0.396, 0.279, 0.3, 0.301, 0.302, 0.287, 0.326, 0.437, 0.426, 0.428]"
52,"[0.294, 0.433, 0.441, 0.407, 0.445, 0.464, 0.41, 0.374, 0.258, 0.251]"
53,"[0.418, 0.263, 0.247, 0.278, 0.295, 0.267, 0.324, 0.41, 0.436, 0.437]"
54,"[0.221, 0.421, 0.442, 0.422, 0.455, 0.457, 0.398, 0.383, 0.232, 0.261]"
55,"[0.392, 0.186, 0.217, 0.246, 0.246, 0.244, 0.323, 0.362, 0.426, 0.442]"
56,"[0.22, 0.405, 0.437, 0.393, 0.448, 0.458, 0.394, 0.382, 0.187, 0.201]"
57,"[0.382, 0.184, 0.198, 0.203, 0.23, 0.203, 0.337, 0.324, 0.398, 0.421]"
58,"[0.277, 0.395, 0.426, 0.37, 0.429, 0.442, 0.387, 0.389, 0.187, 0.201]"
59,"[0.382, 0.206, 0.215, 0.202, 0.28, 0.206, 0.357, 0.33, 0.368, 0.409]"
60,"[0.31, 0.373, 0.421, 0.353, 0.406, 0.424, 0.374, 0.378, 0.212, 0.201]"
61,"[0.381, 0.239, 0.237, 0.212, 0.309, 0.251, 0.376, 0.326, 0.356, 0.374]"
62,"[0.295, 0.367, 0.421, 0.348, 0.407, 0.412, 0.368, 0.379, 0.245, 0.215]"
63,"[0.389, 0.269, 0.259, 0.253, 0.301, 0.261, 0.393, 0.316, 0.363, 0.38]"
64,"[0.289, 0.379, 0.425, 0.355, 0.422, 0.418, 0.345, 0.4, 0.256, 0.252]"
65,"[0.372, 0.27, 0.246, 0.264, 0.297, 0.259, 0.423, 0.315, 0.387, 0.404]"
66,"[0.303, 0.376, 0.426, 0.385, 0.425, 0.427, 0.307, 0.42, 0.244, 0.257]"
67,"[0.376, 0.253, 0.234, 0.263, 0.3, 0.252, 0.43, 0.313, 0.384, 0.406]"
68,"[0.302, 0.373, 0.424, 0.377, 0.437, 0.429, 0.273, 0.427, 0.234, 0.254]"
69,"[0.387, 0.217, 0.221, 0.253, 0.305, 0.251, 0.437, 0.317, 0.39, 0.406]"
70,"[0.28, 0.377, 0.432, 0.384, 0.442, 0.431, 0.261, 0.432, 0.198, 0.232]"
71,"[0.401, 0.188, 0.211, 0.237, 0.292, 0.218, 0.428, 0.304, 0.404, 0.413]"
72,"[0.281, 0.398, 0.438, 0.402, 0.448, 0.443, 0.268, 0.433, 0.189, 0.203]"
73,"[0.432, 0.196, 0.21, 0.211, 0.289, 0.204, 0.415, 0.29, 0.415, 0.421]"
74,"[0.282, 0.413, 0.444, 0.41, 0.445, 0.448, 0.271, 0.431, 0.189, 0.198]"
75,"[0.438, 0.2, 0.207, 0.207, 0.286, 0.204, 0.41, 0.295, 0.414, 0.432]"
76,"[0.28, 0.415, 0.443, 0.419, 0.455, 0.454, 0.271, 0.434, 0.189, 0.198]"
77,"[0.435, 0.201, 0.208, 0.205, 0.291, 0.205, 0.407, 0.296, 0.417, 0.438]"
78,"[0.278, 0.417, 0.444, 0.419, 0.454, 0.456, 0.273, 0.425, 0.19, 0.197]"
79,"[0.436, 0.208, 0.204, 0.207, 0.283, 0.206, 0.4, 0.298, 0.418, 0.438]"
80,"[0.271, 0.423, 0.438, 0.422, 0.446, 0.456, 0.271, 0.412, 0.189, 0.198]"
81,"[0.433, 0.238, 0.212, 0.217, 0.278, 0.211, 0.392, 0.294, 0.418, 0.435]"
82,"[0.266, 0.424, 0.43, 0.421, 0.437, 0.451, 0.273, 0.416, 0.201, 0.199]"
83,"[0.43, 0.237, 0.218, 0.234, 0.271, 0.227, 0.384, 0.291, 0.416, 0.428]"
84,"[0.26, 0.417, 0.427, 0.418, 0.43, 0.45, 0.263, 0.41, 0.208, 0.198]"
85,"[0.421, 0.237, 0.219, 0.236, 0.276, 0.229, 0.377, 0.288, 0.417, 0.43]"
86,"[0.262, 0.416, 0.418, 0.416, 0.424, 0.445, 0.249, 0.396, 0.19, 0.204]"
87,"[0.385, 0.232, 0.229, 0.235, 0.266, 0.229, 0.339, 0.269, 0.426, 0.425]"
88,"[0.268, 0.398, 0.408, 0.418, 0.4, 0.443, 0.243, 0.38, 0.191, 0.205]"
89,"[0.345, 0.226, 0.223, 0.235, 0.263, 0.227, 0.319, 0.258, 0.416, 0.422]"
90,"[0.269, 0.377, 0.4, 0.41, 0.389, 0.424, 0.241, 0.373, 0.19, 0.199]"
91,"[0.35, 0.213, 0.217, 0.226, 0.26, 0.215, 0.302, 0.256, 0.41, 0.413]"
92,"[0.267, 0.373, 0.384, 0.396, 0.382, 0.42, 0.241, 0.359, 0.186, 0.199]"
93,"[0.366, 0.229, 0.211, 0.218, 0.26, 0.211, 0.336, 0.255, 0.407, 0.413]"
94,"[0.268, 0.389, 0.384, 0.386, 0.38, 0.422, 0.245, 0.36, 0.184, 0.207]"
95,"[0.393, 0.226, 0.219, 0.235, 0.256, 0.212, 0.373, 0.251, 0.418, 0.407]"
96,"[0.253, 0.392, 0.387, 0.392, 0.388, 0.425, 0.24, 0.378, 0.196, 0.202]"
97,"[0.393, 0.245, 0.231, 0.231, 0.255, 0.215, 0.382, 0.25, 0.417, 0.404]"
98,"[0.253, 0.406, 0.389, 0.398, 0.391, 0.423, 0.242, 0.388, 0.198, 0.21]"
99,"[0.387, 0.235, 0.24, 0.234, 0.258, 0.223, 0.375, 0.248, 0.414, 0.406]"
