eigenvector_centrality,"[0, 4]"
57,"[0.1, 0.109, 0.142, 0.104, 0.112, 0.086, 0.089, 0.104, 0.098, 0.103]"
58,"[0.102, 0.099, 0.116, 0.094, 0.112, 0.166, 0.109, 0.104, 0.113, 0.091]"
59,"[0.102, 0.109, 0.148, 0.105, 0.112, 0.086, 0.089, 0.104, 0.098, 0.107]"
60,"[0.102, 0.099, 0.116, 0.084, 0.112, 0.106, 0.109, 0.117, 0.113, 0.091]"
61,"[0.102, 0.109, 0.186, 0.105, 0.112, 0.086, 0.089, 0.104, 0.098, 0.131]"
62,"[0.102, 0.099, 0.116, 0.108, 0.112, 0.105, 0.109, 0.186, 0.113, 0.091]"
63,"[0.102, 0.109, 0.19, 0.105, 0.112, 0.086, 0.089, 0.104, 0.098, 0.151]"
64,"[0.102, 0.099, 0.116, 0.146, 0.112, 0.105, 0.11, 0.13, 0.113, 0.091]"
65,"[0.102, 0.109, 0.148, 0.105, 0.112, 0.086, 0.089, 0.104, 0.098, 0.152]"
66,"[0.102, 0.099, 0.116, 0.146, 0.112, 0.105, 0.11, 0.103, 0.113, 0.091]"
67,"[0.102, 0.109, 0.099, 0.105, 0.112, 0.086, 0.089, 0.104, 0.098, 0.142]"
68,"[0.102, 0.099, 0.116, 0.147, 0.112, 0.105, 0.113, 0.098, 0.196, 0.091]"
69,"[0.102, 0.109, 0.096, 0.105, 0.112, 0.089, 0.089, 0.104, 0.098, 0.113]"
70,"[0.102, 0.099, 0.116, 0.138, 0.112, 0.105, 0.124, 0.098, 0.106, 0.091]"
71,"[0.102, 0.126, 0.096, 0.105, 0.112, 0.094, 0.089, 0.114, 0.098, 0.091]"
72,"[0.102, 0.099, 0.119, 0.135, 0.112, 0.105, 0.158, 0.098, 0.098, 0.091]"
73,"[0.102, 0.142, 0.096, 0.105, 0.112, 0.098, 0.089, 0.195, 0.099, 0.091]"
74,"[0.102, 0.099, 0.173, 0.128, 0.112, 0.105, 0.169, 0.125, 0.098, 0.091]"
75,"[0.102, 0.154, 0.096, 0.105, 0.112, 0.118, 0.089, 0.098, 0.124, 0.091]"
76,"[0.102, 0.099, 0.173, 0.125, 0.112, 0.105, 0.13, 0.105, 0.098, 0.091]"
77,"[0.102, 0.163, 0.096, 0.105, 0.112, 0.148, 0.089, 0.098, 0.168, 0.091]"
78,"[0.102, 0.099, 0.096, 0.129, 0.112, 0.105, 0.089, 0.104, 0.098, 0.091]"
79,"[0.102, 0.169, 0.096, 0.105, 0.112, 0.161, 0.089, 0.098, 0.148, 0.091]"
80,"[0.102, 0.099, 0.096, 0.134, 0.112, 0.105, 0.089, 0.104, 0.098, 0.091]"
81,"[0.102, 0.122, 0.096, 0.105, 0.112, 0.146, 0.089, 0.098, 0.098, 0.091]"
82,"[0.102, 0.099, 0.096, 0.135, 0.112, 0.105, 0.089, 0.104, 0.098, 0.091]"
83,"[0.102, 0.099, 0.096, 0.105, 0.112, 0.128, 0.089, 0.098, 0.098, 0.091]"
84,"[0.102, 0.099, 0.096, 0.139, 0.112, 0.105, 0.089, 0.104, 0.098, 0.091]"
85,"[0.102, 0.099, 0.096, 0.105, 0.112, 0.109, 0.089, 0.099, 0.098, 0.091]"
86,"[0.102, 0.099, 0.096, 0.141, 0.113, 0.105, 0.089, 0.105, 0.098, 0.091]"
87,"[0.102, 0.099, 0.096, 0.105, 0.113, 0.105, 0.089, 0.099, 0.098, 0.091]"
88,"[0.102, 0.099, 0.096, 0.14, 0.113, 0.105, 0.089, 0.112, 0.108, 0.091]"
89,"[0.102, 0.099, 0.096, 0.105, 0.115, 0.105, 0.089, 0.099, 0.145, 0.091]"
90,"[0.102, 0.099, 0.096, 0.158, 0.12, 0.105, 0.089, 0.125, 0.171, 0.091]"
91,"[0.102, 0.099, 0.096, 0.105, 0.116, 0.105, 0.089, 0.099, 0.149, 0.091]"
92,"[0.102, 0.099, 0.096, 0.151, 0.127, 0.105, 0.089, 0.175, 0.101, 0.138]"
93,"[0.102, 0.099, 0.096, 0.105, 0.122, 0.105, 0.089, 0.099, 0.113, 0.091]"
94,"[0.102, 0.099, 0.096, 0.146, 0.123, 0.105, 0.089, 0.156, 0.098, 0.17]"
95,"[0.102, 0.099, 0.096, 0.105, 0.144, 0.105, 0.089, 0.099, 0.107, 0.091]"
96,"[0.102, 0.099, 0.096, 0.109, 0.119, 0.105, 0.089, 0.118, 0.098, 0.148]"
97,"[0.102, 0.099, 0.096, 0.105, 0.166, 0.105, 0.089, 0.098, 0.106, 0.091]"
98,"[0.102, 0.099, 0.096, 0.098, 0.113, 0.105, 0.089, 0.098, 0.098, 0.138]"
99,"[0.102, 0.099, 0.096, 0.105, 0.177, 0.105, 0.089, 0.098, 0.11, 0.091]"
