eigenvector_centrality,[4]
0,"[0.131, 0.107, 0.097, 0.124, 0.094, 0.108, 0.089, 0.113, 0.088, 0.102]"
1,"[0.103, 0.091, 0.167, 0.15, 0.094, 0.107, 0.105, 0.094, 0.088, 0.103]"
2,"[0.142, 0.161, 0.097, 0.097, 0.104, 0.105, 0.094, 0.119, 0.165, 0.163]"
3,"[0.254, 0.156, 0.099, 0.122, 0.1, 0.242, 0.285, 0.355, 0.192, 0.244]"
4,"[0.283, 0.238, 0.099, 0.19, 0.24, 0.145, 0.089, 0.099, 0.176, 0.091]"
5,"[0.18, 0.099, 0.107, 0.196, 0.176, 0.115, 0.247, 0.139, 0.098, 0.208]"
6,"[0.165, 0.169, 0.099, 0.239, 0.239, 0.121, 0.174, 0.197, 0.189, 0.139]"
7,"[0.341, 0.262, 0.108, 0.178, 0.213, 0.39, 0.287, 0.165, 0.161, 0.24]"
8,"[0.249, 0.146, 0.254, 0.358, 0.276, 0.258, 0.283, 0.256, 0.199, 0.256]"
9,"[0.397, 0.322, 0.161, 0.183, 0.23, 0.446, 0.353, 0.13, 0.334, 0.2]"
10,"[0.298, 0.155, 0.382, 0.36, 0.33, 0.244, 0.295, 0.351, 0.177, 0.304]"
11,"[0.381, 0.431, 0.248, 0.212, 0.357, 0.448, 0.495, 0.151, 0.414, 0.299]"
12,"[0.344, 0.226, 0.412, 0.385, 0.429, 0.239, 0.279, 0.45, 0.209, 0.43]"
13,"[0.383, 0.453, 0.289, 0.322, 0.368, 0.303, 0.405, 0.227, 0.449, 0.314]"
14,"[0.372, 0.235, 0.46, 0.334, 0.476, 0.339, 0.263, 0.455, 0.248, 0.476]"
15,"[0.404, 0.434, 0.318, 0.363, 0.41, 0.308, 0.43, 0.258, 0.461, 0.319]"
16,"[0.408, 0.243, 0.443, 0.403, 0.422, 0.37, 0.361, 0.458, 0.288, 0.484]"
17,"[0.458, 0.414, 0.327, 0.468, 0.361, 0.386, 0.466, 0.281, 0.47, 0.294]"
18,"[0.49, 0.272, 0.415, 0.429, 0.38, 0.458, 0.39, 0.465, 0.409, 0.487]"
19,"[0.464, 0.381, 0.49, 0.47, 0.405, 0.396, 0.444, 0.303, 0.472, 0.331]"
20,"[0.431, 0.345, 0.401, 0.43, 0.404, 0.415, 0.416, 0.463, 0.387, 0.485]"
21,"[0.427, 0.378, 0.439, 0.441, 0.475, 0.399, 0.406, 0.292, 0.459, 0.366]"
22,"[0.439, 0.355, 0.455, 0.413, 0.366, 0.416, 0.386, 0.462, 0.363, 0.402]"
23,"[0.452, 0.418, 0.443, 0.409, 0.455, 0.392, 0.429, 0.296, 0.436, 0.394]"
24,"[0.452, 0.428, 0.414, 0.385, 0.369, 0.416, 0.358, 0.466, 0.334, 0.393]"
25,"[0.455, 0.425, 0.451, 0.388, 0.418, 0.392, 0.417, 0.338, 0.435, 0.404]"
26,"[0.479, 0.432, 0.412, 0.406, 0.408, 0.425, 0.385, 0.451, 0.325, 0.382]"
27,"[0.49, 0.434, 0.426, 0.48, 0.446, 0.424, 0.505, 0.341, 0.492, 0.425]"
28,"[0.477, 0.472, 0.44, 0.478, 0.398, 0.497, 0.456, 0.473, 0.443, 0.426]"
29,"[0.403, 0.425, 0.409, 0.424, 0.544, 0.442, 0.39, 0.417, 0.441, 0.34]"
30,"[0.4, 0.445, 0.465, 0.424, 0.449, 0.385, 0.447, 0.473, 0.479, 0.496]"
31,"[0.418, 0.483, 0.389, 0.408, 0.541, 0.391, 0.383, 0.357, 0.43, 0.364]"
32,"[0.382, 0.388, 0.418, 0.463, 0.473, 0.327, 0.517, 0.447, 0.482, 0.486]"
33,"[0.427, 0.406, 0.384, 0.385, 0.498, 0.394, 0.392, 0.346, 0.437, 0.424]"
34,"[0.396, 0.353, 0.373, 0.418, 0.539, 0.339, 0.487, 0.43, 0.494, 0.456]"
35,"[0.396, 0.396, 0.393, 0.381, 0.476, 0.394, 0.416, 0.357, 0.471, 0.536]"
36,"[0.41, 0.32, 0.423, 0.429, 0.556, 0.364, 0.499, 0.426, 0.507, 0.455]"
37,"[0.44, 0.439, 0.419, 0.408, 0.478, 0.406, 0.439, 0.368, 0.502, 0.555]"
38,"[0.452, 0.315, 0.478, 0.462, 0.57, 0.406, 0.536, 0.437, 0.532, 0.463]"
39,"[0.476, 0.43, 0.427, 0.432, 0.488, 0.432, 0.486, 0.373, 0.545, 0.576]"
40,"[0.495, 0.32, 0.512, 0.483, 0.557, 0.458, 0.551, 0.45, 0.558, 0.466]"
41,"[0.501, 0.456, 0.418, 0.482, 0.529, 0.428, 0.53, 0.383, 0.537, 0.548]"
42,"[0.546, 0.329, 0.509, 0.491, 0.536, 0.524, 0.525, 0.464, 0.493, 0.437]"
43,"[0.451, 0.448, 0.472, 0.514, 0.502, 0.4, 0.562, 0.401, 0.488, 0.518]"
44,"[0.531, 0.367, 0.5, 0.489, 0.526, 0.514, 0.474, 0.463, 0.448, 0.427]"
45,"[0.456, 0.448, 0.515, 0.479, 0.49, 0.371, 0.501, 0.463, 0.464, 0.519]"
46,"[0.484, 0.426, 0.492, 0.482, 0.534, 0.473, 0.479, 0.469, 0.441, 0.441]"
47,"[0.507, 0.456, 0.481, 0.491, 0.471, 0.362, 0.484, 0.473, 0.455, 0.526]"
48,"[0.486, 0.496, 0.481, 0.49, 0.487, 0.454, 0.469, 0.492, 0.442, 0.458]"
49,"[0.494, 0.496, 0.48, 0.468, 0.504, 0.374, 0.475, 0.469, 0.446, 0.531]"
50,"[0.495, 0.459, 0.459, 0.483, 0.396, 0.454, 0.452, 0.47, 0.444, 0.472]"
51,"[0.455, 0.536, 0.392, 0.455, 0.508, 0.42, 0.47, 0.432, 0.429, 0.466]"
52,"[0.501, 0.468, 0.45, 0.466, 0.41, 0.448, 0.434, 0.47, 0.446, 0.514]"
53,"[0.478, 0.475, 0.397, 0.437, 0.505, 0.418, 0.464, 0.38, 0.464, 0.398]"
54,"[0.463, 0.407, 0.445, 0.458, 0.476, 0.446, 0.411, 0.443, 0.462, 0.51]"
55,"[0.475, 0.473, 0.382, 0.463, 0.499, 0.406, 0.472, 0.364, 0.477, 0.414]"
56,"[0.481, 0.367, 0.439, 0.457, 0.473, 0.45, 0.433, 0.445, 0.486, 0.502]"
57,"[0.488, 0.475, 0.396, 0.475, 0.51, 0.426, 0.484, 0.375, 0.489, 0.42]"
58,"[0.484, 0.39, 0.461, 0.465, 0.499, 0.442, 0.47, 0.457, 0.495, 0.506]"
59,"[0.486, 0.468, 0.421, 0.479, 0.536, 0.446, 0.495, 0.392, 0.482, 0.42]"
60,"[0.524, 0.422, 0.48, 0.482, 0.481, 0.462, 0.511, 0.458, 0.489, 0.483]"
61,"[0.5, 0.464, 0.427, 0.472, 0.524, 0.48, 0.534, 0.394, 0.496, 0.417]"
62,"[0.522, 0.44, 0.476, 0.502, 0.418, 0.446, 0.487, 0.466, 0.479, 0.476]"
63,"[0.515, 0.455, 0.431, 0.461, 0.542, 0.484, 0.54, 0.402, 0.504, 0.404]"
64,"[0.489, 0.458, 0.469, 0.489, 0.402, 0.433, 0.48, 0.466, 0.498, 0.515]"
65,"[0.497, 0.419, 0.445, 0.451, 0.572, 0.468, 0.531, 0.402, 0.489, 0.403]"
66,"[0.484, 0.459, 0.456, 0.492, 0.413, 0.445, 0.474, 0.457, 0.516, 0.532]"
67,"[0.502, 0.402, 0.422, 0.453, 0.563, 0.467, 0.532, 0.427, 0.467, 0.438]"
68,"[0.476, 0.454, 0.43, 0.489, 0.444, 0.444, 0.49, 0.451, 0.526, 0.534]"
69,"[0.517, 0.436, 0.434, 0.47, 0.541, 0.476, 0.532, 0.45, 0.466, 0.449]"
70,"[0.522, 0.443, 0.465, 0.506, 0.461, 0.454, 0.499, 0.461, 0.55, 0.524]"
71,"[0.529, 0.435, 0.44, 0.454, 0.552, 0.501, 0.532, 0.445, 0.481, 0.459]"
72,"[0.511, 0.453, 0.484, 0.506, 0.48, 0.446, 0.53, 0.467, 0.539, 0.555]"
73,"[0.525, 0.431, 0.418, 0.44, 0.566, 0.474, 0.503, 0.43, 0.503, 0.505]"
74,"[0.483, 0.445, 0.477, 0.495, 0.517, 0.431, 0.525, 0.453, 0.546, 0.562]"
75,"[0.493, 0.428, 0.412, 0.421, 0.511, 0.474, 0.479, 0.419, 0.487, 0.512]"
76,"[0.464, 0.463, 0.465, 0.484, 0.48, 0.422, 0.505, 0.452, 0.49, 0.513]"
77,"[0.471, 0.428, 0.406, 0.403, 0.506, 0.469, 0.47, 0.429, 0.47, 0.495]"
78,"[0.471, 0.462, 0.475, 0.482, 0.47, 0.439, 0.491, 0.462, 0.474, 0.486]"
79,"[0.475, 0.424, 0.424, 0.411, 0.508, 0.47, 0.479, 0.442, 0.49, 0.486]"
80,"[0.466, 0.455, 0.457, 0.474, 0.483, 0.447, 0.469, 0.454, 0.468, 0.472]"
81,"[0.476, 0.428, 0.426, 0.404, 0.476, 0.464, 0.497, 0.443, 0.489, 0.494]"
82,"[0.47, 0.447, 0.453, 0.464, 0.48, 0.454, 0.457, 0.449, 0.474, 0.466]"
83,"[0.462, 0.422, 0.428, 0.406, 0.485, 0.448, 0.5, 0.431, 0.482, 0.482]"
84,"[0.467, 0.445, 0.443, 0.452, 0.483, 0.445, 0.467, 0.434, 0.485, 0.469]"
85,"[0.447, 0.408, 0.443, 0.403, 0.486, 0.436, 0.491, 0.432, 0.476, 0.487]"
86,"[0.465, 0.439, 0.444, 0.448, 0.479, 0.446, 0.467, 0.436, 0.477, 0.486]"
87,"[0.446, 0.409, 0.441, 0.416, 0.488, 0.426, 0.496, 0.426, 0.472, 0.49]"
88,"[0.463, 0.439, 0.447, 0.445, 0.471, 0.447, 0.466, 0.447, 0.482, 0.477]"
89,"[0.455, 0.415, 0.443, 0.416, 0.476, 0.44, 0.502, 0.43, 0.483, 0.488]"
90,"[0.476, 0.434, 0.452, 0.449, 0.481, 0.446, 0.473, 0.447, 0.482, 0.467]"
91,"[0.443, 0.413, 0.439, 0.415, 0.485, 0.445, 0.497, 0.436, 0.487, 0.494]"
92,"[0.482, 0.451, 0.451, 0.449, 0.478, 0.454, 0.47, 0.449, 0.484, 0.465]"
93,"[0.449, 0.405, 0.451, 0.422, 0.483, 0.443, 0.506, 0.449, 0.481, 0.487]"
94,"[0.48, 0.462, 0.454, 0.448, 0.485, 0.463, 0.469, 0.447, 0.487, 0.47]"
95,"[0.449, 0.408, 0.466, 0.422, 0.483, 0.445, 0.51, 0.45, 0.494, 0.491]"
96,"[0.485, 0.466, 0.455, 0.449, 0.493, 0.477, 0.482, 0.449, 0.522, 0.476]"
97,"[0.473, 0.449, 0.453, 0.421, 0.487, 0.446, 0.511, 0.444, 0.497, 0.488]"
98,"[0.483, 0.452, 0.457, 0.453, 0.502, 0.478, 0.484, 0.453, 0.532, 0.473]"
99,"[0.482, 0.48, 0.452, 0.423, 0.492, 0.45, 0.504, 0.446, 0.489, 0.486]"
