eigenvector_centrality,[2]
0,"[0.104, 0.107, 0.108, 0.101, 0.11, 0.11, 0.094, 0.085, 0.099, 0.12]"
1,"[0.095, 0.107, 0.104, 0.097, 0.11, 0.112, 0.093, 0.085, 0.109, 0.12]"
2,"[0.095, 0.107, 0.108, 0.101, 0.11, 0.092, 0.093, 0.085, 0.093, 0.102]"
3,"[0.103, 0.086, 0.104, 0.101, 0.109, 0.103, 0.093, 0.102, 0.103, 0.079]"
4,"[0.08, 0.107, 0.11, 0.101, 0.199, 0.092, 0.102, 0.151, 0.093, 0.131]"
5,"[0.15, 0.114, 0.104, 0.101, 0.091, 0.105, 0.164, 0.102, 0.091, 0.104]"
6,"[0.08, 0.187, 0.109, 0.122, 0.084, 0.092, 0.109, 0.104, 0.093, 0.189]"
7,"[0.102, 0.114, 0.096, 0.173, 0.101, 0.105, 0.13, 0.102, 0.166, 0.103]"
8,"[0.08, 0.198, 0.11, 0.169, 0.089, 0.092, 0.109, 0.167, 0.143, 0.196]"
9,"[0.229, 0.114, 0.096, 0.097, 0.101, 0.362, 0.121, 0.102, 0.235, 0.103]"
10,"[0.08, 0.099, 0.192, 0.254, 0.186, 0.094, 0.109, 0.286, 0.1, 0.198]"
11,"[0.244, 0.114, 0.096, 0.103, 0.113, 0.112, 0.187, 0.102, 0.096, 0.103]"
12,"[0.08, 0.099, 0.123, 0.214, 0.126, 0.223, 0.109, 0.255, 0.099, 0.192]"
13,"[0.277, 0.114, 0.096, 0.266, 0.166, 0.167, 0.206, 0.102, 0.222, 0.104]"
14,"[0.08, 0.099, 0.166, 0.217, 0.143, 0.183, 0.109, 0.18, 0.107, 0.188]"
15,"[0.264, 0.114, 0.096, 0.213, 0.099, 0.173, 0.321, 0.102, 0.255, 0.151]"
16,"[0.08, 0.169, 0.205, 0.152, 0.204, 0.181, 0.109, 0.16, 0.14, 0.217]"
17,"[0.25, 0.115, 0.096, 0.181, 0.094, 0.176, 0.307, 0.161, 0.305, 0.223]"
18,"[0.167, 0.168, 0.222, 0.162, 0.207, 0.222, 0.147, 0.126, 0.169, 0.234]"
19,"[0.208, 0.144, 0.096, 0.196, 0.094, 0.246, 0.282, 0.187, 0.377, 0.29]"
20,"[0.25, 0.15, 0.298, 0.103, 0.235, 0.275, 0.202, 0.17, 0.167, 0.216]"
21,"[0.206, 0.245, 0.101, 0.21, 0.094, 0.337, 0.295, 0.193, 0.399, 0.293]"
22,"[0.275, 0.137, 0.31, 0.105, 0.251, 0.279, 0.204, 0.185, 0.192, 0.218]"
23,"[0.189, 0.266, 0.111, 0.217, 0.094, 0.36, 0.225, 0.195, 0.349, 0.281]"
24,"[0.287, 0.154, 0.324, 0.106, 0.26, 0.326, 0.249, 0.184, 0.206, 0.207]"
25,"[0.149, 0.271, 0.124, 0.251, 0.094, 0.385, 0.22, 0.195, 0.359, 0.26]"
26,"[0.296, 0.153, 0.314, 0.166, 0.258, 0.374, 0.29, 0.191, 0.206, 0.254]"
27,"[0.173, 0.241, 0.25, 0.285, 0.103, 0.375, 0.109, 0.316, 0.284, 0.281]"
28,"[0.269, 0.27, 0.245, 0.165, 0.324, 0.281, 0.313, 0.288, 0.302, 0.227]"
29,"[0.263, 0.3, 0.162, 0.328, 0.162, 0.269, 0.109, 0.202, 0.269, 0.275]"
30,"[0.28, 0.341, 0.149, 0.169, 0.293, 0.26, 0.332, 0.335, 0.203, 0.245]"
31,"[0.34, 0.302, 0.157, 0.342, 0.226, 0.242, 0.116, 0.257, 0.229, 0.296]"
32,"[0.285, 0.303, 0.22, 0.208, 0.276, 0.257, 0.274, 0.374, 0.234, 0.267]"
33,"[0.274, 0.289, 0.197, 0.341, 0.339, 0.216, 0.14, 0.429, 0.227, 0.312]"
34,"[0.293, 0.305, 0.273, 0.24, 0.259, 0.257, 0.282, 0.19, 0.243, 0.266]"
35,"[0.229, 0.29, 0.215, 0.333, 0.399, 0.175, 0.109, 0.393, 0.255, 0.323]"
36,"[0.332, 0.389, 0.32, 0.26, 0.17, 0.276, 0.314, 0.178, 0.239, 0.287]"
37,"[0.182, 0.307, 0.22, 0.29, 0.445, 0.241, 0.116, 0.262, 0.335, 0.257]"
38,"[0.371, 0.484, 0.425, 0.319, 0.125, 0.36, 0.349, 0.293, 0.293, 0.248]"
39,"[0.216, 0.325, 0.308, 0.31, 0.466, 0.468, 0.277, 0.294, 0.401, 0.227]"
40,"[0.208, 0.447, 0.353, 0.367, 0.312, 0.374, 0.363, 0.402, 0.341, 0.201]"
41,"[0.23, 0.328, 0.321, 0.315, 0.362, 0.438, 0.32, 0.384, 0.445, 0.244]"
42,"[0.221, 0.398, 0.397, 0.364, 0.38, 0.396, 0.386, 0.39, 0.351, 0.343]"
43,"[0.33, 0.371, 0.35, 0.312, 0.413, 0.331, 0.419, 0.358, 0.45, 0.319]"
44,"[0.327, 0.368, 0.396, 0.383, 0.347, 0.408, 0.387, 0.369, 0.359, 0.43]"
45,"[0.398, 0.4, 0.366, 0.295, 0.419, 0.393, 0.441, 0.333, 0.388, 0.327]"
46,"[0.396, 0.39, 0.373, 0.323, 0.28, 0.419, 0.387, 0.369, 0.37, 0.4]"
47,"[0.439, 0.398, 0.348, 0.303, 0.354, 0.415, 0.479, 0.323, 0.383, 0.336]"
48,"[0.389, 0.401, 0.387, 0.301, 0.267, 0.419, 0.389, 0.359, 0.349, 0.384]"
49,"[0.439, 0.391, 0.34, 0.327, 0.266, 0.439, 0.49, 0.337, 0.386, 0.343]"
50,"[0.402, 0.36, 0.401, 0.295, 0.274, 0.376, 0.379, 0.354, 0.333, 0.379]"
51,"[0.408, 0.393, 0.345, 0.344, 0.26, 0.446, 0.453, 0.35, 0.411, 0.325]"
52,"[0.418, 0.371, 0.41, 0.294, 0.29, 0.419, 0.367, 0.361, 0.339, 0.383]"
53,"[0.414, 0.396, 0.367, 0.348, 0.257, 0.45, 0.401, 0.353, 0.388, 0.26]"
54,"[0.393, 0.411, 0.463, 0.309, 0.309, 0.434, 0.368, 0.417, 0.376, 0.395]"
55,"[0.445, 0.401, 0.43, 0.343, 0.295, 0.415, 0.384, 0.353, 0.371, 0.248]"
56,"[0.352, 0.422, 0.396, 0.371, 0.349, 0.417, 0.358, 0.424, 0.412, 0.476]"
57,"[0.423, 0.416, 0.427, 0.342, 0.39, 0.434, 0.356, 0.348, 0.383, 0.285]"
58,"[0.361, 0.39, 0.377, 0.41, 0.391, 0.41, 0.362, 0.391, 0.418, 0.472]"
59,"[0.358, 0.418, 0.439, 0.352, 0.397, 0.499, 0.326, 0.348, 0.395, 0.295]"
60,"[0.362, 0.371, 0.377, 0.4, 0.383, 0.394, 0.36, 0.379, 0.413, 0.497]"
