eigenvector_centrality,[2]
0,"[0.102, 0.107, 0.087, 0.09, 0.091, 0.105, 0.114, 0.119, 0.113, 0.101]"
1,"[0.103, 0.156, 0.097, 0.101, 0.083, 0.117, 0.094, 0.094, 0.106, 0.103]"
2,"[0.106, 0.121, 0.094, 0.081, 0.118, 0.104, 0.114, 0.112, 0.113, 0.1]"
3,"[0.106, 0.112, 0.125, 0.081, 0.109, 0.175, 0.095, 0.105, 0.1, 0.121]"
4,"[0.103, 0.091, 0.139, 0.147, 0.098, 0.107, 0.165, 0.149, 0.1, 0.101]"
5,"[0.139, 0.112, 0.106, 0.103, 0.094, 0.195, 0.136, 0.117, 0.113, 0.157]"
6,"[0.103, 0.173, 0.104, 0.186, 0.083, 0.102, 0.108, 0.113, 0.113, 0.103]"
7,"[0.182, 0.215, 0.106, 0.19, 0.094, 0.172, 0.092, 0.102, 0.15, 0.103]"
8,"[0.099, 0.122, 0.104, 0.134, 0.083, 0.086, 0.092, 0.113, 0.1, 0.174]"
9,"[0.228, 0.107, 0.106, 0.12, 0.094, 0.157, 0.123, 0.102, 0.142, 0.103]"
10,"[0.088, 0.085, 0.104, 0.192, 0.094, 0.086, 0.092, 0.113, 0.172, 0.162]"
11,"[0.218, 0.112, 0.106, 0.101, 0.094, 0.207, 0.169, 0.102, 0.149, 0.103]"
12,"[0.088, 0.085, 0.104, 0.15, 0.094, 0.086, 0.092, 0.113, 0.191, 0.234]"
13,"[0.216, 0.161, 0.106, 0.106, 0.096, 0.236, 0.138, 0.102, 0.151, 0.103]"
14,"[0.088, 0.085, 0.104, 0.213, 0.094, 0.087, 0.092, 0.113, 0.1, 0.153]"
15,"[0.225, 0.206, 0.106, 0.181, 0.096, 0.293, 0.157, 0.102, 0.111, 0.103]"
16,"[0.088, 0.085, 0.104, 0.135, 0.094, 0.086, 0.092, 0.113, 0.133, 0.138]"
17,"[0.202, 0.196, 0.106, 0.203, 0.115, 0.247, 0.172, 0.102, 0.137, 0.103]"
18,"[0.088, 0.085, 0.104, 0.133, 0.094, 0.126, 0.092, 0.118, 0.141, 0.188]"
19,"[0.218, 0.154, 0.106, 0.135, 0.121, 0.288, 0.127, 0.102, 0.153, 0.103]"
20,"[0.088, 0.085, 0.104, 0.191, 0.094, 0.102, 0.092, 0.197, 0.144, 0.189]"
21,"[0.245, 0.154, 0.106, 0.172, 0.131, 0.287, 0.139, 0.102, 0.154, 0.103]"
22,"[0.08, 0.085, 0.104, 0.204, 0.094, 0.088, 0.092, 0.24, 0.113, 0.207]"
23,"[0.229, 0.113, 0.131, 0.207, 0.138, 0.276, 0.178, 0.102, 0.133, 0.103]"
24,"[0.08, 0.085, 0.104, 0.224, 0.095, 0.086, 0.124, 0.252, 0.133, 0.202]"
25,"[0.248, 0.11, 0.087, 0.157, 0.157, 0.283, 0.196, 0.102, 0.168, 0.112]"
26,"[0.08, 0.104, 0.087, 0.233, 0.095, 0.086, 0.11, 0.173, 0.141, 0.241]"
27,"[0.211, 0.216, 0.202, 0.13, 0.179, 0.427, 0.249, 0.164, 0.113, 0.127]"
28,"[0.103, 0.169, 0.087, 0.082, 0.106, 0.241, 0.113, 0.094, 0.208, 0.229]"
29,"[0.107, 0.112, 0.152, 0.173, 0.139, 0.15, 0.182, 0.089, 0.171, 0.2]"
30,"[0.316, 0.093, 0.087, 0.081, 0.215, 0.167, 0.226, 0.094, 0.18, 0.196]"
31,"[0.106, 0.112, 0.087, 0.105, 0.128, 0.12, 0.173, 0.089, 0.267, 0.198]"
32,"[0.26, 0.093, 0.087, 0.081, 0.23, 0.119, 0.103, 0.094, 0.168, 0.144]"
33,"[0.106, 0.112, 0.087, 0.105, 0.152, 0.108, 0.161, 0.089, 0.242, 0.19]"
34,"[0.263, 0.093, 0.087, 0.081, 0.225, 0.102, 0.106, 0.124, 0.167, 0.124]"
35,"[0.106, 0.115, 0.087, 0.105, 0.196, 0.108, 0.144, 0.089, 0.219, 0.211]"
36,"[0.289, 0.093, 0.087, 0.081, 0.193, 0.156, 0.212, 0.183, 0.184, 0.15]"
37,"[0.144, 0.159, 0.087, 0.105, 0.244, 0.208, 0.109, 0.089, 0.121, 0.307]"
38,"[0.183, 0.093, 0.087, 0.137, 0.171, 0.2, 0.226, 0.237, 0.189, 0.193]"
39,"[0.231, 0.173, 0.087, 0.105, 0.231, 0.201, 0.205, 0.089, 0.138, 0.283]"
40,"[0.19, 0.093, 0.087, 0.246, 0.198, 0.201, 0.239, 0.232, 0.131, 0.197]"
41,"[0.224, 0.185, 0.087, 0.113, 0.208, 0.21, 0.218, 0.218, 0.121, 0.265]"
42,"[0.191, 0.093, 0.087, 0.282, 0.204, 0.214, 0.245, 0.237, 0.105, 0.2]"
43,"[0.245, 0.173, 0.087, 0.157, 0.19, 0.211, 0.214, 0.277, 0.121, 0.226]"
44,"[0.191, 0.093, 0.087, 0.249, 0.205, 0.225, 0.251, 0.24, 0.101, 0.206]"
45,"[0.25, 0.093, 0.087, 0.107, 0.196, 0.205, 0.202, 0.301, 0.125, 0.209]"
46,"[0.191, 0.093, 0.087, 0.15, 0.212, 0.197, 0.28, 0.24, 0.1, 0.203]"
47,"[0.234, 0.093, 0.087, 0.104, 0.205, 0.206, 0.207, 0.252, 0.112, 0.217]"
48,"[0.191, 0.093, 0.087, 0.131, 0.214, 0.196, 0.282, 0.249, 0.1, 0.195]"
49,"[0.257, 0.093, 0.087, 0.105, 0.207, 0.188, 0.204, 0.215, 0.103, 0.228]"
50,"[0.194, 0.093, 0.087, 0.121, 0.232, 0.186, 0.276, 0.258, 0.1, 0.195]"
51,"[0.211, 0.093, 0.087, 0.105, 0.208, 0.121, 0.186, 0.214, 0.112, 0.216]"
52,"[0.228, 0.093, 0.087, 0.178, 0.251, 0.183, 0.216, 0.255, 0.1, 0.192]"
53,"[0.205, 0.093, 0.087, 0.105, 0.196, 0.133, 0.187, 0.202, 0.119, 0.236]"
54,"[0.235, 0.093, 0.087, 0.231, 0.206, 0.165, 0.103, 0.234, 0.119, 0.196]"
55,"[0.188, 0.093, 0.087, 0.105, 0.197, 0.179, 0.182, 0.192, 0.117, 0.101]"
56,"[0.219, 0.093, 0.087, 0.227, 0.189, 0.164, 0.103, 0.225, 0.183, 0.18]"
57,"[0.194, 0.093, 0.087, 0.105, 0.195, 0.198, 0.177, 0.183, 0.099, 0.101]"
58,"[0.221, 0.093, 0.087, 0.221, 0.174, 0.166, 0.103, 0.222, 0.187, 0.171]"
59,"[0.198, 0.093, 0.087, 0.105, 0.191, 0.201, 0.169, 0.188, 0.094, 0.101]"
60,"[0.221, 0.093, 0.087, 0.219, 0.169, 0.189, 0.103, 0.21, 0.191, 0.148]"
61,"[0.2, 0.093, 0.087, 0.105, 0.188, 0.201, 0.171, 0.186, 0.088, 0.101]"
