eigenvector_centrality,[0]
57,"[0.354, 0.433, 0.357, 0.43, 0.328, 0.328, 0.354, 0.478, 0.323, 0.405]"
58,"[0.376, 0.347, 0.43, 0.414, 0.462, 0.456, 0.385, 0.273, 0.433, 0.321]"
59,"[0.338, 0.433, 0.33, 0.411, 0.299, 0.312, 0.366, 0.477, 0.291, 0.365]"
60,"[0.352, 0.339, 0.394, 0.383, 0.443, 0.435, 0.342, 0.242, 0.425, 0.312]"
61,"[0.33, 0.422, 0.32, 0.395, 0.269, 0.312, 0.414, 0.485, 0.265, 0.342]"
62,"[0.365, 0.334, 0.376, 0.376, 0.452, 0.425, 0.31, 0.266, 0.421, 0.304]"
63,"[0.318, 0.416, 0.349, 0.374, 0.266, 0.3, 0.422, 0.474, 0.248, 0.371]"
64,"[0.372, 0.327, 0.379, 0.37, 0.462, 0.411, 0.311, 0.27, 0.411, 0.297]"
65,"[0.314, 0.406, 0.369, 0.374, 0.266, 0.313, 0.439, 0.456, 0.218, 0.369]"
66,"[0.385, 0.321, 0.374, 0.378, 0.442, 0.392, 0.316, 0.297, 0.367, 0.303]"
67,"[0.307, 0.402, 0.365, 0.388, 0.279, 0.314, 0.445, 0.445, 0.226, 0.393]"
68,"[0.385, 0.307, 0.38, 0.392, 0.442, 0.399, 0.338, 0.311, 0.351, 0.314]"
69,"[0.311, 0.398, 0.39, 0.395, 0.303, 0.324, 0.45, 0.438, 0.23, 0.405]"
70,"[0.363, 0.3, 0.389, 0.408, 0.437, 0.392, 0.364, 0.32, 0.336, 0.33]"
71,"[0.33, 0.396, 0.381, 0.41, 0.325, 0.331, 0.45, 0.451, 0.244, 0.419]"
72,"[0.359, 0.293, 0.411, 0.417, 0.437, 0.394, 0.374, 0.328, 0.32, 0.341]"
73,"[0.337, 0.404, 0.419, 0.418, 0.329, 0.349, 0.427, 0.461, 0.25, 0.409]"
74,"[0.389, 0.295, 0.413, 0.437, 0.442, 0.441, 0.38, 0.352, 0.359, 0.348]"
75,"[0.343, 0.433, 0.395, 0.42, 0.339, 0.337, 0.401, 0.504, 0.256, 0.429]"
76,"[0.421, 0.302, 0.415, 0.45, 0.453, 0.461, 0.4, 0.354, 0.427, 0.356]"
77,"[0.345, 0.468, 0.401, 0.417, 0.335, 0.329, 0.395, 0.502, 0.235, 0.438]"
78,"[0.432, 0.296, 0.415, 0.46, 0.462, 0.458, 0.413, 0.356, 0.446, 0.354]"
79,"[0.349, 0.462, 0.444, 0.411, 0.356, 0.333, 0.401, 0.498, 0.251, 0.448]"
80,"[0.433, 0.299, 0.411, 0.472, 0.475, 0.448, 0.427, 0.371, 0.45, 0.357]"
81,"[0.347, 0.469, 0.465, 0.419, 0.369, 0.329, 0.415, 0.505, 0.267, 0.463]"
82,"[0.428, 0.307, 0.418, 0.493, 0.491, 0.45, 0.432, 0.363, 0.451, 0.355]"
83,"[0.357, 0.474, 0.475, 0.415, 0.374, 0.336, 0.434, 0.501, 0.276, 0.46]"
84,"[0.44, 0.311, 0.424, 0.503, 0.494, 0.466, 0.439, 0.383, 0.449, 0.353]"
85,"[0.363, 0.467, 0.491, 0.419, 0.383, 0.344, 0.449, 0.499, 0.286, 0.464]"
