none,[]
10,"[0.06930693069306931, 0.13, 0.11, 0.04, 0.07, 0.06, 0.05, 0.07, 0.09, 0.07, 0.13, 0.07, 0.12, 0.09, 0.07, 0.11, 0.09, 0.09, 0.13, 0.09, 0.13, 0.1, 0.12, 0.14, 0.09, 0.05, 0.14, 0.05, 0.12, 0.07, 0.1, 0.11, 0.09, 0.08, 0.09, 0.08, 0.11, 0.12, 0.05, 0.14, 0.13, 0.09, 0.08, 0.1, 0.02, 0.08, 0.14, 0.13, 0.1, 0.09, 0.08, 0.11, 0.12, 0.11, 0.1, 0.13, 0.07, 0.06, 0.08, 0.11, 0.08, 0.08, 0.1, 0.1, 0.09, 0.1, 0.1, 0.1, 0.1, 0.03, 0.09, 0.08, 0.06, 0.12, 0.08, 0.13, 0.05, 0.13, 0.08, 0.09, 0.08, 0.17, 0.1, 0.14, 0.06, 0.07, 0.15, 0.11, 0.03, 0.08, 0.12, 0.1, 0.15, 0.12, 0.13, 0.08, 0.11, 0.05, 0.09, 0.1717171717171717]"
11,"[0.06930693069306931, 0.12, 0.11, 0.09, 0.15, 0.06, 0.11, 0.07, 0.09, 0.07, 0.13, 0.07, 0.12, 0.09, 0.07, 0.11, 0.1, 0.09, 0.13, 0.09, 0.13, 0.1, 0.15, 0.14, 0.09, 0.05, 0.13, 0.05, 0.12, 0.13, 0.11, 0.11, 0.09, 0.08, 0.12, 0.08, 0.11, 0.12, 0.05, 0.14, 0.13, 0.09, 0.1, 0.13, 0.02, 0.08, 0.14, 0.08, 0.13, 0.09, 0.14, 0.11, 0.12, 0.08, 0.06, 0.13, 0.15, 0.05, 0.11, 0.11, 0.13, 0.07, 0.14, 0.1, 0.13, 0.1, 0.1, 0.1, 0.12, 0.12, 0.05, 0.08, 0.12, 0.12, 0.06, 0.09, 0.05, 0.13, 0.08, 0.09, 0.14, 0.11, 0.13, 0.11, 0.06, 0.09, 0.15, 0.13, 0.11, 0.07, 0.1, 0.1, 0.15, 0.15, 0.13, 0.14, 0.11, 0.11, 0.1, 0.10101010101010101]"
12,"[0.07920792079207921, 0.13, 0.11, 0.04, 0.15, 0.06, 0.05, 0.07, 0.09, 0.07, 0.13, 0.12, 0.12, 0.09, 0.07, 0.11, 0.09, 0.09, 0.15, 0.09, 0.13, 0.1, 0.12, 0.14, 0.09, 0.05, 0.13, 0.05, 0.12, 0.13, 0.1, 0.11, 0.09, 0.08, 0.09, 0.08, 0.11, 0.12, 0.05, 0.14, 0.13, 0.09, 0.1, 0.1, 0.02, 0.08, 0.08, 0.13, 0.1, 0.09, 0.14, 0.09, 0.12, 0.11, 0.06, 0.11, 0.07, 0.05, 0.08, 0.11, 0.13, 0.07, 0.1, 0.1, 0.13, 0.1, 0.1, 0.1, 0.1, 0.08, 0.05, 0.08, 0.06, 0.12, 0.08, 0.13, 0.05, 0.13, 0.08, 0.09, 0.14, 0.17, 0.15, 0.12, 0.06, 0.07, 0.15, 0.11, 0.11, 0.08, 0.1, 0.1, 0.15, 0.12, 0.13, 0.08, 0.13, 0.11, 0.08, 0.1717171717171717]"
13,"[0.07920792079207921, 0.13, 0.11, 0.09, 0.15, 0.06, 0.11, 0.07, 0.09, 0.07, 0.13, 0.07, 0.12, 0.09, 0.07, 0.11, 0.1, 0.07, 0.13, 0.09, 0.13, 0.1, 0.15, 0.14, 0.09, 0.12, 0.14, 0.05, 0.11, 0.13, 0.08, 0.11, 0.09, 0.08, 0.14, 0.08, 0.04, 0.12, 0.05, 0.14, 0.13, 0.09, 0.1, 0.13, 0.02, 0.08, 0.14, 0.08, 0.1, 0.09, 0.08, 0.11, 0.12, 0.08, 0.06, 0.13, 0.15, 0.05, 0.11, 0.11, 0.13, 0.08, 0.14, 0.12, 0.09, 0.1, 0.1, 0.11, 0.12, 0.09, 0.05, 0.08, 0.09, 0.13, 0.06, 0.13, 0.05, 0.13, 0.08, 0.09, 0.14, 0.17, 0.13, 0.12, 0.06, 0.09, 0.15, 0.13, 0.11, 0.08, 0.1, 0.1, 0.15, 0.15, 0.13, 0.14, 0.13, 0.11, 0.06, 0.1717171717171717]"
14,"[0.06930693069306931, 0.13, 0.11, 0.04, 0.15, 0.06, 0.03, 0.07, 0.09, 0.07, 0.13, 0.15, 0.12, 0.09, 0.07, 0.11, 0.1, 0.09, 0.13, 0.09, 0.13, 0.1, 0.15, 0.12, 0.09, 0.05, 0.14, 0.06, 0.12, 0.13, 0.1, 0.11, 0.09, 0.08, 0.09, 0.08, 0.11, 0.12, 0.05, 0.14, 0.13, 0.09, 0.08, 0.1, 0.02, 0.08, 0.14, 0.12, 0.1, 0.09, 0.08, 0.09, 0.06, 0.11, 0.1, 0.11, 0.07, 0.05, 0.08, 0.11, 0.13, 0.07, 0.1, 0.1, 0.09, 0.1, 0.1, 0.1, 0.12, 0.03, 0.05, 0.08, 0.06, 0.12, 0.08, 0.13, 0.05, 0.13, 0.08, 0.09, 0.14, 0.17, 0.15, 0.12, 0.06, 0.07, 0.15, 0.13, 0.11, 0.08, 0.1, 0.1, 0.15, 0.15, 0.13, 0.14, 0.13, 0.11, 0.08, 0.1717171717171717]"
15,"[0.06930693069306931, 0.13, 0.11, 0.04, 0.07, 0.06, 0.11, 0.07, 0.09, 0.07, 0.13, 0.15, 0.12, 0.09, 0.07, 0.11, 0.1, 0.09, 0.13, 0.09, 0.13, 0.1, 0.15, 0.14, 0.09, 0.05, 0.14, 0.05, 0.11, 0.07, 0.1, 0.11, 0.09, 0.08, 0.14, 0.08, 0.11, 0.12, 0.05, 0.14, 0.13, 0.09, 0.1, 0.13, 0.02, 0.08, 0.08, 0.08, 0.1, 0.09, 0.08, 0.11, 0.06, 0.08, 0.06, 0.13, 0.15, 0.05, 0.08, 0.11, 0.13, 0.08, 0.14, 0.12, 0.09, 0.1, 0.1, 0.11, 0.12, 0.03, 0.05, 0.08, 0.06, 0.12, 0.06, 0.13, 0.13, 0.13, 0.08, 0.09, 0.14, 0.17, 0.13, 0.12, 0.06, 0.09, 0.15, 0.13, 0.11, 0.08, 0.1, 0.07, 0.15, 0.15, 0.13, 0.14, 0.13, 0.11, 0.08, 0.1717171717171717]"
16,"[0.07920792079207921, 0.09, 0.11, 0.04, 0.07, 0.06, 0.05, 0.07, 0.09, 0.07, 0.13, 0.15, 0.12, 0.12, 0.07, 0.11, 0.1, 0.09, 0.13, 0.11, 0.13, 0.16, 0.12, 0.12, 0.09, 0.05, 0.14, 0.05, 0.12, 0.07, 0.07, 0.11, 0.09, 0.08, 0.1, 0.08, 0.11, 0.12, 0.05, 0.14, 0.06, 0.09, 0.08, 0.1, 0.02, 0.1, 0.08, 0.12, 0.1, 0.09, 0.08, 0.11, 0.06, 0.08, 0.06, 0.11, 0.07, 0.05, 0.08, 0.06, 0.13, 0.07, 0.14, 0.1, 0.13, 0.09, 0.1, 0.1, 0.12, 0.03, 0.05, 0.08, 0.06, 0.12, 0.08, 0.13, 0.05, 0.13, 0.08, 0.09, 0.14, 0.17, 0.15, 0.12, 0.06, 0.07, 0.13, 0.11, 0.03, 0.08, 0.1, 0.07, 0.15, 0.15, 0.13, 0.14, 0.13, 0.11, 0.08, 0.1717171717171717]"
17,"[0.07920792079207921, 0.13, 0.11, 0.04, 0.07, 0.12, 0.05, 0.07, 0.06, 0.11, 0.13, 0.15, 0.07, 0.12, 0.07, 0.11, 0.1, 0.09, 0.13, 0.11, 0.13, 0.16, 0.15, 0.12, 0.12, 0.12, 0.14, 0.06, 0.12, 0.07, 0.07, 0.11, 0.09, 0.08, 0.14, 0.13, 0.11, 0.09, 0.06, 0.14, 0.13, 0.09, 0.1, 0.13, 0.02, 0.1, 0.08, 0.12, 0.1, 0.09, 0.08, 0.11, 0.06, 0.08, 0.06, 0.11, 0.07, 0.05, 0.08, 0.06, 0.13, 0.07, 0.14, 0.12, 0.13, 0.09, 0.1, 0.1, 0.12, 0.03, 0.05, 0.08, 0.12, 0.12, 0.08, 0.13, 0.13, 0.15, 0.08, 0.09, 0.14, 0.17, 0.13, 0.12, 0.06, 0.09, 0.13, 0.13, 0.11, 0.08, 0.1, 0.07, 0.06, 0.15, 0.13, 0.14, 0.13, 0.05, 0.08, 0.1717171717171717]"
18,"[0.07920792079207921, 0.09, 0.11, 0.04, 0.07, 0.12, 0.05, 0.07, 0.06, 0.11, 0.13, 0.15, 0.12, 0.12, 0.07, 0.11, 0.1, 0.09, 0.13, 0.11, 0.13, 0.16, 0.12, 0.12, 0.12, 0.12, 0.14, 0.06, 0.12, 0.07, 0.07, 0.11, 0.09, 0.08, 0.12, 0.13, 0.11, 0.09, 0.06, 0.08, 0.13, 0.09, 0.08, 0.1, 0.02, 0.1, 0.08, 0.12, 0.1, 0.09, 0.08, 0.11, 0.06, 0.08, 0.06, 0.11, 0.15, 0.06, 0.08, 0.06, 0.13, 0.07, 0.14, 0.12, 0.08, 0.1, 0.15, 0.1, 0.12, 0.03, 0.09, 0.05, 0.12, 0.12, 0.08, 0.13, 0.13, 0.15, 0.08, 0.09, 0.14, 0.17, 0.15, 0.12, 0.09, 0.07, 0.13, 0.11, 0.03, 0.08, 0.1, 0.07, 0.15, 0.15, 0.13, 0.14, 0.13, 0.05, 0.1, 0.13131313131313133]"
19,"[0.07920792079207921, 0.09, 0.11, 0.04, 0.07, 0.12, 0.05, 0.07, 0.06, 0.11, 0.13, 0.15, 0.12, 0.12, 0.07, 0.07, 0.1, 0.09, 0.13, 0.11, 0.13, 0.16, 0.15, 0.12, 0.12, 0.05, 0.14, 0.06, 0.12, 0.07, 0.07, 0.11, 0.09, 0.08, 0.14, 0.13, 0.11, 0.09, 0.06, 0.08, 0.06, 0.09, 0.08, 0.1, 0.02, 0.1, 0.08, 0.12, 0.1, 0.09, 0.08, 0.11, 0.06, 0.08, 0.06, 0.11, 0.15, 0.06, 0.08, 0.06, 0.13, 0.08, 0.14, 0.12, 0.13, 0.1, 0.1, 0.1, 0.12, 0.03, 0.09, 0.05, 0.12, 0.12, 0.08, 0.13, 0.13, 0.13, 0.08, 0.09, 0.14, 0.17, 0.15, 0.12, 0.09, 0.07, 0.13, 0.13, 0.03, 0.1, 0.1, 0.07, 0.06, 0.15, 0.13, 0.14, 0.11, 0.05, 0.1, 0.13131313131313133]"
