in_deg_centrality,[]
0,"[0.102, 0.086, 0.111, 0.097, 0.1, 0.09, 0.093, 0.104, 0.089, 0.091]"
1,"[0.102, 0.158, 0.109, 0.093, 0.109, 0.09, 0.109, 0.104, 0.102, 0.08]"
2,"[0.102, 0.114, 0.109, 0.093, 0.109, 0.09, 0.109, 0.104, 0.091, 0.079]"
3,"[0.102, 0.114, 0.109, 0.093, 0.109, 0.09, 0.153, 0.104, 0.091, 0.079]"
4,"[0.126, 0.157, 0.109, 0.093, 0.109, 0.09, 0.109, 0.104, 0.091, 0.079]"
5,"[0.102, 0.114, 0.109, 0.093, 0.109, 0.09, 0.109, 0.104, 0.091, 0.091]"
6,"[0.102, 0.175, 0.109, 0.093, 0.168, 0.09, 0.123, 0.104, 0.091, 0.091]"
7,"[0.102, 0.114, 0.11, 0.093, 0.109, 0.105, 0.089, 0.197, 0.092, 0.111]"
8,"[0.134, 0.185, 0.096, 0.1, 0.109, 0.09, 0.089, 0.104, 0.13, 0.079]"
9,"[0.115, 0.143, 0.129, 0.14, 0.11, 0.09, 0.183, 0.104, 0.153, 0.091]"
10,"[0.102, 0.19, 0.106, 0.095, 0.124, 0.09, 0.089, 0.104, 0.134, 0.079]"
11,"[0.13, 0.161, 0.183, 0.133, 0.193, 0.175, 0.11, 0.14, 0.167, 0.091]"
12,"[0.102, 0.175, 0.206, 0.109, 0.197, 0.184, 0.167, 0.186, 0.155, 0.121]"
13,"[0.106, 0.114, 0.135, 0.097, 0.094, 0.15, 0.165, 0.131, 0.177, 0.171]"
14,"[0.08, 0.182, 0.145, 0.116, 0.109, 0.165, 0.194, 0.104, 0.176, 0.22]"
15,"[0.169, 0.203, 0.109, 0.158, 0.177, 0.236, 0.202, 0.098, 0.166, 0.096]"
16,"[0.174, 0.147, 0.109, 0.138, 0.109, 0.159, 0.156, 0.19, 0.105, 0.09]"
17,"[0.249, 0.115, 0.109, 0.158, 0.2, 0.164, 0.221, 0.227, 0.169, 0.156]"
18,"[0.193, 0.193, 0.112, 0.192, 0.246, 0.105, 0.198, 0.145, 0.091, 0.132]"
19,"[0.108, 0.153, 0.112, 0.18, 0.158, 0.164, 0.187, 0.195, 0.091, 0.156]"
20,"[0.166, 0.205, 0.191, 0.276, 0.245, 0.09, 0.182, 0.105, 0.116, 0.155]"
21,"[0.252, 0.202, 0.204, 0.184, 0.185, 0.286, 0.239, 0.126, 0.17, 0.225]"
22,"[0.156, 0.187, 0.109, 0.179, 0.205, 0.165, 0.221, 0.196, 0.15, 0.147]"
23,"[0.163, 0.235, 0.238, 0.179, 0.294, 0.129, 0.195, 0.2, 0.149, 0.155]"
24,"[0.215, 0.284, 0.178, 0.23, 0.237, 0.155, 0.109, 0.313, 0.183, 0.17]"
25,"[0.248, 0.267, 0.185, 0.279, 0.135, 0.18, 0.206, 0.142, 0.193, 0.147]"
26,"[0.207, 0.121, 0.111, 0.169, 0.194, 0.086, 0.243, 0.244, 0.192, 0.178]"
27,"[0.085, 0.262, 0.191, 0.106, 0.162, 0.185, 0.204, 0.26, 0.234, 0.241]"
28,"[0.174, 0.136, 0.25, 0.144, 0.129, 0.116, 0.164, 0.174, 0.118, 0.267]"
29,"[0.177, 0.109, 0.23, 0.199, 0.235, 0.238, 0.343, 0.163, 0.147, 0.128]"
30,"[0.269, 0.176, 0.239, 0.156, 0.193, 0.225, 0.22, 0.194, 0.283, 0.192]"
31,"[0.148, 0.208, 0.239, 0.272, 0.198, 0.18, 0.209, 0.194, 0.394, 0.249]"
32,"[0.283, 0.25, 0.264, 0.214, 0.257, 0.232, 0.304, 0.214, 0.12, 0.198]"
33,"[0.333, 0.321, 0.393, 0.285, 0.249, 0.264, 0.335, 0.372, 0.396, 0.262]"
34,"[0.189, 0.308, 0.343, 0.238, 0.249, 0.478, 0.262, 0.309, 0.331, 0.314]"
35,"[0.43, 0.374, 0.408, 0.313, 0.297, 0.252, 0.254, 0.354, 0.399, 0.316]"
36,"[0.366, 0.295, 0.213, 0.332, 0.232, 0.375, 0.334, 0.264, 0.3, 0.272]"
37,"[0.362, 0.427, 0.428, 0.323, 0.462, 0.405, 0.475, 0.4, 0.259, 0.351]"
38,"[0.305, 0.392, 0.366, 0.536, 0.429, 0.201, 0.462, 0.391, 0.346, 0.223]"
39,"[0.279, 0.16, 0.191, 0.381, 0.437, 0.114, 0.458, 0.427, 0.22, 0.182]"
40,"[0.118, 0.109, 0.141, 0.407, 0.384, 0.109, 0.299, 0.305, 0.094, 0.079]"
41,"[0.164, 0.115, 0.206, 0.215, 0.193, 0.118, 0.232, 0.33, 0.043, 0.098]"
42,"[0.297, 0.248, 0.26, 0.08, 0.117, 0.128, 0.1, 0.318, 0.235, 0.285]"
43,"[0.319, 0.225, 0.299, 0.205, 0.334, 0.3, 0.261, 0.333, 0.308, 0.241]"
44,"[0.36, 0.367, 0.344, 0.322, 0.339, 0.34, 0.395, 0.388, 0.425, 0.364]"
45,"[0.315, 0.345, 0.424, 0.362, 0.432, 0.443, 0.406, 0.368, 0.374, 0.357]"
46,"[0.341, 0.404, 0.395, 0.386, 0.336, 0.339, 0.411, 0.327, 0.406, 0.441]"
47,"[0.463, 0.346, 0.344, 0.431, 0.367, 0.496, 0.372, 0.41, 0.364, 0.391]"
48,"[0.468, 0.297, 0.459, 0.364, 0.391, 0.408, 0.472, 0.464, 0.29, 0.477]"
49,"[0.407, 0.378, 0.292, 0.256, 0.416, 0.263, 0.477, 0.411, 0.311, 0.354]"
50,"[0.271, 0.339, 0.21, 0.236, 0.33, 0.22, 0.427, 0.268, 0.279, 0.184]"
51,"[0.175, 0.218, 0.242, 0.264, 0.316, 0.296, 0.4, 0.202, 0.162, 0.254]"
52,"[0.256, 0.112, 0.308, 0.167, 0.327, 0.304, 0.371, 0.527, 0.266, 0.379]"
53,"[0.421, 0.368, 0.431, 0.435, 0.464, 0.466, 0.26, 0.396, 0.396, 0.279]"
54,"[0.436, 0.427, 0.35, 0.476, 0.488, 0.486, 0.501, 0.418, 0.5, 0.477]"
55,"[0.426, 0.446, 0.349, 0.42, 0.576, 0.53, 0.529, 0.561, 0.532, 0.364]"
56,"[0.41, 0.361, 0.437, 0.447, 0.414, 0.332, 0.374, 0.406, 0.362, 0.28]"
57,"[0.391, 0.315, 0.327, 0.287, 0.421, 0.262, 0.499, 0.43, 0.376, 0.271]"
58,"[0.363, 0.323, 0.314, 0.353, 0.396, 0.221, 0.337, 0.39, 0.349, 0.299]"
59,"[0.374, 0.423, 0.33, 0.4, 0.436, 0.498, 0.4, 0.388, 0.416, 0.401]"
60,"[0.515, 0.323, 0.411, 0.414, 0.434, 0.468, 0.426, 0.408, 0.352, 0.312]"
61,"[0.456, 0.33, 0.496, 0.412, 0.505, 0.41, 0.457, 0.382, 0.376, 0.359]"
62,"[0.384, 0.397, 0.391, 0.415, 0.451, 0.434, 0.297, 0.412, 0.293, 0.336]"
63,"[0.367, 0.313, 0.279, 0.313, 0.399, 0.31, 0.418, 0.421, 0.427, 0.455]"
64,"[0.425, 0.206, 0.322, 0.295, 0.431, 0.399, 0.367, 0.475, 0.392, 0.321]"
65,"[0.373, 0.464, 0.452, 0.477, 0.46, 0.508, 0.39, 0.527, 0.423, 0.343]"
66,"[0.517, 0.441, 0.468, 0.432, 0.399, 0.404, 0.505, 0.423, 0.44, 0.505]"
67,"[0.44, 0.393, 0.375, 0.434, 0.505, 0.418, 0.551, 0.428, 0.464, 0.49]"
68,"[0.486, 0.455, 0.45, 0.434, 0.468, 0.433, 0.493, 0.484, 0.446, 0.455]"
69,"[0.474, 0.369, 0.462, 0.408, 0.536, 0.453, 0.479, 0.563, 0.419, 0.45]"
70,"[0.476, 0.388, 0.461, 0.459, 0.452, 0.411, 0.501, 0.465, 0.431, 0.476]"
71,"[0.442, 0.432, 0.43, 0.434, 0.507, 0.459, 0.416, 0.428, 0.355, 0.478]"
72,"[0.425, 0.434, 0.52, 0.43, 0.48, 0.333, 0.357, 0.421, 0.433, 0.392]"
73,"[0.522, 0.345, 0.382, 0.442, 0.427, 0.34, 0.443, 0.46, 0.524, 0.508]"
74,"[0.455, 0.439, 0.525, 0.49, 0.527, 0.541, 0.436, 0.553, 0.522, 0.416]"
75,"[0.521, 0.516, 0.432, 0.51, 0.508, 0.477, 0.407, 0.577, 0.5, 0.47]"
76,"[0.53, 0.35, 0.488, 0.384, 0.394, 0.444, 0.577, 0.378, 0.542, 0.472]"
77,"[0.491, 0.484, 0.519, 0.432, 0.384, 0.549, 0.319, 0.503, 0.399, 0.393]"
78,"[0.465, 0.461, 0.433, 0.406, 0.502, 0.34, 0.411, 0.474, 0.382, 0.443]"
79,"[0.482, 0.477, 0.427, 0.453, 0.44, 0.384, 0.428, 0.499, 0.452, 0.481]"
80,"[0.486, 0.492, 0.495, 0.571, 0.504, 0.467, 0.436, 0.519, 0.473, 0.46]"
81,"[0.482, 0.526, 0.51, 0.469, 0.464, 0.527, 0.449, 0.571, 0.481, 0.535]"
82,"[0.527, 0.467, 0.478, 0.466, 0.487, 0.458, 0.563, 0.537, 0.507, 0.491]"
83,"[0.478, 0.585, 0.524, 0.456, 0.451, 0.47, 0.503, 0.523, 0.474, 0.457]"
84,"[0.448, 0.479, 0.467, 0.483, 0.53, 0.509, 0.491, 0.537, 0.488, 0.481]"
85,"[0.544, 0.529, 0.461, 0.443, 0.541, 0.474, 0.521, 0.51, 0.439, 0.514]"
86,"[0.506, 0.528, 0.455, 0.491, 0.544, 0.504, 0.526, 0.513, 0.483, 0.56]"
87,"[0.539, 0.589, 0.502, 0.438, 0.47, 0.49, 0.551, 0.555, 0.53, 0.468]"
88,"[0.504, 0.482, 0.446, 0.432, 0.499, 0.534, 0.536, 0.528, 0.491, 0.428]"
89,"[0.435, 0.533, 0.433, 0.46, 0.513, 0.415, 0.49, 0.529, 0.487, 0.465]"
90,"[0.462, 0.5, 0.476, 0.478, 0.554, 0.512, 0.492, 0.497, 0.496, 0.474]"
91,"[0.477, 0.477, 0.525, 0.427, 0.543, 0.546, 0.507, 0.494, 0.505, 0.486]"
92,"[0.496, 0.485, 0.486, 0.451, 0.497, 0.541, 0.572, 0.531, 0.516, 0.424]"
93,"[0.588, 0.583, 0.504, 0.516, 0.516, 0.562, 0.546, 0.462, 0.497, 0.51]"
94,"[0.529, 0.532, 0.532, 0.472, 0.547, 0.558, 0.506, 0.484, 0.504, 0.434]"
95,"[0.571, 0.587, 0.519, 0.472, 0.508, 0.556, 0.491, 0.461, 0.504, 0.535]"
96,"[0.513, 0.468, 0.5, 0.476, 0.503, 0.521, 0.44, 0.489, 0.464, 0.521]"
