betweeness_centrality,[ 0 14 15  6]
10,"[tensor(0.0044, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0044, device='cuda:2')]"
11,"[tensor(0.0043, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0043, device='cuda:2')]"
12,"[tensor(0.0042, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0042, device='cuda:2')]"
13,"[tensor(0.0042, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0043, device='cuda:2')]"
14,"[tensor(0.0041, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0042, device='cuda:2')]"
15,"[tensor(0.0042, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0042, device='cuda:2')]"
16,"[tensor(0.0040, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0041, device='cuda:2')]"
17,"[tensor(0.0041, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0041, device='cuda:2')]"
18,"[tensor(0.0039, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0041, device='cuda:2')]"
19,"[tensor(0.0041, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0041, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0040, device='cuda:2'), tensor(0.0039, device='cuda:2'), tensor(0.0040, device='cuda:2')]"
