in_deg_centrality,[16  2 17  6]
38,"[tensor(0.0044, device='cuda:6'), tensor(0.0043, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0043, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0045, device='cuda:6'), tensor(0.0045, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0043, device='cuda:6'), tensor(0.0043, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0045, device='cuda:6'), tensor(0.0043, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0044, device='cuda:6')]"
39,"[tensor(0.0043, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0043, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0043, device='cuda:6'), tensor(0.0043, device='cuda:6'), tensor(0.0043, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0043, device='cuda:6'), tensor(0.0045, device='cuda:6'), tensor(0.0043, device='cuda:6'), tensor(0.0044, device='cuda:6')]"
40,"[tensor(0.0044, device='cuda:6'), tensor(0.0043, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0043, device='cuda:6'), tensor(0.0043, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0045, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0043, device='cuda:6'), tensor(0.0043, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0043, device='cuda:6'), tensor(0.0045, device='cuda:6'), tensor(0.0043, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0045, device='cuda:6')]"
41,"[tensor(0.0043, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0043, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0043, device='cuda:6'), tensor(0.0043, device='cuda:6'), tensor(0.0043, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0043, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0043, device='cuda:6'), tensor(0.0044, device='cuda:6')]"
42,"[tensor(0.0043, device='cuda:6'), tensor(0.0043, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0043, device='cuda:6'), tensor(0.0043, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0043, device='cuda:6'), tensor(0.0043, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0042, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0043, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0045, device='cuda:6')]"
43,"[tensor(0.0042, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0043, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0043, device='cuda:6'), tensor(0.0043, device='cuda:6'), tensor(0.0043, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0043, device='cuda:6'), tensor(0.0043, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0042, device='cuda:6'), tensor(0.0043, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0043, device='cuda:6'), tensor(0.0044, device='cuda:6')]"
44,"[tensor(0.0043, device='cuda:6'), tensor(0.0043, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0042, device='cuda:6'), tensor(0.0043, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0043, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0043, device='cuda:6'), tensor(0.0043, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0041, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0043, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0045, device='cuda:6')]"
45,"[tensor(0.0041, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0042, device='cuda:6'), tensor(0.0043, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0042, device='cuda:6'), tensor(0.0042, device='cuda:6'), tensor(0.0042, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0043, device='cuda:6'), tensor(0.0043, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0041, device='cuda:6'), tensor(0.0042, device='cuda:6'), tensor(0.0043, device='cuda:6'), tensor(0.0043, device='cuda:6'), tensor(0.0043, device='cuda:6')]"
46,"[tensor(0.0042, device='cuda:6'), tensor(0.0042, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0042, device='cuda:6'), tensor(0.0043, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0043, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0042, device='cuda:6'), tensor(0.0042, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0040, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0042, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0045, device='cuda:6')]"
47,"[tensor(0.0041, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0042, device='cuda:6'), tensor(0.0043, device='cuda:6'), tensor(0.0044, device='cuda:6'), tensor(0.0043, device='cuda:6'), tensor(0.0042, device='cuda:6'), tensor(0.0042, device='cuda:6'), tensor(0.0042, device='cuda:6'), tensor(0.0045, device='cuda:6'), tensor(0.0043, device='cuda:6'), tensor(0.0043, device='cuda:6'), tensor(0.0043, device='cuda:6'), tensor(0.0043, device='cuda:6'), tensor(0.0043, device='cuda:6'), tensor(0.0041, device='cuda:6'), tensor(0.0042, device='cuda:6'), tensor(0.0043, device='cuda:6'), tensor(0.0042, device='cuda:6'), tensor(0.0043, device='cuda:6')]"
