betweeness_centrality,[6 3 2 9]
10,"[tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3')]"
11,"[tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3')]"
12,"[tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3')]"
13,"[tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3')]"
14,"[tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3')]"
15,"[tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3')]"
16,"[tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3')]"
17,"[tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3')]"
18,"[tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3')]"
19,"[tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3')]"
20,"[tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3')]"
21,"[tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3')]"
22,"[tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3')]"
23,"[tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3'), tensor(0.0046, device='cuda:3')]"
