eigenvector_centrality,[9]
57,"[0.184, 0.125, 0.224, 0.181, 0.218, 0.166, 0.142, 0.237, 0.25, 0.33]"
58,"[0.213, 0.241, 0.116, 0.214, 0.182, 0.217, 0.247, 0.122, 0.144, 0.436]"
59,"[0.165, 0.124, 0.222, 0.169, 0.225, 0.157, 0.135, 0.238, 0.25, 0.314]"
60,"[0.214, 0.24, 0.111, 0.211, 0.174, 0.226, 0.248, 0.116, 0.133, 0.461]"
61,"[0.162, 0.124, 0.221, 0.166, 0.233, 0.155, 0.133, 0.236, 0.247, 0.354]"
62,"[0.227, 0.243, 0.11, 0.22, 0.172, 0.246, 0.248, 0.116, 0.132, 0.46]"
63,"[0.165, 0.124, 0.22, 0.167, 0.229, 0.159, 0.131, 0.236, 0.245, 0.357]"
64,"[0.227, 0.243, 0.111, 0.217, 0.175, 0.252, 0.247, 0.118, 0.134, 0.423]"
65,"[0.168, 0.127, 0.222, 0.168, 0.229, 0.158, 0.133, 0.234, 0.242, 0.353]"
66,"[0.231, 0.247, 0.114, 0.216, 0.179, 0.259, 0.245, 0.122, 0.136, 0.42]"
67,"[0.168, 0.13, 0.222, 0.176, 0.225, 0.166, 0.136, 0.232, 0.239, 0.344]"
68,"[0.233, 0.245, 0.118, 0.212, 0.184, 0.261, 0.247, 0.126, 0.139, 0.415]"
69,"[0.17, 0.134, 0.22, 0.175, 0.217, 0.166, 0.14, 0.23, 0.239, 0.324]"
70,"[0.229, 0.247, 0.118, 0.212, 0.181, 0.259, 0.242, 0.128, 0.141, 0.383]"
71,"[0.178, 0.139, 0.218, 0.179, 0.207, 0.173, 0.146, 0.22, 0.241, 0.322]"
72,"[0.231, 0.246, 0.12, 0.212, 0.181, 0.257, 0.237, 0.132, 0.147, 0.286]"
73,"[0.181, 0.14, 0.212, 0.181, 0.203, 0.172, 0.149, 0.216, 0.242, 0.347]"
74,"[0.234, 0.241, 0.122, 0.212, 0.176, 0.253, 0.233, 0.134, 0.149, 0.246]"
75,"[0.181, 0.139, 0.214, 0.181, 0.2, 0.176, 0.15, 0.214, 0.237, 0.406]"
